 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,29,939.569,4.431,22.728,936,2,8,5,0.705,9.434,936,7,32.005,5.000,1.484,0.674,0.829
2,33,1021.500,10.258,29.213,1017,6,9,10,0.486,12.806,1017,6,128.660,5.657,2.793,0.358,0.660
3,30,987.500,16.133,28.385,982,14,10,5,0.468,11.180,982,19,26.565,5.000,2.066,0.484,0.659
4,35,1019.186,24.014,30.042,1016,19,6,11,0.487,11.705,1016,30,70.017,6.000,1.947,0.514,0.642
5,26,981.769,25.385,25.556,978,21,6,10,0.500,11.180,979,21,116.565,5.209,2.858,0.350,0.634
6,25,875.420,33.100,18.728,873,30,5,6,0.896,7.211,874,30,123.690,5.000,1.316,0.760,0.877
7,33,1025.955,34.167,31.213,1020,30,10,8,0.426,11.314,1022,30,135.000,6.174,2.270,0.441,0.606
8,41,869.793,39.402,31.213,864,36,11,8,0.529,11.180,864,38,153.435,7.140,1.927,0.519,0.651
9,33,1013.167,40.348,26.728,1008,36,9,7,0.580,11.402,1008,43,37.875,5.814,2.364,0.423,0.767
10,25,995.500,39.620,22.385,991,37,8,5,0.627,8.944,991,42,26.565,5.000,1.786,0.560,0.758
11,26,1056.269,41.192,20.971,1052,38,8,6,0.743,8.544,1052,40,159.444,5.199,1.913,0.523,0.754
12,61,974.107,43.156,38.870,966,40,15,7,0.507,15.297,966,43,168.690,6.790,2.722,0.367,0.701
13,25,840.300,45.460,20.971,836,43,8,5,0.714,8.544,836,47,20.556,4.707,2.035,0.491,0.758
14,36,990.417,49.639,28.385,986,44,8,9,0.561,10.296,987,53,60.945,7.211,1.630,0.613,0.720
15,34,1013.824,47.206,29.213,1008,44,12,6,0.501,13.000,1008,44,157.380,5.091,3.043,0.329,0.680
16,39,882.167,51.654,34.870,879,46,7,10,0.403,10.770,880,46,111.801,7.000,1.725,0.580,0.690
17,86,972.605,52.628,51.698,968,46,11,18,0.404,18.974,969,64,71.565,10.901,2.196,0.455,0.608
18,41,1084.110,52.939,30.385,1081,47,8,11,0.558,12.806,1081,47,128.660,6.254,2.753,0.363,0.672
19,25,1037.100,50.660,30.971,1031,48,12,5,0.328,12.649,1031,49,161.565,4.859,2.605,0.384,0.562
20,37,913.635,54.473,29.799,910,49,6,11,0.524,11.705,912,60,70.017,6.000,2.287,0.437,0.718
21,28,1019.679,53.536,24.385,1015,50,9,6,0.592,9.487,1015,56,18.435,6.000,1.739,0.575,0.675
22,26,963.269,55.654,20.142,959,53,8,5,0.805,8.246,959,57,14.036,5.000,1.635,0.612,0.812
23,32,706.594,59.250,22.728,703,56,6,8,0.778,10.000,703,56,126.870,5.800,1.852,0.540,0.877
24,29,873.603,59.603,21.556,870,56,7,6,0.784,8.485,871,56,135.000,6.000,1.193,0.838,0.841
25,31,1094.177,58.210,24.142,1089,56,9,5,0.668,9.849,1089,60,23.962,5.000,1.964,0.509,0.805
26,41,1064.305,63.110,30.385,1061,58,7,11,0.558,12.083,1061,58,114.444,6.641,2.213,0.452,0.707
27,34,1072.559,63.559,32.042,1068,60,9,7,0.416,9.487,1068,61,161.565,7.000,1.354,0.738,0.648
28,33,905.227,64.318,24.385,900,61,10,6,0.697,10.198,900,63,168.690,5.659,1.855,0.539,0.776
29,51,1001.912,69.422,37.456,998,62,8,13,0.457,14.765,998,75,61.699,6.905,2.461,0.406,0.685
30,26,924.731,67.615,22.728,920,65,9,5,0.633,10.296,920,70,29.055,4.315,2.956,0.338,0.788
31,25,1081.300,69.940,20.142,1079,66,5,8,0.774,8.544,1079,66,110.556,4.903,1.910,0.524,0.820
32,36,770.139,69.778,30.385,764,67,12,6,0.490,12.369,764,70,14.036,5.301,3.113,0.321,0.692
33,32,907.219,69.625,26.971,902,67,11,5,0.553,11.402,902,70,15.255,4.713,2.507,0.399,0.771
34,36,1072.917,73.667,34.870,1069,69,9,9,0.372,10.296,1069,69,119.055,8.321,1.183,0.846,0.595
35,30,1050.400,74.933,22.971,1047,71,7,8,0.714,9.434,1048,71,122.005,5.659,2.018,0.496,0.759
36,27,1057.722,74.130,20.142,1054,71,7,6,0.836,8.485,1055,77,45.000,5.657,1.653,0.605,0.831
37,97,1063.149,80.129,58.770,1057,71,11,17,0.353,18.788,1058,88,64.799,11.000,1.917,0.522,0.690
38,66,1024.394,77.727,41.113,1018,73,13,10,0.491,13.601,1018,78,17.103,9.939,1.206,0.830,0.667
39,25,1111.540,76.860,20.971,1109,73,6,8,0.714,8.602,1109,73,125.538,4.919,2.118,0.472,0.769
40,34,1144.324,77.794,25.799,1140,74,9,8,0.642,11.402,1140,74,142.125,4.950,2.802,0.357,0.756
41,33,681.045,78.197,28.385,676,75,10,8,0.515,10.440,676,79,16.699,7.056,1.926,0.519,0.641
42,30,859.867,77.833,23.556,855,76,10,5,0.679,10.198,855,76,168.690,5.000,2.185,0.458,0.789
43,40,1000.525,82.225,33.799,993,77,12,9,0.440,13.038,993,84,32.471,7.488,2.054,0.487,0.584
44,40,857.475,83.325,32.971,850,80,14,6,0.462,14.142,850,83,171.870,6.000,2.591,0.386,0.714
45,57,1047.079,82.675,37.799,1039,80,14,7,0.501,14.765,1039,80,151.699,7.000,2.452,0.408,0.755
46,27,1102.833,85.944,27.799,1099,80,7,11,0.439,12.083,1100,91,65.556,4.240,3.805,0.263,0.651
47,55,1173.355,87.718,46.284,1165,83,17,8,0.323,18.028,1165,89,19.440,7.637,3.140,0.318,0.539
48,29,983.810,87.707,22.971,981,84,7,8,0.691,8.602,981,91,35.538,6.472,1.672,0.598,0.725
49,33,1036.530,90.803,27.556,1033,85,7,9,0.546,11.402,1033,94,52.125,6.364,1.894,0.528,0.725
50,30,1108.500,89.633,22.971,1104,86,8,7,0.714,8.944,1104,89,153.435,6.325,1.497,0.668,0.732
51,35,859.671,90.243,20.971,856,87,8,6,1.000,8.544,856,92,20.556,6.000,1.311,0.763,0.875
52,41,1060.232,91.744,24.728,1056,89,9,6,0.843,10.296,1056,95,29.055,6.000,1.842,0.543,0.901
53,25,995.620,95.540,22.142,992,93,8,5,0.641,9.434,992,98,32.005,4.707,2.383,0.420,0.781
54,25,1067.940,96.260,26.971,1064,94,9,6,0.432,9.849,1064,100,23.962,6.000,1.891,0.529,0.595
55,28,1118.643,96.286,24.728,1113,94,11,4,0.575,11.180,1113,97,10.305,3.946,3.261,0.307,0.812
56,34,1165.029,96.088,28.385,1159,94,11,5,0.530,11.705,1159,94,160.017,5.000,2.326,0.430,0.739
57,50,895.320,100.820,32.971,891,96,8,10,0.578,10.630,891,98,131.186,8.000,1.076,0.930,0.735
58,29,1175.569,98.431,28.142,1171,96,12,5,0.460,12.369,1171,101,14.036,4.881,3.022,0.331,0.690
59,27,1010.648,101.648,21.899,1008,97,5,8,0.707,8.944,1009,97,116.565,5.000,1.977,0.506,0.831
60,36,1057.639,102.417,25.799,1054,97,8,9,0.680,10.817,1055,97,123.690,5.657,1.848,0.541,0.783
61,45,1155.544,99.922,30.385,1149,97,11,7,0.613,11.180,1149,98,153.435,7.000,1.576,0.635,0.769
62,60,1201.433,105.100,49.213,1198,97,7,15,0.311,15.524,1199,97,104.931,7.000,2.123,0.471,0.663
63,69,1066.283,106.993,41.698,1061,100,12,13,0.499,15.811,1063,113,55.305,8.935,1.885,0.530,0.701
64,37,723.797,107.500,24.971,720,103,8,8,0.746,10.630,720,103,131.186,5.814,1.985,0.504,0.813
65,32,666.781,109.531,25.556,664,104,5,10,0.616,10.440,665,104,106.699,5.000,2.388,0.419,0.753
66,93,1042.565,108.392,55.698,1030,104,21,9,0.377,21.587,1030,108,166.608,9.000,2.545,0.393,0.697
67,41,1077.817,108.646,27.213,1074,104,8,10,0.696,11.662,1075,104,120.964,5.657,2.188,0.457,0.774
68,50,1144.060,107.000,32.971,1137,104,14,6,0.578,14.560,1137,105,164.055,5.857,2.981,0.335,0.800
69,59,1169.195,107.788,38.627,1160,104,16,7,0.497,16.492,1160,109,14.036,7.000,2.968,0.337,0.720
70,26,1179.500,107.346,19.314,1177,104,5,7,0.876,7.810,1177,110,50.194,5.000,1.580,0.633,0.867
71,28,915.357,106.536,33.799,908,105,14,4,0.308,14.318,908,106,167.905,3.893,4.710,0.212,0.602
72,26,586.077,110.192,32.284,581,106,9,8,0.313,10.817,581,112,33.690,7.071,1.414,0.707,0.505
73,26,1058.385,110.038,19.314,1056,107,6,6,0.876,7.810,1056,107,140.194,5.814,1.329,0.752,0.852
74,26,1196.192,112.038,18.728,1193,109,6,6,0.932,7.810,1193,115,39.806,5.578,1.403,0.713,0.867
75,25,955.980,112.180,20.142,952,110,8,4,0.774,8.544,952,113,20.556,4.000,2.207,0.453,0.820
76,28,1119.286,114.500,19.899,1116,112,6,6,0.889,7.810,1116,112,140.194,6.000,1.187,0.842,0.875
77,27,1170.278,114.056,19.899,1166,112,8,4,0.857,8.544,1166,115,20.556,4.000,2.055,0.487,0.915
78,34,1186.882,116.588,30.627,1182,112,11,8,0.455,13.601,1182,112,143.973,5.367,3.049,0.328,0.673
79,69,1077.196,118.746,50.527,1071,113,15,10,0.340,16.553,1071,113,154.983,9.944,1.546,0.647,0.636
80,64,1044.203,117.500,46.042,1033,114,19,9,0.379,19.235,1033,115,171.027,7.589,3.124,0.320,0.607
81,42,1058.095,118.262,28.971,1054,114,8,9,0.629,10.817,1054,123,56.310,7.891,1.348,0.742,0.730
82,41,1066.646,117.378,25.556,1062,114,10,6,0.789,10.198,1062,116,168.690,6.000,1.738,0.575,0.828
83,31,1221.532,117.887,26.385,1217,114,7,8,0.560,9.899,1217,121,45.000,7.000,1.349,0.742,0.713
84,30,1019.033,118.733,22.728,1016,115,8,6,0.730,9.434,1016,116,147.995,6.000,1.612,0.620,0.870
85,36,1137.278,117.611,30.142,1131,116,12,4,0.498,12.649,1131,116,161.565,4.000,3.816,0.262,0.837
86,48,1172.833,119.625,36.284,1166,116,13,9,0.458,15.000,1166,125,36.870,6.171,2.648,0.378,0.676
87,26,976.538,123.577,32.385,975,118,5,12,0.312,12.649,975,130,71.565,4.789,3.765,0.266,0.598
88,31,1041.887,122.919,21.556,1039,119,6,8,0.838,8.944,1040,119,116.565,5.199,1.920,0.521,0.838
89,91,1080.863,127.764,54.770,1071,121,18,13,0.381,20.809,1071,134,35.218,9.540,2.697,0.371,0.643
90,36,1133.194,124.583,28.627,1128,121,9,8,0.552,11.402,1128,121,142.125,6.200,2.196,0.455,0.750
91,76,1123.066,131.211,47.113,1118,123,10,14,0.430,15.232,1118,137,66.801,9.864,1.625,0.615,0.679
92,26,1066.462,128.115,20.385,1064,125,6,7,0.786,8.062,1064,132,60.255,5.657,1.467,0.681,0.825
93,54,1226.481,129.815,33.456,1221,125,10,9,0.606,11.402,1224,125,127.875,8.050,1.444,0.693,0.783
94,32,1296.375,130.969,25.314,1294,125,5,10,0.628,11.180,1294,125,116.565,5.000,2.336,0.428,0.842
95,39,629.346,130.859,30.971,624,126,11,8,0.511,12.806,624,134,38.660,5.814,2.628,0.381,0.703
96,29,1111.810,128.948,24.142,1107,126,10,5,0.625,10.770,1107,127,158.199,5.000,2.177,0.459,0.795
97,100,1141.630,136.070,52.527,1137,126,9,18,0.455,18.682,1139,126,105.524,8.969,2.199,0.455,0.735
98,95,1166.774,131.405,47.113,1159,126,17,12,0.538,17.029,1159,132,176.634,10.733,1.417,0.706,0.706
99,25,982.860,129.100,19.556,979,127,8,5,0.821,8.544,979,127,159.444,4.743,1.966,0.509,0.833
100,34,1101.235,129.412,27.213,1096,127,10,5,0.577,10.440,1096,130,16.699,5.000,2.261,0.442,0.764
101,36,1269.111,132.361,30.627,1265,127,8,10,0.482,11.402,1265,128,127.875,7.428,1.826,0.548,0.626
102,32,1289.344,129.906,22.142,1285,127,8,6,0.820,8.944,1285,131,26.565,6.000,1.568,0.638,0.831
103,31,1021.887,131.145,32.627,1016,128,12,6,0.366,12.649,1016,132,18.435,5.432,2.970,0.337,0.574
104,27,1182.944,131.907,21.314,1180,128,5,7,0.747,8.602,1180,135,54.462,5.000,1.657,0.604,0.871
105,26,1234.269,132.462,21.314,1232,128,4,9,0.719,9.220,1234,128,102.529,4.000,1.938,0.516,0.867
106,66,689.212,133.288,41.698,683,129,14,9,0.477,14.866,683,135,19.654,9.000,1.783,0.561,0.684
107,111,1242.311,137.500,58.184,1237,129,12,17,0.412,18.788,1239,146,64.799,11.372,1.945,0.514,0.698
108,88,1155.136,136.807,53.355,1149,130,13,14,0.388,15.232,1152,144,66.801,12.021,1.181,0.847,0.657
109,29,1111.569,134.879,26.971,1107,132,11,6,0.501,12.083,1107,137,24.444,4.670,2.944,0.340,0.699
110,27,1204.944,137.611,28.971,1202,132,7,9,0.404,10.296,1202,132,119.055,6.791,1.663,0.601,0.614
111,30,1219.633,134.833,28.385,1213,132,11,6,0.468,11.402,1213,135,164.745,5.821,2.193,0.456,0.625
