 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,68,717.235,163.691,31.213,712,159,11,9,0.877,12.530,712,160,151.390,8.222,1.511,0.662,0.872,cell
2,73,621.747,193.390,35.456,615,189,13,8,0.730,13.928,615,197,21.038,8.000,1.550,0.645,0.859,cell
3,63,510.103,265.278,28.385,506,260,8,10,0.983,10.770,509,260,111.801,8.000,1.194,0.838,0.913,cell
4,47,1019.819,276.074,24.385,1016,272,8,8,0.993,8.602,1016,274,144.462,8.000,1.036,0.965,0.879,cell
5,125,539.972,279.500,40.042,534,273,12,13,0.980,15.000,536,273,126.870,12.000,1.230,0.813,0.936,cell
6,63,870.198,287.040,28.971,866,282,8,10,0.943,11.180,868,292,63.435,8.000,1.418,0.705,0.913,cell
7,147,808.724,312.201,61.598,799,303,18,16,0.487,22.204,799,317,35.838,12.548,1.832,0.546,0.766,cell
8,93,484.371,312.930,35.456,479,307,11,12,0.930,13.000,482,319,67.380,10.262,1.265,0.791,0.903,cell
9,39,796.244,310.474,22.971,792,307,8,7,0.929,9.220,793,314,40.601,6.364,1.482,0.675,0.876,cell
10,111,472.806,326.140,38.042,467,320,12,12,0.964,13.416,470,320,116.565,12.000,1.094,0.914,0.925,cell
11,44,804.659,334.250,22.971,801,330,7,8,1.000,8.944,803,330,116.565,7.000,1.141,0.876,0.907,cell
12,48,404.812,346.104,35.213,401,342,9,8,0.486,11.402,401,350,37.875,8.000,1.343,0.745,0.762,cell
13,48,859.917,346.000,24.971,856,342,8,8,0.967,10.630,856,342,131.186,7.071,1.563,0.640,0.906,cell
14,40,691.900,382.975,22.728,689,379,6,8,0.973,8.602,690,379,125.538,6.000,1.269,0.788,0.920,cell
15,92,931.207,384.565,51.355,923,379,14,12,0.438,15.811,923,381,145.305,10.399,1.546,0.647,0.745,cell
16,57,1021.921,393.360,27.556,1017,390,10,7,0.943,10.770,1017,391,158.199,7.000,1.446,0.692,0.919,cell
17,47,434.585,399.606,24.971,431,396,8,8,0.947,8.944,431,397,153.435,8.000,1.020,0.980,0.887,cell
18,57,502.342,401.412,26.627,498,397,9,9,1.000,9.849,498,399,156.038,8.485,1.104,0.906,0.891,cell
19,224,622.754,407.674,85.983,612,398,22,22,0.381,22.561,612,403,167.196,19.614,1.153,0.867,0.693,cell
20,71,702.049,412.613,29.799,697,408,10,9,1.000,11.662,697,410,149.036,8.944,1.315,0.760,0.922,cell
21,30,500.867,413.867,18.728,498,411,6,6,1.000,7.211,498,416,33.690,6.000,1.116,0.896,0.923,cell
22,45,641.367,415.211,22.971,638,411,7,8,1.000,8.602,638,418,35.538,7.000,1.109,0.901,0.918,cell
23,63,897.071,416.484,28.385,893,412,9,9,0.983,10.630,893,420,41.186,9.000,1.101,0.908,0.906,cell
24,61,484.779,423.008,27.799,480,419,10,8,0.992,10.770,480,421,158.199,8.000,1.321,0.757,0.904,cell
25,45,905.811,425.811,40.728,897,424,19,4,0.341,19.105,897,425,173.991,3.562,6.548,0.153,0.763,cell
26,59,747.534,438.415,27.213,743,434,9,9,1.000,10.296,743,436,150.945,8.485,1.218,0.821,0.894,cell
27,52,450.519,447.269,28.385,445,443,10,8,0.811,11.662,445,451,30.964,7.845,1.492,0.670,0.832,cell
28,26,408.731,454.808,18.142,406,452,6,6,0.993,6.708,406,453,153.435,6.000,1.087,0.920,0.867,cell
29,39,622.962,461.064,21.556,619,458,8,6,1.000,8.944,619,459,153.435,6.000,1.430,0.699,0.918,cell
30,27,891.685,462.315,18.142,889,459,6,6,1.000,7.211,890,459,123.690,5.657,1.277,0.783,0.900,cell
31,90,1098.889,470.444,34.627,1093,465,11,11,0.943,12.530,1096,465,118.610,10.286,1.195,0.837,0.914,cell
32,106,733.179,483.632,36.627,727,478,12,11,0.993,13.038,730,478,122.471,11.000,1.120,0.893,0.930,cell
33,62,466.565,493.484,27.799,462,489,9,9,1.000,10.296,464,489,119.055,8.485,1.192,0.839,0.919,cell
34,54,576.167,495.185,25.799,572,491,9,8,1.000,9.487,572,493,161.565,8.000,1.125,0.889,0.900,cell
35,45,932.433,503.033,24.142,929,499,7,8,0.970,8.944,930,507,63.435,7.000,1.078,0.927,0.909,cell
36,43,743.616,512.267,24.971,739,509,9,7,0.867,10.000,740,509,143.130,6.791,1.521,0.657,0.860,cell
37,113,344.810,519.712,39.213,338,515,14,10,0.923,14.560,338,517,164.055,10.000,1.421,0.704,0.926,cell
38,150,407.093,523.500,68.669,396,515,20,19,0.400,24.207,397,519,141.710,13.519,2.041,0.490,0.640,cell
39,77,405.292,531.968,38.042,398,526,12,12,0.669,14.422,398,528,146.310,9.328,1.639,0.610,0.759,cell
40,55,964.845,536.518,26.971,960,532,9,8,0.950,10.000,960,539,36.870,8.000,1.177,0.849,0.917,cell
41,28,818.643,540.893,24.142,815,536,6,9,0.604,9.849,816,545,66.038,4.990,2.556,0.391,0.709,cell
42,132,1123.220,578.417,41.698,1116,572,14,13,0.954,15.232,1116,581,23.199,12.333,1.216,0.822,0.917,cell
43,127,1160.870,590.350,55.012,1153,582,16,17,0.527,18.601,1156,582,126.254,11.628,2.079,0.481,0.734,cell
44,112,559.714,606.982,38.627,553,602,14,10,0.943,14.866,553,610,19.654,10.000,1.419,0.704,0.929,cell
45,103,685.626,606.383,43.456,678,602,15,9,0.685,15.811,678,609,18.435,8.910,1.919,0.521,0.873,cell
