Area,X,Y,Perim.,BX,BY,Width,Height
41,802.561,143.585,0,800,140,6,8
18,807.333,144.000,0,806,142,4,5
86,821.826,148.744,0,816,144,12,12
43,829.302,150.512,0,826,147,7,8
54,811.407,153.685,0,808,149,7,11
95,786.968,157.884,0,782,152,11,13
38,827.289,156.763,0,824,154,8,6
83,795.807,159.819,0,791,155,11,10
34,820.206,158.824,0,817,156,7,7
106,805.198,161.925,0,799,157,13,11
118,678.585,164.059,0,673,158,13,13
41,814.366,161.634,0,812,158,6,9
69,762.855,166.362,0,760,161,7,12
24,767.542,166.917,0,766,163,4,8
77,698.104,173.065,0,693,169,11,9
241,687.527,180.693,0,679,170,17,23
90,632.833,183.789,0,628,179,11,11
108,679.991,189.111,0,677,180,8,19
247,723.206,205.316,0,715,197,19,18
100,770.290,204.490,0,766,199,10,12
90,699.244,208.956,0,695,204,10,11
68,691.941,210.529,0,687,206,10,11
150,684.720,214.647,0,678,208,16,13
115,529.809,215.591,0,524,210,13,13
92,773.587,220.707,0,769,216,10,11
95,903.000,224.168,0,898,219,11,11
96,566.542,229.042,0,561,224,12,11
54,976.111,230.148,0,973,226,8,11
71,689.887,234.014,0,686,230,9,9
72,1409.958,237.722,0,1406,233,9,11
82,779.451,242.427,0,775,237,10,11
137,710.839,246.752,0,701,242,20,10
79,468.835,250.595,0,464,246,11,10
61,717.016,256.148,0,714,249,8,13
96,939.656,254.271,0,935,249,11,11
348,640.583,260.540,0,630,250,25,23
44,630.205,268.864,0,627,264,7,10
140,934.579,269.464,0,926,264,17,11
67,646.179,270.194,0,640,267,14,7
97,978.433,276.887,0,974,271,10,12
55,932.873,276.309,0,928,274,11,6
146,671.411,282.144,0,665,275,14,15
97,651.598,283.021,0,646,278,12,11
55,660.418,286.255,0,656,282,9,9
71,681.352,287.338,0,677,283,10,10
43,755.535,286.907,0,753,283,6,9
62,665.226,292.435,0,661,288,10,9
30,672.200,290.800,0,669,288,7,6
107,943.897,294.477,0,939,289,11,12
57,572.351,297.333,0,567,294,11,7
82,591.134,300.341,0,586,296,11,10
151,605.192,305.311,0,599,298,13,16
45,570.689,302.467,0,567,300,9,6
87,947.322,309.356,0,943,304,10,11
77,490.247,308.818,0,486,305,10,9
67,665.627,310.299,0,662,306,9,10
115,968.965,321.748,0,963,316,13,12
48,706.229,321.688,0,703,318,7,9
117,980.402,322.966,0,974,318,14,11
138,634.014,324.058,0,623,319,20,11
69,423.580,329.754,0,418,326,12,8
91,502.604,334.154,0,498,329,10,12
86,698.907,333.721,0,694,329,11,11
74,423.892,335.838,0,417,333,15,7
96,589.052,340.417,0,584,335,11,12
61,694.262,340.246,0,690,335,10,10
38,426.105,340.263,0,422,338,9,5
84,683.929,343.595,0,679,339,11,10
154,405.383,349.604,0,399,342,14,15
27,416.630,346.296,0,414,344,7,5
83,797.373,348.819,0,793,344,10,11
88,790.136,351.909,0,787,345,8,15
94,716.096,350.819,0,711,346,11,11
111,529.090,353.063,0,524,347,11,13
21,415.619,350.429,0,413,349,6,4
179,921.581,359.285,0,915,350,14,19
67,799.955,355.537,0,793,351,13,9
102,901.127,355.804,0,896,351,11,11
82,929.805,356.573,0,926,351,9,12
87,453.310,359.057,0,449,354,10,11
152,976.322,362.270,0,970,355,14,15
74,761.230,364.270,0,757,359,10,11
159,661.704,367.824,0,656,360,13,17
83,993.446,367.169,0,989,362,11,11
29,733.172,367.897,0,730,366,7,5
32,745.438,369.281,0,743,366,6,8
74,752.446,370.203,0,747,366,11,9
90,930.522,371.733,0,925,367,12,10
132,977.205,374.583,0,970,367,15,17
44,739.318,372.091,0,736,369,8,8
97,991.144,375.835,0,986,370,11,12
96,956.740,377.594,0,952,372,10,12
83,734.554,377.880,0,729,373,11,11
78,752.256,377.026,0,746,374,13,8
161,724.311,383.093,0,718,375,14,18
72,743.306,380.111,0,740,375,8,11
120,938.092,382.350,0,933,376,11,14
81,779.519,381.815,0,775,377,10,10
51,751.157,383.451,0,748,380,8,9
78,755.628,387.949,0,751,382,10,13
93,545.419,387.398,0,540,383,12,10
53,739.585,387.075,0,735,383,9,9
56,747.089,389.661,0,744,385,7,10
181,941.293,394.558,0,932,385,18,18
138,951.203,391.565,0,945,385,14,17
93,653.882,394.258,0,649,389,11,12
64,876.359,393.141,0,872,390,11,8
202,928.257,399.941,0,920,391,17,17
47,742.787,394.766,0,739,392,9,7
92,705.565,400.793,0,701,396,10,11
81,911.802,401.790,0,907,397,11,10
68,463.941,402.162,0,460,398,9,9
75,942.627,404.347,0,935,401,16,7
134,548.022,413.045,0,543,407,12,14
113,987.035,414.283,0,982,408,11,13
43,655.558,413.116,0,651,411,10,5
159,903.371,419.849,0,897,413,15,14
47,655.596,417.766,0,651,415,10,6
143,933.455,427.252,0,925,421,17,13
97,722.072,429.093,0,717,424,11,11
108,742.944,432.426,0,738,427,11,12
85,832.129,431.635,0,827,427,11,10
35,543.514,435.171,0,540,433,8,5
18,788.667,436.889,0,787,434,4,6
80,832.425,440.225,0,827,436,12,10
85,797.635,443.447,0,793,439,10,10
99,847.465,443.798,0,842,439,12,11
97,837.485,447.649,0,832,443,12,10
46,986.130,446.543,0,982,443,10,7
61,1059.623,449.082,0,1055,445,10,9
93,639.548,453.355,0,635,448,10,11
52,1007.923,454.635,0,1004,451,9,9
105,755.133,470.000,0,750,465,11,12
66,622.909,471.061,0,619,467,9,9
105,1049.771,471.571,0,1044,467,13,11
87,663.966,476.218,0,659,472,11,10
69,747.652,478.043,0,744,474,8,9
56,754.714,478.696,0,752,474,8,10
96,891.385,481.531,0,886,476,12,12
168,749.030,490.298,0,743,483,13,15
78,758.205,488.269,0,755,483,8,12
128,767.938,493.867,0,762,488,13,13
75,475.733,492.680,0,471,489,10,9
97,1052.660,495.299,0,1048,491,11,10
94,440.085,499.053,0,435,494,11,11
135,1018.652,500.415,0,1012,494,14,13
73,1049.877,507.959,0,1047,501,6,15
96,1136.240,505.740,0,1131,501,11,10
96,356.823,508.417,0,352,503,10,12
58,810.534,511.621,0,809,503,4,17
118,1041.093,511.873,0,1035,506,13,12
66,776.030,514.167,0,772,510,9,9
181,822.215,519.144,0,815,511,15,16
88,1161.807,518.216,0,1158,511,8,16
101,932.040,518.089,0,927,513,11,11
97,978.113,521.124,0,973,516,11,11
111,1050.378,522.261,0,1046,516,10,14
110,1106.700,521.236,0,1102,516,11,12
82,960.317,521.512,0,956,517,10,10
95,852.295,522.274,0,847,518,12,10
