Area,X,Y,Perim.,BX,BY,Width,Height
126,701.762,143.325,0,695,138,15,11
70,783.514,143.371,0,779,139,10,10
98,675.143,147.214,0,670,142,11,11
105,775.457,148.867,0,770,144,12,11
44,578.136,151.773,0,574,149,9,6
61,569.934,156.705,0,566,152,9,10
121,591.628,158.364,0,586,153,13,12
163,573.178,162.086,0,562,155,21,14
95,818.400,161.947,0,813,157,11,11
64,574.828,169.922,0,570,166,10,9
115,594.713,176.878,0,588,172,14,11
117,680.291,178.197,0,675,173,12,12
154,631.481,183.558,0,625,177,14,14
125,757.880,183.424,0,752,178,13,12
110,610.655,184.500,0,605,179,12,12
107,596.897,194.654,0,591,189,12,12
98,503.367,196.827,0,498,192,12,11
120,862.058,198.000,0,857,192,12,13
116,556.138,203.095,0,551,197,11,13
100,623.920,205.680,0,619,200,11,12
126,739.556,208.000,0,734,202,13,13
113,535.504,208.832,0,530,204,12,11
32,486.781,210.125,0,484,205,7,11
111,621.360,219.252,0,616,213,12,13
109,729.835,227.560,0,725,222,11,13
117,693.726,228.393,0,686,223,15,12
126,535.119,229.397,0,529,224,13,12
123,484.285,230.285,0,478,225,13,12
113,674.053,235.062,0,668,230,13,12
113,998.027,235.947,0,992,231,13,11
34,701.971,235.382,0,699,232,7,7
156,714.128,237.782,0,707,232,16,13
85,688.612,237.494,0,684,233,11,11
128,466.422,244.062,0,461,238,12,13
120,534.817,243.908,0,529,238,12,13
108,796.296,244.296,0,791,239,12,12
42,689.095,243.595,0,685,241,9,6
160,904.844,249.244,0,898,243,15,14
82,955.207,248.573,0,951,243,9,12
114,865.693,254.333,0,860,248,12,13
94,552.681,255.691,0,548,250,10,12
115,881.191,261.009,0,876,255,12,13
131,533.588,268.588,0,528,262,13,14
139,1052.532,267.209,0,1046,262,14,12
118,519.636,269.195,0,513,265,15,11
18,548.111,266.889,0,546,265,5,5
44,670.523,283.295,0,667,280,8,8
111,1037.324,286.541,0,1032,281,12,12
121,540.025,286.058,0,532,282,17,9
55,728.800,285.545,0,725,282,9,8
124,821.855,289.581,0,816,284,13,12
141,903.773,296.418,0,897,287,15,21
46,795.283,292.457,0,792,288,8,9
122,650.492,299.852,0,645,294,12,13
167,826.647,302.419,0,820,294,14,17
130,1009.323,299.154,0,1003,294,14,12
90,619.911,302.244,0,615,297,11,12
113,626.044,309.673,0,620,304,13,12
49,1090.776,319.388,0,1088,315,7,10
93,772.183,320.871,0,767,316,11,11
218,415.624,328.440,0,403,318,28,20
87,892.598,322.115,0,887,318,12,9
91,1099.857,324.242,0,1095,318,10,13
133,844.955,325.947,0,839,320,14,13
49,1078.184,325.408,0,1075,321,8,9
113,436.416,329.779,0,430,323,13,15
117,641.966,329.171,0,637,323,11,13
70,1091.314,329.200,0,1086,325,11,10
172,768.512,338.064,0,761,326,18,25
124,555.887,331.823,0,550,327,13,11
108,519.324,332.870,0,514,328,12,11
109,406.982,339.073,0,402,333,11,13
96,482.156,339.802,0,477,335,11,11
95,433.789,342.505,0,428,337,12,11
115,568.687,345.000,0,563,340,12,12
104,804.798,346.029,0,799,341,12,11
175,1017.360,349.594,0,1005,341,25,15
120,1094.708,358.492,0,1089,353,13,12
144,777.826,359.576,0,764,355,28,9
134,495.000,365.567,0,489,360,13,12
118,404.483,368.331,0,399,363,12,12
100,899.430,368.470,0,895,363,10,12
95,737.926,370.189,0,733,365,11,11
129,981.705,371.264,0,976,365,13,13
107,869.355,371.944,0,864,367,12,11
215,989.874,384.893,0,982,376,16,19
105,979.257,385.695,0,972,380,13,14
138,917.109,389.899,0,910,381,17,18
124,1021.653,389.250,0,1015,384,14,12
112,369.732,390.312,0,365,385,12,13
393,658.478,396.733,0,646,385,28,24
175,974.669,394.451,0,968,385,15,18
108,486.630,391.870,0,481,386,12,12
79,474.582,400.127,0,470,396,10,10
76,967.237,401.592,0,963,396,10,11
91,723.648,402.945,0,719,398,10,11
89,1033.348,411.933,0,1028,405,11,14
99,1023.727,413.030,0,1019,408,11,12
161,716.516,417.075,0,710,409,14,16
108,420.815,415.704,0,415,410,12,12
91,362.626,418.341,0,358,414,11,11
105,494.829,419.381,0,490,414,11,12
63,1040.492,418.905,0,1035,416,12,7
128,1030.742,426.289,0,1025,420,12,13
94,368.266,426.287,0,363,421,11,11
122,395.189,427.279,0,389,422,13,12
87,1039.483,428.931,0,1035,423,10,12
124,997.177,431.589,0,991,426,13,12
91,379.692,432.407,0,374,428,12,11
117,661.222,435.043,0,656,429,11,13
106,828.104,434.868,0,823,429,11,13
101,369.960,436.663,0,365,432,11,11
108,590.056,437.093,0,585,432,12,11
99,705.687,437.566,0,701,432,10,12
126,389.373,439.754,0,384,434,12,13
158,1008.690,441.437,0,1002,434,14,16
151,1000.921,446.424,0,995,437,14,21
43,377.651,442.279,0,373,439,10,7
168,717.327,451.768,0,710,443,15,19
94,775.862,448.181,0,771,443,11,11
176,616.403,452.284,0,610,445,14,16
56,1001.679,457.268,0,998,453,9,9
102,672.059,461.578,0,667,456,11,12
118,631.695,472.314,0,626,467,12,12
99,484.586,474.444,0,479,470,12,10
39,835.487,472.385,0,831,470,9,6
149,331.846,478.389,0,324,472,15,13
111,1023.234,477.829,0,1018,472,12,13
146,346.932,478.240,0,339,474,18,10
240,373.392,477.696,0,356,474,39,8
119,1110.546,479.630,0,1105,474,12,12
119,608.143,480.882,0,603,475,12,13
41,1032.049,478.683,0,1028,476,9,7
56,639.857,480.732,0,636,477,8,9
113,649.354,482.018,0,644,477,12,11
54,1013.833,480.481,0,1009,477,10,8
107,904.514,484.019,0,898,479,14,11
39,1037.821,483.231,0,1034,480,9,7
136,1048.794,486.522,0,1043,480,13,14
112,710.750,488.938,0,706,483,11,13
79,1017.038,487.139,0,1012,483,11,9
110,524.882,488.736,0,519,484,13,11
108,839.426,491.333,0,835,484,12,15
62,1027.855,487.290,0,1023,484,11,8
91,539.209,489.813,0,534,485,11,11
117,889.393,492.709,0,884,487,12,12
105,862.771,495.552,0,857,490,12,12
51,1022.059,493.588,0,1018,490,10,8
142,1068.500,496.218,0,1062,490,14,13
124,724.306,497.669,0,718,492,13,12
133,1034.286,497.293,0,1028,492,14,12
124,439.621,500.145,0,434,494,12,13
30,1024.767,501.367,0,1022,499,6,6
105,522.190,505.181,0,517,500,12,11
93,537.699,507.753,0,533,502,10,12
136,836.537,510.213,0,831,502,12,16
66,807.652,507.197,0,803,503,11,9
130,375.223,510.331,0,370,504,12,14
86,904.314,510.233,0,900,505,10,12
58,340.000,510.793,0,337,506,7,10
129,970.488,515.674,0,964,510,14,12
115,660.017,516.435,0,655,511,12,12
131,535.412,518.725,0,529,513,13,13
150,500.520,520.647,0,493,514,15,13
114,871.728,522.702,0,867,517,11,13
76,803.579,522.342,0,799,518,10,10
174,937.931,524.598,0,930,518,16,15
97,826.608,522.866,0,820,519,15,9
139,721.360,528.906,0,711,523,19,12
112,395.330,532.732,0,390,527,12,12
90,612.344,533.089,0,608,528,10,11
121,564.174,533.917,0,558,529,13,11
77,924.208,533.857,0,919,529,11,10
133,1019.902,534.459,0,1014,529,13,12
126,417.833,536.905,0,412,531,13,13
104,482.635,538.760,0,477,534,12,11
105,904.429,539.895,0,899,535,12,11
116,1003.466,544.086,0,998,539,12,12
27,672.519,544.593,0,670,542,6,6
132,968.621,550.000,0,963,544,13,13
190,567.963,557.911,0,562,549,13,20
92,655.076,554.826,0,650,550,11,11
65,581.769,554.831,0,577,551,10,9
116,1060.569,557.474,0,1055,552,12,12
122,808.525,559.139,0,802,554,14,11
113,577.106,562.327,0,573,555,11,16
