 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,82,702.634,144.415,51.598,696,139,14,11,0.387,16.125,696,142,150.255,9.806,1.713,0.584,0.735
2,83,777.452,148.018,56.184,771,140,14,14,0.330,17.804,771,151,38.157,10.393,1.750,0.571,0.667
3,75,592.073,159.127,47.113,587,154,11,10,0.425,12.083,587,162,24.444,10.000,1.127,0.887,0.789
4,97,574.737,162.067,47.456,565,155,17,12,0.541,20.248,565,167,32.905,9.391,2.464,0.406,0.782
5,37,818.446,162.122,32.627,815,158,7,9,0.437,9.487,817,158,108.435,7.000,1.386,0.722,0.673
6,58,680.155,178.638,38.284,676,174,9,9,0.497,10.296,678,174,119.055,9.000,1.087,0.920,0.806
7,109,631.913,184.261,51.698,626,178,12,12,0.512,14.213,626,188,39.289,12.000,1.111,0.900,0.872
8,67,610.664,184.993,40.870,606,180,10,10,0.504,11.402,606,188,37.875,9.839,1.152,0.868,0.802
9,35,595.586,195.043,29.213,592,190,7,10,0.515,10.198,596,200,78.690,6.930,1.618,0.618,0.673
10,63,862.183,198.198,44.870,858,193,9,10,0.393,11.402,858,195,142.125,9.000,1.101,0.908,0.773
11,40,503.750,198.300,34.870,499,194,9,8,0.413,10.296,499,200,29.055,8.000,1.420,0.704,0.667
12,71,555.993,203.514,41.698,551,198,10,11,0.513,12.207,552,208,55.008,9.459,1.362,0.734,0.798
13,64,623.922,206.172,38.284,619,201,10,10,0.549,10.630,621,202,131.186,9.803,1.103,0.906,0.800
14,48,739.833,206.375,32.627,735,203,10,8,0.567,11.662,735,211,30.964,7.730,1.711,0.584,0.686
15,55,488.355,211.264,38.870,484,205,9,11,0.457,11.705,488,205,109.983,9.000,1.443,0.693,0.714
16,46,536.717,208.870,37.213,532,205,9,8,0.417,10.296,532,206,150.945,8.000,1.103,0.907,0.713
17,68,621.603,219.294,42.870,617,214,10,10,0.465,11.402,617,223,37.875,10.000,1.081,0.925,0.795
18,40,729.025,229.225,28.142,726,224,7,9,0.635,10.817,727,224,123.690,7.000,1.807,0.553,0.755
19,34,536.882,227.647,26.971,531,225,10,7,0.587,11.180,531,227,153.435,5.584,2.295,0.436,0.723
20,71,484.979,231.063,45.698,480,226,10,10,0.427,11.662,480,228,149.036,10.000,1.121,0.892,0.802
21,34,534.647,232.176,24.971,530,229,10,6,0.685,11.180,530,229,153.435,5.199,2.385,0.419,0.810
22,60,673.867,235.233,46.042,669,231,10,9,0.356,11.402,671,240,52.125,9.000,1.113,0.898,0.732
23,43,997.663,235.895,36.042,994,232,9,9,0.416,10.296,994,239,29.055,8.400,1.383,0.723,0.656
24,57,689.044,237.570,33.456,684,233,10,9,0.640,11.180,684,241,26.565,8.878,1.335,0.749,0.765
25,51,711.382,239.873,29.556,708,234,8,10,0.734,11.180,711,234,116.565,7.842,1.540,0.649,0.816
26,37,717.122,237.365,22.728,714,234,6,8,0.900,8.944,714,234,116.565,6.000,1.352,0.739,0.914
27,77,466.617,244.968,43.113,462,239,10,11,0.521,11.705,464,250,70.017,10.000,1.064,0.940,0.837
28,79,535.500,244.184,32.385,531,239,9,11,0.947,12.530,533,250,61.390,9.000,1.318,0.759,0.929
29,68,796.662,244.662,38.870,792,240,10,10,0.566,11.402,793,249,52.125,9.192,1.243,0.804,0.834
30,90,904.600,251.244,44.042,899,245,13,11,0.583,14.318,899,248,155.225,11.000,1.388,0.720,0.789
31,72,865.681,254.806,42.527,861,249,10,11,0.500,11.402,865,249,105.255,10.000,1.179,0.848,0.800
32,31,552.016,254.565,22.385,549,251,7,8,0.777,9.434,550,259,57.995,5.466,2.089,0.479,0.765
33,86,881.698,261.407,33.213,877,256,10,11,0.980,11.705,879,256,109.983,10.000,1.100,0.909,0.915
34,81,533.920,269.191,44.527,529,263,10,12,0.513,12.806,530,264,128.660,9.899,1.332,0.751,0.827
35,90,1052.733,267.822,48.284,1047,263,12,10,0.485,13.000,1047,265,157.380,10.000,1.160,0.862,0.853
36,30,538.867,279.033,25.799,533,275,10,7,0.566,10.770,533,281,21.801,5.696,1.936,0.516,0.698
37,28,547.750,280.571,23.799,544,277,8,8,0.621,8.246,546,277,104.036,7.000,1.212,0.825,0.683
38,42,1037.476,286.690,36.284,1034,282,8,9,0.401,9.487,1037,282,108.435,8.000,1.151,0.869,0.689
39,63,821.024,289.071,34.627,816,285,12,10,0.660,12.369,816,292,14.036,9.067,1.589,0.629,0.724
40,79,829.601,300.070,48.042,824,292,9,18,0.430,18.682,828,310,74.476,9.000,2.306,0.434,0.675
41,67,837.530,302.037,37.799,834,294,7,15,0.589,15.297,837,294,101.310,7.000,2.386,0.419,0.798
42,75,650.740,300.540,45.113,646,295,10,11,0.463,12.083,648,295,114.444,10.000,1.213,0.825,0.815
43,80,1009.513,299.938,49.941,1004,295,12,10,0.403,13.038,1004,303,32.471,10.000,1.236,0.809,0.796
44,46,620.413,302.130,30.385,617,298,8,10,0.626,11.402,618,308,52.125,7.554,1.760,0.568,0.760
45,29,824.017,302.672,20.142,821,299,6,7,0.898,7.280,822,306,74.055,6.000,1.084,0.923,0.841
46,78,625.962,309.872,45.941,621,304,11,11,0.464,13.038,623,304,122.471,9.839,1.333,0.750,0.817
47,55,772.045,321.609,40.284,768,317,9,9,0.426,10.296,770,317,119.055,9.000,1.090,0.918,0.769
48,146,423.945,322.911,72.870,408,318,33,9,0.346,33.541,408,319,169.695,6.472,6.198,0.161,0.818
49,142,417.549,329.901,75.841,404,319,27,19,0.310,31.064,404,320,146.821,8.816,4.896,0.204,0.628
50,68,1100.309,324.926,34.870,1096,319,9,12,0.703,12.369,1099,319,104.036,8.910,1.598,0.626,0.782
51,49,1087.684,325.765,32.284,1083,320,10,11,0.591,13.038,1083,320,122.471,7.653,1.980,0.505,0.710
52,69,642.196,329.804,46.870,638,324,9,11,0.395,12.083,640,324,114.444,9.000,1.251,0.799,0.784
53,40,438.525,331.300,26.385,435,326,7,10,0.722,11.662,436,336,59.036,5.814,2.169,0.461,0.851
54,49,777.296,330.296,31.213,772,326,9,9,0.632,10.296,772,330,150.945,9.000,1.074,0.931,0.790
55,25,848.380,328.540,20.142,845,326,7,5,0.774,8.062,845,327,150.255,5.000,1.538,0.650,0.806
56,64,555.547,332.156,44.627,551,328,10,9,0.404,11.662,551,335,30.964,9.000,1.091,0.917,0.766
57,52,519.212,332.962,39.456,515,329,9,9,0.420,10.630,516,329,131.186,8.854,1.119,0.893,0.748
58,90,767.489,339.656,43.698,762,331,12,16,0.592,18.358,762,347,60.642,7.920,2.657,0.376,0.786
59,35,407.129,336.843,22.728,403,334,9,5,0.851,9.487,403,336,161.565,5.000,1.634,0.612,0.921
60,35,775.843,338.757,23.556,772,334,7,8,0.793,8.544,773,342,69.444,6.708,1.255,0.797,0.854
61,77,433.864,341.825,51.113,429,336,11,11,0.370,12.530,431,336,118.610,11.000,1.094,0.914,0.770
62,31,482.048,339.403,31.698,478,336,9,8,0.388,9.220,478,339,167.471,7.600,1.304,0.767,0.574
63,35,407.129,342.157,22.728,403,340,9,5,0.851,9.487,403,343,18.435,5.000,1.634,0.612,0.921
64,72,568.875,345.667,40.627,564,341,10,9,0.548,11.662,564,343,149.036,9.000,1.110,0.901,0.862
65,66,804.803,346.379,43.456,800,342,10,9,0.439,11.662,800,343,149.036,9.000,1.097,0.912,0.805
66,43,776.174,346.291,25.556,771,343,9,7,0.827,10.296,771,345,150.945,6.548,1.680,0.595,0.860
67,113,772.075,352.544,48.627,762,348,20,9,0.601,21.932,762,348,155.772,8.434,2.721,0.367,0.853
68,92,781.380,359.326,61.698,767,352,26,11,0.304,27.857,767,362,21.038,7.946,4.462,0.224,0.595
