Area,X,Y,Perim.,BX,BY,Width,Height
56,1275.661,20.161,0,1272,17,9,8
91,920.791,45.615,0,916,39,10,14
18,82.278,42.889,0,80,41,5,5
49,1363.531,59.367,0,1360,56,8,8
59,827.627,70.898,0,825,65,6,13
142,612.148,84.796,0,605,80,16,12
67,832.746,83.940,0,827,81,12,7
85,1338.553,91.588,0,1333,88,12,9
49,979.510,97.347,0,977,91,6,12
32,1331.906,99.594,0,1329,96,7,8
83,957.265,127.735,0,953,123,10,11
93,629.280,131.097,0,622,128,16,7
173,1338.688,158.295,0,1331,151,16,15
31,20.387,155.290,0,18,152,6,8
79,1358.835,169.139,0,1355,164,9,11
118,573.839,180.381,0,568,174,13,13
181,1413.702,215.845,0,1407,209,15,15
98,538.296,221.939,0,534,216,9,13
42,435.452,235.167,0,433,231,6,9
62,554.532,268.113,0,550,264,9,9
100,621.860,285.910,0,619,278,7,17
116,612.017,290.336,0,608,281,9,19
62,624.258,303.710,0,620,299,9,10
77,490.987,313.558,0,486,309,11,11
130,678.592,317.300,0,673,309,12,17
72,846.222,322.028,0,844,315,6,16
92,639.174,331.946,0,635,326,9,13
91,768.044,331.154,0,763,326,11,11
213,1006.296,353.038,0,998,346,19,15
204,742.711,358.583,0,737,349,15,22
117,766.205,369.137,0,759,362,13,15
63,750.063,367.937,0,746,364,9,9
73,383.808,371.630,0,380,367,9,10
56,759.643,375.893,0,755,372,10,8
55,385.564,387.655,0,382,384,8,8
263,790.620,396.452,0,782,388,19,18
145,1163.834,401.379,0,1157,394,14,15
135,693.326,412.459,0,687,407,17,14
133,414.865,423.060,0,409,417,13,13
115,289.087,422.765,0,282,418,15,11
323,879.950,431.226,0,872,418,17,28
349,895.934,439.645,0,883,424,23,29
125,888.576,435.736,0,883,426,11,21
121,1020.339,470.174,0,1015,464,12,13
458,490.793,480.825,0,478,468,26,26
215,974.260,496.186,0,967,488,15,18
128,10.930,497.953,0,5,492,13,13
125,932.384,507.216,0,926,502,14,12
203,488.005,519.069,0,482,510,13,20
194,1064.139,520.469,0,1057,512,15,18
132,1216.598,519.538,0,1211,513,12,14
227,478.348,526.181,0,469,514,22,22
110,35.236,521.673,0,29,517,13,11
77,1248.636,548.286,0,1244,543,10,11
33,1223.121,551.515,0,1220,549,8,6
114,1102.789,561.465,0,1099,553,8,18
316,1206.658,566.978,0,1196,555,21,24
103,1237.194,562.291,0,1230,558,14,11
222,738.577,572.149,0,732,562,16,21
108,1249.852,575.583,0,1244,569,13,13
148,565.372,579.493,0,559,573,13,14
107,543.682,584.084,0,538,579,12,11
131,224.061,622.023,0,219,615,12,15
149,1203.262,626.356,0,1198,618,12,17
423,1285.080,636.317,0,1274,621,23,28
92,354.576,628.217,0,349,624,12,9
411,1226.433,640.518,0,1218,624,19,34
54,522.796,631.537,0,519,628,8,9
168,639.065,650.238,0,632,643,15,15
91,887.736,649.011,0,883,644,10,12
135,673.837,664.459,0,669,656,11,17
142,489.542,664.676,0,484,658,12,14
144,549.569,667.681,0,544,660,12,16
329,871.009,671.322,0,861,661,21,21
82,626.012,677.293,0,624,669,5,18
93,934.183,686.957,0,929,682,11,11
94,1107.936,712.032,0,1105,701,7,22
101,1100.842,717.663,0,1098,708,7,21
92,864.348,720.837,0,862,713,7,17
73,981.562,724.534,0,977,720,10,10
46,1102.565,735.348,0,1100,730,6,11
192,808.005,749.656,0,802,741,14,18
89,831.809,749.067,0,827,744,11,11
84,866.143,765.929,0,864,757,6,18
112,501.107,767.545,0,496,760,12,15
75,803.080,767.707,0,800,762,7,13
240,816.371,772.000,0,809,763,17,20
248,798.254,786.440,0,788,774,18,22
128,866.633,789.258,0,863,778,7,26
83,819.940,794.771,0,816,789,9,12
62,330.419,796.919,0,327,793,8,9
284,720.665,804.525,0,710,795,21,20
79,1114.000,822.823,0,1112,815,5,17
54,964.407,839.241,0,961,835,8,9
66,209.424,842.803,0,206,838,8,10
64,259.406,875.297,0,255,871,9,9
31,512.548,883.419,0,510,881,6,6
100,884.790,914.390,0,880,909,11,12
25,870.760,923.200,0,869,920,4,8
89,1111.798,927.820,0,1108,921,8,15
95,1039.168,951.526,0,1034,946,12,11
58,1083.000,968.776,0,1078,965,11,8
65,1101.031,981.662,0,1097,976,9,11
44,100.091,980.227,0,97,977,8,8
51,195.235,979.941,0,191,977,9,7
94,1074.032,982.809,0,1067,977,14,12
32,203.375,986.031,0,201,983,6,7
51,1082.490,987.275,0,1079,983,8,9
64,1091.734,996.562,0,1088,992,9,10
131,1077.435,998.069,0,1070,993,16,12
219,733.945,1007.037,0,713,1004,43,7
68,1104.721,1011.779,0,1100,1008,10,9
50,1347.320,1020.140,0,1341,1017,15,7
36,1323.639,1019.889,0,1319,1018,10,5
51,1360.039,1023.235,0,1355,1020,11,8
28,1321.786,1025.643,0,1320,1022,5,8
33,1329.545,1024.636,0,1326,1022,8,6
31,1316.677,1028.097,0,1314,1025,6,7
53,1409.170,1029.509,0,1403,1026,12,7
96,1413.969,1035.177,0,1407,1031,17,10
54,738.722,1034.611,0,734,1032,10,7
36,1322.694,1034.972,0,1319,1032,9,7
85,780.118,1040.353,0,773,1037,15,8
38,1317.632,1040.658,0,1314,1038,9,7
141,800.411,1045.418,0,793,1040,15,13
78,276.487,1048.179,0,272,1042,10,13
203,759.020,1051.212,0,751,1043,16,17
55,291.636,1051.309,0,288,1047,8,9
98,306.224,1051.663,0,299,1048,15,8
98,731.306,1053.531,0,726,1048,11,12
47,1387.638,1051.489,0,1383,1049,11,7
99,853.677,1054.535,0,847,1050,15,9
43,1389.674,1055.093,0,1384,1052,12,7
64,742.516,1057.281,0,737,1054,12,8
83,770.120,1057.892,0,764,1054,13,9
97,774.835,1068.619,0,769,1064,12,11
144,297.021,1074.542,0,289,1068,19,12
