 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,28,896.536,209.607,22.971,893,205,6,9,0.667,9.849,895,214,66.038,5.154,2.228,0.449,0.767
2,38,913.974,214.632,24.971,910,211,8,8,0.766,10.630,910,219,41.186,6.261,1.922,0.520,0.817
3,33,925.197,215.197,21.556,922,211,6,8,0.892,8.602,922,218,54.462,6.000,1.340,0.746,0.857
4,25,883.860,216.100,17.899,881,213,5,6,0.981,7.211,882,219,56.310,5.000,1.268,0.788,0.926
5,102,905.255,221.441,61.841,899,213,12,16,0.335,18.358,901,213,119.358,11.157,1.947,0.514,0.718
6,60,891.333,221.333,36.042,887,215,11,12,0.580,16.279,887,215,132.510,6.841,2.828,0.354,0.779
7,53,921.802,223.953,27.799,918,219,8,10,0.862,11.180,919,229,63.435,7.400,1.690,0.592,0.862
8,27,914.907,223.907,19.314,912,221,6,6,0.910,7.211,913,221,123.690,6.000,1.224,0.817,0.857
9,66,838.848,227.909,28.971,835,223,8,10,0.988,11.180,836,233,63.435,8.000,1.263,0.791,0.936
10,58,881.966,280.741,26.971,878,276,8,9,1.000,10.296,879,285,60.945,8.000,1.233,0.811,0.928
11,35,617.414,305.329,20.728,614,302,7,6,1.000,8.602,614,303,144.462,6.000,1.359,0.736,0.921
12,80,696.975,324.400,36.042,691,319,12,11,0.774,12.806,693,330,38.660,9.899,1.423,0.703,0.808
13,34,707.000,326.794,21.314,703,324,8,5,0.941,8.544,703,326,159.444,5.000,1.564,0.640,0.944
14,82,704.537,334.037,40.284,698,330,14,9,0.635,14.866,698,331,160.346,9.000,1.773,0.564,0.774
15,66,677.500,334.348,36.385,671,331,12,8,0.626,13.038,672,339,32.471,7.861,1.845,0.542,0.776
16,34,676.882,341.853,21.071,674,339,6,6,0.962,8.485,674,345,45.000,6.000,1.119,0.894,0.971
17,117,669.662,357.808,47.698,663,349,14,16,0.646,17.889,664,365,63.435,12.387,1.445,0.692,0.777
18,95,683.005,356.763,47.113,678,349,11,14,0.538,14.318,682,349,102.095,11.000,1.350,0.741,0.779
19,80,672.700,367.087,38.042,666,362,13,10,0.695,14.765,666,371,28.301,10.000,1.530,0.654,0.796
20,55,684.973,367.991,29.799,680,363,9,10,0.778,11.402,680,370,37.875,8.485,1.345,0.743,0.846
21,45,528.078,374.322,24.971,524,370,7,9,0.907,9.220,527,370,102.529,7.000,1.297,0.771,0.882
22,48,547.812,378.250,25.799,543,374,9,8,0.906,10.000,544,381,36.870,7.428,1.411,0.709,0.857
23,57,794.395,395.500,26.728,790,392,9,7,1.000,10.296,790,393,150.945,7.000,1.299,0.770,0.950
24,49,698.643,415.010,31.799,692,410,12,8,0.609,13.601,692,418,36.027,6.466,2.420,0.413,0.772
25,122,899.025,431.615,49.456,893,423,11,19,0.627,19.925,894,423,107.526,9.598,2.398,0.417,0.797
