 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,685.028,173.333,21.314,682,170,6,7,0.996,8.602,683,177,54.462,6.000,1.296,0.771,0.935
2,74,642.770,183.068,30.971,638,178,9,10,0.969,11.662,640,188,59.036,9.000,1.183,0.845,0.931
3,49,801.867,183.112,25.556,799,178,6,10,0.943,10.440,800,188,73.301,6.000,1.628,0.614,0.925
4,38,751.447,184.053,22.971,748,180,7,8,0.905,8.602,750,180,125.538,6.708,1.295,0.772,0.854
5,64,910.250,186.078,28.971,906,182,9,9,0.958,11.402,906,190,37.875,8.485,1.303,0.767,0.928
6,51,733.088,187.559,28.971,729,183,8,10,0.764,12.207,730,183,124.992,7.273,1.995,0.501,0.836
7,40,828.400,190.950,22.971,825,187,7,8,0.953,8.544,827,195,69.444,7.000,1.196,0.836,0.870
8,26,675.846,190.231,17.899,673,188,6,5,1.000,7.211,673,192,33.690,5.000,1.242,0.805,0.945
9,48,701.688,201.583,26.142,698,197,7,9,0.883,10.296,699,206,60.945,7.000,1.279,0.782,0.889
10,29,708.776,201.397,19.314,706,198,6,6,0.977,7.211,707,198,123.690,6.000,1.128,0.887,0.906
11,84,703.857,210.476,36.870,698,205,12,11,0.777,13.416,698,214,26.565,9.839,1.565,0.639,0.828
12,33,601.591,229.561,20.971,598,226,7,7,0.943,8.062,598,232,29.745,6.364,1.234,0.811,0.857
13,139,611.385,234.493,54.770,605,226,14,17,0.582,18.028,606,243,56.310,13.943,1.353,0.739,0.764
14,37,819.500,233.500,22.142,817,229,5,9,0.948,9.487,818,229,108.435,5.000,1.735,0.576,0.925
15,30,866.033,231.700,22.385,862,229,8,6,0.752,8.246,862,230,165.964,6.000,1.475,0.678,0.779
16,27,927.019,233.500,19.314,923,231,7,5,0.910,7.616,923,234,23.199,5.000,1.364,0.733,0.900
17,25,960.420,234.340,18.142,958,231,5,7,0.954,7.616,959,238,66.801,5.000,1.498,0.668,0.862
18,28,576.000,240.500,18.485,573,238,6,5,1.000,7.810,573,238,140.194,5.000,1.266,0.790,0.966
19,35,888.129,246.729,20.728,885,243,6,7,1.000,8.062,886,250,60.255,6.000,1.169,0.856,0.921
20,47,724.947,247.351,23.556,721,244,8,7,1.000,8.944,721,245,153.435,7.000,1.155,0.866,0.931
21,26,598.962,250.615,20.728,597,247,4,8,0.760,8.544,597,247,110.556,4.000,1.948,0.513,0.897
22,44,618.614,252.682,27.799,614,249,9,7,0.715,10.817,614,250,146.310,6.472,1.684,0.594,0.815
23,52,612.942,260.288,33.456,608,255,10,9,0.584,10.817,610,255,123.690,8.043,1.326,0.754,0.770
