 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,89,713.725,108.635,40.870,709,101,10,15,0.670,15.811,711,101,108.435,8.222,2.250,0.444,0.788,cell
2,31,556.210,131.306,19.556,553,128,6,7,1.000,7.616,555,135,66.801,6.000,1.199,0.834,0.886,cell
3,28,605.679,145.714,18.728,603,142,5,7,1.000,7.616,604,149,66.801,5.000,1.451,0.689,0.903,cell
4,36,468.528,164.861,21.314,465,162,7,6,0.996,8.602,465,167,35.538,6.000,1.266,0.790,0.935,cell
5,61,555.320,177.352,27.556,551,173,8,9,1.000,10.296,553,173,119.055,8.000,1.150,0.870,0.946,cell
6,72,771.333,183.486,36.284,767,177,10,13,0.687,14.213,767,189,50.711,8.433,1.879,0.532,0.809,cell
7,40,519.775,186.200,25.213,515,182,9,8,0.791,9.220,515,185,167.471,7.603,1.247,0.802,0.792,cell
8,43,466.221,192.640,24.142,462,189,8,7,0.927,10.000,462,195,36.870,6.641,1.535,0.651,0.905,cell
9,28,698.464,193.143,20.142,696,189,5,8,0.867,8.246,698,189,104.036,5.000,1.753,0.570,0.848,cell
10,50,725.360,207.820,24.971,721,204,9,7,1.000,9.849,721,206,156.038,7.000,1.363,0.734,0.917,cell
11,36,834.639,211.944,24.142,832,208,6,8,0.776,8.544,833,216,69.444,6.000,1.260,0.793,0.857,cell
12,67,874.291,213.604,34.627,870,208,10,11,0.702,13.601,870,219,53.973,8.277,1.654,0.605,0.817,cell
13,39,585.910,211.756,22.728,582,209,8,6,0.949,8.944,582,209,153.435,6.000,1.274,0.785,0.918,cell
14,41,647.085,216.378,22.971,643,213,8,7,0.976,9.434,643,214,147.995,7.000,1.378,0.726,0.882,cell
15,66,778.106,221.500,45.355,771,216,13,12,0.403,14.422,775,228,56.310,10.786,1.378,0.726,0.603,cell
16,50,815.160,225.160,26.385,811,221,9,8,0.903,9.487,811,223,161.565,8.000,1.142,0.876,0.862,cell
17,38,628.368,236.447,22.971,625,232,7,8,0.905,8.944,627,232,116.565,7.000,1.182,0.846,0.854,cell
18,62,553.839,239.726,28.385,550,235,8,10,0.967,10.440,553,245,73.301,8.000,1.179,0.848,0.912,cell
19,142,575.331,244.577,64.184,566,236,17,15,0.433,18.439,569,238,139.399,14.142,1.338,0.748,0.747,cell
20,52,494.000,254.000,24.971,490,250,8,8,1.000,8.944,492,250,116.565,8.000,1.000,1.000,0.929,cell
21,39,619.372,256.551,21.556,616,253,7,7,1.000,8.602,616,259,35.538,7.000,1.182,0.846,0.907,cell
22,57,685.956,256.605,26.971,681,253,10,7,0.985,10.770,681,255,158.199,7.000,1.400,0.714,0.919,cell
23,36,799.694,283.306,23.556,797,279,6,9,0.815,9.849,798,288,66.038,5.814,1.918,0.521,0.828,cell
24,41,494.768,290.646,22.728,491,287,7,7,0.997,8.602,491,293,35.538,7.000,1.149,0.871,0.921,cell
25,43,770.035,291.430,22.971,766,288,8,7,1.000,8.544,766,290,159.444,7.000,1.153,0.867,0.905,cell
26,30,801.567,293.867,18.971,798,291,7,6,1.000,7.616,798,295,23.199,6.000,1.238,0.808,0.870,cell
27,36,793.639,301.889,20.728,790,299,7,6,1.000,8.062,790,300,150.255,6.000,1.186,0.843,0.935,cell
28,32,890.156,302.656,20.142,887,300,7,6,0.991,8.062,887,305,29.745,6.000,1.346,0.743,0.901,cell
29,42,952.405,315.238,25.799,949,311,8,8,0.793,9.434,949,312,147.995,7.071,1.377,0.726,0.848,cell
30,42,323.071,330.833,23.799,319,327,8,8,0.932,8.944,321,327,116.565,7.519,1.149,0.871,0.840,cell
31,52,489.173,332.096,26.728,486,328,7,9,0.915,10.817,486,337,56.310,7.000,1.385,0.722,0.929,cell
32,143,574.395,335.927,65.255,566,329,17,16,0.422,20.809,566,341,35.218,12.728,1.763,0.567,0.739,cell
33,27,609.315,334.093,18.142,606,331,6,6,1.000,6.708,606,333,153.435,6.000,1.046,0.956,0.885,cell
34,30,750.800,335.233,19.556,747,332,7,6,0.986,7.280,747,335,164.055,6.000,1.127,0.887,0.870,cell
35,44,816.295,340.023,23.556,813,336,7,8,0.996,8.944,814,336,116.565,7.000,1.127,0.888,0.898,cell
36,34,854.000,340.206,20.142,851,337,6,7,1.000,7.616,852,337,113.199,6.000,1.127,0.887,0.919,cell
37,56,639.518,342.393,26.971,634,339,10,7,0.967,10.770,634,341,158.199,7.000,1.400,0.715,0.918,cell
38,52,612.154,354.423,28.627,607,350,10,9,0.797,11.402,608,350,127.875,7.071,1.630,0.614,0.832,cell
39,52,480.038,355.115,24.971,476,351,8,8,1.000,9.434,476,353,147.995,8.000,1.076,0.929,0.920,cell
40,39,385.372,361.090,23.556,382,357,7,8,0.883,9.220,382,364,49.399,7.000,1.331,0.751,0.857,cell
41,79,409.196,363.905,42.184,402,359,14,10,0.558,14.560,402,366,15.945,10.000,1.440,0.695,0.771,cell
42,100,472.220,367.180,43.698,464,361,14,12,0.658,14.560,464,368,15.945,11.926,1.113,0.898,0.800,cell
43,55,314.427,367.009,26.971,310,363,9,8,0.950,10.817,310,370,33.690,7.778,1.400,0.714,0.909,cell
44,26,772.731,366.192,17.556,770,363,6,6,1.000,6.708,770,364,153.435,6.000,1.087,0.920,0.867,cell
45,36,582.639,368.111,20.728,579,365,7,6,1.000,8.062,579,370,29.745,6.000,1.186,0.843,0.935,cell
