 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,712.646,104.720,22.142,709,101,7,7,1.000,8.602,709,107,35.538,7.000,1.078,0.927,0.921
2,113,578.084,116.580,52.184,572,109,15,16,0.521,21.260,573,109,131.186,10.581,2.363,0.423,0.731
3,44,714.795,112.295,23.556,711,109,8,7,0.996,9.434,711,109,147.995,7.000,1.244,0.804,0.907
4,31,588.210,129.177,22.142,585,125,6,8,0.795,8.544,586,133,69.444,6.000,1.287,0.777,0.805
5,31,556.210,131.306,19.556,553,128,6,7,1.000,7.616,555,135,66.801,6.000,1.199,0.834,0.886
6,75,589.327,141.313,49.456,585,133,7,19,0.385,19.647,587,152,75.256,7.000,3.294,0.304,0.718
7,28,605.679,145.714,18.728,603,142,5,7,1.000,7.616,604,149,66.801,5.000,1.451,0.689,0.903
8,66,706.697,158.015,40.870,702,151,10,13,0.497,13.601,704,164,72.897,8.538,1.851,0.540,0.733
9,78,695.103,163.167,36.870,688,158,13,10,0.721,14.765,688,159,151.699,8.731,1.895,0.528,0.825
10,36,468.528,164.861,21.314,465,162,7,6,0.996,8.602,465,167,35.538,6.000,1.266,0.790,0.935
11,83,691.982,170.090,44.527,685,163,15,13,0.526,17.000,685,164,151.928,10.286,1.803,0.554,0.680
12,104,588.067,172.327,63.012,578,167,20,11,0.329,20.616,578,168,157.166,10.584,2.658,0.376,0.596
13,61,555.320,177.352,27.556,551,173,8,9,1.000,10.296,553,173,119.055,8.000,1.150,0.870,0.946
14,72,771.333,183.486,36.284,767,177,10,13,0.687,14.213,767,189,50.711,8.433,1.879,0.532,0.809
15,40,519.775,186.200,25.213,515,182,9,8,0.791,9.220,515,185,167.471,7.603,1.247,0.802,0.792
16,43,466.221,192.640,24.142,462,189,8,7,0.927,10.000,462,195,36.870,6.641,1.535,0.651,0.905
17,28,698.464,193.143,20.142,696,189,5,8,0.867,8.246,698,189,104.036,5.000,1.753,0.570,0.848
18,50,725.360,207.820,24.971,721,204,9,7,1.000,9.849,721,206,156.038,7.000,1.363,0.734,0.917
19,36,834.639,211.944,24.142,832,208,6,8,0.776,8.544,833,216,69.444,6.000,1.260,0.793,0.857
20,67,874.291,213.604,34.627,870,208,10,11,0.702,13.601,870,219,53.973,8.277,1.654,0.605,0.817
21,39,585.910,211.756,22.728,582,209,8,6,0.949,8.944,582,209,153.435,6.000,1.274,0.785,0.918
22,41,647.085,216.378,22.971,643,213,8,7,0.976,9.434,643,214,147.995,7.000,1.378,0.726,0.882
23,66,778.106,221.500,45.355,771,216,13,12,0.403,14.422,775,228,56.310,10.786,1.378,0.726,0.603
24,42,554.738,223.976,31.799,550,219,8,10,0.522,10.440,553,219,106.699,7.761,1.375,0.727,0.694
25,105,576.090,225.605,43.213,570,219,13,12,0.707,15.264,570,221,148.392,12.000,1.191,0.839,0.824
26,120,563.950,227.658,49.941,557,221,13,14,0.605,15.232,560,221,113.199,12.775,1.097,0.911,0.819
27,50,815.160,225.160,26.385,811,221,9,8,0.903,9.487,811,223,161.565,8.000,1.142,0.876,0.862
28,38,628.368,236.447,22.971,625,232,7,8,0.905,8.944,627,232,116.565,7.000,1.182,0.846,0.854
29,62,553.839,239.726,28.385,550,235,8,10,0.967,10.440,553,245,73.301,8.000,1.179,0.848,0.912
30,142,575.331,244.577,64.184,566,236,17,15,0.433,18.439,569,238,139.399,14.142,1.338,0.748,0.747
31,66,917.939,246.652,46.870,914,239,8,16,0.378,16.279,915,239,100.620,8.000,1.981,0.505,0.663
32,28,925.107,250.607,22.142,921,248,8,6,0.718,10.000,921,254,36.870,5.657,1.907,0.524,0.812
33,52,494.000,254.000,24.971,490,250,8,8,1.000,8.944,492,250,116.565,8.000,1.000,1.000,0.929
34,39,619.372,256.551,21.556,616,253,7,7,1.000,8.602,616,259,35.538,7.000,1.182,0.846,0.907
35,57,685.956,256.605,26.971,681,253,10,7,0.985,10.770,681,255,158.199,7.000,1.400,0.714,0.919
36,55,522.845,269.300,26.385,519,265,8,9,0.993,9.849,520,265,113.962,8.000,1.124,0.890,0.902
37,46,910.543,273.065,35.314,909,265,4,16,0.464,16.279,909,265,100.620,4.000,4.818,0.208,0.844
38,75,501.327,278.620,51.899,489,277,24,4,0.350,24.187,489,277,172.875,4.000,7.413,0.135,0.877
39,36,799.694,283.306,23.556,797,279,6,9,0.815,9.849,798,288,66.038,5.814,1.918,0.521,0.828
