Area,X,Y,Perim.,BX,BY,Width,Height
88,642.932,97.136,0,638,93,11,10
201,713.910,122.607,0,707,113,15,22
41,648.756,116.805,0,645,114,8,7
73,721.260,124.986,0,717,118,9,16
176,504.841,127.949,0,498,119,13,21
85,658.847,151.000,0,655,146,9,11
92,648.500,156.120,0,644,151,11,11
68,675.456,154.706,0,671,151,10,9
96,636.031,164.573,0,630,160,12,11
93,514.602,170.323,0,510,165,10,12
123,652.463,178.024,0,643,173,18,11
107,619.598,182.178,0,612,177,14,13
40,712.375,184.650,0,709,181,7,8
112,612.866,188.241,0,608,182,10,15
92,699.054,190.239,0,695,185,9,12
166,676.675,194.271,0,671,186,13,18
62,646.935,191.242,0,643,187,9,9
249,406.940,199.908,0,398,190,17,22
112,509.741,196.089,0,504,190,12,14
100,620.540,195.750,0,615,190,11,12
140,393.907,206.393,0,388,198,14,19
72,560.208,204.778,0,556,200,9,11
82,814.134,205.256,0,810,200,10,12
85,821.494,206.412,0,817,201,10,11
115,399.252,212.435,0,391,206,16,14
96,498.396,213.896,0,494,208,10,13
81,685.778,215.926,0,681,212,11,10
105,638.800,223.305,0,634,218,11,12
130,500.215,225.415,0,494,219,13,15
82,554.488,223.427,0,550,219,10,10
44,487.114,222.886,0,483,220,9,7
85,545.682,225.212,0,542,220,9,12
91,434.286,229.681,0,430,224,10,12
81,840.889,228.086,0,836,224,11,10
145,489.579,232.959,0,483,225,14,17
272,511.349,235.702,0,500,228,24,17
93,833.097,233.871,0,827,230,14,9
59,545.864,236.424,0,542,232,9,9
137,690.620,243.131,0,684,237,14,13
75,835.880,240.947,0,829,237,13,9
86,895.453,241.453,0,890,237,12,10
60,491.817,245.900,0,488,242,8,10
163,526.804,254.049,0,521,246,13,17
38,489.368,253.289,0,486,250,7,8
85,817.765,255.000,0,814,250,9,11
54,599.204,255.722,0,595,252,9,9
34,536.382,256.765,0,534,254,6,7
117,669.821,259.744,0,664,254,13,12
96,413.719,261.365,0,409,256,10,12
119,479.706,263.866,0,474,258,13,12
169,643.053,265.852,0,636,259,15,14
84,529.417,266.143,0,525,260,9,13
27,535.000,263.778,0,533,261,5,7
87,571.943,265.460,0,566,261,12,9
52,522.865,269.058,0,519,265,9,9
145,540.159,273.110,0,534,266,13,18
103,802.961,272.835,0,798,266,10,14
83,493.277,271.880,0,489,267,10,11
85,516.741,275.588,0,512,270,10,12
82,658.720,277.512,0,654,273,10,11
83,788.687,281.398,0,784,277,12,10
74,501.230,285.635,0,497,281,10,10
76,945.816,284.789,0,941,281,11,9
134,528.239,287.851,0,520,283,19,10
102,857.373,294.020,0,853,287,10,15
46,890.761,293.587,0,887,290,8,8
72,673.708,295.972,0,669,292,10,9
145,367.834,300.869,0,362,293,12,16
99,442.727,297.949,0,437,293,13,11
88,448.250,303.864,0,441,298,15,11
82,798.183,302.439,0,793,298,11,10
34,858.382,301.353,0,855,299,8,6
112,451.268,311.705,0,445,307,13,11
61,797.361,311.246,0,793,307,11,9
52,811.769,310.788,0,808,307,8,9
102,924.725,312.010,0,919,307,12,11
39,406.590,310.897,0,403,308,8,7
68,690.000,313.603,0,687,309,8,11
68,423.353,315.618,0,419,311,9,11
109,407.881,318.541,0,402,313,14,13
132,456.606,321.606,0,451,315,12,14
85,794.506,319.424,0,787,316,15,8
49,547.327,320.735,0,544,317,7,9
77,710.571,323.221,0,706,319,10,10
86,835.093,324.430,0,831,319,9,12
23,638.261,321.957,0,636,320,6,5
364,646.346,330.536,0,636,320,22,24
168,786.601,328.607,0,781,321,17,18
48,603.167,325.938,0,599,323,9,7
84,405.298,330.869,0,401,325,9,13
18,801.444,326.444,0,799,325,6,4
130,536.608,332.869,0,531,327,14,13
71,825.606,331.155,0,821,327,10,10
146,747.267,336.897,0,740,331,17,13
133,762.195,337.767,0,755,331,15,14
169,802.822,342.142,0,793,332,20,20
95,890.979,337.726,0,886,332,11,12
153,704.111,340.784,0,697,334,16,17
88,615.352,340.670,0,611,336,10,11
93,352.817,342.581,0,348,337,10,13
60,932.350,340.083,0,928,337,10,8
75,712.147,342.907,0,703,339,17,12
132,562.167,346.280,0,555,340,15,14
104,646.644,346.779,0,641,341,12,12
51,754.431,344.843,0,750,342,10,7
98,544.714,349.102,0,540,344,11,11
134,826.052,349.619,0,819,344,15,13
248,712.185,353.815,0,704,345,17,19
56,669.250,350.143,0,666,346,7,10
24,749.667,352.875,0,747,351,6,5
74,786.514,357.730,0,782,353,10,10
88,377.932,360.966,0,374,355,9,13
45,972.667,359.044,0,968,357,11,6
90,503.711,362.411,0,498,358,12,10
97,975.289,364.887,0,969,359,12,12
65,717.769,364.585,0,712,361,11,8
105,781.114,369.390,0,776,363,11,14
120,771.242,373.142,0,763,369,18,9
62,864.355,373.129,0,860,369,9,9
201,729.507,378.846,0,722,370,16,18
168,554.940,378.845,0,549,371,13,16
81,377.778,377.691,0,373,373,10,10
51,860.941,378.431,0,856,375,12,7
100,793.240,383.430,0,788,378,12,12
42,861.167,383.333,0,857,381,9,6
74,738.581,387.081,0,734,383,10,9
66,880.773,389.803,0,877,384,9,11
103,801.117,390.437,0,794,386,15,9
117,755.829,392.120,0,749,387,14,13
398,819.799,402.980,0,809,387,19,34
152,922.592,390.349,0,900,388,43,5
98,866.184,393.112,0,853,391,25,5
61,972.902,397.934,0,968,394,11,9
118,799.534,401.297,0,793,395,13,14
94,998.128,401.585,0,993,396,11,13
69,989.652,402.913,0,985,398,10,11
95,582.874,403.842,0,577,399,14,10
58,978.086,402.638,0,973,399,11,8
