 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,58,643.431,97.759,27.556,639,94,9,8,0.960,10.000,640,94,143.130,8.000,1.177,0.849,0.913,cell
2,67,522.336,114.306,30.385,517,109,10,9,0.912,11.662,517,118,30.964,9.000,1.221,0.819,0.893,cell
3,44,574.682,116.636,32.627,570,112,8,9,0.519,9.487,573,121,71.565,8.000,1.151,0.869,0.752,cell
4,30,649.400,118.000,23.213,645,114,8,8,0.700,9.899,645,115,135.000,5.270,2.155,0.464,0.732,cell
5,128,716.336,124.344,66.669,709,117,15,15,0.362,17.692,710,132,42.709,14.757,1.111,0.900,0.701,cell
6,54,659.444,151.463,28.971,656,147,7,9,0.809,10.296,657,156,60.945,7.000,1.330,0.752,0.915,cell
7,30,676.500,155.033,30.042,673,151,7,8,0.418,8.246,676,151,104.036,6.548,1.391,0.719,0.682,cell
8,48,648.792,156.938,30.042,645,152,8,9,0.668,10.000,645,153,143.130,8.000,1.161,0.862,0.814,cell
9,26,855.000,161.885,22.971,851,159,7,7,0.619,8.062,851,160,150.255,5.657,1.492,0.670,0.722,cell
10,26,484.154,167.462,22.971,481,164,6,7,0.619,8.062,482,164,119.745,5.578,1.661,0.602,0.722,cell
11,65,515.269,170.500,29.799,511,165,8,11,0.920,11.705,513,165,109.983,7.891,1.520,0.658,0.897,cell
12,30,712.867,185.000,22.385,710,181,6,8,0.752,8.246,712,181,104.036,6.000,1.543,0.648,0.769,cell
13,48,699.958,190.750,26.385,696,186,7,10,0.866,10.198,699,186,101.310,7.000,1.524,0.656,0.865,cell
14,104,676.894,194.913,52.870,672,187,10,16,0.468,17.464,674,203,66.371,9.487,2.110,0.474,0.816,cell
15,32,561.406,205.250,22.971,558,201,6,9,0.762,9.849,559,201,113.962,5.367,2.194,0.456,0.810,cell
16,114,818.737,206.377,41.698,812,201,14,11,0.824,14.866,812,209,19.654,10.686,1.441,0.694,0.877,cell
17,49,686.031,216.724,26.971,682,213,8,8,0.846,9.434,682,214,147.995,8.000,1.084,0.922,0.883,cell
18,135,550.611,224.648,55.598,542,219,18,12,0.549,18.248,542,226,9.462,11.374,1.954,0.512,0.783,cell
19,37,435.635,228.554,24.971,431,225,8,8,0.746,10.630,432,225,131.186,5.657,2.126,0.470,0.796,cell
20,94,844.596,229.809,51.113,837,225,16,12,0.452,18.358,837,226,150.642,8.769,2.506,0.399,0.696,cell
21,118,519.797,237.483,65.255,511,230,15,18,0.348,20.591,514,230,119.055,12.524,1.564,0.639,0.669,cell
22,42,546.429,236.690,22.728,543,233,7,7,1.000,8.602,543,234,144.462,7.000,1.052,0.950,0.933,cell
23,25,597.740,236.500,22.385,594,233,7,8,0.627,8.944,595,233,116.565,5.200,1.915,0.522,0.694,cell
24,29,691.879,241.086,21.556,688,238,8,6,0.784,9.434,688,239,147.995,4.828,2.202,0.454,0.817,cell
25,48,836.729,241.479,25.314,833,238,8,7,0.941,9.899,833,238,135.000,7.000,1.176,0.851,0.932,cell
26,52,896.654,241.962,29.799,891,238,10,8,0.736,11.180,891,240,153.435,7.778,1.478,0.677,0.832,cell
27,32,818.781,254.688,24.385,815,251,7,8,0.676,9.220,815,252,130.601,6.200,1.688,0.592,0.736,cell
28,30,599.700,256.067,21.556,596,253,7,7,0.811,8.602,597,253,125.538,6.200,1.523,0.657,0.779,cell
29,53,415.387,261.198,29.213,411,256,8,11,0.780,11.705,413,256,109.983,7.353,1.785,0.560,0.791,cell
30,49,671.398,259.704,25.556,667,256,8,8,0.943,9.899,668,256,135.000,8.000,1.184,0.845,0.891,cell
31,28,482.714,263.679,20.728,480,260,5,8,0.819,8.944,480,260,116.565,5.000,2.027,0.493,0.862,cell
32,40,494.375,271.700,27.799,490,268,8,9,0.650,9.487,492,268,108.435,7.400,1.356,0.737,0.755,cell
33,40,803.025,273.950,24.971,799,270,7,8,0.806,8.944,801,278,63.435,7.000,1.234,0.810,0.851,cell
34,50,659.560,277.440,24.971,656,273,7,9,1.000,9.487,658,282,71.565,7.000,1.189,0.841,0.909,cell
35,61,946.566,285.156,28.627,941,281,11,8,0.935,11.180,941,284,169.695,8.000,1.260,0.793,0.878,cell
36,41,674.085,296.622,22.385,670,293,8,7,1.000,8.544,670,295,159.444,7.000,1.148,0.871,0.882,cell
37,31,891.823,295.919,25.213,888,293,7,7,0.613,8.602,889,293,125.538,6.364,1.454,0.688,0.785,cell
38,38,370.895,301.921,26.971,368,297,6,11,0.656,11.705,369,297,109.983,5.590,2.419,0.413,0.760,cell
39,48,798.604,302.667,24.971,794,299,9,7,0.967,9.849,794,301,156.038,7.000,1.333,0.750,0.906,cell
40,35,868.043,306.471,25.556,864,303,7,8,0.673,10.000,864,303,126.870,6.517,1.778,0.563,0.761,cell
41,49,451.153,312.194,29.213,447,308,8,10,0.722,10.770,448,308,111.801,8.000,1.472,0.679,0.803,cell
42,26,812.308,310.885,20.142,809,308,6,7,0.805,8.602,809,308,125.538,4.950,1.880,0.532,0.825,cell
43,51,690.598,313.696,26.385,687,309,7,10,0.921,10.440,689,319,73.301,7.000,1.413,0.708,0.895,cell
44,62,925.403,312.919,28.142,921,309,9,8,0.984,10.817,921,316,33.690,8.000,1.229,0.814,0.939,cell
45,44,457.205,321.182,39.698,453,317,9,9,0.351,10.296,455,317,119.055,8.854,1.193,0.838,0.647,cell
46,182,541.291,328.005,74.912,532,317,19,22,0.408,27.203,533,339,53.973,12.982,2.604,0.384,0.704,cell
47,53,710.877,323.726,26.728,707,320,8,8,0.932,10.000,707,327,36.870,8.000,1.161,0.861,0.914,cell
48,56,835.429,324.875,26.971,832,320,7,10,0.967,10.440,834,330,73.301,7.000,1.364,0.733,0.918,cell
49,49,826.255,331.255,27.799,822,327,8,9,0.797,9.849,824,336,66.038,8.000,1.160,0.862,0.838,cell
50,41,356.085,331.085,26.971,351,328,9,8,0.708,10.296,351,329,150.945,6.786,1.741,0.575,0.788,cell
51,60,616.000,341.000,27.799,612,336,8,10,0.976,10.770,614,346,68.199,8.000,1.249,0.801,0.909,cell
52,60,353.400,342.967,29.213,349,338,8,11,0.883,11.402,351,338,105.255,8.000,1.531,0.653,0.863,cell
53,36,933.472,341.472,30.627,929,338,8,8,0.482,8.944,929,340,153.435,7.603,1.318,0.759,0.713,cell
54,210,712.124,350.533,79.154,704,340,15,23,0.421,24.042,706,340,106.928,14.727,1.662,0.602,0.758,cell
55,40,564.975,347.375,27.799,561,344,8,8,0.650,8.944,562,344,116.565,7.488,1.250,0.800,0.792,cell
56,31,546.403,348.532,22.971,543,345,6,8,0.738,9.434,543,345,122.005,5.814,1.896,0.527,0.795,cell
57,62,828.387,349.097,27.556,824,345,9,8,1.000,10.296,824,352,29.055,8.000,1.134,0.882,0.947,cell
58,37,669.635,349.959,25.213,666,346,7,9,0.731,9.220,668,346,102.529,6.641,1.534,0.652,0.771,cell
59,28,505.321,362.143,23.556,501,359,7,7,0.634,8.602,501,361,144.462,6.364,1.473,0.679,0.747,cell
60,107,977.939,366.416,63.497,970,359,16,17,0.333,17.263,976,359,100.008,12.700,1.198,0.835,0.643,cell
61,68,781.824,370.176,34.042,777,364,9,13,0.737,14.765,777,364,118.301,7.814,2.122,0.471,0.834,cell
62,51,770.402,373.324,25.556,766,370,9,7,0.981,9.849,766,371,156.038,7.000,1.262,0.793,0.919,cell
63,85,730.147,377.465,36.870,725,371,10,13,0.786,13.601,729,384,72.897,9.487,1.548,0.646,0.854,cell
64,89,862.893,378.725,45.113,857,372,11,14,0.550,15.811,859,386,55.305,9.391,1.874,0.534,0.774,cell
65,35,378.929,376.814,24.971,375,373,7,9,0.705,10.296,376,373,119.055,5.657,2.056,0.486,0.778,cell
66,25,557.300,379.860,18.142,554,377,6,6,0.954,7.810,555,377,129.806,4.950,1.652,0.605,0.862,cell
67,33,739.742,386.924,21.556,736,384,7,7,0.892,9.220,736,384,139.399,5.657,1.632,0.613,0.868,cell
68,46,387.935,403.152,34.042,382,399,10,9,0.499,11.662,382,401,149.036,8.713,1.757,0.569,0.652,cell
69,25,444.620,402.340,20.728,440,400,8,5,0.731,8.544,440,402,159.444,5.000,1.899,0.527,0.806,cell
70,35,969.386,417.529,23.213,965,414,8,8,0.816,9.434,965,415,147.995,5.657,1.767,0.566,0.805,cell
71,60,751.117,424.800,42.527,746,418,10,15,0.417,16.553,748,418,115.017,6.708,3.253,0.307,0.690,cell
72,39,409.397,427.526,34.870,405,423,8,10,0.403,10.770,407,423,111.801,7.546,1.661,0.602,0.619,cell
73,67,323.022,430.813,29.556,319,426,8,10,0.964,11.180,320,426,116.565,8.000,1.228,0.815,0.931,cell
74,57,659.658,432.114,27.556,655,428,9,8,0.943,10.630,656,436,48.814,8.000,1.213,0.824,0.912,cell
75,42,940.833,431.881,24.971,937,428,7,8,0.846,9.434,938,436,57.995,7.000,1.218,0.821,0.857,cell
76,27,392.981,438.056,22.142,390,434,5,9,0.692,9.220,392,434,102.529,5.000,2.077,0.481,0.806,cell
77,41,549.329,439.524,24.971,545,436,8,8,0.826,10.000,546,436,126.870,7.071,1.633,0.612,0.796,cell
78,30,519.133,447.933,21.556,515,445,7,7,0.811,9.220,515,446,139.399,6.000,1.631,0.613,0.800,cell
79,42,508.905,450.500,31.213,504,447,9,8,0.542,9.849,504,448,156.038,8.000,1.212,0.825,0.718,cell
80,192,496.396,458.771,66.669,488,451,22,16,0.543,22.847,489,454,156.801,16.000,1.210,0.826,0.759,cell
81,26,355.962,455.808,25.556,351,453,8,7,0.500,8.944,351,455,153.435,5.824,1.787,0.560,0.658,cell
