 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,58,643.431,97.759,27.556,639,94,9,8,0.960,10.000,640,94,143.130,8.000,1.177,0.849,0.913
2,38,524.000,113.368,24.385,520,109,7,9,0.803,10.296,521,109,119.055,6.261,1.947,0.514,0.792
3,44,574.682,116.636,32.627,570,112,8,9,0.519,9.487,573,121,71.565,8.000,1.151,0.869,0.752
4,30,649.400,118.000,23.213,645,114,8,8,0.700,9.899,645,115,135.000,5.270,2.155,0.464,0.732
5,111,716.905,125.059,56.770,710,118,14,14,0.433,17.692,710,132,42.709,12.021,1.250,0.800,0.753
6,49,504.316,123.520,28.728,499,120,10,7,0.746,11.180,499,125,26.565,6.202,1.854,0.539,0.838
7,150,502.333,132.207,55.113,494,126,16,14,0.621,17.692,494,126,132.709,13.852,1.238,0.808,0.824
8,52,659.481,151.481,31.799,656,147,7,9,0.646,10.296,657,156,60.945,7.000,1.336,0.749,0.881
9,48,648.792,156.938,30.042,645,152,8,9,0.668,10.000,645,153,143.130,8.000,1.161,0.862,0.814
10,26,855.000,161.885,22.971,851,159,7,7,0.619,8.062,851,160,150.255,5.657,1.492,0.670,0.722
11,26,484.154,167.462,22.971,481,164,6,7,0.619,8.062,482,164,119.745,5.578,1.661,0.602,0.722
12,65,515.269,170.500,29.799,511,165,8,11,0.920,11.705,513,165,109.983,7.891,1.520,0.658,0.897
13,83,637.392,179.102,44.870,630,172,12,13,0.518,13.928,636,172,111.038,11.767,1.267,0.789,0.722
14,75,621.180,183.380,38.870,615,178,12,12,0.624,14.422,615,179,146.310,8.732,1.679,0.595,0.769
15,57,632.026,185.974,33.213,626,181,12,9,0.649,13.892,626,182,149.744,7.155,2.341,0.427,0.781
16,30,712.867,185.000,22.385,710,181,6,8,0.752,8.246,712,181,104.036,6.000,1.543,0.648,0.769
17,130,617.623,192.708,55.698,611,183,14,18,0.527,22.023,611,184,129.472,10.800,2.478,0.404,0.758
18,57,639.956,192.921,33.799,637,186,6,14,0.627,14.866,637,200,70.346,5.821,2.923,0.342,0.870
19,42,700.119,190.667,32.870,696,186,7,10,0.488,10.198,699,186,101.310,7.000,1.604,0.624,0.757
20,26,678.308,189.308,19.899,674,187,8,4,0.825,8.544,674,191,20.556,4.000,2.141,0.467,0.912
21,113,629.987,194.819,42.042,624,188,12,13,0.803,15.620,624,189,129.806,11.672,1.288,0.776,0.876
22,76,676.303,196.921,34.385,672,192,10,11,0.808,13.601,674,203,53.973,8.944,1.574,0.635,0.864
23,64,400.844,201.281,35.456,393,196,12,10,0.640,13.000,393,203,22.620,9.714,1.237,0.808,0.744
24,32,561.406,205.250,22.971,558,201,6,9,0.762,9.849,559,201,113.962,5.367,2.194,0.456,0.810
25,114,818.737,206.377,41.698,812,201,14,11,0.824,14.866,812,209,19.654,10.686,1.441,0.694,0.877
