 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,64,656.766,90.891,31.799,652,86,9,11,0.795,13.601,653,86,126.027,7.778,1.886,0.530,0.877
2,44,664.886,92.795,24.142,662,88,6,9,0.949,9.487,664,88,108.435,6.000,1.481,0.675,0.917
3,122,656.590,101.303,51.355,650,94,15,14,0.581,16.553,650,98,154.983,13.507,1.291,0.775,0.762
4,50,557.900,103.980,33.213,554,98,7,13,0.570,13.153,558,98,98.746,7.000,2.210,0.453,0.746
5,27,607.537,103.463,19.314,605,100,5,7,0.910,8.062,605,100,119.745,5.000,1.667,0.600,0.885
6,30,658.200,109.433,26.385,653,106,10,6,0.542,11.662,653,112,30.964,5.121,2.999,0.333,0.723
7,91,764.159,122.247,51.456,760,110,8,21,0.432,21.378,763,110,100.784,8.000,3.238,0.309,0.740
8,99,558.035,124.015,57.314,555,111,6,25,0.379,25.495,556,111,101.310,6.000,5.469,0.183,0.798
9,71,723.754,116.951,32.971,719,111,9,11,0.821,13.454,719,121,48.013,8.825,1.596,0.627,0.893
10,44,504.909,122.432,24.385,501,119,8,8,0.930,8.944,501,120,153.435,7.488,1.162,0.860,0.871
11,60,568.867,126.250,34.627,564,122,11,11,0.629,11.662,568,133,59.036,9.858,1.107,0.903,0.723
12,41,692.085,127.037,26.971,688,123,7,9,0.708,9.849,689,123,113.962,7.000,1.584,0.631,0.766
13,93,499.328,132.081,45.698,492,125,12,15,0.560,16.155,495,125,111.801,11.200,1.652,0.605,0.718
14,63,507.643,133.595,32.971,504,127,7,13,0.728,13.928,506,140,68.962,6.364,2.352,0.425,0.869
15,41,636.939,134.061,22.728,634,130,6,8,0.997,8.944,635,130,116.565,6.000,1.317,0.760,0.932
16,52,763.904,139.000,37.314,762,131,4,17,0.469,17.117,763,131,96.710,4.000,4.190,0.239,0.874
17,27,493.389,135.389,18.971,490,132,7,6,0.943,7.616,490,134,156.801,5.657,1.293,0.773,0.844
18,72,494.792,143.514,41.698,489,139,14,9,0.520,14.765,490,140,151.699,9.000,1.541,0.649,0.727
19,47,569.415,146.266,29.799,563,143,11,8,0.665,12.083,563,144,155.556,7.091,1.939,0.516,0.746
20,32,638.094,155.375,23.556,634,152,7,7,0.725,9.220,634,152,130.601,6.325,1.537,0.651,0.790
21,32,527.312,156.219,26.142,523,153,7,8,0.588,9.434,523,153,122.005,6.517,1.547,0.647,0.753
22,39,603.141,157.936,25.556,600,154,6,8,0.750,9.434,600,154,122.005,6.000,1.483,0.674,0.848
23,47,748.883,161.840,28.385,744,158,10,8,0.733,11.180,744,158,153.435,7.889,1.623,0.616,0.777
24,99,440.197,167.237,52.527,433,161,15,12,0.451,17.205,434,173,35.538,11.424,1.706,0.586,0.702
25,66,497.924,170.864,42.870,491,167,13,9,0.451,13.928,491,169,158.962,8.825,1.581,0.633,0.688
26,52,743.558,172.077,27.799,739,167,8,10,0.846,10.440,742,167,106.699,8.000,1.430,0.699,0.832
27,44,655.932,173.523,26.385,651,170,9,8,0.794,11.402,651,170,142.125,6.364,1.937,0.516,0.822
28,41,417.110,179.159,29.213,413,175,9,10,0.604,12.207,414,185,55.008,6.102,2.243,0.446,0.732
29,43,456.267,178.267,26.971,451,175,9,7,0.743,9.849,451,177,156.038,7.000,1.400,0.714,0.811
30,52,428.481,179.577,29.799,422,176,11,8,0.736,11.705,422,179,160.017,7.353,1.659,0.603,0.794
31,50,423.300,185.040,32.627,419,180,10,9,0.590,11.180,419,189,26.565,9.000,1.201,0.832,0.763
32,87,754.109,185.948,42.284,748,180,11,13,0.611,13.928,754,193,68.962,10.590,1.284,0.779,0.795
33,36,472.389,183.833,25.556,467,181,9,7,0.693,10.296,467,182,150.945,6.091,1.898,0.527,0.791
34,107,436.042,191.864,51.698,429,183,12,16,0.503,18.868,430,199,57.995,10.966,1.986,0.504,0.730
35,42,560.405,190.095,35.071,559,183,3,16,0.429,16.279,559,199,79.380,3.000,4.972,0.201,0.955
36,28,429.679,188.929,19.556,426,186,7,6,0.920,7.280,426,190,15.945,5.814,1.227,0.815,0.836
37,37,792.581,190.797,29.799,787,188,10,6,0.524,10.198,787,190,168.690,6.000,1.570,0.637,0.755
38,48,699.312,194.708,24.385,696,190,7,9,1.000,9.487,698,190,108.435,7.000,1.239,0.807,0.906
39,28,858.321,192.857,18.728,855,190,6,6,1.000,7.211,856,190,123.690,6.000,1.191,0.840,0.889
40,28,484.714,194.929,23.799,480,192,8,7,0.621,8.944,480,194,153.435,5.659,1.787,0.560,0.709
41,38,799.026,197.211,22.728,796,193,6,8,0.924,8.944,797,193,116.565,6.000,1.427,0.701,0.894
42,44,781.773,199.318,26.385,778,195,7,9,0.794,9.849,779,195,113.962,6.740,1.535,0.651,0.830
43,59,888.008,200.008,28.385,883,196,10,8,0.920,10.770,883,198,158.199,8.000,1.311,0.763,0.894
44,45,863.611,206.744,23.899,860,203,7,7,0.990,9.220,860,210,40.601,7.000,1.083,0.924,0.968
45,59,464.008,208.263,33.456,459,204,10,9,0.662,10.440,459,206,163.301,9.000,1.195,0.837,0.808
46,29,617.638,207.707,20.728,615,204,5,8,0.848,8.544,615,204,110.556,5.000,1.749,0.572,0.853
47,57,855.237,208.956,30.627,851,204,8,10,0.764,10.770,853,204,111.801,8.000,1.285,0.778,0.851
48,63,786.421,215.516,27.799,782,211,9,9,1.000,10.296,782,218,29.055,9.000,1.110,0.901,0.913
49,102,863.794,216.598,45.698,858,211,13,15,0.614,17.205,861,226,54.462,11.907,1.354,0.738,0.756
50,25,907.940,228.420,17.314,905,226,6,5,1.000,6.708,905,227,153.435,5.000,1.230,0.813,0.909
51,35,742.757,231.186,23.213,738,228,9,7,0.816,9.220,738,230,167.471,6.000,1.627,0.615,0.795
52,52,459.981,232.962,34.870,454,229,11,10,0.537,12.083,454,230,155.556,8.719,1.571,0.636,0.671
53,89,896.893,234.556,35.456,891,229,12,11,0.890,13.038,892,239,32.471,9.775,1.389,0.720,0.873
54,106,473.868,238.821,50.527,465,233,19,12,0.522,20.248,465,236,159.775,8.913,2.498,0.400,0.777
55,65,495.854,237.946,30.042,491,233,9,10,0.905,11.662,493,233,120.964,8.485,1.395,0.717,0.890
56,52,428.192,237.808,28.385,423,234,9,9,0.811,11.402,424,234,127.875,7.426,1.709,0.585,0.832
57,32,703.688,237.125,20.728,700,234,7,6,0.936,8.602,700,239,35.538,5.814,1.539,0.650,0.901
58,40,367.725,239.750,27.556,363,236,8,9,0.662,10.296,364,236,119.055,6.934,1.746,0.573,0.727
59,49,393.929,239.622,24.971,390,236,8,8,0.988,9.220,391,236,130.601,7.778,1.123,0.891,0.907
60,56,488.554,242.089,29.456,484,237,9,10,0.811,11.180,486,237,116.565,7.985,1.558,0.642,0.824
61,89,709.590,244.006,46.284,703,238,15,11,0.522,15.524,703,241,165.069,9.216,1.860,0.538,0.730
62,72,886.597,242.014,30.385,881,238,11,8,0.980,11.705,881,240,160.017,8.000,1.389,0.720,0.923
63,70,470.157,244.543,41.456,461,240,17,9,0.512,18.788,461,240,154.799,6.008,3.940,0.254,0.809
64,41,749.695,243.573,25.556,745,240,8,8,0.789,10.000,746,240,126.870,6.860,1.550,0.645,0.828
65,50,480.620,255.380,30.627,475,252,10,8,0.670,10.770,475,254,158.199,7.889,1.508,0.663,0.800
66,30,738.800,257.467,20.971,736,254,6,7,0.857,8.062,736,254,119.745,6.000,1.311,0.763,0.822
67,33,663.742,259.167,22.385,659,256,8,7,0.828,8.944,659,258,153.435,5.935,1.651,0.606,0.805
68,49,819.622,260.276,24.971,815,257,9,7,0.988,9.849,815,258,156.038,7.000,1.293,0.774,0.916
69,72,474.097,262.681,33.213,468,258,11,10,0.820,13.038,468,260,147.529,8.835,1.587,0.630,0.842
70,142,443.655,271.824,55.698,433,267,21,11,0.575,22.472,433,275,20.854,11.000,2.169,0.461,0.823
71,60,465.583,271.700,29.213,460,267,10,9,0.883,10.440,460,273,16.699,9.000,1.148,0.871,0.857
72,38,577.421,270.684,24.385,574,267,7,8,0.803,8.944,575,275,63.435,7.000,1.346,0.743,0.826
73,36,628.111,277.333,24.385,625,273,6,9,0.761,9.220,626,273,102.529,6.000,1.616,0.619,0.800
74,105,433.995,285.719,53.941,429,277,9,20,0.453,20.616,433,297,75.964,9.000,2.197,0.455,0.742
75,27,683.241,281.241,20.142,679,279,8,5,0.836,8.544,679,280,159.444,5.000,1.897,0.527,0.818
76,32,399.281,284.188,22.142,397,280,6,8,0.820,8.544,397,288,69.444,6.000,1.447,0.691,0.842
77,30,405.800,286.033,24.142,402,282,6,9,0.647,10.296,402,282,119.055,5.267,2.381,0.420,0.759
78,71,903.218,289.782,30.627,898,285,11,9,0.951,11.402,898,292,15.255,8.944,1.270,0.788,0.893
79,65,722.931,295.454,33.456,718,290,9,12,0.730,13.892,720,290,120.256,8.050,1.940,0.516,0.818
80,29,730.741,303.293,19.899,728,300,5,7,0.920,8.602,728,300,125.538,5.000,1.663,0.601,0.921
81,43,916.686,309.849,27.799,913,305,9,9,0.699,9.487,913,308,161.565,7.340,1.312,0.762,0.789
