Area,X,Y,Perim.,BX,BY,Width,Height
34,771.618,12.029,0,769,9,6,7
71,690.437,88.282,0,688,82,6,15
124,748.000,123.702,0,740,119,17,10
57,683.368,132.298,0,680,128,8,10
128,712.773,132.352,0,704,128,17,10
65,739.954,156.446,0,737,152,7,10
91,664.462,169.341,0,659,164,12,11
94,1400.617,215.287,0,1396,210,11,11
1150,769.338,226.835,0,738,212,56,30
305,959.285,225.154,0,947,216,29,16
146,1416.185,239.712,0,1410,233,13,14
296,1041.997,260.990,0,1032,251,24,19
224,1045.022,279.040,0,1032,274,28,11
70,379.257,291.429,0,375,287,9,10
175,783.943,292.634,0,775,288,20,10
294,695.915,294.976,0,681,290,32,11
89,1063.517,298.157,0,1059,293,10,11
123,341.862,304.163,0,337,298,12,13
354,851.610,326.155,0,842,308,25,35
230,860.796,323.196,0,853,311,16,25
110,709.555,332.982,0,705,327,10,13
167,368.371,334.168,0,361,328,16,13
124,976.935,338.524,0,971,333,13,12
244,1003.447,353.016,0,995,344,17,19
169,797.325,360.970,0,791,354,14,16
81,782.901,365.568,0,776,363,15,7
37,1104.676,376.595,0,1102,374,7,7
128,523.273,406.867,0,518,401,12,13
314,877.465,433.041,0,870,420,17,28
257,895.665,432.735,0,886,420,18,26
108,570.889,453.370,0,566,447,11,15
144,581.597,462.160,0,576,455,12,16
314,826.258,490.134,0,817,480,21,20
253,971.660,496.542,0,964,486,16,21
211,1075.896,501.796,0,1069,494,15,17
201,1222.900,502.786,0,1215,495,17,17
139,851.468,502.417,0,845,496,14,14
242,541.202,510.483,0,527,504,29,14
98,476.541,513.959,0,470,509,13,10
229,491.127,517.795,0,483,509,22,17
116,1231.060,512.767,0,1220,510,23,7
39,538.897,515.897,0,535,513,9,6
106,919.274,518.925,0,910,516,20,7
106,470.434,521.000,0,459,518,22,7
87,557.609,521.000,0,550,518,17,7
57,539.263,521.105,0,533,519,14,5
108,1140.204,527.787,0,1134,523,13,11
208,484.115,529.144,0,471,524,26,11
154,512.357,526.617,0,496,524,32,7
111,541.721,526.847,0,533,524,20,7
285,540.284,536.849,0,528,529,26,17
145,1196.738,535.469,0,1191,529,13,14
135,1223.585,541.963,0,1218,535,12,15
46,610.761,556.978,0,607,554,8,7
352,1201.688,564.665,0,1190,554,23,23
166,1231.434,561.386,0,1224,555,15,15
123,1227.236,571.276,0,1221,565,14,13
99,563.465,579.303,0,560,572,8,15
130,544.708,583.692,0,539,577,12,14
118,1216.220,587.695,0,1210,581,12,15
96,1107.521,592.521,0,1102,588,12,10
47,564.021,595.617,0,562,590,5,12
247,514.312,603.340,0,505,595,19,17
127,552.606,620.575,0,548,614,12,15
66,1034.576,619.000,0,1031,614,8,11
28,440.107,621.750,0,437,619,7,6
159,931.717,632.296,0,926,624,12,17
62,210.339,630.435,0,207,625,8,11
143,920.951,632.510,0,914,626,13,14
113,1221.628,645.717,0,1216,640,12,13
117,639.923,648.906,0,635,643,11,13
182,490.830,662.714,0,484,656,15,16
222,449.135,667.423,0,443,657,14,21
58,662.948,663.466,0,658,660,11,7
250,869.880,669.640,0,861,661,18,18
89,255.416,667.461,0,249,664,14,8
183,815.645,686.399,0,809,679,15,16
40,461.925,682.050,0,458,680,9,5
52,773.288,684.481,0,770,681,8,8
126,744.087,691.746,0,738,685,12,15
95,363.221,694.789,0,358,689,11,13
96,1082.062,693.677,0,1077,689,11,11
315,834.041,712.149,0,827,700,16,25
215,474.447,719.884,0,467,712,16,16
201,1212.109,754.313,0,1203,746,18,18
44,870.727,769.432,0,868,765,7,9
226,955.712,779.553,0,946,771,22,17
852,1019.073,786.687,0,1001,771,35,33
234,791.897,786.697,0,784,779,17,18
215,809.172,785.070,0,800,779,22,14
69,602.420,786.261,0,598,782,10,9
140,1228.007,792.957,0,1222,782,12,22
198,496.414,796.475,0,488,789,18,16
293,720.242,802.068,0,709,792,21,20
84,805.119,809.226,0,802,802,8,15
103,1116.175,839.592,0,1109,835,14,10
102,691.725,841.245,0,687,836,10,12
123,808.081,843.016,0,802,837,13,13
78,1093.295,844.846,0,1088,840,11,11
98,1062.898,847.745,0,1058,843,11,11
97,1099.134,848.990,0,1093,843,13,13
159,1108.969,851.132,0,1100,844,16,17
100,1085.950,853.660,0,1082,845,10,17
75,218.360,851.880,0,214,848,10,9
89,778.528,888.719,0,773,885,13,9
77,764.805,889.234,0,758,886,15,8
135,1108.607,917.252,0,1105,907,9,21
91,1118.143,916.879,0,1114,910,10,14
61,1112.377,929.590,0,1107,926,11,8
95,1100.695,938.789,0,1096,932,12,16
232,676.129,952.914,0,668,945,17,17
103,1096.689,954.330,0,1088,948,18,14
197,957.538,978.127,0,949,970,17,18
72,211.958,995.944,0,208,992,9,9
114,744.070,1006.596,0,733,1004,23,6
65,285.169,1026.585,0,281,1023,10,8
