 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,30,693.000,224.933,27.556,688,222,10,7,0.496,10.770,688,224,158.199,6.261,1.983,0.504,0.638,cell
2,31,947.661,233.790,28.728,941,232,13,4,0.472,13.153,941,235,8.746,3.534,4.663,0.214,0.756,cell
3,57,899.360,242.254,45.314,888,240,21,4,0.349,21.095,888,243,5.440,4.000,6.101,0.164,0.820,cell
4,42,872.643,243.571,32.485,865,242,15,3,0.500,15.133,865,243,172.405,3.000,4.842,0.207,0.966,cell
5,32,765.062,248.125,26.728,759,246,12,4,0.563,12.166,759,249,9.462,4.000,3.293,0.304,0.810,cell
6,42,733.905,249.095,38.728,726,247,18,4,0.352,18.111,726,250,6.340,4.000,6.277,0.159,0.743,cell
7,38,712.316,249.500,30.485,705,248,14,3,0.514,14.142,705,250,8.130,3.000,4.420,0.226,0.950,cell
8,34,1235.353,273.647,22.728,1232,270,6,8,0.827,10.000,1232,270,126.870,6.000,1.562,0.640,0.861,cell
9,36,745.722,286.778,33.899,738,285,16,3,0.394,16.125,738,288,7.125,3.000,5.606,0.178,0.857,cell
10,27,1012.093,290.352,33.314,1004,288,15,4,0.306,15.133,1004,291,7.595,3.313,6.865,0.146,0.635,cell
11,38,949.632,294.079,31.556,943,292,14,4,0.480,14.142,943,293,171.870,4.000,4.311,0.232,0.776,cell
12,59,912.331,295.805,49.556,901,294,23,4,0.302,23.087,901,297,4.970,3.912,7.291,0.137,0.792,cell
13,53,861.311,298.236,46.728,851,296,22,4,0.305,22.091,851,299,5.194,4.000,6.809,0.147,0.768,cell
14,81,731.389,302.784,52.142,720,301,24,4,0.374,24.187,720,304,7.125,4.000,6.327,0.158,0.890,cell
15,67,631.799,303.784,48.728,620,302,23,4,0.355,23.022,620,303,177.510,4.000,5.968,0.168,0.854,cell
16,29,792.983,313.259,31.657,792,306,2,15,0.364,15.133,792,321,82.405,2.000,7.289,0.137,0.983,cell
17,29,560.052,336.052,23.314,558,331,4,10,0.670,10.198,559,331,101.310,4.000,2.641,0.379,0.841,cell
18,27,710.426,334.611,19.314,708,331,5,7,0.910,8.062,709,331,119.745,5.000,1.472,0.679,0.885,cell
19,39,1000.295,334.654,28.042,997,331,7,9,0.623,10.000,998,340,53.130,7.000,1.424,0.702,0.757,cell
20,89,977.230,339.354,35.799,972,334,12,10,0.873,13.416,972,336,153.435,10.000,1.295,0.772,0.894,cell
21,30,847.867,348.867,18.728,845,346,6,6,1.000,7.211,845,351,33.690,6.000,1.116,0.896,0.923,cell
22,166,1004.139,354.548,61.941,996,346,16,15,0.544,19.209,996,358,38.660,15.000,1.101,0.908,0.802,cell
23,66,1435.470,357.697,47.698,1432,348,6,18,0.365,18.248,1434,366,80.538,6.000,3.374,0.296,0.721,cell
24,57,793.588,396.868,46.485,792,386,3,22,0.331,22.023,793,386,92.603,3.000,6.841,0.146,0.927,cell
25,51,1155.480,392.951,26.385,1151,389,9,8,0.921,10.296,1151,390,150.945,7.778,1.295,0.772,0.879,cell
26,60,1093.250,398.450,28.142,1088,395,10,7,0.952,11.662,1088,396,149.036,7.000,1.502,0.666,0.952,cell
27,40,1027.350,409.150,37.314,1026,401,3,17,0.361,17.117,1026,418,83.290,3.000,5.722,0.175,0.860,cell
28,32,1190.000,438.000,19.314,1187,435,6,6,1.000,7.211,1188,435,123.690,6.000,1.000,1.000,0.941,cell
29,47,1027.457,459.479,36.485,1026,451,3,17,0.444,17.117,1026,451,96.710,3.000,5.420,0.184,0.959,cell
30,57,563.535,479.623,45.314,562,469,3,21,0.349,21.095,563,469,95.440,3.000,6.775,0.148,0.942,cell
31,29,793.293,475.569,21.314,791,471,4,9,0.802,9.220,793,471,102.529,4.000,2.175,0.460,0.921,cell
32,148,971.824,496.541,46.042,965,489,13,15,0.877,17.000,969,489,118.072,12.479,1.339,0.747,0.916,cell
33,48,1075.208,504.000,25.556,1072,499,7,9,0.924,10.000,1072,500,126.870,7.000,1.416,0.706,0.897,cell
34,38,564.316,508.605,37.314,563,500,3,17,0.343,17.029,564,500,93.366,3.000,5.647,0.177,0.826,cell
35,92,1227.641,513.054,59.556,1215,511,28,4,0.326,28.071,1215,512,175.914,4.000,6.994,0.143,0.885,cell
36,131,492.576,519.660,51.456,486,513,18,12,0.622,20.125,486,514,153.435,12.000,1.721,0.581,0.816,cell
37,74,471.000,520.986,46.042,460,516,19,8,0.439,19.235,460,523,8.973,7.916,3.418,0.293,0.695,cell
38,63,1214.071,518.865,43.556,1204,516,20,5,0.417,20.100,1204,520,5.711,5.000,4.732,0.211,0.797,cell
39,38,1236.500,518.079,24.728,1231,516,11,4,0.781,11.180,1231,517,169.695,4.000,2.646,0.378,0.927,cell
40,64,919.016,519.172,41.314,910,517,19,4,0.471,19.105,910,518,173.991,4.000,4.609,0.217,0.921,cell
41,33,1187.439,519.258,29.899,1181,518,14,3,0.464,14.142,1181,520,8.130,3.000,4.709,0.212,0.892,cell
42,58,706.897,521.345,40.728,698,519,19,4,0.439,19.105,698,520,173.991,4.000,5.568,0.180,0.872,cell
43,50,670.240,521.560,43.899,659,520,21,3,0.326,21.024,659,521,177.274,3.000,6.326,0.158,0.885,cell
44,31,1256.565,525.823,24.971,1253,521,7,9,0.625,10.817,1253,530,56.310,4.919,2.685,0.372,0.747,cell
45,86,1140.384,528.012,33.213,1135,523,11,10,0.980,12.207,1135,531,34.992,10.000,1.167,0.857,0.915,cell
46,49,889.969,525.357,43.314,880,524,20,3,0.328,20.100,880,526,5.711,3.000,6.583,0.152,0.891,cell
47,64,482.172,528.438,40.042,475,525,16,7,0.502,16.279,475,529,10.620,7.000,2.440,0.410,0.719,cell
48,37,539.473,527.392,24.142,535,525,10,5,0.798,10.440,535,529,16.699,5.000,2.051,0.488,0.871,cell
49,26,675.577,526.923,26.142,670,525,11,4,0.478,11.180,670,526,169.695,3.536,3.978,0.251,0.732,cell
50,33,691.712,527.500,25.556,686,525,11,5,0.635,11.180,686,529,10.305,5.000,2.337,0.428,0.795,cell
51,36,705.667,526.944,28.728,700,525,13,4,0.548,13.153,700,528,8.746,4.000,3.430,0.292,0.828,cell
52,33,860.439,525.985,36.485,852,525,17,2,0.312,17.117,852,525,173.290,2.000,8.609,0.116,0.971,cell
53,166,541.940,536.265,71.598,530,526,23,17,0.407,25.000,533,542,36.870,13.170,2.277,0.439,0.617,cell
54,43,795.500,559.035,35.314,794,551,4,16,0.433,16.031,795,551,93.576,4.000,4.619,0.216,0.835,cell
55,25,1436.060,554.980,22.142,1433,551,5,9,0.641,9.055,1436,551,96.340,5.000,1.987,0.503,0.758,cell
56,86,1228.791,568.907,46.042,1225,559,9,16,0.510,16.492,1228,559,104.036,9.000,1.975,0.506,0.768,cell
57,74,1117.730,566.162,31.213,1113,561,10,10,0.954,11.662,1115,561,120.964,8.944,1.310,0.763,0.914,cell
58,31,1435.210,565.984,25.314,1433,561,4,10,0.608,10.770,1433,571,68.199,4.000,2.554,0.392,0.827,cell
59,25,1137.060,583.700,17.314,1134,581,6,5,1.000,7.211,1134,586,33.690,5.000,1.312,0.762,0.926,cell
60,35,796.271,593.557,33.314,795,586,3,15,0.396,15.133,795,586,97.595,3.000,5.417,0.185,0.833,cell
61,26,517.500,592.000,17.314,515,589,5,6,1.000,6.708,516,589,116.565,5.000,1.184,0.845,0.929,cell
62,70,1107.814,592.914,30.385,1102,589,11,8,0.953,11.402,1102,592,164.745,8.000,1.338,0.747,0.921,cell
63,57,514.728,602.518,26.971,511,598,8,9,0.985,10.296,512,607,60.945,8.000,1.248,0.801,0.919,cell
64,189,558.606,617.156,79.841,549,602,18,26,0.373,30.017,550,628,60.018,15.556,2.308,0.433,0.628,cell
65,34,570.794,612.235,27.314,569,607,4,12,0.573,12.166,570,619,80.538,4.000,2.943,0.340,0.850,cell
66,67,802.306,618.216,46.142,800,607,5,21,0.395,21.095,801,607,95.440,5.000,5.206,0.192,0.802,cell
67,89,796.118,621.803,56.142,794,608,4,26,0.355,26.077,795,608,94.399,4.000,6.668,0.150,0.894,cell
68,59,1034.941,619.466,26.971,1031,615,8,9,1.000,9.849,1033,615,113.962,8.000,1.134,0.881,0.929,cell
69,92,1264.957,638.272,56.142,1263,625,5,26,0.367,26.173,1263,625,96.582,5.000,6.058,0.165,0.868,cell
70,42,1435.238,641.000,37.456,1433,633,5,15,0.376,15.524,1433,648,75.069,4.932,3.750,0.267,0.694,cell
71,64,571.031,644.828,46.142,569,634,5,21,0.378,21.024,570,634,92.726,5.000,4.636,0.216,0.821,cell
72,68,1223.015,647.485,31.799,1219,642,8,12,0.845,13.000,1220,642,112.620,7.906,1.738,0.575,0.889,cell
73,72,640.361,649.208,30.385,636,644,9,10,0.980,11.662,637,654,59.036,9.000,1.229,0.814,0.929,cell
74,37,802.554,659.986,32.485,801,653,3,15,0.441,15.133,801,653,97.595,3.000,4.953,0.202,0.902,cell
75,95,491.626,663.321,34.627,486,658,11,11,0.996,12.207,487,667,34.992,11.000,1.051,0.951,0.922,cell
76,35,663.871,664.014,23.314,659,662,10,4,0.809,10.198,659,663,168.690,4.000,2.302,0.434,0.933,cell
77,204,870.623,670.863,54.527,862,662,17,17,0.862,20.616,864,663,129.094,14.758,1.429,0.700,0.915,cell
78,41,435.988,682.963,36.142,434,675,5,16,0.394,16.492,435,675,104.036,4.603,4.291,0.233,0.713,cell
79,34,1260.853,684.441,25.314,1259,679,4,11,0.667,11.402,1259,679,105.255,4.000,2.875,0.348,0.883,cell
80,73,1082.925,694.240,30.627,1078,689,10,10,0.978,12.207,1078,698,34.992,8.485,1.424,0.702,0.912,cell
81,48,803.292,704.958,40.142,801,696,4,18,0.374,18.111,802,696,96.340,4.000,5.036,0.199,0.787,cell
82,27,440.907,706.537,29.314,439,700,4,13,0.395,13.342,440,700,102.995,3.530,4.982,0.201,0.730,cell
83,31,1032.597,707.177,26.485,1031,701,3,12,0.555,12.166,1032,701,99.462,3.000,3.758,0.266,0.925,cell
84,48,1256.438,710.938,34.971,1253,704,6,15,0.493,15.524,1255,719,75.069,5.909,2.940,0.340,0.762,cell
85,33,1079.227,716.258,21.799,1076,713,7,7,0.873,8.062,1076,718,29.745,6.791,1.185,0.844,0.835,cell
86,56,655.982,720.339,31.456,652,716,9,10,0.711,12.042,652,725,41.634,8.485,1.365,0.732,0.818,cell
87,32,474.344,719.875,19.556,471,717,7,6,1.000,7.616,471,718,156.801,6.000,1.177,0.850,0.901,cell
88,28,445.071,724.536,28.142,443,718,4,12,0.444,12.369,444,718,104.036,3.617,4.076,0.245,0.757,cell
89,75,676.900,755.207,50.142,667,752,23,5,0.375,23.087,667,754,175.030,5.000,5.499,0.182,0.852,cell
90,35,1241.900,758.957,29.556,1239,752,5,12,0.503,12.649,1240,764,71.565,5.000,2.916,0.343,0.795,cell
91,54,456.907,762.556,47.456,453,753,8,20,0.301,21.190,453,753,109.290,4.828,5.562,0.180,0.651,cell
92,37,709.851,755.959,37.899,701,754,18,3,0.324,18.111,701,755,173.660,3.000,8.396,0.119,0.813,cell
93,64,853.703,757.734,44.728,843,756,21,4,0.402,21.095,843,757,174.560,4.000,5.460,0.183,0.871,cell
94,35,604.186,761.557,27.899,598,760,13,3,0.565,13.153,598,763,8.746,3.000,4.078,0.245,0.946,cell
95,53,472.236,763.255,41.314,462,761,19,4,0.390,19.105,462,762,173.991,4.000,5.706,0.175,0.822,cell
96,34,780.735,762.471,28.485,775,761,13,3,0.527,13.153,775,761,171.254,3.000,4.058,0.246,0.932,cell
97,67,849.246,763.694,43.556,839,761,20,5,0.444,20.100,839,763,174.289,4.969,4.668,0.214,0.832,cell
98,121,874.888,765.872,67.598,863,761,25,12,0.333,25.080,863,763,175.426,11.931,2.126,0.470,0.616,cell
99,39,1083.962,763.962,30.728,1076,762,14,4,0.519,14.142,1076,763,171.870,4.000,3.353,0.298,0.848,cell
100,40,1119.425,764.975,34.728,1110,763,16,4,0.417,16.125,1110,764,172.875,4.000,3.810,0.262,0.784,cell
101,33,983.500,766.227,26.728,977,764,12,4,0.580,12.042,977,766,175.236,4.000,2.788,0.359,0.846,cell
102,45,1029.122,767.944,36.728,1020,766,17,4,0.419,17.117,1020,767,173.290,3.969,5.043,0.198,0.811,cell
103,56,1236.500,773.875,40.042,1232,766,8,16,0.439,17.464,1233,782,66.371,5.376,4.113,0.243,0.732,cell
104,35,1113.357,769.957,26.728,1107,768,12,4,0.616,12.166,1107,769,170.538,4.000,3.260,0.307,0.843,cell
105,31,1435.855,774.177,29.799,1432,768,6,11,0.439,12.083,1432,779,65.556,4.743,3.178,0.315,0.681,cell
106,65,955.654,776.823,30.142,952,771,7,11,0.899,11.705,953,782,70.017,7.000,1.610,0.621,0.922,cell
107,42,1043.000,788.786,26.728,1041,783,5,11,0.739,11.402,1041,783,105.255,5.000,2.371,0.422,0.903,cell
108,32,469.156,792.344,27.799,466,787,7,11,0.520,12.530,467,787,118.610,4.472,3.218,0.311,0.753,cell
109,53,496.406,795.632,25.556,493,791,7,9,1.000,9.849,494,800,66.038,7.000,1.268,0.788,0.938,cell
110,192,720.828,802.453,52.527,712,794,17,16,0.874,17.493,712,806,30.964,16.000,1.053,0.950,0.916,cell
111,34,1435.176,804.500,31.456,1432,799,6,11,0.432,11.180,1435,810,79.695,6.000,2.142,0.467,0.636,cell
112,32,475.281,805.844,29.799,472,800,7,12,0.453,13.416,472,800,116.565,4.025,4.386,0.228,0.727,cell
113,69,805.413,811.732,42.142,803,803,5,19,0.488,19.105,804,803,96.009,5.000,3.472,0.288,0.879,cell
114,39,1435.269,824.808,34.971,1432,817,5,15,0.401,15.133,1435,817,97.595,5.000,3.750,0.267,0.729,cell
115,59,1038.737,834.229,45.314,1037,824,4,21,0.361,21.095,1038,824,95.440,4.000,5.520,0.181,0.843,cell
116,65,864.038,839.285,28.971,860,834,8,10,0.973,10.817,861,835,123.690,8.000,1.223,0.817,0.915,cell
117,116,808.216,844.440,52.527,803,837,11,18,0.528,18.248,805,855,80.538,11.000,1.379,0.725,0.786,cell
118,43,692.570,842.500,24.971,689,838,8,8,0.867,9.434,689,840,147.995,7.155,1.335,0.749,0.860,cell
119,45,1435.856,843.900,32.971,1433,838,5,13,0.520,13.601,1433,838,107.103,4.969,3.228,0.310,0.804,cell
120,62,1062.597,847.484,32.042,1058,843,10,10,0.759,10.770,1061,853,68.199,9.058,1.215,0.823,0.816,cell
121,42,1040.548,886.190,38.142,1038,879,4,17,0.363,17.263,1039,879,100.008,4.000,5.236,0.191,0.792,cell
122,37,806.581,909.095,30.485,805,902,3,14,0.500,14.142,806,916,81.870,3.000,4.487,0.223,0.937,cell
123,88,1435.420,912.966,55.456,1432,903,6,21,0.360,21.378,1433,903,100.784,6.000,3.894,0.257,0.765,cell
124,32,883.781,911.250,20.971,881,907,6,8,0.914,8.246,883,907,104.036,6.000,1.325,0.755,0.865,cell
125,67,753.052,927.634,35.113,747,923,12,9,0.683,12.649,747,927,161.565,9.000,1.467,0.682,0.775,cell
126,53,1100.764,939.198,34.284,1096,933,10,13,0.567,15.264,1097,946,58.392,5.600,3.252,0.308,0.774,cell
127,34,1351.059,949.441,30.284,1347,945,8,8,0.466,9.434,1347,952,32.005,6.364,1.671,0.598,0.708,cell
128,32,677.031,952.312,20.142,674,949,6,7,0.991,7.810,674,955,39.806,6.000,1.216,0.822,0.889,cell
129,62,802.226,967.355,48.142,800,956,4,22,0.336,22.091,801,956,95.194,4.000,6.282,0.159,0.816,cell
130,50,618.040,966.400,42.527,610,960,16,12,0.347,19.416,610,960,145.491,4.752,5.591,0.179,0.654,cell
131,38,1044.211,970.789,33.799,1042,963,5,14,0.418,14.142,1044,963,98.130,5.000,3.795,0.264,0.697,cell
132,42,644.048,982.095,38.042,636,978,16,8,0.365,17.889,636,978,153.435,4.025,5.826,0.172,0.743,cell
133,25,1386.900,1004.820,27.799,1383,1000,8,8,0.407,9.434,1386,1000,122.005,6.860,1.479,0.676,0.581,cell
134,59,915.517,1013.534,43.899,905,1012,21,3,0.385,21.095,905,1013,174.560,3.000,6.733,0.149,0.967,cell
135,54,1435.130,1027.722,38.042,1432,1019,6,15,0.469,15.033,1434,1019,93.814,6.000,2.362,0.423,0.735,cell
136,313,824.589,248.682,148.326,790,243,58,16,0.179,58.138,790,249,3.945,16.000,4.860,0.206,0.449,cluster
137,616,856.955,325.206,99.397,843,308,28,34,0.784,38.949,846,342,60.803,22.361,1.790,0.559,0.928,cluster
138,282,1145.528,364.443,86.669,1136,348,18,34,0.472,34.366,1145,348,98.366,13.950,3.281,0.305,0.731,cluster
139,234,793.432,363.103,77.355,777,354,27,16,0.491,29.155,777,367,22.166,15.144,2.388,0.419,0.760,cluster
140,844,887.297,435.287,109.640,871,418,33,35,0.882,36.139,883,418,104.421,32.500,1.041,0.961,0.949,cluster
141,513,571.763,449.496,180.024,560,419,27,50,0.199,53.712,562,419,114.179,19.216,3.125,0.320,0.649,cluster
142,590,836.469,495.525,146.409,817,479,42,31,0.346,43.966,817,490,162.801,24.556,2.326,0.430,0.709,cluster
143,278,525.047,518.241,148.468,499,506,46,23,0.158,49.396,499,527,21.371,14.956,3.887,0.257,0.560,cluster
144,231,1202.981,566.305,57.941,1195,556,17,19,0.865,20.616,1198,557,129.094,16.086,1.314,0.761,0.913,cluster
145,621,446.576,607.843,162.024,431,591,30,34,0.297,40.311,432,623,43.995,29.510,1.602,0.624,0.728,cluster
146,275,927.580,633.009,68.426,915,624,23,17,0.738,24.352,915,631,160.821,17.000,1.531,0.653,0.884,cluster
147,277,453.175,671.894,101.983,443,658,26,26,0.335,32.802,445,658,127.569,15.544,2.300,0.435,0.690,cluster
148,291,1209.730,750.139,112.368,1197,737,23,27,0.290,30.017,1200,738,119.982,16.959,1.733,0.577,0.720,cluster
149,593,806.266,777.745,209.782,786,761,49,32,0.169,55.570,787,791,30.256,31.491,1.696,0.590,0.520,cluster
150,233,939.436,765.281,163.355,899,763,77,5,0.110,77.058,899,764,177.769,5.000,20.119,0.050,0.711,cluster
151,874,1104.786,850.184,125.882,1083,835,41,29,0.693,44.283,1083,857,25.408,28.685,1.570,0.637,0.914,cluster
152,303,1115.757,918.510,149.095,1105,906,24,27,0.171,27.893,1114,933,75.466,22.214,1.484,0.674,0.629,cluster
153,314,723.076,998.726,165.338,705,989,50,20,0.144,50.090,705,998,176.566,19.520,2.922,0.342,0.533,cluster
