 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,30,693.000,224.933,27.556,688,222,10,7,0.496,10.770,688,224,158.199,6.261,1.983,0.504,0.638
2,31,947.661,233.790,28.728,941,232,13,4,0.472,13.153,941,235,8.746,3.534,4.663,0.214,0.756
3,57,899.360,242.254,45.314,888,240,21,4,0.349,21.095,888,243,5.440,4.000,6.101,0.164,0.820
4,42,872.643,243.571,32.485,865,242,15,3,0.500,15.133,865,243,172.405,3.000,4.842,0.207,0.966
5,119,804.861,248.920,63.113,790,245,26,11,0.375,26.077,790,249,4.399,11.000,2.029,0.493,0.635
6,32,765.062,248.125,26.728,759,246,12,4,0.563,12.166,759,249,9.462,4.000,3.293,0.304,0.810
7,42,733.905,249.095,38.728,726,247,18,4,0.352,18.111,726,250,6.340,4.000,6.277,0.159,0.743
8,38,712.316,249.500,30.485,705,248,14,3,0.514,14.142,705,250,8.130,3.000,4.420,0.226,0.950
9,28,1235.143,273.679,29.799,1232,270,6,8,0.396,10.000,1232,270,126.870,6.000,1.708,0.586,0.709
10,42,974.119,277.429,40.142,965,275,18,4,0.328,18.439,965,279,12.529,3.737,5.925,0.169,0.771
11,65,952.085,278.700,47.314,942,277,22,4,0.365,22.204,942,280,7.765,4.000,6.038,0.166,0.884
12,32,898.344,281.406,32.728,891,280,15,3,0.375,15.133,891,282,7.595,3.000,5.077,0.197,0.810
13,28,835.821,284.143,32.728,828,283,15,3,0.328,15.133,828,285,7.595,3.000,6.114,0.164,0.691
14,36,745.722,286.778,33.899,738,285,16,3,0.394,16.125,738,288,7.125,3.000,5.606,0.178,0.857
15,35,706.014,287.757,30.728,699,286,14,4,0.466,14.142,699,289,8.130,4.000,4.021,0.249,0.787
16,32,719.781,287.469,27.899,714,286,13,3,0.517,13.153,714,289,8.746,3.000,4.075,0.245,0.901
17,27,1012.093,290.352,33.314,1004,288,15,4,0.306,15.133,1004,291,7.595,3.313,6.865,0.146,0.635
18,38,949.632,294.079,31.556,943,292,14,4,0.480,14.142,943,293,171.870,4.000,4.311,0.232,0.776
19,59,912.331,295.805,49.556,901,294,23,4,0.302,23.087,901,297,4.970,3.912,7.291,0.137,0.792
20,35,885.786,297.157,27.899,879,295,12,4,0.565,12.369,879,298,14.036,4.000,3.205,0.312,0.864
21,53,861.311,298.236,46.728,851,296,22,4,0.305,22.091,851,299,5.194,4.000,6.809,0.147,0.768
22,33,1027.652,304.530,30.485,1026,297,3,14,0.446,14.036,1027,297,94.086,3.000,4.671,0.214,0.880
23,37,787.500,300.554,28.485,781,299,13,3,0.573,13.153,781,300,171.254,3.000,4.651,0.215,0.974
24,81,731.389,302.784,52.142,720,301,24,4,0.374,24.187,720,304,7.125,4.000,6.327,0.158,0.890
25,67,631.799,303.784,48.728,620,302,23,4,0.355,23.022,620,303,177.510,4.000,5.968,0.168,0.854
26,44,692.614,303.341,37.899,684,302,17,3,0.385,17.263,684,305,10.008,3.000,5.890,0.170,0.880
27,29,792.983,313.259,31.657,792,306,2,15,0.364,15.133,792,321,82.405,2.000,7.289,0.137,0.983
28,26,1027.538,317.115,28.485,1026,312,3,13,0.403,13.153,1027,325,81.254,3.000,4.317,0.232,0.800
29,93,853.651,336.317,45.941,846,329,15,13,0.554,16.553,846,342,25.017,11.063,1.703,0.587,0.729
30,29,560.052,336.052,23.314,558,331,4,10,0.670,10.198,559,331,101.310,4.000,2.641,0.379,0.841
31,27,710.426,334.611,19.314,708,331,5,7,0.910,8.062,709,331,119.745,5.000,1.472,0.679,0.885
32,32,1000.469,333.750,19.556,997,331,7,6,1.000,7.616,997,332,156.801,6.000,1.250,0.800,0.889
33,89,977.230,339.354,35.799,972,334,12,10,0.873,13.416,972,336,153.435,10.000,1.295,0.772,0.894
34,30,847.867,348.867,18.728,845,346,6,6,1.000,7.211,845,351,33.690,6.000,1.116,0.896,0.923
35,54,1435.278,359.296,35.213,1432,353,6,13,0.547,13.342,1434,366,77.005,6.000,2.563,0.390,0.777
36,46,1026.826,370.391,35.314,1025,362,4,15,0.464,15.297,1026,362,101.310,4.000,3.973,0.252,0.836
37,42,781.452,366.929,24.142,777,364,9,6,0.906,9.849,777,365,156.038,6.000,1.446,0.691,0.894
38,97,1148.356,375.490,36.042,1143,370,11,12,0.938,14.213,1143,370,129.289,9.899,1.379,0.725,0.924
39,73,1026.801,387.212,42.142,1024,378,5,19,0.517,19.105,1026,378,96.009,5.000,3.754,0.266,0.896
40,57,793.588,396.868,46.485,792,386,3,22,0.331,22.023,793,386,92.603,3.000,6.841,0.146,0.927
41,51,1155.480,392.951,26.385,1151,389,9,8,0.921,10.296,1151,390,150.945,7.778,1.295,0.772,0.879
42,60,1093.250,398.450,28.142,1088,395,10,7,0.952,11.662,1088,396,149.036,7.000,1.502,0.666,0.952
43,40,1027.350,409.150,37.314,1026,401,3,17,0.361,17.117,1026,418,83.290,3.000,5.722,0.175,0.860
44,53,562.613,430.047,42.728,560,419,5,19,0.365,19.235,561,438,81.027,5.000,5.501,0.182,0.736
45,37,569.959,432.500,23.556,567,428,7,8,0.838,10.000,567,428,126.870,6.641,1.633,0.612,0.851
46,32,1190.000,438.000,19.314,1187,435,6,6,1.000,7.211,1188,435,123.690,6.000,1.000,1.000,0.941
47,47,1027.457,459.479,36.485,1026,451,3,17,0.444,17.117,1026,451,96.710,3.000,5.420,0.184,0.959
48,57,563.535,479.623,45.314,562,469,3,21,0.349,21.095,563,469,95.440,3.000,6.775,0.148,0.942
49,29,793.293,475.569,21.314,791,471,4,9,0.802,9.220,793,471,102.529,4.000,2.175,0.460,0.921
50,66,1027.545,488.121,52.142,1026,476,4,24,0.305,24.187,1026,476,97.125,4.000,7.721,0.130,0.815
51,148,971.824,496.541,46.042,965,489,13,15,0.877,17.000,969,489,118.072,12.479,1.339,0.747,0.916
52,86,841.360,502.453,38.627,836,495,9,15,0.724,15.811,840,510,71.565,8.666,2.162,0.462,0.860
53,117,851.927,503.209,39.698,846,497,13,13,0.933,13.928,849,497,111.038,12.481,1.021,0.979,0.900
54,63,794.976,507.849,37.899,793,499,4,17,0.551,17.263,793,516,79.992,4.000,4.122,0.243,0.962
55,28,833.607,502.000,18.142,831,499,6,6,1.000,7.211,831,499,123.690,6.000,1.121,0.892,0.903
56,48,1075.208,504.000,25.556,1072,499,7,9,0.924,10.000,1072,500,126.870,7.000,1.416,0.706,0.897
57,38,564.316,508.605,37.314,563,500,3,17,0.343,17.029,564,500,93.366,3.000,5.647,0.177,0.826
58,88,536.682,510.102,41.456,528,506,17,9,0.643,17.263,528,512,10.008,7.589,2.455,0.407,0.826
59,92,1227.641,513.054,59.556,1215,511,28,4,0.326,28.071,1215,512,175.914,4.000,6.994,0.143,0.885
60,131,492.576,519.660,51.456,486,513,18,12,0.622,20.125,486,514,153.435,12.000,1.721,0.581,0.816
61,102,523.814,519.598,42.870,515,513,16,11,0.697,17.889,515,523,26.565,9.752,2.051,0.488,0.836
62,70,1120.857,515.700,50.728,1109,514,24,4,0.342,24.083,1109,515,175.236,4.000,7.126,0.140,0.843
63,106,1140.774,519.943,63.113,1129,514,25,10,0.334,25.080,1129,520,175.426,9.978,3.208,0.312,0.618
64,74,471.000,520.986,46.042,460,516,19,8,0.439,19.235,460,523,8.973,7.916,3.418,0.293,0.695
65,63,1214.071,518.865,43.556,1204,516,20,5,0.417,20.100,1204,520,5.711,5.000,4.732,0.211,0.797
66,38,1236.500,518.079,24.728,1231,516,11,4,0.781,11.180,1231,517,169.695,4.000,2.646,0.378,0.927
67,64,919.016,519.172,41.314,910,517,19,4,0.471,19.105,910,518,173.991,4.000,4.609,0.217,0.921
68,74,893.716,519.689,52.142,882,518,24,4,0.342,24.187,882,521,7.125,4.000,7.081,0.141,0.841
69,33,1187.439,519.258,29.899,1181,518,14,3,0.464,14.142,1181,520,8.130,3.000,4.709,0.212,0.892
70,49,557.194,521.704,31.556,551,519,13,5,0.618,13.342,551,520,167.005,5.000,2.997,0.334,0.845
71,59,574.805,521.805,46.971,565,519,21,5,0.336,21.213,565,520,171.870,4.589,5.821,0.172,0.747
72,58,706.897,521.345,40.728,698,519,19,4,0.439,19.105,698,520,173.991,4.000,5.568,0.180,0.872
73,50,670.240,521.560,43.899,659,520,21,3,0.326,21.024,659,521,177.274,3.000,6.326,0.158,0.885
74,38,1043.447,522.842,32.728,1036,521,15,4,0.446,15.133,1036,522,172.405,4.000,4.591,0.218,0.776
75,31,1256.565,525.823,24.971,1253,521,7,9,0.625,10.817,1253,530,56.310,4.919,2.685,0.372,0.747
76,86,1140.384,528.012,33.213,1135,523,11,10,0.980,12.207,1135,531,34.992,10.000,1.167,0.857,0.915
77,49,889.969,525.357,43.314,880,524,20,3,0.328,20.100,880,526,5.711,3.000,6.583,0.152,0.891
78,53,480.745,528.632,28.385,475,525,11,7,0.827,11.180,475,527,153.435,7.000,1.684,0.594,0.855
79,37,539.473,527.392,24.142,535,525,10,5,0.798,10.440,535,529,16.699,5.000,2.051,0.488,0.871
80,26,675.577,526.923,26.142,670,525,11,4,0.478,11.180,670,526,169.695,3.536,3.978,0.251,0.732
81,33,691.712,527.500,25.556,686,525,11,5,0.635,11.180,686,529,10.305,5.000,2.337,0.428,0.795
82,36,705.667,526.944,28.728,700,525,13,4,0.548,13.153,700,528,8.746,4.000,3.430,0.292,0.828
83,33,860.439,525.985,36.485,852,525,17,2,0.312,17.117,852,525,173.290,2.000,8.609,0.116,0.971
84,43,795.500,559.035,35.314,794,551,4,16,0.433,16.031,795,551,93.576,4.000,4.619,0.216,0.835
85,25,1436.060,554.980,22.142,1433,551,5,9,0.641,9.055,1436,551,96.340,5.000,1.987,0.503,0.758
86,74,1117.730,566.162,31.213,1113,561,10,10,0.954,11.662,1115,561,120.964,8.944,1.310,0.763,0.914
87,31,1435.210,565.984,25.314,1433,561,4,10,0.608,10.770,1433,571,68.199,4.000,2.554,0.392,0.827
88,68,1229.044,570.721,31.556,1225,565,9,10,0.858,11.314,1225,575,45.000,9.000,1.048,0.954,0.889
89,28,570.214,576.643,21.899,568,572,4,9,0.734,9.487,569,572,108.435,4.000,2.479,0.403,0.875
90,25,1137.060,583.700,17.314,1134,581,6,5,1.000,7.211,1134,586,33.690,5.000,1.312,0.762,0.926
91,35,796.271,593.557,33.314,795,586,3,15,0.396,15.133,795,586,97.595,3.000,5.417,0.185,0.833
92,26,517.500,592.000,17.314,515,589,5,6,1.000,6.708,516,589,116.565,5.000,1.184,0.845,0.929
93,70,1107.814,592.914,30.385,1102,589,11,8,0.953,11.402,1102,592,164.745,8.000,1.338,0.747,0.921
94,51,452.892,594.892,29.213,447,591,10,9,0.751,12.042,447,592,138.366,7.155,1.741,0.574,0.829
95,113,456.305,604.668,56.284,451,594,10,21,0.448,21.213,457,615,81.870,10.000,1.943,0.515,0.739
96,57,514.728,602.518,26.971,511,598,8,9,0.985,10.296,512,607,60.945,8.000,1.248,0.801,0.919
97,117,562.363,614.551,61.355,555,602,12,21,0.391,22.136,558,623,71.565,11.642,2.220,0.450,0.646
98,34,570.794,612.235,27.314,569,607,4,12,0.573,12.166,570,619,80.538,4.000,2.943,0.340,0.850
99,67,802.306,618.216,46.142,800,607,5,21,0.395,21.095,801,607,95.440,5.000,5.206,0.192,0.802
100,132,446.803,614.447,53.941,437,608,19,12,0.570,19.235,437,618,8.973,12.000,1.659,0.603,0.793
101,89,796.118,621.803,56.142,794,608,4,26,0.355,26.077,795,608,94.399,4.000,6.668,0.150,0.894
102,59,1034.941,619.466,26.971,1031,615,8,9,1.000,9.849,1033,615,113.962,8.000,1.134,0.881,0.929
103,60,551.917,621.683,32.385,549,616,8,12,0.719,12.649,550,628,71.565,8.000,1.623,0.616,0.816
104,25,441.140,621.900,19.556,438,619,7,6,0.821,9.220,438,625,40.601,4.243,2.208,0.453,0.862
105,138,932.268,632.609,59.941,927,624,11,17,0.483,17.889,928,625,116.565,10.889,1.634,0.612,0.860
106,92,1264.957,638.272,56.142,1263,625,5,26,0.367,26.173,1263,625,96.582,5.000,6.058,0.165,0.868
107,115,921.439,633.170,40.042,915,627,12,13,0.901,13.928,921,640,68.962,12.000,1.104,0.905,0.913
108,42,1435.238,641.000,37.456,1433,633,5,15,0.376,15.524,1433,648,75.069,4.932,3.750,0.267,0.694
109,64,571.031,644.828,46.142,569,634,5,21,0.378,21.024,570,634,92.726,5.000,4.636,0.216,0.821
110,32,1030.625,641.219,26.142,1028,636,5,11,0.588,11.402,1029,636,105.255,4.511,3.026,0.330,0.771
111,68,1223.015,647.485,31.799,1219,642,8,12,0.845,13.000,1220,642,112.620,7.906,1.738,0.575,0.889
112,72,640.361,649.208,30.385,636,644,9,10,0.980,11.662,637,654,59.036,9.000,1.229,0.814,0.929
113,37,1031.338,656.581,35.314,1030,648,3,16,0.373,16.279,1030,648,100.620,3.000,5.958,0.168,0.860
114,37,802.554,659.986,32.485,801,653,3,15,0.441,15.133,801,653,97.595,3.000,4.953,0.202,0.902
115,95,491.626,663.321,34.627,486,658,11,11,0.996,12.207,487,667,34.992,11.000,1.051,0.951,0.922
116,35,663.871,664.014,23.314,659,662,10,4,0.809,10.198,659,663,168.690,4.000,2.302,0.434,0.933
117,25,1435.380,668.580,19.899,1433,665,5,7,0.793,8.602,1433,665,125.538,4.366,2.057,0.486,0.847
118,41,435.988,682.963,36.142,434,675,5,16,0.394,16.492,435,675,104.036,4.603,4.291,0.233,0.713
119,37,455.608,679.581,23.556,452,676,7,8,0.838,9.434,454,684,57.995,6.261,1.535,0.651,0.851
120,28,464.321,677.857,22.728,460,676,9,4,0.681,9.849,460,676,156.038,4.000,2.550,0.392,0.836
121,34,1260.853,684.441,25.314,1259,679,4,11,0.667,11.402,1259,679,105.255,4.000,2.875,0.348,0.883
122,73,1082.925,694.240,30.627,1078,689,10,10,0.978,12.207,1078,698,34.992,8.485,1.424,0.702,0.912
123,48,803.292,704.958,40.142,801,696,4,18,0.374,18.111,802,696,96.340,4.000,5.036,0.199,0.787
124,27,440.907,706.537,29.314,439,700,4,13,0.395,13.342,440,700,102.995,3.530,4.982,0.201,0.730
