Area,X,Y,Perim.,BX,BY,Width,Height
136,681.809,104.522,0,675,98,14,13
200,658.630,121.420,0,651,114,16,15
50,695.020,117.540,0,691,115,10,6
43,690.047,122.837,0,687,119,7,8
84,546.560,131.702,0,542,127,11,10
170,753.006,138.706,0,742,132,22,14
66,557.045,136.864,0,552,133,10,9
85,688.447,137.471,0,684,133,10,10
105,477.629,140.895,0,472,136,12,11
104,496.817,142.519,0,492,137,11,12
87,763.966,143.023,0,758,138,12,11
77,535.714,144.338,0,531,140,10,10
43,624.884,145.349,0,621,142,8,7
123,637.041,148.098,0,630,142,14,12
80,617.112,151.525,0,613,146,10,13
129,625.008,154.643,0,617,149,18,13
113,483.053,156.212,0,478,150,11,13
44,670.114,153.636,0,667,150,7,8
75,678.707,154.947,0,674,151,10,9
61,635.508,157.590,0,631,154,10,9
100,522.290,164.710,0,517,159,11,13
59,626.153,161.695,0,620,159,13,6
80,477.975,171.975,0,474,167,9,11
58,471.638,176.431,0,467,171,10,10
65,601.308,178.000,0,597,174,10,9
60,613.867,177.300,0,610,174,9,9
55,505.945,181.000,0,504,175,5,13
63,655.762,182.873,0,652,179,9,10
118,531.161,187.305,0,526,182,12,12
82,662.378,187.451,0,658,182,9,12
77,574.026,187.753,0,570,183,9,11
121,617.843,190.719,0,612,183,12,17
134,652.037,193.813,0,648,185,10,19
171,639.404,194.877,0,630,190,19,11
37,735.324,193.622,0,732,190,7,8
64,579.406,196.203,0,575,192,10,10
133,714.925,208.023,0,709,202,13,13
77,395.338,209.948,0,391,205,10,10
84,916.262,212.881,0,910,206,13,15
90,900.767,212.300,0,896,207,11,11
78,535.551,212.795,0,531,208,10,10
75,413.427,215.573,0,409,211,10,10
143,682.329,218.888,0,677,212,12,16
61,504.869,218.590,0,500,215,10,9
140,740.357,220.971,0,733,215,15,14
174,458.057,225.713,0,452,218,14,18
43,650.767,220.791,0,647,218,8,7
93,578.946,224.290,0,575,219,10,12
164,691.220,227.677,0,685,219,13,17
50,464.240,232.080,0,460,228,9,8
228,550.469,240.070,0,543,231,17,21
78,742.410,237.474,0,739,232,8,12
71,577.113,240.296,0,573,236,9,10
72,449.097,241.292,0,445,237,9,10
265,381.849,247.426,0,371,240,23,17
48,671.771,245.917,0,668,243,9,7
49,558.755,248.143,0,555,244,8,9
111,738.144,253.342,0,734,247,10,14
80,587.425,252.463,0,583,248,10,10
86,611.070,253.826,0,607,248,9,12
89,548.809,254.708,0,543,250,12,10
99,925.162,254.960,0,920,250,12,11
45,562.089,253.533,0,558,251,9,6
254,493.280,263.823,0,485,253,17,22
54,765.037,257.519,0,761,253,8,10
128,705.734,260.953,0,700,255,13,13
99,344.444,263.525,0,339,259,12,10
187,643.615,265.856,0,636,259,16,14
42,917.595,262.738,0,915,259,6,9
65,424.969,265.031,0,421,261,9,9
38,590.500,265.158,0,587,262,8,7
47,728.426,266.128,0,725,263,8,8
74,936.500,269.216,0,933,264,8,11
98,483.796,273.959,0,476,270,16,9
78,519.321,273.692,0,514,270,11,9
95,884.379,276.895,0,879,271,13,14
60,510.767,276.750,0,507,273,9,8
69,619.957,278.101,0,616,274,9,10
83,564.048,279.542,0,559,275,11,10
42,806.500,277.857,0,803,275,8,7
120,351.850,280.717,0,346,276,13,11
71,400.141,280.380,0,394,277,12,8
30,482.567,279.533,0,480,277,6,6
38,887.053,280.789,0,884,277,7,8
77,549.948,283.532,0,546,279,9,10
98,836.980,283.918,0,831,279,13,10
78,511.692,285.423,0,508,281,9,10
126,398.992,289.056,0,394,283,12,13
58,854.293,287.259,0,851,283,8,10
84,694.607,292.667,0,690,287,10,12
81,928.716,291.753,0,924,287,10,11
80,509.850,293.212,0,504,289,13,9
34,499.882,293.000,0,496,291,8,5
96,721.333,297.594,0,717,291,10,15
42,833.381,295.690,0,830,292,8,9
228,491.421,300.750,0,483,293,19,17
85,505.012,299.682,0,500,295,12,11
124,920.871,302.266,0,915,295,12,16
202,860.312,304.728,0,853,297,17,18
81,929.284,301.469,0,925,297,10,10
72,832.042,303.528,0,828,298,9,12
84,675.595,303.571,0,671,299,10,10
83,819.542,305.518,0,814,301,11,10
54,320.870,305.426,0,317,302,9,8
48,827.292,307.583,0,825,302,7,11
53,711.358,306.453,0,708,303,8,8
86,724.919,308.360,0,719,303,12,11
112,367.098,309.027,0,361,304,13,12
64,501.812,309.625,0,499,304,7,12
117,325.624,314.325,0,320,308,12,14
37,918.000,311.000,0,915,308,7,7
