 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,43,683.337,104.291,27.799,679,100,8,8,0.699,9.434,681,108,57.995,7.603,1.233,0.811,0.827
2,35,689.929,121.500,25.556,687,116,6,10,0.673,10.817,687,117,123.690,5.060,2.496,0.401,0.805
3,28,695.857,118.321,21.556,691,116,9,5,0.757,9.487,691,117,161.565,4.743,2.346,0.426,0.812
4,43,658.081,121.267,25.213,654,117,8,9,0.850,10.296,656,117,119.055,6.934,1.567,0.638,0.819
5,59,511.924,126.195,34.870,507,122,11,9,0.610,11.402,507,129,15.255,8.928,1.244,0.804,0.761
6,29,547.879,131.603,21.799,544,128,7,8,0.767,9.434,545,128,122.005,4.950,2.216,0.451,0.784
7,29,511.121,132.603,22.971,507,130,9,5,0.691,9.849,507,130,156.038,5.000,2.017,0.496,0.806
8,36,625.806,133.389,24.971,622,130,7,7,0.726,9.220,622,130,130.601,6.791,1.400,0.714,0.837
9,124,755.185,138.895,48.527,746,132,18,13,0.662,20.591,746,144,29.055,8.497,2.713,0.369,0.873
10,36,557.944,137.250,28.385,554,134,8,7,0.561,9.220,554,134,130.601,7.000,1.313,0.761,0.758
11,44,688.705,137.932,29.799,685,134,8,8,0.623,8.944,687,142,63.435,7.906,1.135,0.881,0.822
12,49,509.276,140.337,29.213,504,136,9,9,0.722,9.487,504,140,161.565,8.854,1.114,0.897,0.810
13,48,478.333,141.812,26.385,474,138,8,8,0.866,10.630,474,138,131.186,7.603,1.413,0.708,0.881
14,29,498.707,144.052,20.142,496,140,5,8,0.898,8.544,497,148,69.444,5.000,1.830,0.546,0.866
15,87,637.994,148.948,40.284,632,143,11,13,0.674,13.601,636,143,107.103,10.461,1.378,0.726,0.784
16,30,796.833,149.667,20.142,794,146,6,7,0.929,8.062,795,146,119.745,6.000,1.316,0.760,0.845
17,39,484.141,156.628,28.385,480,152,7,10,0.608,10.296,480,153,119.055,6.641,1.835,0.545,0.709
18,26,822.154,162.038,20.971,819,158,6,8,0.743,8.944,820,158,116.565,4.919,2.153,0.464,0.776
19,39,523.090,164.551,28.385,519,161,7,9,0.608,9.849,520,161,113.962,7.000,1.494,0.669,0.772
20,54,467.389,171.648,30.627,462,168,11,7,0.723,12.083,462,174,24.444,7.000,1.753,0.570,0.818
21,42,478.619,171.952,26.385,474,168,8,9,0.758,10.817,475,168,123.690,6.247,1.976,0.506,0.808
22,34,602.059,178.235,22.385,598,175,8,7,0.853,9.434,598,176,147.995,5.659,1.914,0.523,0.810
23,103,660.218,186.063,42.527,653,179,14,14,0.716,16.643,655,179,122.735,9.870,1.986,0.504,0.814
24,52,532.500,186.885,27.213,528,183,9,8,0.882,10.296,528,184,150.945,7.778,1.333,0.750,0.881
25,28,575.000,187.286,20.385,571,184,7,7,0.847,8.062,573,184,119.745,5.657,1.645,0.608,0.789
26,121,616.913,193.161,61.012,609,185,14,16,0.408,17.692,609,200,42.709,13.087,1.383,0.723,0.706
27,43,717.640,207.151,24.385,714,203,7,9,0.909,9.487,716,212,71.565,7.000,1.326,0.754,0.860
28,32,685.031,216.594,22.385,681,213,7,8,0.803,9.434,682,213,122.005,5.659,1.847,0.541,0.790
29,32,505.375,218.844,23.556,501,216,8,7,0.725,10.000,501,216,143.130,5.935,2.092,0.478,0.753
30,57,743.518,220.360,27.799,739,216,9,9,0.927,10.000,740,224,53.130,8.485,1.163,0.860,0.877
31,62,691.629,224.968,29.213,687,220,9,10,0.913,10.630,688,229,41.186,8.497,1.271,0.787,0.867
32,27,458.389,226.093,20.142,455,223,6,7,0.836,8.602,455,223,125.538,5.145,1.845,0.542,0.844
33,100,552.000,239.520,52.870,545,233,12,17,0.450,17.889,546,234,116.565,12.000,1.845,0.542,0.658
34,29,577.845,240.569,24.385,574,237,7,8,0.613,8.602,574,238,125.538,6.000,1.554,0.643,0.734
35,26,450.346,241.115,21.556,447,238,6,7,0.703,8.062,448,238,119.745,5.657,1.626,0.615,0.754
36,85,382.841,245.359,40.870,375,241,16,9,0.639,17.088,375,242,159.444,8.629,2.484,0.403,0.787
37,56,760.857,251.054,27.213,757,246,8,10,0.950,10.817,758,256,56.310,7.778,1.408,0.710,0.889
38,82,563.171,255.500,47.698,557,247,11,17,0.453,18.788,559,247,115.201,7.603,3.048,0.328,0.732
39,50,739.460,252.500,25.556,736,248,7,9,0.962,9.849,737,248,113.962,7.000,1.323,0.756,0.909
40,48,549.562,255.021,25.213,545,251,9,8,0.949,9.849,545,257,23.962,7.589,1.322,0.756,0.857
41,30,923.667,255.233,19.314,921,252,5,7,1.000,7.616,922,252,113.199,5.000,1.357,0.737,0.938
42,84,491.893,260.524,46.527,486,254,12,12,0.488,14.422,488,266,56.310,9.430,1.543,0.648,0.785
43,33,765.167,257.439,20.142,762,254,6,7,1.000,7.616,764,254,113.199,6.000,1.183,0.846,0.904
44,125,419.388,262.148,60.426,409,255,20,13,0.430,20.224,409,262,171.469,13.000,1.538,0.650,0.702
45,29,584.672,264.845,32.284,580,259,9,11,0.350,12.806,581,269,51.340,4.986,3.782,0.264,0.592
46,32,345.688,262.969,24.971,341,260,8,7,0.645,9.220,342,260,130.601,6.364,1.580,0.633,0.727
47,44,936.909,269.659,23.556,934,265,6,9,0.996,9.487,935,274,71.565,6.000,1.438,0.696,0.926
48,128,414.430,273.078,59.012,407,266,15,14,0.462,16.155,407,270,158.199,12.728,1.410,0.709,0.805
49,81,484.574,275.191,41.698,477,270,15,11,0.585,15.811,477,272,161.565,9.803,1.835,0.545,0.743
50,43,579.965,273.942,23.556,576,270,7,8,0.974,8.602,577,271,125.538,7.000,1.161,0.862,0.905
51,30,520.233,273.633,32.385,516,271,8,7,0.359,8.602,517,277,35.538,7.000,1.058,0.945,0.659
52,55,511.245,277.118,26.971,507,272,8,9,0.950,10.000,509,273,126.870,8.000,1.112,0.900,0.917
53,35,884.043,277.643,30.627,880,273,10,10,0.469,12.806,881,283,51.340,5.640,2.899,0.345,0.619
54,32,620.750,278.031,24.971,617,275,7,7,0.645,8.602,618,275,125.538,6.708,1.494,0.669,0.762
55,29,564.845,278.948,23.556,561,276,7,7,0.657,8.602,561,277,144.462,6.200,1.542,0.648,0.734
56,62,353.032,280.581,33.799,347,277,11,8,0.682,11.402,347,279,164.745,8.000,1.379,0.725,0.844
57,38,400.711,280.868,24.971,396,278,9,6,0.766,9.487,396,280,161.565,6.000,1.740,0.575,0.826
58,56,837.589,284.786,26.971,833,281,9,8,0.967,9.849,833,283,156.038,8.000,1.170,0.855,0.903
59,54,512.000,285.722,27.899,508,282,8,8,0.872,10.630,509,282,131.186,7.920,1.150,0.870,0.915
60,31,331.823,289.661,24.971,329,285,5,10,0.625,10.198,330,285,101.310,5.000,2.179,0.459,0.765
61,51,400.873,289.520,30.042,396,285,9,9,0.710,9.849,399,285,113.962,8.400,1.291,0.774,0.810
62,43,929.360,292.035,24.385,926,288,7,8,0.909,9.434,927,288,122.005,7.000,1.237,0.808,0.869
63,60,510.850,293.200,30.385,505,290,11,7,0.817,11.705,505,292,160.017,7.000,1.721,0.581,0.902
64,89,832.601,301.770,45.113,826,293,11,16,0.550,16.125,832,293,97.125,10.286,1.804,0.554,0.709
65,75,492.767,299.593,32.627,488,294,10,11,0.885,11.402,490,294,105.255,10.000,1.063,0.941,0.872
66,59,505.466,299.907,30.627,501,296,10,9,0.790,10.630,503,305,41.186,9.000,1.012,0.988,0.831
