Area,X,Y,Perim.,BX,BY,Width,Height
41,764.634,182.780,0,761,180,8,7
63,775.714,186.063,0,770,182,11,9
131,687.244,191.954,0,681,186,13,13
100,718.790,192.100,0,714,187,11,11
75,801.880,193.133,0,796,189,13,9
124,659.306,200.234,0,653,195,14,11
64,795.891,198.281,0,790,195,13,7
99,701.879,202.414,0,698,196,9,13
92,709.707,202.630,0,706,196,9,14
100,685.180,201.810,0,680,197,12,11
65,787.538,201.569,0,782,198,12,8
70,747.443,208.129,0,744,202,9,12
45,752.667,206.533,0,750,203,6,9
122,617.344,209.885,0,611,205,15,11
77,792.325,209.675,0,788,205,10,10
134,638.799,212.948,0,631,208,16,12
60,650.633,212.433,0,646,208,10,10
139,708.007,215.144,0,702,208,13,14
55,628.691,217.127,0,623,214,12,8
125,761.736,220.192,0,756,214,13,14
62,772.339,218.548,0,768,214,9,10
170,782.941,225.671,0,775,219,17,14
105,907.295,234.238,0,902,229,12,11
86,672.244,238.581,0,668,234,10,11
92,709.543,239.489,0,705,234,10,12
85,763.859,243.365,0,757,240,14,9
43,775.140,247.814,0,771,245,9,6
113,917.000,252.000,0,911,247,13,11
81,556.222,253.210,0,551,249,11,10
65,775.031,253.000,0,769,250,13,7
43,769.953,257.070,0,767,252,7,10
49,751.857,256.878,0,747,254,10,8
71,761.423,258.845,0,757,254,10,10
61,747.361,260.016,0,743,255,10,10
104,755.163,268.692,0,752,260,7,18
175,674.457,271.754,0,667,264,17,16
187,496.872,275.930,0,482,272,30,9
68,868.191,273.985,0,860,272,16,6
176,854.074,281.148,0,847,274,16,16
95,879.284,280.642,0,875,275,10,12
140,689.414,284.200,0,684,277,12,15
119,813.908,282.487,0,808,277,13,12
108,869.676,284.454,0,864,277,14,15
173,897.526,289.387,0,891,277,15,24
122,904.730,288.705,0,900,280,10,19
214,883.953,291.860,0,874,283,19,18
131,865.458,291.603,0,858,284,16,16
150,705.953,297.280,0,698,292,17,12
48,875.042,299.146,0,872,294,7,10
55,865.927,300.564,0,862,297,9,8
106,899.217,302.368,0,891,297,17,10
33,872.879,305.909,0,870,302,7,8
34,884.559,304.088,0,881,302,9,5
55,525.218,307.636,0,522,303,8,11
94,850.128,308.394,0,846,303,11,13
53,859.717,306.792,0,856,303,8,9
152,741.579,314.914,0,736,306,14,17
106,615.632,314.226,0,610,309,12,11
58,865.017,312.810,0,859,310,13,6
117,456.744,314.598,0,443,312,28,6
106,459.830,324.972,0,454,320,12,11
33,734.242,322.424,0,731,320,8,6
63,748.746,327.825,0,744,323,10,9
104,734.000,331.288,0,729,326,11,12
93,664.462,341.323,0,660,336,10,12
50,756.200,340.980,0,754,336,6,10
114,770.351,341.272,0,765,336,12,12
35,895.143,341.857,0,892,338,6,8
101,938.297,344.475,0,933,339,12,12
57,488.368,342.053,0,482,340,13,6
99,427.131,347.131,0,422,342,11,12
109,497.174,348.321,0,491,343,13,12
158,889.867,354.222,0,884,343,14,22
173,522.434,359.728,0,517,345,11,28
125,878.096,350.656,0,873,345,11,13
81,758.185,349.926,0,753,346,12,9
63,479.667,352.063,0,476,347,9,12
28,893.036,349.179,0,890,347,7,6
66,768.894,354.212,0,766,349,7,11
96,783.500,355.000,0,779,350,10,11
43,436.279,352.698,0,431,351,12,5
39,850.077,353.103,0,846,351,9,6
76,620.316,356.079,0,616,352,10,10
48,750.000,355.896,0,747,352,7,9
65,493.292,358.523,0,490,354,8,10
123,550.780,360.886,0,545,354,12,15
48,756.979,357.458,0,754,354,7,9
67,851.910,358.657,0,847,354,11,9
138,863.623,360.768,0,857,354,12,18
32,914.000,356.406,0,911,354,7,6
66,527.333,360.788,0,524,355,7,12
63,533.889,361.159,0,531,357,7,10
143,461.615,363.217,0,448,360,28,8
134,753.119,366.433,0,747,360,14,15
65,1037.892,365.738,0,1033,361,10,11
122,415.623,371.500,0,410,362,14,19
124,544.153,367.694,0,537,362,17,11
199,425.176,369.834,0,417,363,18,17
82,435.122,370.695,0,430,363,11,16
112,478.080,370.179,0,473,363,11,14
181,859.564,372.525,0,853,363,14,18
46,668.543,366.826,0,665,364,9,7
92,775.696,367.348,0,768,364,16,9
54,732.130,372.778,0,729,366,7,13
118,404.932,373.466,0,399,368,13,12
32,515.500,370.062,0,512,368,8,5
36,672.083,370.917,0,669,368,7,7
72,849.153,374.097,0,844,369,10,10
44,485.591,375.205,0,482,372,8,7
45,723.733,374.711,0,719,372,10,6
123,526.870,379.610,0,521,373,12,13
204,882.206,378.956,0,871,373,22,15
88,725.432,381.489,0,720,377,12,10
121,771.835,383.066,0,766,378,13,11
79,855.620,384.342,0,852,379,8,12
100,866.050,385.370,0,861,379,12,12
110,651.382,385.991,0,646,380,12,13
111,674.811,385.559,0,670,380,11,12
90,428.211,385.467,0,423,381,11,10
56,451.000,384.679,0,447,381,9,8
50,402.720,389.320,0,398,386,10,8
45,642.178,389.800,0,639,386,7,9
126,809.373,397.143,0,802,387,15,21
63,420.127,391.048,0,414,388,12,7
125,533.224,394.304,0,528,388,11,14
34,657.500,391.853,0,654,389,8,7
127,1055.252,394.787,0,1049,389,13,13
109,763.073,394.321,0,757,390,13,10
60,651.817,395.300,0,647,392,10,9
73,415.274,398.589,0,411,393,9,12
66,455.591,396.197,0,451,393,10,8
94,645.106,398.702,0,640,393,13,11
188,395.941,397.973,0,381,394,31,9
105,422.371,402.076,0,417,395,11,14
170,659.118,402.918,0,653,395,14,18
59,432.034,403.237,0,428,400,9,8
97,444.268,403.773,0,437,400,16,8
108,811.815,406.333,0,805,400,14,12
122,942.352,406.918,0,937,400,11,14
69,464.304,406.072,0,460,401,10,12
64,469.422,407.641,0,465,401,9,13
55,456.655,404.945,0,452,402,10,7
110,1000.909,408.082,0,995,402,12,13
104,1055.788,407.106,0,1051,402,11,11
87,591.368,408.322,0,587,403,10,11
257,397.354,408.144,0,377,404,39,10
113,524.212,412.133,0,518,407,13,11
28,609.821,409.536,0,607,407,7,6
