 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,50,688.420,195.280,41.213,683,188,9,13,0.370,13.153,689,188,98.746,9.000,1.500,0.667,0.599,cell
2,65,719.192,192.715,28.971,715,188,9,9,0.973,10.296,715,196,29.055,9.000,1.058,0.945,0.922,cell
3,193,652.080,203.174,86.326,643,193,21,21,0.325,22.136,645,193,108.435,19.606,1.141,0.876,0.631,cell
4,40,814.525,205.000,30.627,811,201,9,9,0.536,10.296,811,209,29.055,8.043,1.445,0.692,0.667,cell
5,36,747.639,208.000,31.213,745,202,6,11,0.464,11.705,747,202,109.983,5.963,2.301,0.435,0.649,cell
6,59,616.551,210.347,43.456,612,206,10,9,0.393,10.817,612,208,146.310,9.000,1.024,0.976,0.747,cell
7,89,640.028,213.388,34.870,634,208,12,11,0.920,12.369,634,211,165.964,10.733,1.134,0.882,0.881,cell
8,69,762.022,219.848,44.870,757,215,10,11,0.431,12.042,759,215,131.634,10.000,1.064,0.940,0.734,cell
9,72,782.444,226.194,52.426,776,220,12,12,0.329,14.866,778,221,132.274,9.656,1.351,0.740,0.667,cell
10,71,907.641,234.599,30.385,903,230,10,9,0.966,11.402,903,238,37.875,9.000,1.137,0.879,0.910,cell
11,43,672.453,239.012,32.042,669,235,8,9,0.526,10.000,669,242,36.870,8.000,1.348,0.742,0.717,cell
12,59,709.958,239.992,27.556,706,235,8,9,0.976,10.000,707,236,126.870,8.000,1.091,0.917,0.929,cell
13,79,917.424,252.411,31.799,912,248,11,9,0.982,12.083,912,255,24.444,9.000,1.262,0.793,0.919,cell
14,55,556.518,254.173,26.385,552,250,9,8,0.993,9.487,552,253,161.565,8.000,1.075,0.931,0.909,cell
15,92,673.543,270.522,35.213,668,265,11,11,0.932,13.601,670,265,126.027,9.899,1.280,0.781,0.920,cell
16,27,871.204,274.685,21.899,866,273,9,4,0.707,9.487,866,273,161.565,4.000,2.184,0.458,0.900,cell
17,67,857.425,281.455,34.385,853,277,10,11,0.712,14.213,853,288,50.711,8.485,1.792,0.558,0.843,cell
18,99,689.783,284.591,37.799,685,278,10,13,0.871,14.318,687,291,65.225,9.839,1.456,0.687,0.917,cell
19,89,814.287,282.871,33.799,809,278,11,10,0.979,12.207,809,286,34.992,10.000,1.100,0.909,0.922,cell
20,33,704.530,299.045,23.556,700,296,9,6,0.747,9.849,700,302,23.962,5.491,2.008,0.498,0.815,cell
21,69,615.949,314.587,29.799,611,310,10,9,0.976,10.817,613,319,56.310,9.000,1.131,0.884,0.914,cell
22,46,454.000,314.783,36.728,445,313,17,4,0.429,17.263,445,313,169.992,4.000,4.919,0.203,0.852,cell
23,49,459.724,325.827,40.284,456,321,9,9,0.379,10.296,456,329,29.055,9.000,1.051,0.952,0.721,cell
24,56,664.786,341.143,26.971,661,337,8,9,0.967,9.849,663,346,66.038,8.000,1.114,0.898,0.911,cell
25,44,938.568,344.841,36.971,935,341,8,8,0.405,10.000,935,348,36.870,8.000,1.207,0.829,0.746,cell
26,71,427.711,347.162,29.799,423,342,9,10,1.000,11.180,426,342,116.565,9.000,1.133,0.883,0.922,cell
27,26,620.308,356.615,32.627,617,353,7,7,0.307,8.602,617,359,35.538,7.000,1.185,0.844,0.578,cell
28,36,918.389,360.389,30.385,913,355,9,10,0.490,11.662,914,365,59.036,7.324,1.931,0.518,0.610,cell
29,90,1034.222,369.478,52.184,1027,362,14,13,0.415,15.000,1028,374,36.870,12.548,1.240,0.807,0.657,cell
30,90,405.389,374.011,33.799,400,369,11,10,0.990,12.207,400,377,34.992,10.000,1.137,0.880,0.938,cell
31,68,726.088,381.941,29.556,721,378,10,8,0.978,11.180,721,384,26.565,8.000,1.256,0.796,0.938,cell
32,94,772.106,383.277,34.627,766,378,12,10,0.985,12.649,766,382,161.565,10.000,1.198,0.835,0.922,cell
33,54,675.130,385.241,38.385,671,381,8,9,0.461,10.817,672,390,56.310,8.000,1.111,0.900,0.794,cell
34,64,428.500,385.922,28.728,424,382,9,8,0.974,11.402,424,382,142.125,8.000,1.229,0.814,0.955,cell
35,111,533.779,394.752,39.213,529,388,10,14,0.907,14.560,531,388,105.945,10.000,1.412,0.708,0.921,cell
36,89,1055.612,395.354,34.042,1050,390,11,11,0.965,12.530,1050,398,28.610,9.899,1.229,0.813,0.918,cell
37,29,940.500,405.983,26.142,938,401,5,10,0.533,10.770,939,411,68.199,4.465,3.050,0.328,0.716,cell
38,55,1056.573,407.591,38.870,1052,402,9,10,0.457,10.770,1055,402,111.801,9.000,1.207,0.829,0.759,cell
39,58,591.776,408.586,26.971,588,404,8,9,1.000,10.000,589,413,53.130,8.000,1.086,0.921,0.913,cell
40,42,1000.548,408.143,29.213,997,404,8,9,0.618,9.849,999,404,113.962,7.799,1.414,0.707,0.712,cell
41,77,524.721,412.630,31.213,519,408,11,9,0.993,11.402,519,412,164.745,9.000,1.170,0.855,0.928,cell
42,91,426.027,424.005,36.627,421,419,12,11,0.852,13.416,421,427,26.565,11.000,1.151,0.869,0.867,cell
