 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,58,774.310,187.621,32.042,770,183,10,10,0.710,12.207,771,193,55.008,7.778,1.793,0.558,0.800
2,54,782.741,190.519,32.627,779,184,8,13,0.637,13.038,783,184,94.399,7.491,1.857,0.539,0.750
3,52,718.904,192.827,40.042,715,188,9,9,0.408,10.296,716,197,60.945,9.000,1.053,0.950,0.743
4,138,773.428,197.768,74.669,763,188,19,18,0.311,24.839,763,188,139.899,12.403,2.207,0.453,0.660
5,84,792.190,196.690,43.698,785,191,16,11,0.553,17.464,785,193,156.371,8.287,2.768,0.361,0.721
6,28,801.607,193.821,23.556,797,191,9,5,0.634,9.220,797,193,167.471,4.903,1.989,0.503,0.757
7,136,649.824,204.081,65.598,643,193,16,21,0.397,22.136,645,193,108.435,12.459,2.171,0.461,0.614
8,36,687.528,196.972,24.142,683,194,8,7,0.776,10.630,683,194,138.814,6.102,1.964,0.509,0.857
9,49,657.847,200.459,31.799,654,197,10,8,0.609,10.817,655,205,33.690,8.000,1.249,0.801,0.766
10,67,702.276,203.216,37.213,698,197,9,11,0.608,13.038,699,208,57.529,9.000,1.520,0.658,0.770
11,52,710.346,203.154,31.213,707,197,7,12,0.671,13.416,707,197,116.565,6.871,2.084,0.480,0.846
12,77,789.396,205.227,51.941,783,199,12,15,0.359,18.028,785,199,123.690,10.262,2.011,0.497,0.595
13,40,814.525,205.000,30.627,811,201,9,9,0.536,10.296,811,209,29.055,8.043,1.445,0.692,0.667
14,59,616.551,210.347,43.456,612,206,10,9,0.393,10.817,612,208,146.310,9.000,1.024,0.976,0.747
15,41,641.134,211.354,31.799,634,208,12,8,0.510,12.369,634,211,165.964,6.803,2.265,0.441,0.646
16,54,708.074,212.315,36.627,700,209,14,7,0.506,14.866,700,211,160.346,7.000,2.272,0.440,0.715
17,27,638.500,216.130,22.385,634,213,9,6,0.677,10.296,634,213,150.945,4.919,2.253,0.444,0.794
18,36,759.694,220.639,26.142,757,215,5,11,0.662,11.402,759,215,105.255,5.000,2.404,0.416,0.828
19,30,764.867,219.233,22.142,762,215,5,9,0.769,10.296,762,215,119.055,5.000,2.348,0.426,0.857
20,63,708.722,222.008,40.385,704,217,10,10,0.485,12.806,706,227,51.340,9.701,1.299,0.770,0.768
21,72,782.444,226.194,52.426,776,220,12,12,0.329,14.866,778,221,132.274,9.656,1.351,0.740,0.667
22,63,907.595,234.786,40.042,903,230,10,9,0.494,11.402,903,238,37.875,9.000,1.173,0.852,0.813
23,43,672.453,239.012,32.042,669,235,8,9,0.526,10.000,669,242,36.870,8.000,1.348,0.742,0.717
24,34,765.294,243.441,24.142,760,241,10,5,0.733,10.770,760,242,158.199,4.608,2.702,0.370,0.850
25,45,764.033,249.878,28.728,758,247,11,6,0.685,12.083,758,252,24.444,6.000,2.101,0.476,0.826
26,66,917.182,252.288,44.284,912,248,11,9,0.423,12.083,912,255,24.444,9.000,1.268,0.789,0.767
27,42,556.500,254.548,38.284,552,250,9,8,0.360,9.487,552,253,161.565,8.000,1.160,0.862,0.694
28,68,772.265,255.191,35.213,768,250,11,11,0.689,12.806,769,261,38.660,9.603,1.381,0.724,0.782
29,109,758.234,260.289,54.426,748,255,18,12,0.462,19.313,748,255,158.749,12.000,1.576,0.634,0.673
30,34,748.000,260.912,23.799,744,257,9,7,0.754,10.296,744,258,150.945,5.310,2.211,0.452,0.810
31,81,673.389,270.463,48.527,668,265,11,11,0.432,13.601,670,265,126.027,9.899,1.271,0.787,0.810
32,108,766.741,270.648,52.770,759,265,18,11,0.487,20.591,759,265,150.945,9.701,2.331,0.429,0.771
33,113,887.518,277.491,59.841,878,270,19,15,0.397,20.248,878,271,159.775,11.772,1.920,0.521,0.657
34,27,871.204,274.685,21.899,866,273,9,4,0.707,9.487,866,273,161.565,4.000,2.184,0.458,0.900
35,49,878.929,280.745,27.556,875,276,7,10,0.811,10.440,878,276,106.699,6.864,1.625,0.615,0.875
36,67,857.425,281.455,34.385,853,277,10,11,0.712,14.213,853,288,50.711,8.485,1.792,0.558,0.843
37,88,689.682,284.443,53.113,685,278,10,13,0.392,14.318,687,291,65.225,9.839,1.473,0.679,0.815
38,89,814.287,282.871,33.799,809,278,11,10,0.979,12.207,809,286,34.992,10.000,1.100,0.909,0.922
