Area,X,Y,Perim.,BX,BY,Width,Height
185,649.368,100.092,0,642,91,16,19
134,738.224,118.418,0,731,113,16,12
281,554.847,128.374,0,546,118,17,22
90,778.600,146.989,0,773,142,12,11
99,619.949,151.394,0,615,146,12,11
260,638.196,160.458,0,629,154,22,16
175,658.789,173.863,0,656,155,6,38
358,836.631,167.464,0,826,155,21,23
56,436.857,165.732,0,432,163,11,6
175,440.051,175.709,0,431,169,17,15
138,512.109,177.399,0,505,172,15,12
162,428.704,180.562,0,421,174,17,13
50,877.420,179.680,0,873,175,9,9
80,855.087,183.050,0,851,178,9,11
59,868.949,188.373,0,867,182,5,13
135,556.563,193.059,0,551,187,13,13
84,889.155,197.476,0,884,193,11,10
72,833.236,201.708,0,829,197,10,10
134,819.284,205.522,0,813,199,13,14
185,397.957,208.768,0,390,201,16,16
95,542.368,207.537,0,537,203,12,10
96,621.833,207.833,0,617,203,11,11
92,697.815,219.946,0,693,215,11,11
119,440.807,221.277,0,435,216,13,12
83,424.410,221.880,0,420,217,10,11
19,203.053,227.368,0,201,225,5,6
83,420.422,230.096,0,416,225,11,11
113,379.212,238.000,0,374,232,11,13
24,538.333,235.042,0,536,233,6,5
45,902.133,236.933,0,899,234,8,7
93,362.677,241.968,0,358,237,12,11
23,179.478,243.609,0,177,241,6,6
121,738.496,250.223,0,731,245,15,11
27,1275.852,250.815,0,1274,248,5,7
165,515.624,255.194,0,508,249,16,13
56,487.589,256.804,0,485,252,7,10
221,368.113,261.665,0,360,254,17,16
260,644.046,265.096,0,635,257,20,18
177,689.910,264.876,0,683,258,16,14
111,887.153,267.676,0,880,262,14,12
196,452.245,278.587,0,447,267,13,23
127,480.709,273.622,0,475,267,11,15
78,804.962,271.859,0,800,268,11,9
155,396.710,274.310,0,390,269,15,12
76,895.947,273.566,0,891,269,11,10
48,781.500,275.500,0,778,272,8,8
86,883.837,277.767,0,879,272,10,12
64,670.750,279.109,0,667,275,9,9
77,783.779,287.610,0,780,283,9,10
93,850.097,292.935,0,845,288,11,11
178,498.416,300.084,0,492,292,14,19
59,867.186,300.898,0,864,294,7,14
70,405.986,300.471,0,401,296,10,10
125,728.096,301.120,0,722,296,13,12
141,428.879,304.362,0,423,297,12,16
141,529.574,304.475,0,519,298,18,13
72,452.708,304.361,0,448,300,10,10
71,814.085,306.944,0,811,301,7,12
36,859.389,307.667,0,857,304,6,8
196,787.510,323.036,0,781,311,13,22
58,947.500,316.862,0,943,313,10,8
31,491.000,320.548,0,488,318,7,6
89,679.225,325.730,0,674,321,11,11
165,696.618,329.697,0,689,323,17,14
131,597.763,331.580,0,592,326,13,12
153,950.046,334.425,0,945,327,12,15
79,902.380,338.152,0,898,333,9,11
107,330.075,346.262,0,325,340,10,13
67,365.582,349.507,0,361,345,9,10
71,896.549,353.000,0,892,349,10,9
69,51.710,354.870,0,48,351,9,9
32,722.875,360.219,0,720,357,6,7
74,585.892,364.473,0,582,360,9,10
103,909.515,369.010,0,904,364,12,11
66,333.182,373.606,0,329,369,9,10
62,712.661,373.742,0,709,370,9,9
88,675.920,375.205,0,671,371,11,10
72,914.653,376.750,0,909,373,13,10
63,614.222,379.032,0,610,375,10,9
56,866.839,381.804,0,864,376,6,13
57,916.316,381.561,0,911,378,11,8
179,715.626,387.777,0,707,381,16,15
102,332.088,386.843,0,327,382,11,12
69,281.333,391.304,0,279,385,6,14
104,295.952,390.779,0,290,385,12,13
149,902.711,391.483,0,896,385,14,15
165,383.061,396.764,0,377,387,16,17
115,402.113,392.217,0,396,387,13,12
88,392.125,394.375,0,388,389,10,12
59,457.339,394.017,0,454,390,8,9
127,802.701,397.709,0,797,392,13,13
37,1275.919,395.162,0,1273,392,7,7
70,819.043,400.900,0,815,397,10,9
243,411.523,412.568,0,402,405,20,18
94,295.745,413.638,0,291,408,10,12
294,353.684,420.037,0,345,409,20,21
113,923.929,418.044,0,918,411,12,13
111,883.477,417.919,0,878,412,12,13
174,369.994,419.443,0,360,413,20,15
102,419.235,420.775,0,413,415,12,12
68,596.721,421.338,0,592,418,10,8
49,656.837,421.286,0,653,418,9,8
136,334.765,425.206,0,329,419,13,13
90,894.711,426.422,0,890,421,10,12
247,456.324,431.806,0,448,422,16,22
130,716.238,428.600,0,710,422,14,15
82,706.293,428.476,0,702,423,9,11
143,923.776,429.490,0,917,424,14,12
70,698.557,434.129,0,695,429,8,11
93,467.699,434.742,0,463,430,11,11
58,713.655,437.241,0,710,432,9,10
61,705.852,437.115,0,702,434,9,8
127,375.315,442.465,0,370,436,12,13
58,699.397,443.362,0,696,439,9,10
78,963.321,452.526,0,958,449,11,9
252,499.036,465.647,0,492,456,15,21
196,975.551,465.592,0,968,458,16,17
176,328.756,473.017,0,322,467,15,13
152,422.961,478.336,0,416,473,15,12
90,568.000,480.133,0,563,475,10,11
129,953.186,483.674,0,948,476,11,15
56,561.339,485.446,0,558,481,8,10
181,364.641,492.055,0,357,485,17,14
