 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,738.056,119.167,22.385,735,115,7,8,0.903,8.602,736,115,125.538,6.364,1.443,0.693,0.847
2,64,556.609,123.375,30.728,552,119,9,9,0.852,11.402,552,127,37.875,8.825,1.134,0.882,0.889
3,31,563.887,126.952,20.728,561,124,6,7,0.907,8.062,561,124,119.745,6.000,1.258,0.795,0.873
4,117,555.987,133.722,41.698,549,128,14,12,0.846,14.213,551,128,129.289,12.000,1.139,0.878,0.883
5,32,766.281,138.469,28.728,760,137,13,3,0.487,13.342,760,140,12.995,3.000,4.614,0.217,0.877
6,40,748.850,139.200,37.899,741,138,18,3,0.350,18.111,741,140,6.340,3.000,6.655,0.150,0.870
7,59,778.856,147.585,27.556,775,143,8,9,0.976,10.817,776,143,123.690,8.000,1.333,0.750,0.915
8,32,766.500,147.250,35.314,758,146,16,3,0.322,16.125,758,148,7.125,3.000,6.124,0.163,0.762
9,67,468.336,151.634,46.728,457,150,22,4,0.386,22.204,457,150,172.235,4.000,6.701,0.149,0.870
10,48,455.792,163.562,38.728,454,155,4,17,0.402,17.464,454,155,103.241,4.000,5.258,0.190,0.821
11,65,635.623,163.377,29.556,631,159,9,9,0.935,10.817,632,159,123.690,8.854,1.163,0.860,0.915
12,27,869.463,176.167,22.485,868,171,3,10,0.671,10.198,868,181,78.690,3.000,3.140,0.318,0.947
13,48,513.583,176.833,26.971,508,173,10,7,0.829,10.440,508,178,16.699,7.000,1.430,0.699,0.857
14,104,430.240,181.471,47.941,423,176,14,12,0.569,16.401,424,177,142.431,11.142,1.396,0.717,0.785
15,51,877.186,180.284,27.213,873,176,9,8,0.865,9.220,874,177,130.601,8.000,1.077,0.928,0.864
16,61,449.385,183.680,33.799,445,178,8,11,0.671,12.083,447,189,65.556,8.000,1.750,0.572,0.819
17,56,855.304,183.446,27.213,851,179,9,9,0.950,9.487,854,179,108.435,8.485,1.073,0.932,0.882
18,36,869.472,188.667,28.485,868,182,3,13,0.558,13.153,868,195,81.254,3.000,4.123,0.243,0.960
19,51,889.500,198.108,26.385,885,194,9,8,0.921,9.487,885,197,161.565,8.000,1.181,0.847,0.872
20,53,833.557,202.142,26.385,829,198,9,8,0.957,9.487,829,201,161.565,8.000,1.137,0.880,0.891
21,47,914.904,204.883,41.598,908,198,14,15,0.341,20.518,908,198,133.025,4.243,6.814,0.147,0.667
22,54,820.426,207.481,26.385,816,203,8,9,0.975,10.296,818,203,119.055,8.000,1.275,0.784,0.893
23,57,542.956,207.904,27.213,538,204,10,8,0.967,10.770,538,210,21.801,8.000,1.361,0.734,0.891
24,45,622.033,207.367,24.142,618,204,8,7,0.970,9.220,619,204,130.601,7.000,1.233,0.811,0.909
25,60,698.000,220.717,28.627,693,216,10,9,0.920,10.296,695,225,60.945,8.485,1.191,0.840,0.876
26,67,441.246,221.560,29.213,436,217,10,9,0.987,10.770,436,220,158.199,9.000,1.142,0.876,0.912
27,60,424.167,224.017,34.870,420,218,8,13,0.620,13.601,423,231,72.897,6.957,2.172,0.460,0.795
28,85,377.476,237.865,40.284,370,233,13,10,0.658,13.928,370,235,158.962,10.000,1.368,0.731,0.810
29,26,660.423,238.692,22.485,659,234,3,10,0.646,10.198,659,234,101.310,3.000,3.110,0.322,0.929
30,49,741.153,250.724,25.556,737,247,8,8,0.943,10.000,738,247,126.870,7.603,1.358,0.736,0.899
31,43,517.430,255.988,22.971,514,252,7,8,1.000,8.944,515,252,116.565,7.000,1.181,0.847,0.896
32,54,693.130,266.981,26.142,689,263,8,8,0.993,10.000,690,271,53.130,8.000,1.148,0.871,0.931
33,62,888.468,267.968,28.627,884,263,9,10,0.951,10.817,885,272,56.310,7.778,1.341,0.746,0.899
34,26,644.000,266.500,17.314,641,264,6,5,1.000,6.708,641,265,153.435,5.000,1.184,0.845,0.929
35,45,480.367,271.767,24.385,476,268,8,8,0.951,8.602,477,269,125.538,8.000,1.023,0.977,0.865
36,61,805.418,272.156,27.556,801,268,9,8,1.000,10.296,801,275,29.055,8.000,1.168,0.856,0.938
37,51,895.971,273.873,26.971,892,270,8,8,0.881,10.000,892,271,143.130,8.000,1.142,0.876,0.895
38,58,396.776,275.121,34.870,391,271,11,8,0.599,11.402,391,276,15.255,8.000,1.444,0.693,0.795
39,104,453.260,279.769,42.284,449,272,10,16,0.731,16.492,451,288,75.964,10.000,1.867,0.536,0.849
40,46,884.543,278.804,24.385,880,275,8,8,0.972,9.434,882,275,122.005,7.071,1.330,0.752,0.902
41,47,670.926,279.521,24.142,667,276,8,7,1.000,9.434,667,277,147.995,7.000,1.228,0.814,0.931
42,58,784.138,287.724,26.971,780,283,8,9,1.000,10.296,782,283,119.055,8.000,1.199,0.834,0.913
43,56,727.304,301.589,26.385,723,297,8,9,1.000,10.000,724,298,126.870,8.000,1.211,0.825,0.911
44,32,407.562,301.500,20.971,404,298,7,7,0.914,7.616,406,298,113.199,6.656,1.161,0.861,0.831
45,67,429.440,303.963,29.213,425,299,9,10,0.987,11.180,427,299,116.565,8.944,1.242,0.805,0.899
46,57,531.816,304.763,27.556,528,300,8,9,0.943,10.630,528,301,131.186,8.000,1.205,0.830,0.912
47,64,815.812,308.656,37.213,812,302,10,12,0.581,13.892,814,302,120.256,9.540,1.632,0.613,0.727
48,43,947.756,317.198,24.142,944,314,8,7,0.927,8.944,944,315,153.435,7.000,1.113,0.899,0.887
49,52,679.846,325.788,25.556,676,322,8,8,1.000,10.000,676,329,36.870,7.778,1.286,0.778,0.929
50,45,699.767,328.856,23.556,696,325,8,7,1.000,9.220,697,325,130.601,7.000,1.234,0.810,0.918
51,78,801.962,338.321,40.870,796,332,11,15,0.587,15.232,797,333,113.199,8.859,2.054,0.487,0.722
52,48,902.312,338.542,26.142,899,334,7,9,0.883,10.296,900,343,60.945,7.000,1.492,0.670,0.881
53,27,787.426,343.907,17.899,785,341,5,6,1.000,7.211,785,341,123.690,5.000,1.210,0.826,0.947
54,43,366.407,350.081,23.556,363,346,7,8,0.974,8.944,365,346,116.565,7.000,1.213,0.824,0.896
55,54,586.241,364.648,26.385,582,360,8,9,0.975,10.296,584,360,119.055,7.778,1.322,0.756,0.908
56,137,303.668,370.252,58.426,297,361,15,16,0.504,17.889,300,377,63.435,14.439,1.137,0.879,0.755
57,50,333.340,373.580,25.556,330,369,7,9,0.962,9.849,331,378,66.038,7.000,1.327,0.754,0.909
58,30,483.967,373.633,20.385,481,370,6,7,0.907,7.616,483,370,113.199,6.000,1.257,0.796,0.845
59,29,712.914,374.293,20.385,710,371,6,7,0.877,7.616,712,378,66.801,6.000,1.326,0.754,0.841
60,43,676.686,375.360,24.142,673,372,8,7,0.927,8.602,673,373,144.462,7.000,1.037,0.964,0.887
61,28,914.464,377.500,21.556,911,375,8,6,0.757,9.434,911,381,32.005,5.145,2.054,0.487,0.824
62,32,999.469,382.531,26.142,995,379,9,6,0.588,10.817,995,385,33.690,4.919,2.388,0.419,0.800
63,58,332.483,386.741,27.556,328,383,9,8,0.960,10.296,328,389,29.055,8.000,1.161,0.861,0.913
64,26,714.846,389.615,17.899,712,387,6,5,1.000,7.810,712,387,140.194,5.000,1.392,0.719,0.945
65,42,904.452,390.571,22.971,901,387,7,8,1.000,8.944,902,387,116.565,7.000,1.172,0.853,0.894
66,67,383.963,394.396,38.627,380,388,8,12,0.564,12.166,383,388,99.462,8.000,1.462,0.684,0.827
67,38,391.632,395.079,24.971,388,391,7,8,0.766,10.000,388,391,126.870,6.957,1.455,0.687,0.826
68,41,804.549,400.354,22.728,801,397,7,7,0.997,9.220,801,403,40.601,7.000,1.298,0.770,0.932
69,47,819.351,401.500,24.971,815,398,9,7,0.947,9.849,815,399,156.038,7.000,1.329,0.753,0.895
70,74,296.446,414.162,34.627,292,409,11,10,0.776,11.705,292,412,160.017,10.000,1.164,0.859,0.855
71,62,412.226,414.871,30.385,408,410,8,11,0.844,11.705,410,410,109.983,8.000,1.449,0.690,0.873
72,26,885.038,419.462,18.971,882,416,6,7,0.908,8.062,883,423,60.255,4.950,1.815,0.551,0.825
73,68,419.426,421.412,30.385,414,417,10,9,0.926,10.817,414,423,33.690,9.000,1.134,0.882,0.901
74,46,597.196,422.000,24.142,593,419,9,6,0.992,9.487,593,420,161.565,6.000,1.435,0.697,0.939
75,35,657.329,421.814,20.728,654,419,7,6,1.000,8.062,654,424,29.745,6.000,1.245,0.803,0.921
76,50,335.340,424.000,24.971,331,420,8,8,1.000,9.434,333,420,122.005,7.778,1.159,0.863,0.917
77,25,811.980,424.340,20.728,810,421,5,7,0.731,7.616,810,421,113.199,5.000,1.676,0.597,0.820
78,44,895.023,426.386,24.971,891,422,7,9,0.887,10.296,893,422,119.055,6.641,1.650,0.606,0.889
79,53,706.670,428.104,26.728,703,423,7,9,0.932,10.296,703,432,60.945,7.000,1.279,0.782,0.946
80,99,717.106,429.662,41.113,711,423,12,14,0.736,16.279,711,424,132.510,9.604,1.910,0.523,0.835
81,38,926.737,430.947,22.728,924,427,6,8,0.924,9.434,924,427,122.005,6.000,1.600,0.625,0.905
82,52,458.115,431.885,25.556,454,428,8,8,1.000,9.434,454,434,32.005,8.000,1.142,0.876,0.920
83,46,699.109,434.326,26.142,696,429,6,10,0.846,10.770,697,439,68.199,6.000,1.868,0.535,0.893
84,48,468.000,434.375,24.728,464,431,8,7,0.986,9.434,464,432,147.995,7.000,1.157,0.865,0.932
85,57,706.377,437.167,27.556,702,433,8,9,0.943,10.296,705,442,60.945,8.000,1.159,0.863,0.919
86,48,714.000,437.896,24.971,711,433,7,9,0.967,10.296,711,433,119.055,7.000,1.354,0.739,0.923
87,53,375.594,443.443,27.799,372,438,8,10,0.862,10.440,374,448,73.301,8.000,1.190,0.840,0.855
88,37,700.284,443.959,22.971,697,440,7,8,0.881,9.434,697,448,57.995,6.364,1.440,0.694,0.860
89,25,701.740,450.540,17.314,699,448,6,5,1.000,7.211,699,448,146.310,5.000,1.293,0.773,0.926
90,73,978.130,468.240,34.627,971,464,12,10,0.765,13.892,971,465,149.744,8.485,1.696,0.589,0.854
91,57,419.412,479.237,28.627,415,474,9,10,0.874,10.440,418,484,73.301,8.485,1.234,0.811,0.851
92,46,568.174,481.326,24.385,564,477,8,8,0.972,9.434,564,479,147.995,7.766,1.281,0.780,0.868
93,34,757.235,482.500,20.142,754,479,6,7,1.000,7.616,756,479,113.199,6.000,1.156,0.865,0.919
94,40,561.850,485.850,22.142,559,482,6,8,1.000,8.602,560,490,54.462,6.000,1.249,0.801,0.920
95,46,952.696,486.217,24.142,949,482,7,8,0.992,9.434,950,490,57.995,7.000,1.263,0.791,0.929
96,35,504.071,488.786,20.971,501,485,6,8,1.000,8.602,502,485,125.538,6.000,1.388,0.720,0.886
97,29,365.121,492.534,27.799,362,489,7,7,0.472,8.062,362,490,150.255,7.000,1.302,0.768,0.707
98,57,385.395,499.518,27.213,381,495,9,9,0.967,10.296,383,495,119.055,8.050,1.262,0.793,0.884
99,38,679.474,498.684,22.971,675,495,8,7,0.905,9.434,675,501,32.005,6.364,1.528,0.654,0.864
100,48,564.458,502.062,36.284,559,498,11,8,0.458,13.038,559,505,32.471,7.649,1.826,0.548,0.701
101,26,571.462,504.692,20.142,568,501,6,7,0.805,8.602,569,508,54.462,4.919,1.988,0.503,0.812
102,58,395.034,512.810,27.799,391,508,8,9,0.943,10.630,391,516,41.186,8.000,1.223,0.818,0.913
103,37,556.122,511.041,21.556,552,508,8,6,1.000,8.602,553,514,35.538,6.000,1.264,0.791,0.892
104,29,871.362,518.052,25.556,868,515,8,7,0.558,9.220,869,522,40.601,6.791,1.516,0.660,0.667
105,36,674.194,520.861,21.556,671,517,6,8,0.974,8.944,672,517,116.565,6.000,1.435,0.697,0.900
106,60,399.983,533.600,27.556,396,529,8,9,0.993,10.296,398,529,119.055,8.000,1.158,0.863,0.930
107,34,401.882,542.176,20.728,399,539,6,7,0.994,8.062,400,546,60.255,6.000,1.132,0.884,0.907
108,36,524.667,545.722,20.971,521,542,7,7,1.000,8.062,521,544,150.255,6.708,1.189,0.841,0.878
