Area,X,Y,Perim.,BX,BY,Width,Height
192,670.120,96.917,0,661,91,20,14
137,695.270,104.102,0,692,92,7,28
92,711.391,121.109,0,706,117,12,9
1790,674.297,148.312,0,647,125,53,46
79,816.025,137.101,0,811,133,10,10
75,744.707,141.200,0,741,137,9,10
149,436.107,151.644,0,427,143,21,20
131,451.595,157.305,0,449,146,7,23
118,797.373,162.314,0,791,157,13,12
128,736.016,164.898,0,729,159,14,12
41,761.561,165.585,0,755,164,14,4
45,748.200,166.400,0,743,165,12,4
57,738.053,174.561,0,735,170,7,10
78,820.859,176.603,0,818,170,7,14
161,429.224,173.311,0,414,171,31,6
95,812.537,179.021,0,807,173,11,13
107,830.598,177.308,0,823,173,16,10
1122,518.097,193.377,0,500,175,39,41
373,582.217,192.960,0,572,175,25,32
91,453.868,187.165,0,450,180,11,15
90,798.833,185.756,0,793,181,12,10
68,838.015,192.912,0,832,189,13,9
79,768.354,198.899,0,763,195,11,9
98,757.276,209.337,0,752,205,13,10
200,786.140,207.965,0,765,205,47,7
215,908.144,223.498,0,905,206,8,37
123,392.130,215.642,0,375,213,33,6
118,582.585,218.051,0,577,213,13,12
328,779.884,227.034,0,769,217,21,25
718,469.808,233.584,0,457,218,28,33
983,437.567,235.788,0,415,219,41,32
314,808.255,228.382,0,797,220,23,19
99,370.101,237.566,0,368,227,5,23
135,923.681,243.533,0,909,241,30,6
194,785.763,244.789,0,763,242,45,6
147,933.034,255.279,0,927,248,13,16
131,356.809,252.290,0,345,250,25,6
144,799.819,260.903,0,793,254,15,17
166,354.693,259.066,0,341,255,28,8
85,915.824,263.859,0,910,259,12,10
257,482.307,272.840,0,475,263,15,21
291,498.340,293.859,0,495,263,8,62
95,818.663,267.453,0,813,263,12,10
69,798.928,272.609,0,795,268,9,10
99,893.545,272.414,0,888,268,14,11
73,563.247,275.192,0,559,271,10,9
123,894.041,280.252,0,885,272,18,16
114,549.421,279.096,0,539,275,19,9
82,932.780,280.329,0,928,275,10,11
102,650.765,282.265,0,646,276,12,12
73,332.164,287.041,0,330,278,6,17
48,788.979,281.188,0,785,278,9,7
85,394.965,287.000,0,390,282,11,11
32,543.312,284.344,0,540,282,8,6
90,896.644,286.444,0,889,282,15,9
133,915.406,291.158,0,911,282,10,19
113,905.973,291.814,0,901,286,11,15
96,516.531,292.969,0,511,288,12,11
84,644.845,293.750,0,640,289,11,10
99,845.636,295.828,0,840,291,12,10
46,921.348,296.087,0,919,291,6,10
75,633.720,296.280,0,629,292,10,10
79,668.051,298.456,0,664,294,9,10
101,480.673,303.158,0,475,298,12,11
94,895.277,313.074,0,889,307,13,12
121,519.149,314.116,0,513,309,14,11
120,878.775,313.333,0,870,309,17,10
108,794.843,315.000,0,789,310,14,10
66,819.530,313.879,0,815,310,10,9
93,810.161,316.710,0,803,312,14,11
97,531.124,318.515,0,526,313,11,12
128,487.781,324.547,0,481,319,15,12
88,746.352,324.330,0,741,319,11,11
75,932.960,322.867,0,928,319,11,9
104,429.817,330.135,0,424,325,13,11
289,794.083,336.422,0,775,328,34,21
50,739.340,333.480,0,737,329,6,10
106,446.736,336.906,0,441,332,13,11
100,474.200,340.280,0,468,335,13,11
69,663.290,338.971,0,659,335,10,9
105,837.362,340.114,0,832,335,12,11
91,501.055,348.560,0,499,337,5,25
83,561.759,344.880,0,557,340,10,12
71,707.296,347.479,0,703,342,10,11
58,764.397,347.190,0,761,342,7,11
38,719.632,350.763,0,717,348,7,7
92,731.446,356.457,0,727,351,10,12
66,442.379,356.061,0,438,352,9,10
91,641.978,356.549,0,637,352,11,10
140,723.343,364.171,0,718,357,12,15
101,788.059,362.465,0,783,357,11,12
117,739.718,364.752,0,735,358,11,14
80,712.850,366.288,0,709,361,9,11
127,978.945,366.441,0,970,361,17,11
83,498.614,366.301,0,494,362,10,11
43,732.698,366.907,0,730,363,6,9
108,462.019,372.324,0,457,366,11,13
67,798.821,370.627,0,794,366,9,11
103,789.942,372.369,0,784,368,13,10
242,502.975,395.934,0,500,370,8,53
143,709.748,377.210,0,704,371,12,14
87,727.632,378.529,0,724,371,9,17
92,912.467,374.978,0,907,371,12,9
100,979.770,376.030,0,973,371,13,12
86,988.500,375.360,0,984,371,10,11
86,971.709,379.535,0,967,374,11,11
133,749.053,380.376,0,741,375,16,11
67,958.224,379.403,0,954,375,9,10
27,964.963,379.037,0,963,376,5,7
222,483.104,385.734,0,474,378,20,16
131,527.374,386.954,0,522,380,12,14
73,634.795,385.411,0,630,381,10,10
156,867.942,388.378,0,861,381,14,16
138,907.732,403.341,0,906,381,5,41
80,963.413,386.312,0,957,382,13,10
84,977.833,386.893,0,973,382,11,11
57,624.070,386.895,0,620,384,10,7
36,734.556,387.056,0,732,384,7,7
42,970.619,389.238,0,968,385,6,9
81,820.259,391.025,0,815,387,11,9
98,939.531,391.633,0,934,387,12,11
72,692.778,398.111,0,688,394,10,9
73,980.740,398.219,0,975,395,12,8
66,629.667,399.242,0,625,396,10,8
39,1000.308,399.641,0,996,397,9,6
80,488.212,403.062,0,483,399,11,10
106,441.717,405.981,0,435,401,14,11
64,789.484,408.828,0,785,405,10,9
76,924.842,414.513,0,921,409,8,13
63,816.206,414.714,0,811,411,10,9
78,439.577,420.179,0,435,415,9,11
151,426.358,426.404,0,421,419,15,18
107,415.776,425.953,0,410,421,12,11
83,913.795,424.578,0,908,421,12,9
91,905.099,429.670,0,899,425,14,10
56,916.946,432.786,0,914,428,7,10
188,944.378,436.872,0,936,430,17,17
61,512.738,437.557,0,510,432,7,13
79,908.291,443.924,0,906,437,6,15
85,891.541,443.259,0,887,439,11,10
63,516.349,446.476,0,511,442,10,10
32,653.344,447.312,0,649,445,9,5
292,492.582,455.866,0,478,447,25,20
116,513.586,454.888,0,509,447,11,15
77,692.701,451.299,0,687,447,12,9
127,920.197,451.606,0,912,447,20,9
123,656.951,453.057,0,648,448,17,11
51,667.529,452.235,0,664,448,8,10
50,674.000,451.880,0,671,448,7,9
108,993.750,450.963,0,982,449,25,5
171,955.053,451.889,0,932,450,46,5
105,474.305,456.733,0,469,451,11,14
207,887.304,453.850,0,866,452,47,7
116,845.241,454.905,0,824,453,40,5
93,645.032,460.624,0,641,454,9,14
55,482.891,458.855,0,479,455,9,8
167,720.168,458.479,0,707,455,31,9
41,534.585,458.561,0,531,456,8,6
63,652.397,459.556,0,648,456,10,9
149,907.268,466.396,0,900,456,14,19
70,631.771,460.757,0,623,459,18,5
107,653.477,467.645,0,647,462,13,12
90,680.478,467.789,0,676,462,10,12
60,289.083,468.883,0,283,467,14,5
138,581.268,472.848,0,573,467,17,13
208,384.077,493.312,0,381,471,7,44
165,342.400,488.745,0,340,472,6,35
145,368.034,478.166,0,361,472,15,14
121,884.636,478.488,0,879,473,13,12
111,506.523,486.568,0,504,474,6,25
145,990.186,486.593,0,984,476,13,20
186,491.694,486.495,0,482,481,20,12
98,831.541,487.408,0,826,483,12,10
101,930.188,488.990,0,924,484,13,10
205,622.595,491.980,0,614,485,22,16
181,880.608,496.044,0,873,487,16,18
31,636.000,493.226,0,633,491,7,6
52,890.885,494.942,0,888,491,7,9
57,711.789,498.281,0,709,494,7,10
341,989.446,502.273,0,973,495,31,18
120,504.333,507.242,0,498,501,12,13
58,533.138,506.276,0,530,502,8,10
53,560.038,507.094,0,557,503,8,9
163,704.153,517.736,0,701,503,8,35
131,375.191,510.695,0,369,504,13,14
97,602.278,510.093,0,597,505,12,11
71,901.085,510.859,0,897,506,9,10
112,877.312,515.821,0,870,512,15,9
149,891.336,523.678,0,883,518,18,12
78,422.833,524.308,0,419,519,9,12
99,693.273,525.677,0,688,520,11,12
58,960.328,530.086,0,956,526,9,9
79,524.506,535.987,0,521,529,9,14
88,618.920,534.091,0,613,530,13,9
89,733.090,536.303,0,728,531,10,13
74,900.351,535.770,0,897,531,8,11
115,713.391,539.278,0,706,534,15,12
90,978.544,537.856,0,972,534,14,9
73,877.712,540.356,0,874,535,8,12
75,943.440,539.240,0,938,535,11,10
118,724.475,543.322,0,720,536,11,17
281,930.730,548.181,0,920,539,24,19
57,500.105,544.123,0,495,541,11,7
45,781.000,544.711,0,778,541,7,8
52,697.250,546.231,0,693,543,9,7
60,572.633,548.417,0,568,545,10,8
134,768.993,557.030,0,762,551,15,13
73,903.589,556.603,0,899,552,9,11
55,704.909,556.582,0,702,553,7,9
104,722.548,558.567,0,716,553,15,11
40,699.475,560.650,0,696,557,7,8
87,779.494,566.069,0,773,561,13,11
71,725.930,565.239,0,719,562,14,7
60,529.700,566.100,0,525,563,10,8
49,762.265,570.122,0,760,565,6,11
46,323.413,568.609,0,319,566,11,7
228,739.561,576.061,0,730,569,20,15
57,785.211,575.579,0,781,571,9,10
91,564.934,576.363,0,560,572,11,10
57,864.000,576.614,0,861,572,7,10
59,551.034,577.831,0,546,574,10,8
91,797.846,579.747,0,792,575,12,10
144,385.549,596.007,0,384,578,5,37
88,751.420,583.193,0,747,578,10,12
143,769.462,585.902,0,762,580,15,14
78,743.282,586.833,0,738,583,12,9
85,623.482,596.718,0,618,592,12,10
60,612.617,603.133,0,610,598,7,11
72,653.319,602.931,0,648,599,11,9
77,799.273,603.753,0,795,599,11,10
79,601.848,610.443,0,597,606,10,10
134,431.687,620.007,0,427,613,11,15
76,693.776,618.487,0,689,615,11,8
99,466.495,628.929,0,461,624,12,11
77,554.338,628.403,0,550,624,10,10
68,750.059,638.279,0,746,634,9,10
119,386.277,647.311,0,384,636,6,23
214,451.804,661.215,0,429,658,45,7
67,852.388,665.493,0,848,662,10,9
129,368.264,666.333,0,356,663,26,7
122,384.893,682.066,0,382,669,7,25
68,574.926,677.029,0,570,672,10,10
82,375.573,682.256,0,372,677,9,12
67,561.910,684.015,0,558,680,9,9
70,702.814,686.386,0,699,681,9,12
97,751.732,687.464,0,746,683,12,10
87,768.828,688.954,0,763,685,12,9
88,854.966,699.420,0,850,695,11,10
79,587.734,704.177,0,583,700,10,10
116,414.034,707.310,0,408,702,13,12
50,702.720,708.680,0,699,705,8,8
114,771.395,715.395,0,765,711,15,10
89,428.517,724.989,0,426,715,6,21
23,823.217,722.435,0,821,720,5,6
103,469.612,729.796,0,464,725,12,11
82,812.354,750.085,0,807,746,12,9
31,451.903,751.419,0,449,747,6,9
63,681.873,753.286,0,677,749,10,9
144,590.299,767.465,0,585,760,13,18
88,604.284,766.080,0,598,761,14,10
62,802.710,765.177,0,798,761,10,9
67,787.493,767.881,0,784,763,8,11
107,553.542,774.757,0,548,769,12,12
97,618.660,780.619,0,614,774,11,14
51,593.353,778.980,0,589,776,10,8
48,591.167,784.292,0,587,781,10,8
92,562.152,787.978,0,557,783,12,10
31,596.742,789.548,0,595,786,5,8
82,548.049,794.037,0,544,789,9,11
