 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,39,674.859,96.064,25.799,671,92,7,9,0.736,9.487,672,92,108.435,6.731,1.495,0.669,0.796
2,69,695.500,104.181,52.485,694,92,3,25,0.315,25.020,695,92,92.291,3.000,7.869,0.127,0.958
3,38,668.684,97.842,29.213,663,94,9,8,0.560,10.817,663,95,146.310,7.488,1.514,0.660,0.685
4,42,713.143,121.714,31.213,708,118,9,8,0.542,10.296,708,119,150.945,7.985,1.320,0.758,0.724
5,53,816.726,137.613,28.385,812,133,9,9,0.827,11.314,812,134,135.000,7.799,1.414,0.707,0.822
6,36,745.722,141.861,24.385,742,138,7,8,0.761,9.434,742,138,122.005,6.791,1.406,0.711,0.791
7,71,452.021,156.937,47.314,450,146,4,22,0.399,22.091,451,146,95.194,4.000,5.564,0.180,0.904
8,69,514.094,150.993,36.627,508,147,11,9,0.646,12.207,508,148,145.008,9.000,1.280,0.781,0.821
9,58,798.845,162.517,35.213,793,158,10,9,0.588,10.817,795,158,123.690,9.000,1.107,0.904,0.768
10,57,706.009,165.711,41.456,701,160,12,10,0.417,13.892,701,162,149.744,9.803,1.400,0.714,0.655
11,114,736.833,165.789,60.527,725,160,22,10,0.391,22.204,725,169,7.765,10.000,1.904,0.525,0.750
12,27,813.944,163.981,19.314,811,161,6,6,0.910,7.810,811,167,39.806,5.578,1.409,0.710,0.871
13,31,694.500,169.435,24.485,689,168,11,3,0.650,11.180,689,168,169.695,3.000,3.934,0.254,0.969
14,35,738.443,174.471,22.728,735,171,6,8,0.851,9.434,735,171,122.005,6.000,1.672,0.598,0.864
15,96,431.510,173.865,59.556,417,172,28,4,0.340,28.018,417,173,177.955,4.000,6.731,0.149,0.923
16,38,821.684,178.000,27.556,819,172,5,11,0.629,11.180,821,172,100.305,5.000,2.385,0.419,0.817
17,40,828.750,176.975,27.456,824,173,10,9,0.667,12.042,825,182,41.634,5.400,2.392,0.418,0.777
18,44,814.068,178.114,28.385,810,174,8,8,0.686,10.000,810,182,53.130,7.727,1.333,0.750,0.793
19,127,832.650,185.106,67.841,826,175,13,21,0.347,22.472,828,196,69.146,12.606,1.683,0.594,0.700
20,129,652.190,184.833,60.184,645,176,15,16,0.448,17.493,646,192,59.036,14.905,1.323,0.756,0.705
21,61,799.615,186.402,29.456,794,182,11,9,0.883,11.402,794,188,15.255,8.200,1.397,0.716,0.847
22,58,502.310,191.672,39.899,500,183,4,18,0.458,18.248,501,183,99.462,4.000,5.282,0.189,0.892
23,80,814.850,188.375,39.213,808,183,12,11,0.654,16.279,808,194,42.510,8.598,1.839,0.544,0.833
24,29,823.534,187.052,19.899,821,183,5,7,0.920,8.062,821,190,60.255,5.000,1.279,0.782,0.921
25,60,640.267,189.817,31.213,635,186,10,8,0.774,11.662,635,186,149.036,8.000,1.190,0.840,0.845
26,42,541.357,192.929,27.799,537,189,8,8,0.683,9.434,539,189,122.005,7.000,1.480,0.676,0.824
27,135,818.189,197.656,52.527,811,191,15,16,0.615,20.000,814,207,53.130,11.818,1.794,0.557,0.808
28,107,586.659,198.771,49.456,577,194,20,9,0.550,20.224,577,198,171.469,8.743,2.665,0.375,0.787
29,42,807.762,199.976,26.142,804,195,7,9,0.772,10.296,805,204,60.945,7.000,1.304,0.767,0.816
30,31,770.081,199.500,22.971,767,196,6,7,0.738,8.485,767,196,135.000,6.000,1.318,0.759,0.805
31,45,882.744,202.411,26.971,879,198,7,9,0.777,9.849,880,198,113.962,7.000,1.552,0.644,0.826
32,59,757.602,209.754,34.627,753,205,12,10,0.618,12.649,753,206,161.565,9.363,1.323,0.756,0.747
33,99,468.348,214.591,60.284,462,206,18,13,0.342,19.313,462,211,158.749,13.000,1.495,0.669,0.621
34,25,909.060,211.620,17.899,907,208,4,7,0.981,7.616,908,208,113.199,4.000,1.706,0.586,0.943
35,127,412.705,234.713,69.941,408,220,8,29,0.326,29.275,411,220,97.853,8.000,4.561,0.219,0.692
36,36,804.806,224.972,22.385,801,221,7,8,0.903,9.434,802,221,122.005,6.002,1.760,0.568,0.847
37,116,503.957,234.448,66.627,498,222,9,27,0.328,27.459,502,222,100.491,8.724,4.737,0.211,0.650
38,123,490.898,235.606,57.355,483,228,15,17,0.470,21.401,483,245,52.595,12.742,1.796,0.557,0.709
39,61,493.893,244.877,35.213,488,240,10,10,0.618,12.207,488,247,34.992,10.000,1.174,0.852,0.797
40,31,668.823,244.468,21.556,665,241,7,7,0.838,9.220,665,241,130.601,5.657,1.764,0.567,0.849
41,93,483.930,252.425,51.213,474,247,19,9,0.446,19.647,474,251,165.256,8.714,2.613,0.383,0.727
42,71,934.415,253.993,30.385,930,249,9,10,0.966,11.180,932,259,63.435,9.000,1.186,0.843,0.916
43,42,351.452,252.881,29.314,345,251,12,4,0.614,12.369,345,252,165.964,4.000,2.976,0.336,0.923
44,25,496.460,253.540,18.728,493,251,7,5,0.896,7.616,493,252,156.801,5.000,1.540,0.649,0.833
45,45,708.367,255.544,39.899,700,254,19,3,0.355,19.026,700,255,176.987,3.000,5.799,0.172,0.882
46,84,351.357,259.762,47.799,341,256,20,7,0.462,20.224,341,259,171.469,7.000,3.695,0.271,0.767
47,121,485.798,260.103,66.728,470,258,31,5,0.341,31.145,470,259,174.472,5.000,7.458,0.134,0.877
48,38,917.053,263.921,28.385,912,261,9,7,0.593,10.296,912,261,150.945,7.000,1.607,0.622,0.745
49,104,482.394,271.635,54.527,477,264,10,15,0.440,15.811,480,264,108.435,10.000,1.568,0.638,0.825
50,56,819.446,267.571,32.627,814,264,10,8,0.661,10.770,814,266,158.199,8.000,1.385,0.722,0.830
51,41,799.232,273.402,22.728,796,270,7,7,0.997,8.602,797,277,54.462,7.000,1.097,0.911,0.921
52,75,896.953,274.433,47.698,888,270,15,11,0.414,16.155,888,271,158.199,9.713,1.884,0.531,0.664
