Area,X,Y,Perim.,BX,BY,Width,Height
65,760.646,192.031,0,756,189,11,8
89,768.820,194.854,0,763,190,12,11
57,753.632,198.596,0,749,195,10,8
67,762.881,201.104,0,758,197,11,9
136,851.338,211.478,0,848,199,7,27
62,785.323,204.984,0,780,202,11,8
70,757.300,206.814,0,752,203,12,8
122,633.377,210.254,0,627,205,14,11
26,791.731,210.423,0,788,209,8,4
51,857.588,219.824,0,854,216,8,9
102,866.647,233.324,0,861,228,12,12
120,736.042,236.975,0,730,231,15,12
29,773.103,233.310,0,770,231,7,6
39,726.487,238.462,0,724,234,6,10
87,850.000,245.264,0,846,239,10,13
112,599.759,249.357,0,594,244,12,12
92,620.120,250.163,0,615,245,11,11
63,547.794,250.937,0,542,247,13,9
109,859.330,253.945,0,854,248,12,13
150,560.513,260.593,0,554,251,13,18
98,571.194,260.031,0,566,254,11,13
142,582.915,263.296,0,577,257,12,15
40,547.900,265.150,0,545,262,7,7
56,572.375,269.732,0,568,266,10,8
60,562.300,273.383,0,559,269,8,10
61,543.951,273.902,0,540,270,9,9
91,906.000,274.264,0,901,270,11,10
103,580.922,275.835,0,576,271,11,11
55,568.455,278.018,0,565,273,7,11
122,549.967,284.770,0,543,275,14,19
120,626.933,282.708,0,622,275,10,18
77,560.052,282.584,0,557,277,8,12
42,648.667,281.905,0,645,279,8,7
119,694.546,284.471,0,689,279,12,12
46,642.022,283.652,0,639,280,7,8
132,658.803,288.189,0,653,282,13,13
58,634.328,287.466,0,631,283,8,10
73,621.753,291.288,0,617,285,9,13
52,650.250,289.231,0,647,285,7,9
64,642.531,292.094,0,637,288,11,9
61,669.164,291.082,0,664,288,12,8
48,555.938,291.833,0,551,289,10,7
85,755.647,294.953,0,751,290,10,11
169,706.213,296.243,0,698,291,18,12
96,627.198,299.198,0,623,292,9,14
93,609.581,299.806,0,606,293,9,15
87,616.920,302.333,0,614,295,8,15
84,1014.881,300.452,0,1010,295,11,11
44,944.386,298.636,0,941,296,8,7
106,816.896,304.443,0,811,299,12,12
86,994.070,306.174,0,990,299,9,15
69,735.217,304.174,0,730,300,11,9
95,941.705,305.200,0,936,300,12,12
101,985.455,305.851,0,981,300,10,13
100,855.440,306.110,0,850,301,12,11
79,1007.797,306.304,0,1003,301,10,13
46,465.043,308.087,0,463,303,5,11
84,650.714,307.286,0,645,303,12,11
88,952.557,307.500,0,947,303,12,10
115,970.209,308.878,0,964,303,13,13
106,736.575,310.472,0,729,304,15,12
79,643.127,310.633,0,639,305,11,12
81,748.444,309.111,0,741,305,16,9
110,1015.282,312.273,0,1010,306,11,13
54,529.019,312.019,0,526,307,7,11
76,926.684,311.934,0,923,307,9,12
73,938.863,312.479,0,934,307,10,11
40,523.300,312.200,0,521,308,6,9
49,615.714,311.592,0,611,309,10,7
49,1024.449,312.714,0,1021,310,8,7
107,851.215,316.570,0,847,311,10,13
58,746.069,315.397,0,740,312,12,7
64,916.969,315.578,0,912,312,11,9
45,932.578,315.689,0,929,312,8,8
71,951.254,315.521,0,947,312,10,10
90,595.700,319.522,0,591,314,11,12
73,607.397,319.877,0,604,314,8,13
84,643.929,319.179,0,638,314,13,11
62,1035.097,319.065,0,1031,314,8,11
161,625.969,321.627,0,617,315,18,14
92,919.478,321.511,0,913,316,13,11
57,957.421,321.263,0,954,316,7,11
49,614.286,321.143,0,611,318,8,8
102,754.735,322.245,0,749,318,12,10
45,928.111,321.711,0,925,318,7,9
88,1013.886,323.455,0,1008,318,12,11
100,947.230,324.310,0,942,319,12,11
101,864.000,326.416,0,858,321,13,11
52,648.288,325.327,0,644,322,9,8
52,1041.769,325.481,0,1038,322,9,8
43,591.791,327.116,0,589,323,7,8
112,600.804,330.920,0,596,323,10,18
153,827.791,325.967,0,814,323,28,7
116,849.543,327.009,0,841,323,18,9
80,1031.588,326.887,0,1025,323,15,8
90,638.656,330.300,0,633,325,12,12
64,736.516,329.109,0,732,325,10,9
119,607.370,334.630,0,603,326,10,18
84,745.917,332.262,0,741,327,11,11
133,921.308,330.045,0,909,327,24,7
66,728.242,331.727,0,723,328,12,8
92,756.054,332.902,0,751,328,11,11
276,1024.775,333.507,0,1001,330,46,8
60,615.033,335.117,0,612,331,8,9
55,868.055,335.164,0,864,331,9,8
54,734.667,337.167,0,729,334,12,7
69,661.246,339.768,0,657,335,9,10
45,855.089,339.067,0,852,335,7,9
47,637.723,339.872,0,632,337,12,6
40,865.350,341.475,0,862,339,8,6
51,1059.765,342.471,0,1056,339,8,8
265,885.864,352.766,0,874,343,25,22
92,640.935,360.685,0,636,356,11,11
140,605.164,373.121,0,602,358,7,32
101,974.614,372.228,0,970,367,11,12
92,919.391,372.065,0,913,368,14,12
35,912.429,374.343,0,910,371,6,7
39,904.359,375.385,0,901,372,7,8
43,945.442,375.860,0,942,372,8,9
69,879.000,377.145,0,874,374,11,7
59,892.898,378.746,0,888,375,11,9
50,901.760,380.400,0,897,377,10,7
59,911.864,380.746,0,907,377,10,8
176,939.006,386.557,0,934,377,12,19
80,654.275,382.288,0,649,378,12,9
49,919.082,383.102,0,916,379,8,9
55,902.309,387.473,0,898,384,9,8
65,911.308,387.738,0,906,385,13,7
54,893.056,391.796,0,889,388,10,8
76,905.829,394.671,0,900,391,12,9
123,925.228,401.423,0,919,394,13,15
126,938.032,399.937,0,929,395,19,11
45,892.289,400.822,0,888,398,9,7
55,908.818,403.945,0,905,400,8,9
114,971.868,408.333,0,967,401,11,17
42,915.762,405.381,0,913,402,7,8
71,935.789,407.479,0,931,404,11,8
55,895.436,410.564,0,893,405,6,12
78,903.051,408.949,0,898,405,12,9
75,977.173,412.973,0,974,405,7,16
113,641.522,412.611,0,636,407,12,12
155,913.071,416.245,0,908,408,12,17
62,934.758,415.468,0,931,412,9,9
117,616.188,418.795,0,610,413,13,12
100,668.410,418.460,0,664,413,10,12
67,904.060,418.149,0,900,414,9,10
82,795.366,421.232,0,791,416,10,11
172,924.442,426.988,0,918,416,14,23
64,938.766,420.500,0,933,416,12,9
98,882.592,423.776,0,877,419,12,11
44,902.841,425.364,0,898,423,10,6
49,873.673,427.714,0,871,424,8,9
57,940.649,426.719,0,935,424,12,6
132,912.500,430.735,0,907,425,14,13
35,937.886,431.314,0,934,429,8,6
71,920.915,437.465,0,916,433,11,10
50,569.160,446.680,0,567,441,5,12
86,909.407,447.360,0,904,443,12,10
128,470.016,455.820,0,463,451,15,11
123,662.569,466.049,0,658,459,11,14
101,541.208,465.287,0,535,461,13,10
73,874.795,465.479,0,870,461,10,10
54,544.333,473.000,0,539,471,12,5
243,362.605,491.111,0,356,472,13,33
109,455.468,477.358,0,450,472,12,11
148,1041.662,480.257,0,1035,474,16,13
110,646.836,486.709,0,642,481,11,13
108,795.463,489.333,0,789,484,13,13
75,537.133,491.160,0,533,487,9,10
49,830.735,492.612,0,828,488,6,10
97,791.186,496.082,0,786,490,13,12
92,840.000,495.717,0,835,490,11,13
94,867.617,495.362,0,862,491,12,10
30,802.733,496.333,0,800,493,6,8
109,350.028,500.092,0,345,494,11,13
53,846.151,498.472,0,843,494,7,10
35,493.200,498.057,0,491,495,6,8
78,767.038,498.718,0,761,495,14,8
111,496.378,507.189,0,491,501,11,13
97,700.536,506.412,0,695,502,12,10
53,841.943,507.396,0,839,502,7,11
46,825.065,508.500,0,823,504,5,10
83,361.542,511.855,0,359,505,7,15
127,686.465,513.835,0,678,508,16,11
18,418.944,510.722,0,417,509,5,5
34,753.647,511.912,0,751,509,7,7
98,544.857,515.847,0,540,511,11,11
103,772.155,517.942,0,767,512,12,12
49,839.122,516.388,0,834,513,11,7
100,760.110,519.990,0,755,514,11,12
155,348.181,519.903,0,337,516,24,8
127,1103.646,522.945,0,1098,517,13,13
48,836.479,523.812,0,834,519,6,10
107,419.654,525.000,0,410,522,21,7
102,643.392,528.480,0,638,523,11,12
123,827.927,539.894,0,825,525,6,27
43,900.419,528.558,0,897,525,8,8
88,1116.909,534.830,0,1112,530,11,10
172,579.198,536.663,0,562,534,34,7
87,512.575,542.092,0,508,537,10,11
97,1066.309,550.691,0,1059,544,15,14
42,1076.333,549.024,0,1073,546,7,7
112,1068.536,557.393,0,1062,551,15,15
111,1074.063,560.820,0,1066,553,16,15
40,1051.200,562.150,0,1049,558,6,9
100,735.500,564.500,0,731,559,10,12
145,1031.814,567.634,0,1018,565,31,6
65,487.477,571.277,0,484,567,8,10
124,902.032,573.758,0,897,567,11,14
103,479.184,574.117,0,474,569,12,11
144,1099.535,572.069,0,1086,569,28,7
171,824.526,596.146,0,821,574,7,43
53,695.208,581.925,0,691,579,10,7
122,513.525,586.057,0,507,581,14,11
45,698.822,586.178,0,694,583,10,6
96,552.479,588.812,0,547,584,12,11
86,389.140,590.070,0,384,585,11,11
57,698.930,591.456,0,694,589,11,7
35,692.857,594.257,0,690,591,7,8
35,717.571,594.457,0,714,592,8,6
126,702.698,599.127,0,695,594,15,11
86,714.988,601.616,0,710,596,11,12
68,916.250,601.294,0,911,598,11,8
135,731.030,619.919,0,725,613,13,14
142,490.324,621.782,0,484,616,14,13
90,719.611,627.178,0,715,622,10,11
87,732.632,629.414,0,726,626,15,8
157,625.255,637.057,0,618,631,14,14
85,510.800,638.153,0,506,634,11,10
61,727.721,640.672,0,723,635,10,11
45,876.800,638.867,0,874,635,7,9
33,880.697,641.788,0,878,638,6,8
99,1136.758,642.889,0,1131,638,12,11
137,886.759,650.810,0,881,644,12,15
96,1032.271,651.979,0,1027,647,11,11
56,757.875,653.750,0,751,650,13,8
60,753.033,657.800,0,749,654,10,9
