 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,64,950.375,48.734,45.113,944,44,16,9,0.395,17.000,945,45,151.928,8.239,2.410,0.415,0.667,cell
2,26,1137.923,74.154,20.728,1134,72,8,5,0.760,9.434,1134,77,32.005,4.511,2.278,0.439,0.839,cell
3,28,1144.536,80.071,31.799,1138,78,12,5,0.348,12.369,1138,82,14.036,4.961,3.097,0.323,0.533,cell
4,36,1177.694,99.278,29.213,1175,93,6,11,0.530,11.705,1175,93,109.983,6.000,2.246,0.445,0.679,cell
5,29,1171.707,105.845,25.799,1168,101,8,9,0.548,10.817,1168,101,123.690,5.600,2.747,0.364,0.659,cell
6,35,1192.014,117.329,34.284,1189,111,7,12,0.374,12.166,1192,123,80.538,7.000,2.194,0.456,0.538,cell
7,34,1175.794,114.824,32.971,1169,112,13,6,0.393,13.928,1169,113,158.962,5.172,3.548,0.282,0.642,cell
8,26,1253.846,125.962,26.142,1248,124,10,6,0.478,11.180,1248,124,153.435,5.209,2.766,0.362,0.675,cell
9,72,1215.986,137.000,38.870,1209,133,14,8,0.599,14.318,1209,137,167.905,8.000,1.674,0.598,0.787,cell
10,53,1155.896,156.368,42.527,1152,151,9,13,0.368,13.601,1154,164,72.897,8.352,1.687,0.593,0.620,cell
11,28,1101.893,154.821,33.213,1094,152,14,6,0.319,15.232,1094,152,156.801,4.264,4.895,0.204,0.589,cell
12,30,1262.233,183.400,26.385,1258,180,9,8,0.542,10.817,1258,186,33.690,4.950,2.502,0.400,0.682,cell
13,38,1314.789,191.079,32.627,1310,188,12,6,0.449,13.000,1310,189,157.380,6.000,2.300,0.435,0.639,cell
14,36,1351.056,195.361,28.627,1347,192,8,8,0.552,9.220,1347,193,130.601,8.000,1.115,0.896,0.706,cell
15,39,1219.423,206.910,30.627,1214,202,11,9,0.522,12.083,1214,210,24.444,6.364,2.288,0.437,0.672,cell
16,58,1218.776,214.948,42.284,1211,210,14,10,0.408,16.643,1211,219,32.735,7.155,2.960,0.338,0.655,cell
17,77,690.604,221.383,48.527,685,212,11,17,0.411,18.788,685,212,115.201,9.870,2.381,0.420,0.623,cell
18,32,1233.344,220.125,23.556,1230,216,6,8,0.725,8.944,1231,216,116.565,6.000,1.498,0.668,0.800,cell
19,89,858.916,225.736,33.799,854,220,10,11,0.979,12.207,855,221,124.992,10.000,1.136,0.880,0.922,cell
20,123,1210.695,226.549,58.770,1203,220,17,13,0.448,19.723,1203,230,30.466,13.000,1.186,0.843,0.711,cell
21,51,930.931,233.578,33.314,929,226,4,15,0.577,15.133,930,241,82.405,4.000,3.505,0.285,0.927,cell
22,29,1005.052,230.500,22.971,1002,226,6,9,0.691,9.849,1004,235,66.038,5.060,2.309,0.433,0.773,cell
23,34,1342.824,232.088,36.971,1337,228,14,7,0.313,14.866,1337,228,160.346,5.735,3.124,0.320,0.562,cell
24,25,1320.100,237.980,27.799,1316,234,9,8,0.407,9.849,1316,240,23.962,5.657,1.910,0.524,0.549,cell
25,104,1215.279,242.837,54.426,1209,236,13,16,0.441,18.028,1211,237,123.690,12.935,1.429,0.700,0.656,cell
26,34,1314.765,244.618,33.213,1310,240,11,8,0.387,13.038,1310,240,147.529,6.508,2.547,0.393,0.596,cell
27,93,1333.565,250.177,41.698,1328,243,12,13,0.672,13.601,1328,255,53.973,12.000,1.124,0.890,0.795,cell
28,107,840.238,254.902,39.799,836,247,8,16,0.849,16.279,839,247,100.620,8.000,1.959,0.510,0.943,cell
29,34,1365.500,252.412,33.698,1360,248,12,9,0.376,13.601,1360,248,143.973,6.128,3.586,0.279,0.535,cell
30,68,1377.250,257.397,52.527,1373,250,8,14,0.310,14.318,1375,250,114.775,8.000,1.683,0.594,0.663,cell
31,32,1277.938,258.250,29.456,1273,254,9,9,0.463,11.402,1273,263,37.875,7.022,1.867,0.536,0.627,cell
32,32,1157.594,262.438,32.042,1155,256,5,12,0.392,12.369,1156,256,104.036,5.000,3.224,0.310,0.621,cell
33,32,1090.188,265.312,20.728,1086,263,8,5,0.936,8.544,1086,266,20.556,5.000,1.570,0.637,0.914,cell
34,45,1401.300,278.456,40.627,1398,272,7,15,0.343,15.524,1401,287,75.069,6.767,2.520,0.397,0.604,cell
35,53,1258.009,279.425,44.527,1250,273,13,12,0.336,15.811,1250,283,34.695,8.886,1.803,0.555,0.570,cell
36,74,654.108,286.595,30.385,649,282,10,9,1.000,11.662,649,284,149.036,9.000,1.240,0.807,0.943,cell
37,29,1121.672,285.190,29.213,1118,282,8,7,0.427,9.434,1118,282,147.995,7.000,1.215,0.823,0.637,cell
38,55,1413.700,291.591,47.456,1408,285,11,16,0.307,18.868,1409,301,57.995,6.872,3.650,0.274,0.550,cell
39,31,1367.952,291.048,26.971,1363,288,9,6,0.536,10.817,1363,294,33.690,5.261,2.441,0.410,0.713,cell
40,39,888.038,300.910,36.728,881,299,17,4,0.363,17.117,881,299,173.290,4.000,5.017,0.199,0.757,cell
41,77,653.734,305.448,38.385,645,302,17,6,0.657,17.117,645,305,173.290,6.000,2.905,0.344,0.901,cell
42,51,1404.422,308.324,42.284,1398,304,12,8,0.358,12.166,1398,308,170.538,8.000,1.472,0.679,0.685,cell
43,25,1346.020,315.900,28.627,1343,312,7,9,0.383,10.817,1344,321,56.310,5.814,2.149,0.465,0.610,cell
44,50,1416.200,315.640,29.213,1410,312,11,8,0.736,12.083,1410,313,155.556,7.340,1.775,0.563,0.787,cell
45,25,1354.820,316.060,27.556,1351,313,7,7,0.414,8.602,1351,314,144.462,6.472,1.464,0.683,0.610,cell
46,58,930.379,326.552,40.142,928,318,5,18,0.452,18.111,929,318,96.340,4.401,4.897,0.204,0.800,cell
47,51,1184.029,324.735,38.870,1178,321,11,8,0.424,11.402,1178,325,164.745,8.000,1.373,0.728,0.739,cell
48,27,1276.574,326.463,30.971,1273,322,7,8,0.354,10.630,1273,322,131.186,6.517,1.881,0.532,0.621,cell
49,25,1392.060,325.300,19.314,1388,323,7,5,0.842,8.062,1388,324,150.255,5.000,1.616,0.619,0.847,cell
50,26,985.846,328.154,17.556,983,325,6,6,1.000,6.708,983,330,26.565,5.657,1.131,0.884,0.881,cell
51,26,1409.077,327.769,27.213,1404,325,9,7,0.441,9.220,1405,326,139.399,6.708,1.501,0.666,0.565,cell
52,25,1425.340,329.900,20.142,1422,326,6,7,0.774,7.280,1425,326,105.945,6.000,1.359,0.736,0.758,cell
53,25,1315.140,341.820,26.385,1312,337,6,10,0.451,10.770,1314,347,68.199,4.608,2.820,0.355,0.649,cell
54,51,1165.716,346.931,41.456,1162,341,9,12,0.373,13.601,1163,353,53.973,7.155,2.091,0.478,0.662,cell
55,42,1295.000,345.643,34.042,1292,341,8,10,0.455,10.440,1293,351,73.301,8.000,1.620,0.617,0.667,cell
56,37,1411.770,347.770,27.213,1407,344,10,7,0.628,12.207,1407,344,145.008,6.008,2.481,0.403,0.755,cell
57,49,997.643,356.969,26.385,994,352,8,9,0.885,10.000,996,352,126.870,7.600,1.287,0.777,0.867,cell
58,135,1175.137,362.507,64.912,1167,352,17,23,0.403,26.926,1168,352,121.329,9.380,4.176,0.239,0.685,cell
59,25,1292.140,355.580,22.142,1289,352,7,7,0.641,8.602,1290,352,125.538,6.002,1.744,0.573,0.704,cell
60,42,1184.619,361.476,35.456,1180,358,10,8,0.420,11.180,1180,358,153.435,7.906,1.581,0.632,0.689,cell
61,32,1238.188,365.344,27.556,1236,360,5,10,0.530,10.296,1236,369,60.945,5.000,2.119,0.472,0.696,cell
62,26,1310.077,363.769,26.385,1306,361,8,7,0.469,9.220,1307,361,130.601,5.814,1.923,0.520,0.605,cell
63,64,1362.453,370.266,50.527,1358,364,9,14,0.315,14.560,1360,378,74.055,9.000,1.728,0.579,0.624,cell
64,31,1391.952,367.952,22.142,1388,364,7,7,0.795,8.485,1388,370,45.000,7.000,1.059,0.944,0.838,cell
65,84,1055.369,370.226,35.213,1050,365,11,11,0.851,14.213,1050,375,39.289,8.944,1.609,0.621,0.875,cell
66,36,1258.167,374.472,33.456,1254,368,7,12,0.404,12.166,1257,368,99.462,7.000,2.391,0.418,0.610,cell
67,25,1323.500,371.820,27.556,1319,369,10,7,0.414,11.402,1319,376,37.875,4.569,3.425,0.292,0.575,cell
68,69,703.486,377.630,35.799,700,370,7,15,0.677,15.133,702,370,97.595,6.905,2.311,0.433,0.852,cell
69,61,1398.041,376.074,45.113,1392,370,13,13,0.377,16.401,1392,381,37.569,7.778,2.804,0.357,0.622,cell
70,53,1333.462,385.689,40.284,1328,380,10,12,0.410,12.806,1328,382,128.660,9.899,1.379,0.725,0.627,cell
71,25,1306.060,387.380,27.213,1303,383,6,9,0.424,9.487,1306,392,71.565,5.425,2.052,0.487,0.633,cell
72,31,1415.435,390.371,29.799,1411,385,9,10,0.439,13.454,1411,385,131.987,4.715,3.845,0.260,0.626,cell
73,61,1153.713,393.615,36.042,1148,387,11,11,0.590,14.213,1148,387,129.289,8.050,1.511,0.662,0.758,cell
74,25,1385.620,390.100,19.556,1382,387,7,6,0.821,8.602,1382,388,144.462,4.950,2.100,0.476,0.769,cell
75,121,1136.351,393.500,44.870,1129,388,16,11,0.755,17.889,1129,397,26.565,10.295,1.874,0.534,0.864,cell
76,42,1228.024,396.619,32.627,1223,392,9,8,0.496,10.630,1223,399,41.186,7.906,1.488,0.672,0.689,cell
77,26,774.000,401.500,17.314,771,399,6,5,1.000,6.708,771,400,153.435,5.000,1.184,0.845,0.929,cell
78,63,1156.183,406.198,39.698,1153,399,8,14,0.502,14.318,1155,399,102.095,8.000,2.243,0.446,0.712,cell
79,142,936.444,410.014,60.184,929,404,17,13,0.493,18.385,929,406,157.620,13.000,1.704,0.587,0.778,cell
80,78,1181.500,415.000,44.971,1179,404,6,20,0.485,20.224,1180,404,98.531,6.000,3.673,0.272,0.848,cell
81,34,1342.118,410.588,34.627,1336,408,13,6,0.356,13.416,1337,408,153.435,5.613,2.739,0.365,0.567,cell
82,56,473.536,420.429,36.385,469,415,9,12,0.532,13.892,470,427,59.744,7.374,2.334,0.428,0.696,cell
83,29,1138.638,418.086,18.728,1136,415,6,6,1.000,7.211,1136,421,33.690,6.000,1.084,0.922,0.921,cell
84,25,1379.900,422.500,20.142,1377,419,6,7,0.774,9.220,1377,426,49.399,4.800,2.391,0.418,0.794,cell
85,25,1410.580,426.420,23.556,1407,424,7,6,0.566,9.220,1407,424,139.399,5.571,1.860,0.538,0.714,cell
86,31,1257.855,431.403,21.314,1255,428,6,7,0.858,7.810,1255,429,129.806,6.000,1.144,0.874,0.849,cell
87,64,1058.609,433.938,29.799,1053,430,11,8,0.906,11.705,1053,436,19.983,8.000,1.513,0.661,0.889,cell
88,33,1332.742,441.561,27.213,1328,438,10,7,0.560,11.662,1328,438,149.036,5.800,2.153,0.464,0.717,cell
89,93,969.575,447.134,33.799,964,442,11,10,1.000,13.038,964,444,147.529,10.000,1.227,0.815,0.949,cell
90,100,636.990,451.590,36.042,631,446,12,11,0.967,13.000,631,449,157.380,11.000,1.156,0.865,0.913,cell
91,76,1098.645,453.526,41.113,1094,448,10,13,0.565,13.928,1096,461,68.962,9.803,1.478,0.677,0.788,cell
92,48,1011.083,459.646,24.728,1008,455,6,9,0.986,9.849,1009,464,66.038,6.000,1.476,0.677,0.950,cell
93,29,1402.879,458.362,27.799,1398,455,10,7,0.472,11.662,1398,455,149.036,4.841,3.236,0.309,0.682,cell
94,27,1377.611,463.722,25.556,1373,461,8,6,0.519,8.944,1373,465,26.565,6.000,1.792,0.558,0.692,cell
95,94,1016.043,470.926,37.213,1011,465,10,12,0.853,13.601,1012,466,126.027,10.000,1.305,0.766,0.883,cell
96,51,1387.422,470.069,38.870,1382,466,11,9,0.424,11.402,1383,467,142.125,8.746,1.461,0.684,0.680,cell
97,29,1277.534,472.707,28.042,1274,468,7,10,0.463,10.198,1278,478,78.690,6.822,1.645,0.608,0.592,cell
98,45,1361.211,473.033,41.456,1356,468,9,12,0.329,12.649,1360,468,108.435,9.000,1.439,0.695,0.545,cell
99,33,1152.318,484.227,20.385,1149,481,7,7,0.998,7.616,1149,486,23.199,6.364,1.152,0.868,0.868,cell
100,45,585.944,487.078,24.385,582,483,8,8,0.951,9.434,583,491,57.995,7.071,1.332,0.751,0.882,cell
101,42,1316.833,490.357,36.870,1311,486,10,9,0.388,12.207,1311,488,145.008,9.000,1.252,0.799,0.613,cell
102,27,1416.389,490.870,31.213,1413,486,8,9,0.348,9.055,1415,486,96.340,7.799,1.318,0.759,0.535,cell
103,28,1375.786,491.071,21.556,1373,487,5,8,0.757,8.544,1375,487,110.556,5.000,1.714,0.584,0.824,cell
104,178,970.545,497.989,51.456,964,489,13,18,0.845,19.235,966,490,117.897,12.988,1.442,0.694,0.922,cell
105,31,1367.435,496.081,32.042,1364,490,8,11,0.379,13.601,1364,501,53.973,6.092,3.308,0.302,0.564,cell
106,38,1279.789,495.263,31.456,1275,492,10,7,0.483,11.180,1275,497,26.565,7.000,1.789,0.559,0.661,cell
107,88,903.159,499.318,34.627,898,493,10,12,0.922,13.000,900,505,67.380,9.839,1.325,0.755,0.907,cell
108,25,1308.740,497.420,23.556,1305,494,6,8,0.566,8.944,1307,494,116.565,6.000,1.664,0.601,0.676,cell
109,46,1331.913,498.630,36.870,1327,494,10,9,0.425,10.770,1327,501,21.801,8.854,1.206,0.829,0.667,cell
110,30,1329.300,512.100,34.042,1325,505,8,13,0.325,13.601,1328,505,107.103,5.686,3.604,0.277,0.496,cell
