 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,26,947.000,48.385,23.799,944,44,6,8,0.577,8.944,946,44,116.565,5.687,1.746,0.573,0.693
2,26,954.308,49.500,29.799,950,45,10,8,0.368,12.806,950,45,141.340,4.715,3.689,0.271,0.598
3,26,1137.923,74.154,20.728,1134,72,8,5,0.760,9.434,1134,77,32.005,4.511,2.278,0.439,0.839
4,28,1144.536,80.071,31.799,1138,78,12,5,0.348,12.369,1138,82,14.036,4.961,3.097,0.323,0.533
5,36,1177.694,99.278,29.213,1175,93,6,11,0.530,11.705,1175,93,109.983,6.000,2.246,0.445,0.679
6,29,1171.707,105.845,25.799,1168,101,8,9,0.548,10.817,1168,101,123.690,5.600,2.747,0.364,0.659
7,35,1192.014,117.329,34.284,1189,111,7,12,0.374,12.166,1192,123,80.538,7.000,2.194,0.456,0.538
8,26,1253.846,125.962,26.142,1248,124,10,6,0.478,11.180,1248,124,153.435,5.209,2.766,0.362,0.675
9,38,1218.579,137.000,30.385,1215,133,8,7,0.517,10.630,1215,133,138.814,7.000,1.299,0.770,0.745
10,53,1155.896,156.368,42.527,1152,151,9,13,0.368,13.601,1154,164,72.897,8.352,1.687,0.593,0.620
11,28,1101.893,154.821,33.213,1094,152,14,6,0.319,15.232,1094,152,156.801,4.264,4.895,0.204,0.589
12,117,1435.637,171.295,57.314,1433,159,5,25,0.448,25.318,1434,159,99.090,5.000,5.094,0.196,0.947
13,25,1226.060,180.940,20.971,1223,177,6,7,0.714,8.602,1223,184,54.462,5.547,1.778,0.562,0.758
14,30,1262.233,183.400,26.385,1258,180,9,8,0.542,10.817,1258,186,33.690,4.950,2.502,0.400,0.682
15,38,1314.789,191.079,32.627,1310,188,12,6,0.449,13.000,1310,189,157.380,6.000,2.300,0.435,0.639
16,36,1351.056,195.361,28.627,1347,192,8,8,0.552,9.220,1347,193,130.601,8.000,1.115,0.896,0.706
17,48,1284.854,202.167,42.284,1277,199,16,8,0.337,16.279,1277,206,10.620,6.896,2.978,0.336,0.527
18,39,1219.423,206.910,30.627,1214,202,11,9,0.522,12.083,1214,210,24.444,6.364,2.288,0.437,0.672
19,34,1285.794,206.912,27.213,1281,204,9,6,0.577,9.487,1281,208,18.435,6.000,1.711,0.584,0.716
20,56,917.536,210.982,38.728,908,208,16,6,0.469,16.492,908,212,14.036,6.000,3.562,0.281,0.762
21,41,777.159,211.378,38.142,769,209,17,4,0.354,17.263,769,209,169.992,4.000,5.343,0.187,0.719
22,52,762.269,213.788,36.627,754,210,15,7,0.487,15.524,754,217,14.931,6.063,2.944,0.340,0.754
23,43,932.965,214.733,40.385,925,210,16,8,0.331,16.763,925,213,162.646,6.008,3.769,0.265,0.606
24,35,1221.586,213.643,24.142,1218,210,7,7,0.755,9.220,1218,216,40.601,7.000,1.365,0.732,0.833
25,77,690.604,221.383,48.527,685,212,11,17,0.411,18.788,685,212,115.201,9.870,2.381,0.420,0.623
26,46,948.826,218.152,43.456,942,213,16,9,0.306,18.358,942,213,150.642,5.867,4.470,0.224,0.605
27,59,1318.602,220.466,44.527,1313,214,11,13,0.374,14.765,1316,227,61.699,9.430,1.642,0.609,0.624
28,34,744.441,218.588,36.971,737,216,16,6,0.313,17.088,737,222,20.556,3.801,6.083,0.164,0.680
29,32,1233.344,220.125,23.556,1230,216,6,8,0.725,8.944,1231,216,116.565,6.000,1.498,0.668,0.800
30,36,963.083,220.861,23.556,959,217,8,7,0.815,8.944,959,223,26.565,6.791,1.247,0.802,0.818
31,89,858.916,225.736,33.799,854,220,10,11,0.979,12.207,855,221,124.992,10.000,1.136,0.880,0.922
32,34,973.412,225.412,32.385,967,222,13,7,0.407,14.765,967,222,151.699,4.096,4.724,0.212,0.716
33,33,713.530,227.864,32.385,707,225,14,6,0.395,14.866,707,231,19.654,3.709,5.304,0.189,0.717
34,40,987.425,230.100,36.042,981,225,14,9,0.387,15.652,981,227,153.435,5.316,4.356,0.230,0.625
35,51,930.931,233.578,33.314,929,226,4,15,0.577,15.133,930,241,82.405,4.000,3.505,0.285,0.927
36,29,1005.052,230.500,22.971,1002,226,6,9,0.691,9.849,1004,235,66.038,5.060,2.309,0.433,0.773
37,34,1342.824,232.088,36.971,1337,228,14,7,0.313,14.866,1337,228,160.346,5.735,3.124,0.320,0.562
38,146,1435.678,246.911,76.971,1433,228,5,35,0.310,35.128,1435,263,85.101,5.000,6.799,0.147,0.918
39,33,700.318,232.500,30.385,694,229,12,7,0.449,13.892,694,236,30.256,4.111,4.455,0.224,0.725
40,56,1015.804,237.214,39.941,1012,232,7,12,0.441,13.892,1012,232,120.256,7.000,2.047,0.488,0.747
41,49,1005.214,236.235,44.527,996,233,16,8,0.311,17.889,996,233,153.435,7.257,3.019,0.331,0.594
42,25,1320.100,237.980,27.799,1316,234,9,8,0.407,9.849,1316,240,23.962,5.657,1.910,0.524,0.549
43,28,686.643,237.857,30.385,680,235,13,6,0.381,14.318,680,241,24.775,3.795,4.799,0.208,0.709
44,83,1216.199,242.970,55.255,1211,236,11,16,0.342,18.028,1211,237,123.690,11.000,1.827,0.547,0.570
45,43,694.174,247.174,31.314,692,240,4,14,0.551,14.142,693,240,98.130,4.000,3.638,0.275,0.869
46,59,1026.924,245.551,45.113,1020,240,16,11,0.364,17.464,1020,243,156.371,7.603,2.641,0.379,0.641
47,34,1314.765,244.618,33.213,1310,240,11,8,0.387,13.038,1310,240,147.529,6.508,2.547,0.393,0.596
48,28,1334.107,246.643,19.556,1331,243,6,7,0.920,7.810,1332,243,129.806,6.000,1.301,0.769,0.824
49,85,924.371,257.018,49.213,921,246,6,21,0.441,21.213,923,267,81.870,6.000,4.314,0.232,0.802
50,107,840.238,254.902,39.799,836,247,8,16,0.849,16.279,839,247,100.620,8.000,1.959,0.510,0.943
51,32,1330.750,252.406,24.385,1328,248,7,8,0.676,9.220,1328,248,130.601,6.364,1.576,0.634,0.800
52,60,1323.000,256.133,42.870,1318,249,9,15,0.410,16.155,1320,249,111.801,7.766,2.647,0.378,0.674
53,68,1377.250,257.397,52.527,1373,250,8,14,0.310,14.318,1375,250,114.775,8.000,1.683,0.594,0.663
54,32,1277.938,258.250,29.456,1273,254,9,9,0.463,11.402,1273,263,37.875,7.022,1.867,0.536,0.627
55,32,1351.594,265.562,22.142,1348,262,6,8,0.820,9.434,1349,262,122.005,5.367,1.868,0.535,0.877
56,32,1090.188,265.312,20.728,1086,263,8,5,0.936,8.544,1086,266,20.556,5.000,1.570,0.637,0.914
57,145,1076.783,271.045,55.355,1067,265,19,14,0.595,19.416,1068,265,145.491,11.843,2.017,0.496,0.826
58,33,1326.500,271.621,31.213,1323,265,7,11,0.426,12.083,1323,276,65.556,6.434,2.246,0.445,0.589
59,63,924.706,276.103,36.728,922,268,5,16,0.587,16.279,923,268,100.620,5.000,3.416,0.293,0.887
60,55,1240.227,275.627,40.042,1234,268,11,12,0.431,15.000,1235,280,53.130,8.278,1.797,0.556,0.651
61,76,1352.855,273.632,47.113,1346,268,16,10,0.430,16.553,1347,268,154.983,8.812,2.233,0.448,0.694
62,34,1234.882,271.706,23.556,1231,269,8,7,0.770,8.602,1232,275,35.538,6.517,1.552,0.645,0.782
63,45,1401.300,278.456,40.627,1398,272,7,15,0.343,15.524,1401,287,75.069,6.767,2.520,0.397,0.604
64,90,1088.744,279.467,48.770,1082,273,14,13,0.476,15.000,1086,273,126.870,11.024,1.478,0.677,0.732
65,36,1256.806,281.306,30.627,1250,278,11,7,0.482,11.180,1250,282,169.695,7.000,1.659,0.603,0.649
66,74,654.108,286.595,30.385,649,282,10,9,1.000,11.662,649,284,149.036,9.000,1.240,0.807,0.943
67,115,1102.300,289.926,66.569,1092,283,20,14,0.326,20.881,1092,286,163.301,11.981,1.978,0.506,0.648
68,111,923.131,296.383,58.971,914,285,16,17,0.401,20.809,914,302,54.782,15.121,1.606,0.622,0.613
69,25,1417.020,288.140,18.485,1415,285,4,7,0.919,7.616,1415,285,113.199,4.000,1.612,0.620,0.943
