Area,X,Y,Perim.,BX,BY,Width,Height
24,579.500,35.667,0,577,33,6,6
29,627.586,35.724,0,625,33,6,6
92,700.989,99.989,0,696,95,11,11
121,763.926,124.636,0,757,120,15,10
90,694.278,144.522,0,689,140,11,10
82,621.317,156.049,0,616,152,12,9
127,848.772,160.543,0,844,154,12,14
157,845.051,182.713,0,839,176,13,15
106,726.217,187.019,0,720,181,12,14
230,715.735,192.583,0,707,185,20,16
186,744.183,197.952,0,734,193,20,11
194,602.515,201.485,0,595,194,16,17
264,539.117,214.920,0,531,206,17,19
116,780.569,213.250,0,775,207,12,13
37,808.514,216.649,0,806,213,7,8
84,1219.583,219.583,0,1215,215,10,10
109,790.193,224.817,0,784,218,13,13
189,694.762,227.190,0,687,219,16,16
133,431.278,227.459,0,425,221,13,14
196,570.469,236.173,0,563,227,15,18
65,785.631,234.292,0,782,230,9,10
73,1219.863,243.562,0,1216,239,9,10
17,702.588,243.118,0,701,241,4,5
134,792.194,253.358,0,786,247,13,16
45,777.089,258.133,0,774,254,7,9
173,901.237,261.341,0,895,254,14,16
146,361.164,262.240,0,355,256,13,13
256,643.215,265.953,0,635,258,18,17
153,416.588,269.275,0,411,261,12,18
125,479.192,278.608,0,477,264,6,29
125,455.608,273.200,0,450,268,13,13
63,780.698,275.540,0,776,272,10,8
166,428.988,283.741,0,423,276,14,17
105,570.438,284.867,0,565,280,12,11
114,438.070,287.377,0,433,281,11,14
56,774.786,286.179,0,767,284,15,5
113,892.053,298.257,0,888,289,9,18
109,391.385,299.431,0,386,294,12,12
481,419.010,305.684,0,401,295,33,23
136,533.963,301.250,0,528,296,14,13
217,791.327,309.429,0,785,301,14,18
103,653.000,314.388,0,647,309,12,12
157,802.217,318.688,0,796,311,14,16
130,916.731,321.146,0,911,315,13,13
120,789.133,322.933,0,784,317,12,12
108,522.583,325.185,0,518,319,11,13
86,926.930,323.802,0,922,319,10,11
78,542.500,325.500,0,538,321,10,10
84,806.810,328.167,0,801,323,12,11
150,376.320,350.793,0,371,342,12,18
331,627.375,353.631,0,618,344,19,21
79,558.671,352.468,0,554,348,10,10
153,966.641,359.052,0,960,352,14,15
57,687.491,360.351,0,683,356,9,10
76,694.237,369.750,0,689,365,11,10
66,364.500,370.939,0,360,367,9,9
221,629.317,377.430,0,621,370,18,16
34,494.529,375.235,0,492,372,6,7
363,363.887,387.399,0,353,373,23,27
51,354.255,382.843,0,352,377,6,12
231,573.727,386.628,0,565,379,19,16
107,753.570,385.738,0,747,380,13,12
75,539.267,385.440,0,535,381,10,10
80,379.837,389.538,0,375,385,10,10
106,927.198,394.113,0,921,389,13,11
137,592.766,403.153,0,588,396,11,15
131,531.374,406.519,0,525,401,14,12
78,913.026,411.615,0,906,408,15,8
104,367.442,417.519,0,363,412,10,13
307,916.635,423.632,0,906,413,22,24
189,342.450,423.402,0,336,415,14,18
62,698.097,426.774,0,693,423,10,9
68,691.574,429.294,0,688,424,8,11
40,894.950,428.825,0,892,426,7,7
98,480.224,434.459,0,475,429,12,12
41,398.707,439.171,0,397,433,4,13
213,636.831,441.535,0,629,434,16,16
117,409.615,440.188,0,404,435,13,12
141,698.489,451.362,0,692,445,14,13
236,538.504,456.148,0,528,449,20,17
316,499.098,465.095,0,491,452,16,26
260,933.023,463.542,0,926,453,16,21
40,417.400,458.525,0,415,455,6,8
91,424.527,464.429,0,419,460,12,10
124,637.492,468.081,0,631,462,14,14
67,462.388,474.149,0,459,469,8,11
115,628.287,477.061,0,622,471,14,12
274,430.405,484.737,0,422,474,16,23
70,942.714,478.500,0,938,475,10,8
130,722.308,487.100,0,717,480,13,14
35,1275.800,499.057,0,1273,496,7,7
89,541.213,507.382,0,536,503,11,10
65,755.831,510.600,0,751,507,11,8
142,875.556,515.317,0,869,509,14,13
55,898.855,511.800,0,895,509,9,7
17,567.412,515.118,0,566,513,4,5
67,616.940,517.657,0,613,513,9,10
29,1275.724,515.586,0,1273,513,6,6
172,472.558,523.366,0,467,515,13,18
215,321.558,530.860,0,313,523,17,17
153,667.569,536.007,0,660,531,15,12
55,879.400,539.164,0,876,534,8,11
30,1107.267,539.300,0,1105,536,6,7
200,940.810,543.530,0,933,537,17,15
64,806.469,544.547,0,803,540,8,10
52,315.365,557.077,0,314,549,4,16
33,51.667,554.515,0,49,551,7,8
111,446.324,559.667,0,441,552,10,16
24,1106.958,555.542,0,1105,553,5,6
72,909.042,562.083,0,904,558,11,9
130,948.762,563.331,0,942,558,15,11
30,147.367,563.233,0,145,560,6,7
35,1275.857,563.229,0,1273,560,7,7
136,523.301,568.934,0,517,563,14,14
104,933.375,570.202,0,928,565,12,12
74,342.892,572.500,0,339,568,9,10
73,328.342,575.795,0,323,572,11,9
150,513.967,580.620,0,508,572,12,17
67,900.821,581.060,0,898,575,6,14
18,1275.722,579.667,0,1274,577,5,6
265,689.400,591.275,0,681,583,18,19
22,1099.136,587.545,0,1097,585,5,6
87,439.103,593.655,0,435,588,9,12
160,934.275,595.475,0,926,589,19,14
28,1275.607,595.179,0,1273,593,6,6
193,922.953,602.477,0,915,595,17,17
97,797.948,605.804,0,793,601,11,11
147,674.605,619.054,0,668,613,14,13
103,819.417,624.621,0,814,619,12,12
190,789.068,628.842,0,782,621,15,18
33,140.455,626.667,0,137,624,7,7
252,630.702,632.365,0,622,624,19,17
116,808.862,635.793,0,804,630,11,13
45,444.222,634.067,0,441,631,8,7
72,450.778,640.417,0,448,633,6,17
156,473.692,638.929,0,467,633,14,13
95,771.768,643.021,0,767,638,11,11
169,613.402,645.361,0,606,640,16,12
203,829.286,649.177,0,821,642,17,16
233,538.412,652.648,0,531,644,15,20
44,895.750,647.500,0,892,644,8,8
120,428.342,652.800,0,422,647,13,12
62,655.984,655.935,0,652,652,9,9
53,587.943,659.132,0,584,656,9,8
100,823.550,667.120,0,818,663,13,10
42,243.000,667.333,0,240,664,7,8
167,434.329,675.299,0,428,667,13,18
127,644.079,672.740,0,639,667,11,14
73,451.041,676.411,0,449,668,5,18
119,826.765,676.849,0,821,669,12,15
222,508.941,683.905,0,501,676,17,17
82,619.378,682.268,0,614,678,11,11
66,631.061,683.439,0,627,679,10,9
205,610.795,689.020,0,602,680,19,17
66,1259.591,691.091,0,1255,687,10,9
165,521.515,702.570,0,501,700,40,6
160,466.550,705.619,0,449,703,37,6
686,831.003,714.552,0,813,703,36,25
148,496.162,723.669,0,493,706,6,34
197,488.741,724.340,0,486,707,8,34
145,452.000,726.600,0,450,709,5,34
145,679.745,743.290,0,673,736,14,15
109,651.569,748.037,0,646,743,12,11
46,488.304,750.174,0,486,745,5,11
159,496.824,760.440,0,494,745,6,32
209,804.569,755.971,0,797,748,17,17
439,685.273,764.344,0,674,752,24,25
93,488.624,764.570,0,486,756,6,18
130,759.092,762.000,0,753,756,14,13
226,780.761,768.150,0,772,761,19,15
783,723.729,791.029,0,701,780,44,23
587,686.252,795.288,0,673,781,26,29
