 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,64,701.547,100.453,29.213,697,95,9,10,0.942,11.402,697,104,37.875,8.485,1.363,0.734,0.889,cell
2,39,711.141,98.910,24.385,707,95,8,7,0.824,8.602,709,95,125.538,7.000,1.287,0.777,0.839,cell
3,46,703.109,124.652,24.971,699,121,8,8,0.927,10.000,699,122,143.130,7.155,1.424,0.702,0.876,cell
4,54,762.852,124.926,26.728,758,122,10,6,0.950,10.770,758,127,21.801,6.000,1.633,0.612,0.956,cell
5,40,693.700,145.425,22.142,690,142,7,7,1.000,8.062,690,144,150.255,7.000,1.045,0.957,0.920,cell
6,55,621.791,156.773,26.971,617,153,10,7,0.950,10.440,617,159,16.699,7.000,1.364,0.733,0.917,cell
7,101,849.084,161.094,36.627,844,155,11,12,0.946,13.892,845,155,120.256,10.607,1.328,0.753,0.927,cell
8,26,426.731,178.346,30.485,425,171,3,14,0.352,14.142,426,171,98.130,2.886,6.432,0.155,0.765,cell
9,50,810.440,180.540,25.556,806,177,9,7,0.962,10.296,806,178,150.945,7.000,1.441,0.694,0.917,cell
10,89,719.691,190.500,37.213,714,186,12,10,0.808,14.213,714,195,39.289,9.839,1.534,0.652,0.886,cell
11,79,742.310,198.639,34.627,736,194,12,9,0.828,13.000,736,196,157.380,9.000,1.536,0.651,0.863,cell
12,52,603.423,200.173,25.799,599,196,9,8,0.982,9.487,599,199,161.565,8.000,1.197,0.835,0.881,cell
13,40,915.675,205.925,38.770,909,199,13,14,0.334,19.105,909,199,132.879,4.069,7.200,0.139,0.661,cell
14,50,539.440,215.020,37.456,534,210,11,10,0.448,13.601,534,211,143.973,6.626,2.707,0.369,0.694,cell
15,55,781.918,214.700,26.971,778,210,8,9,0.950,10.296,779,219,60.945,7.603,1.351,0.740,0.909,cell
16,44,932.500,225.500,36.284,928,219,10,14,0.420,17.205,928,219,125.538,5.098,4.189,0.239,0.710,cell
17,57,444.430,223.991,26.971,440,220,9,8,0.985,10.817,440,227,33.690,7.778,1.384,0.723,0.927,cell
18,117,431.919,228.346,44.770,426,221,13,16,0.734,16.125,430,221,97.125,11.628,1.251,0.799,0.842,cell
19,100,787.760,229.820,47.113,783,223,11,16,0.566,17.889,784,239,63.435,10.348,2.266,0.441,0.781,cell
20,57,692.605,229.904,27.799,688,225,9,9,0.927,10.000,688,232,36.870,8.321,1.225,0.816,0.864,cell
21,43,570.709,235.593,22.971,567,232,8,7,1.000,8.944,567,238,26.565,7.000,1.187,0.843,0.896,cell
22,32,943.719,241.031,33.456,939,235,9,13,0.359,15.811,939,235,124.695,3.600,6.033,0.166,0.674,cell
23,64,791.906,252.062,28.385,787,248,10,8,0.998,11.662,787,249,149.036,8.000,1.441,0.694,0.928,cell
24,45,899.456,261.278,23.799,896,257,8,8,0.998,9.434,897,257,122.005,7.071,1.337,0.748,0.891,cell
25,56,362.071,262.625,26.385,358,258,8,9,1.000,9.849,360,267,66.038,8.000,1.176,0.851,0.918,cell
26,26,644.000,266.500,17.314,641,264,6,5,1.000,6.708,641,265,153.435,5.000,1.184,0.845,0.929,cell
27,28,417.643,272.857,20.142,415,269,5,8,0.867,8.544,416,277,69.444,5.000,1.767,0.566,0.848,cell
28,30,898.633,279.667,27.899,892,278,13,3,0.484,13.153,892,281,8.746,3.000,4.671,0.214,0.870,cell
29,40,430.775,283.425,22.142,427,280,7,7,1.000,8.062,429,280,119.745,7.000,1.036,0.965,0.920,cell
30,32,785.938,285.656,20.971,782,282,8,6,0.914,8.246,782,285,165.964,6.000,1.437,0.696,0.865,cell
31,32,763.250,287.469,21.556,759,285,9,5,0.865,9.220,759,286,167.471,5.000,1.844,0.542,0.865,cell
32,49,507.561,296.194,28.971,503,292,9,9,0.734,10.817,505,301,56.310,8.356,1.331,0.751,0.778,cell
33,32,534.812,300.000,22.142,531,297,8,6,0.820,8.544,531,298,159.444,5.687,1.712,0.584,0.821,cell
34,25,892.860,300.940,19.314,891,297,4,8,0.842,8.544,891,305,69.444,4.000,2.124,0.471,0.893,cell
35,27,473.167,305.981,32.485,472,299,3,15,0.322,15.133,472,299,97.595,3.000,5.803,0.172,0.761,cell
36,28,654.607,313.821,19.314,651,311,7,5,0.943,8.062,651,316,29.745,5.000,1.617,0.619,0.903,cell
37,69,919.877,323.688,37.456,914,320,14,8,0.618,14.560,914,326,15.945,7.906,2.067,0.484,0.817,cell
38,49,542.949,325.949,24.971,539,322,8,8,0.988,10.000,539,329,36.870,7.778,1.259,0.794,0.899,cell
39,50,522.260,326.860,25.556,518,323,8,8,0.962,9.434,520,331,57.995,7.906,1.168,0.856,0.901,cell
40,26,993.808,341.962,32.971,991,336,6,14,0.301,15.232,991,336,113.199,3.530,5.506,0.182,0.605,cell
