Area,X,Y,Perim.,BX,BY,Width,Height
146,1161.678,14.349,0,1155,8,14,14
140,878.893,22.550,0,872,17,15,13
42,1245.048,20.143,0,1242,17,7,8
52,1123.904,27.423,0,1120,24,8,8
102,946.412,28.471,0,939,25,15,9
105,1130.267,48.029,0,1125,41,11,16
57,795.491,53.474,0,792,49,8,10
86,832.465,74.337,0,826,70,13,9
111,1003.550,94.054,0,1000,84,9,21
129,144.279,97.256,0,138,92,14,12
173,776.671,103.561,0,771,96,13,16
136,678.257,106.390,0,672,100,14,16
154,759.182,121.487,0,751,116,17,12
50,229.040,145.300,0,225,142,9,8
89,731.596,151.921,0,729,144,6,17
143,1040.098,154.378,0,1034,149,14,12
59,481.932,155.169,0,478,152,9,8
65,603.954,156.369,0,600,152,9,12
65,810.862,162.708,0,807,158,8,10
80,827.350,165.850,0,824,159,7,14
76,881.605,163.329,0,876,160,12,8
64,1396.016,163.875,0,1392,160,9,9
107,732.785,175.383,0,728,169,11,14
148,800.669,179.635,0,792,175,18,11
67,1395.821,179.522,0,1392,176,9,9
87,568.598,188.874,0,563,185,13,9
84,427.524,214.798,0,424,209,8,13
48,546.000,212.604,0,542,210,9,6
288,661.948,222.316,0,653,211,22,23
35,411.429,217.971,0,409,215,6,7
165,511.061,223.370,0,504,217,15,14
151,449.344,228.079,0,444,218,11,21
169,800.385,229.592,0,794,222,13,18
567,973.471,239.192,0,955,227,35,29
193,840.995,252.751,0,836,242,11,22
60,432.517,259.900,0,428,257,10,7
349,649.579,282.628,0,640,272,20,22
78,390.808,283.910,0,386,280,11,9
354,1161.102,294.246,0,1151,284,22,22
122,398.934,295.131,0,394,289,11,14
145,1062.952,299.055,0,1054,294,18,12
72,980.514,311.750,0,977,306,8,12
76,989.947,314.711,0,985,309,10,11
100,764.530,338.300,0,761,331,9,15
222,1142.608,354.198,0,1132,344,18,22
204,1002.382,355.676,0,995,348,17,17
82,180.951,354.963,0,177,350,9,11
84,308.821,374.143,0,305,369,9,11
171,690.649,379.620,0,684,372,15,16
51,285.294,377.549,0,283,373,6,10
303,479.554,383.713,0,470,374,21,23
312,894.103,393.077,0,885,383,18,21
60,1026.217,387.100,0,1022,383,10,10
172,742.273,392.831,0,736,385,15,16
278,1158.288,396.795,0,1150,385,17,24
56,722.768,394.500,0,718,390,10,10
61,322.902,399.967,0,320,394,6,13
315,812.841,412.175,0,804,402,20,20
85,137.518,413.341,0,133,408,10,11
37,445.297,411.378,0,442,409,8,6
45,331.800,415.133,0,329,411,7,9
29,968.897,415.828,0,967,413,5,7
54,345.167,419.463,0,340,417,11,6
