 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,75,1024.487,37.087,46.770,1015,33,18,9,0.431,18.111,1015,37,173.660,9.000,2.253,0.444,0.636
2,45,950.589,44.256,33.799,944,40,12,7,0.495,12.166,944,46,9.462,7.000,1.646,0.607,0.720
3,29,1180.052,46.259,27.213,1177,41,6,10,0.492,10.440,1178,41,106.699,5.657,2.018,0.496,0.637
4,49,947.929,50.847,31.213,944,47,9,9,0.632,10.817,944,47,123.690,8.433,1.260,0.794,0.766
5,26,1019.231,58.923,21.799,1016,55,7,7,0.688,9.220,1016,55,130.601,5.400,2.026,0.494,0.743
6,44,1117.500,59.795,32.042,1113,56,11,8,0.539,11.402,1113,62,15.255,7.766,1.532,0.653,0.710
7,45,1107.700,64.544,29.799,1104,60,9,9,0.637,10.000,1105,60,143.130,8.878,1.125,0.889,0.744
8,41,1024.768,67.183,28.385,1021,62,7,10,0.639,10.770,1023,72,68.199,7.000,1.548,0.646,0.752
9,25,906.660,67.780,28.385,903,65,7,7,0.390,9.220,903,71,40.601,6.364,1.591,0.629,0.667
10,55,1108.882,74.518,36.627,1102,70,13,8,0.515,14.318,1102,78,24.775,7.845,2.010,0.498,0.728
11,66,1124.485,78.015,38.870,1120,72,10,11,0.549,12.207,1120,74,145.008,9.683,1.374,0.728,0.737
12,38,1143.816,89.632,32.870,1140,84,8,10,0.442,10.817,1140,84,123.690,8.000,1.497,0.668,0.594
13,48,1134.479,91.229,36.870,1130,87,9,10,0.444,12.042,1130,96,41.634,8.798,1.534,0.652,0.667
14,34,1179.206,107.529,30.627,1174,103,9,8,0.455,9.849,1174,106,156.038,7.600,1.219,0.821,0.660
15,30,1067.267,108.800,22.385,1063,105,8,7,0.752,9.434,1063,111,32.005,4.950,2.051,0.487,0.822
16,33,1176.318,113.621,23.799,1172,110,9,7,0.732,10.630,1172,110,138.814,5.199,2.363,0.423,0.786
17,48,1191.667,114.125,34.971,1185,111,12,8,0.493,12.649,1185,115,161.565,7.906,1.728,0.579,0.662
18,27,1170.574,116.278,23.213,1166,112,8,8,0.630,10.630,1166,112,131.186,4.950,2.665,0.375,0.701
19,45,1147.300,117.656,32.284,1143,113,9,11,0.543,14.213,1143,113,129.289,6.364,2.449,0.408,0.726
20,39,1228.679,116.859,27.556,1223,114,11,6,0.645,11.180,1223,116,169.695,5.657,2.123,0.471,0.772
21,35,1044.129,121.157,34.385,1041,117,7,10,0.372,11.662,1041,127,59.036,7.000,1.732,0.577,0.648
22,46,1165.370,121.109,37.113,1159,117,11,11,0.420,12.530,1160,117,118.610,8.598,2.036,0.491,0.590
23,27,1233.981,122.056,25.556,1228,119,11,5,0.519,11.402,1228,123,15.255,4.990,2.884,0.347,0.701
24,35,1105.157,129.786,26.971,1102,126,8,9,0.605,10.296,1104,135,60.945,6.574,1.911,0.523,0.673
25,35,1172.014,129.957,27.556,1167,127,9,7,0.579,11.402,1167,127,142.125,6.499,2.004,0.499,0.761
26,38,1125.395,132.368,31.213,1119,129,11,7,0.490,11.662,1119,130,149.036,7.000,1.598,0.626,0.673
27,28,1155.571,138.214,31.456,1151,132,9,12,0.356,14.422,1152,144,56.310,3.800,5.064,0.197,0.651
28,49,1115.827,136.051,41.456,1108,133,14,8,0.358,15.652,1108,134,153.435,7.016,2.868,0.349,0.594
29,36,1232.944,142.722,32.385,1230,136,6,13,0.431,13.038,1231,136,94.399,5.432,2.557,0.391,0.643
30,36,1064.833,149.667,33.213,1060,146,11,8,0.410,11.705,1060,152,19.983,8.000,1.637,0.611,0.590
31,43,1180.035,149.593,39.698,1174,146,12,7,0.343,13.416,1174,152,26.565,7.000,1.897,0.527,0.566
32,25,1250.380,156.460,22.142,1248,152,5,9,0.641,9.220,1249,152,102.529,4.768,2.263,0.442,0.735
33,25,1184.780,158.460,28.142,1178,156,12,4,0.397,12.166,1178,159,9.462,4.000,4.316,0.232,0.667
34,30,1240.700,162.367,29.314,1238,156,4,13,0.439,13.153,1240,169,81.254,4.000,3.988,0.251,0.759
35,46,1231.109,161.826,31.456,1226,157,10,10,0.584,11.662,1228,167,59.036,7.488,1.762,0.567,0.692
36,56,1170.339,163.286,40.284,1163,158,15,10,0.434,16.155,1163,166,21.801,6.923,3.114,0.321,0.640
37,37,576.068,170.419,37.113,570,165,13,11,0.338,16.401,570,166,142.431,4.515,5.087,0.197,0.578
38,29,1202.948,168.328,28.971,1198,165,10,7,0.434,10.770,1198,170,21.801,6.800,1.969,0.508,0.592
39,45,1233.100,171.611,30.627,1229,166,8,10,0.603,10.770,1232,166,111.801,7.761,1.307,0.765,0.738
40,36,1225.056,172.528,27.213,1222,167,6,10,0.611,10.770,1223,177,68.199,6.000,2.175,0.460,0.727
41,41,1164.793,173.256,33.456,1159,168,10,10,0.460,12.207,1159,177,34.992,7.603,1.853,0.540,0.603
42,51,1170.853,176.206,34.870,1165,171,13,10,0.527,15.264,1165,181,31.608,6.183,2.849,0.351,0.703
43,25,1269.900,174.180,22.971,1266,172,8,5,0.595,9.434,1266,172,147.995,5.000,1.850,0.541,0.758
44,32,1278.312,179.250,23.556,1275,175,7,8,0.725,10.630,1275,183,48.814,5.657,2.283,0.438,0.790
45,28,1290.929,180.750,26.971,1288,176,6,8,0.484,8.944,1290,176,116.565,6.000,1.206,0.829,0.727
46,27,1284.352,180.759,19.899,1281,178,6,6,0.857,7.810,1281,179,140.194,6.000,1.206,0.829,0.871
47,39,1213.705,184.115,29.213,1209,180,8,9,0.574,11.314,1209,181,135.000,6.934,1.544,0.648,0.743
48,26,1172.577,184.846,20.728,1170,181,5,8,0.760,9.434,1170,181,122.005,4.715,2.383,0.420,0.825
49,44,1318.955,187.864,42.627,1312,182,11,10,0.304,11.705,1312,190,19.983,9.899,1.091,0.916,0.518
50,34,1298.559,190.176,34.042,1293,185,10,10,0.369,12.806,1293,187,141.340,7.488,2.153,0.464,0.548
51,37,1103.311,190.851,27.213,1099,186,9,9,0.628,10.817,1099,195,33.690,6.326,2.135,0.468,0.740
52,28,1215.929,194.643,22.971,1213,190,6,9,0.667,9.487,1215,190,108.435,4.945,2.241,0.446,0.737
53,27,1255.833,193.130,22.142,1253,190,8,6,0.692,8.944,1253,196,26.565,5.814,1.437,0.696,0.771
54,36,1281.250,194.194,25.213,1277,191,9,7,0.712,9.849,1277,196,23.962,6.548,1.863,0.537,0.742
55,26,1145.731,197.538,20.485,1144,193,4,8,0.779,8.944,1144,193,116.565,4.000,2.163,0.462,0.929
56,31,826.565,197.210,26.142,821,194,11,5,0.570,11.705,821,195,160.017,4.851,3.020,0.331,0.756
57,28,1306.964,197.107,22.971,1303,194,8,6,0.667,8.602,1304,194,144.462,5.821,1.612,0.620,0.737
58,27,883.056,198.537,22.971,880,195,7,7,0.643,8.602,881,202,54.462,6.668,1.520,0.658,0.692
59,96,1294.396,202.542,54.284,1288,195,12,13,0.409,15.811,1291,195,124.695,12.000,1.280,0.782,0.730
60,78,1254.359,200.346,55.941,1247,196,15,12,0.313,16.401,1249,207,37.569,11.907,1.757,0.569,0.595
61,29,1102.707,200.741,25.799,1099,197,9,7,0.548,10.296,1099,204,29.055,6.102,1.563,0.640,0.690
62,35,1313.986,203.243,24.728,1311,199,6,9,0.719,9.849,1312,199,113.962,6.000,1.676,0.597,0.787
63,30,1321.467,202.933,23.799,1318,199,7,8,0.666,8.944,1318,199,116.565,6.864,1.278,0.783,0.706
64,43,445.733,204.942,40.627,442,200,7,11,0.327,12.083,443,200,114.444,7.000,1.675,0.597,0.652
65,65,872.331,205.531,49.213,864,201,18,8,0.337,18.682,864,204,164.476,6.698,3.662,0.273,0.660
66,115,1213.691,212.022,62.426,1205,202,16,17,0.371,20.616,1205,216,39.094,13.035,1.685,0.594,0.627
67,52,741.250,207.750,29.799,736,203,10,9,0.736,10.770,736,210,21.801,8.433,1.172,0.853,0.794
68,80,923.788,210.325,50.527,916,203,15,12,0.394,15.620,920,203,129.806,10.912,1.444,0.692,0.667
69,30,858.400,206.100,23.314,853,204,10,4,0.694,10.440,853,205,163.301,4.000,2.737,0.365,0.857
70,37,1332.500,207.986,38.870,1327,204,11,9,0.308,11.705,1327,207,160.017,8.974,1.847,0.542,0.481
