Area,X,Y,Perim.,BX,BY,Width,Height
39,1042.436,19.436,0,1040,16,6,8
135,596.119,78.748,0,589,70,18,16
28,825.429,75.964,0,824,72,4,8
21,19.667,75.619,0,17,73,6,6
17,837.294,85.235,0,835,83,5,5
56,842.214,91.893,0,839,88,8,9
145,641.276,107.814,0,635,102,13,13
39,750.513,104.436,0,747,102,9,7
35,766.257,109.229,0,761,105,11,10
63,690.524,120.333,0,687,114,7,14
248,479.726,137.992,0,471,127,18,20
460,635.578,146.672,0,623,132,27,37
40,1211.375,137.825,0,1208,135,8,6
47,163.766,139.426,0,161,136,7,8
39,147.923,140.154,0,145,137,7,7
91,660.231,158.505,0,654,153,12,11
51,58.235,163.588,0,55,159,7,10
34,921.029,163.676,0,919,160,5,8
21,356.333,164.429,0,354,162,6,6
134,698.261,183.918,0,695,171,7,26
60,27.517,187.383,0,24,184,8,8
177,613.927,192.610,0,605,185,17,16
81,917.000,195.000,0,915,187,5,17
122,747.861,197.549,0,743,192,12,13
147,633.803,201.007,0,627,195,15,12
131,901.076,204.672,0,894,198,14,14
101,380.960,207.693,0,377,201,10,13
147,339.027,211.803,0,334,204,12,19
89,344.775,215.652,0,339,207,13,18
169,917.195,222.769,0,912,212,15,26
377,363.801,230.886,0,352,219,23,24
187,396.807,254.144,0,390,246,15,18
186,564.651,255.511,0,557,248,16,15
178,353.393,257.685,0,345,253,18,11
207,644.671,265.232,0,635,258,18,18
111,801.243,265.892,0,795,260,13,12
157,738.306,274.490,0,732,267,14,18
41,786.220,274.512,0,783,271,7,8
250,322.340,286.896,0,315,275,16,36
93,608.785,280.043,0,603,275,13,12
29,942.000,281.586,0,940,278,6,8
101,344.584,287.030,0,338,282,14,11
92,829.272,286.848,0,824,282,11,11
44,784.432,299.455,0,781,296,7,8
56,1004.696,306.554,0,1001,301,8,12
20,777.100,303.950,0,775,302,5,5
51,980.098,306.118,0,976,302,9,9
221,442.796,312.579,0,433,305,20,19
70,823.686,311.057,0,819,307,10,9
48,306.000,314.500,0,303,311,7,8
453,806.406,323.956,0,784,312,40,28
68,490.632,316.544,0,486,313,10,9
81,320.062,326.531,0,316,321,10,12
61,426.934,334.689,0,422,325,10,18
38,243.395,331.342,0,241,328,6,8
39,833.821,343.949,0,831,338,7,12
70,170.571,361.829,0,167,357,8,10
186,302.591,369.769,0,297,358,13,22
127,635.134,370.858,0,629,365,13,13
106,974.283,370.972,0,968,365,13,14
130,439.254,372.977,0,433,368,13,12
347,467.297,379.640,0,458,369,22,21
52,1228.769,387.500,0,1226,383,7,10
205,403.288,392.410,0,395,385,19,15
164,303.341,405.994,0,296,400,16,13
265,495.592,425.543,0,488,414,16,23
135,894.674,432.919,0,889,424,12,17
34,1043.500,443.235,0,1041,440,6,8
178,733.916,459.169,0,727,448,14,20
61,686.344,480.443,0,681,477,11,8
46,615.109,487.370,0,612,484,7,8
220,429.773,512.845,0,422,502,18,21
300,542.783,524.790,0,533,513,22,22
65,699.077,516.677,0,695,513,9,9
31,1027.645,515.774,0,1025,513,7,7
135,978.274,534.207,0,971,529,15,12
340,330.153,549.035,0,319,539,22,21
39,971.128,546.872,0,968,544,7,7
268,369.705,559.534,0,358,551,26,18
81,856.901,555.963,0,853,551,9,11
61,1011.557,555.557,0,1008,552,8,8
84,491.833,562.107,0,489,554,6,17
167,678.132,565.240,0,672,558,14,15
141,983.752,568.915,0,978,561,14,18
86,893.430,566.837,0,889,562,10,11
66,1160.803,571.485,0,1155,568,12,8
136,795.360,591.846,0,790,585,12,15
158,471.696,595.608,0,464,589,14,15
150,765.013,605.640,0,758,600,17,15
77,654.364,611.922,0,650,608,10,9
135,576.807,614.044,0,570,609,18,13
28,824.107,614.893,0,821,612,7,6
68,741.765,622.824,0,734,621,18,5
151,916.033,625.662,0,905,622,25,8
76,1131.500,627.500,0,1127,623,10,10
117,743.752,628.795,0,736,625,16,9
124,510.476,640.629,0,504,635,13,12
89,807.618,647.539,0,803,643,10,10
120,473.625,649.908,0,468,644,13,13
76,861.079,656.053,0,856,652,11,9
60,75.500,659.500,0,72,656,8,8
32,11.500,659.500,0,9,657,6,6
303,556.611,675.868,0,549,665,18,23
39,825.590,672.000,0,820,668,11,11
73,565.562,680.151,0,563,673,6,15
444,701.883,688.721,0,693,674,21,30
58,99.483,683.603,0,96,680,8,8
59,155.559,683.458,0,152,680,8,8
48,115.229,691.583,0,112,688,8,8
60,179.500,691.500,0,176,688,8,8
117,414.436,695.838,0,408,690,14,12
47,171.702,699.128,0,168,696,8,7
33,275.455,723.091,0,273,720,6,7
105,481.886,732.771,0,477,727,11,13
320,557.862,739.272,0,547,730,24,22
44,323.568,747.068,0,320,744,8,7
206,604.617,767.272,0,598,759,14,17
140,682.050,773.807,0,677,765,10,18
39,803.154,787.615,0,800,784,7,8
49,787.082,795.776,0,784,792,8,10
54,947.833,795.056,0,944,792,9,8
41,563.610,834.878,0,560,832,8,7
73,355.411,859.493,0,351,855,10,10
26,795.385,907.038,0,793,905,6,6
