 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,131,489.744,126.202,72.870,484,107,10,30,0.310,30.265,488,137,82.405,9.809,3.605,0.277,0.670
2,36,634.806,141.056,21.314,631,138,7,6,0.996,8.602,631,143,35.538,6.000,1.226,0.816,0.935
3,61,659.533,148.303,33.213,653,144,12,9,0.695,14.213,653,144,140.711,7.484,2.284,0.438,0.836
4,73,492.555,170.966,49.456,489,161,7,21,0.375,21.095,491,161,95.440,7.000,3.238,0.309,0.702
5,29,636.362,200.086,22.971,632,197,8,6,0.691,8.944,632,199,153.435,5.754,1.820,0.550,0.753
6,44,903.409,206.432,28.971,899,203,8,8,0.659,10.630,899,203,131.186,7.071,1.603,0.624,0.830
7,47,812.543,254.074,24.142,809,250,7,8,1.000,9.220,809,251,130.601,7.000,1.175,0.851,0.931
8,25,643.580,271.620,17.556,640,269,7,5,1.000,7.280,640,271,164.055,5.000,1.442,0.694,0.862
9,43,669.267,277.291,23.556,665,274,8,7,0.974,9.434,665,275,147.995,7.000,1.379,0.725,0.905
10,28,610.929,281.857,20.142,608,279,7,6,0.867,8.602,608,285,35.538,5.600,1.684,0.594,0.836
11,47,829.926,287.330,24.142,826,284,8,7,1.000,8.944,826,285,153.435,7.000,1.121,0.892,0.931
12,47,336.138,290.415,25.799,332,286,8,9,0.887,9.487,335,295,71.565,7.519,1.306,0.766,0.847
13,40,363.725,291.825,23.213,360,288,8,8,0.933,8.544,362,288,110.556,7.071,1.072,0.933,0.842
14,115,343.291,297.900,42.870,337,291,12,15,0.786,15.524,340,291,104.931,12.000,1.324,0.755,0.846
15,47,323.649,318.521,26.142,319,315,8,8,0.864,9.434,319,317,147.995,8.000,1.162,0.861,0.879
16,84,306.667,327.762,56.669,301,320,11,16,0.329,17.088,303,320,110.556,9.944,1.581,0.632,0.669
17,75,584.953,327.273,41.456,578,323,13,10,0.548,13.601,578,325,143.973,10.000,1.105,0.905,0.769
18,37,603.446,328.257,32.627,598,325,13,6,0.437,13.153,598,326,171.254,6.000,2.730,0.366,0.643
19,89,593.287,332.354,44.870,586,326,13,12,0.556,14.765,586,337,28.301,11.180,1.296,0.772,0.761
20,53,972.896,347.236,26.385,969,343,8,9,0.957,10.296,970,343,119.055,7.778,1.319,0.758,0.898
21,28,939.929,363.571,27.213,937,358,7,10,0.475,12.207,937,368,55.008,4.950,2.669,0.375,0.675
22,129,953.880,366.624,55.698,945,358,16,17,0.523,20.616,945,358,129.094,13.864,1.425,0.702,0.729
23,92,306.815,369.989,49.012,300,363,13,13,0.481,13.601,300,369,162.897,11.314,1.296,0.772,0.780
24,42,985.452,371.000,22.385,982,367,7,8,1.000,8.246,984,367,104.036,7.000,1.045,0.957,0.894
25,34,634.147,372.559,20.728,631,369,6,7,0.994,8.602,632,369,125.538,6.000,1.417,0.706,0.919
26,95,958.763,380.163,38.042,953,374,12,12,0.825,13.892,953,376,149.744,10.200,1.390,0.720,0.860
27,47,974.926,382.266,29.799,970,379,11,8,0.665,12.530,970,386,28.610,7.091,2.100,0.476,0.752
28,29,402.259,394.569,22.971,399,391,7,7,0.691,8.062,399,392,150.255,6.261,1.425,0.702,0.744
29,30,1004.467,398.400,22.142,1000,396,9,5,0.769,9.849,1000,400,23.962,5.000,1.975,0.506,0.870
30,35,301.986,406.443,27.556,298,403,7,7,0.579,8.602,299,410,54.462,7.000,1.162,0.860,0.805
31,112,495.411,425.812,40.627,491,418,9,16,0.853,16.279,494,434,79.380,9.000,1.779,0.562,0.922
32,55,567.464,443.955,26.971,563,440,9,8,0.950,10.000,564,440,126.870,7.906,1.273,0.786,0.894
33,33,730.106,460.015,22.971,727,456,7,7,0.786,7.616,729,456,113.199,6.934,1.123,0.890,0.846
34,53,991.632,484.387,34.728,989,476,5,15,0.552,15.297,989,491,78.690,5.000,3.242,0.308,0.862
35,25,698.660,516.780,18.142,696,514,6,6,0.954,7.071,697,520,45.000,6.000,1.150,0.870,0.820
36,46,332.870,549.978,36.284,328,546,11,8,0.439,11.180,328,551,10.305,8.000,1.293,0.773,0.681
37,25,857.140,556.940,24.385,854,553,6,7,0.528,8.062,856,553,119.745,6.000,1.466,0.682,0.704
38,44,677.727,563.159,23.799,674,559,8,8,0.976,9.220,674,566,40.601,7.071,1.221,0.819,0.871
39,34,765.471,605.206,21.314,762,602,7,6,0.941,8.485,762,608,45.000,6.000,1.220,0.819,0.907
40,47,947.457,610.138,24.385,943,606,8,8,0.993,9.434,945,606,122.005,7.778,1.151,0.869,0.895
