 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35,585.529,102.586,27.213,582,99,7,7,0.594,8.062,582,101,150.255,7.000,1.075,0.930,0.805
2,104,456.538,128.615,59.841,449,123,15,13,0.365,16.401,454,136,52.431,13.000,1.211,0.826,0.689
3,34,544.353,135.824,23.556,541,132,7,7,0.770,8.062,541,134,150.255,7.000,1.270,0.788,0.819
4,50,444.400,144.640,27.799,440,140,8,9,0.813,9.849,443,149,66.038,8.000,1.055,0.947,0.833
5,52,676.673,148.346,25.556,672,145,9,7,1.000,9.849,672,150,23.962,7.000,1.284,0.779,0.929
6,34,857.235,160.912,24.971,854,157,7,8,0.685,9.220,855,157,130.601,6.200,1.712,0.584,0.791
7,29,666.259,161.672,29.799,663,158,7,7,0.410,8.062,663,160,150.255,6.934,1.202,0.832,0.716
8,52,577.500,175.000,25.314,574,171,7,8,1.000,9.434,575,171,122.005,7.000,1.139,0.878,0.963
9,61,545.270,177.762,27.799,541,173,9,9,0.992,10.296,543,173,119.055,8.854,1.160,0.862,0.897
10,50,442.940,188.480,29.213,439,184,8,9,0.736,9.849,441,193,66.038,8.000,1.230,0.813,0.847
11,31,917.016,191.339,33.113,911,185,11,12,0.355,16.279,911,185,132.510,3.536,6.450,0.155,0.660
12,42,731.667,189.571,29.213,727,186,10,8,0.618,10.440,727,190,16.699,7.727,1.321,0.757,0.730
13,113,476.677,195.774,53.598,470,188,13,16,0.494,17.889,474,204,63.435,11.000,1.557,0.642,0.782
14,53,411.123,202.425,26.142,407,199,9,7,0.975,9.849,407,205,23.962,7.000,1.247,0.802,0.930
15,96,674.240,220.896,42.870,669,214,11,13,0.656,15.811,670,214,124.695,9.603,1.752,0.571,0.865
16,59,645.975,219.975,30.971,641,216,11,8,0.773,12.207,642,224,34.992,8.000,1.468,0.681,0.825
17,63,733.008,220.802,28.971,729,216,8,10,0.943,11.662,729,216,120.964,8.000,1.392,0.718,0.920
18,53,516.387,220.764,25.799,512,217,9,8,1.000,9.487,512,219,161.565,8.000,1.164,0.859,0.891
19,59,635.398,222.551,41.941,631,217,10,11,0.421,11.662,631,218,120.964,10.000,1.172,0.853,0.682
20,52,543.231,227.635,33.556,536,225,15,5,0.580,15.524,536,230,14.931,5.000,3.260,0.307,0.867
21,75,555.780,236.727,41.213,552,228,10,15,0.555,15.264,553,228,121.608,10.000,1.619,0.618,0.761
22,60,531.100,236.633,30.627,527,231,9,11,0.804,12.042,527,241,41.634,7.184,1.781,0.562,0.851
23,32,768.656,236.906,23.799,765,233,7,8,0.710,8.062,769,233,97.125,6.261,1.358,0.737,0.780
24,124,616.960,238.202,65.799,599,234,29,8,0.360,29.155,599,239,5.906,8.000,4.602,0.217,0.736
25,43,522.267,239.523,22.728,519,236,7,7,1.000,9.220,519,243,40.601,7.000,1.103,0.907,0.945
26,66,545.303,246.455,33.556,539,243,13,7,0.737,14.765,539,250,28.301,6.871,2.421,0.413,0.898
27,65,591.008,248.746,29.213,586,244,10,9,0.957,11.662,586,246,149.036,8.485,1.379,0.725,0.897
28,33,925.045,248.288,23.556,922,245,6,7,0.747,8.062,924,252,60.255,6.000,1.221,0.819,0.857
29,69,421.761,251.572,32.627,418,246,8,12,0.815,12.649,419,258,71.565,8.000,1.450,0.690,0.879
30,40,873.450,252.300,30.870,870,248,7,9,0.527,9.434,872,248,122.005,7.000,1.301,0.768,0.777
31,43,966.872,264.663,36.042,963,258,8,14,0.416,16.125,963,258,119.745,5.060,4.448,0.225,0.688
32,37,523.635,272.527,22.142,520,269,7,7,0.948,8.062,522,276,60.255,7.000,1.076,0.929,0.881
33,142,624.106,281.542,65.841,616,272,15,18,0.412,18.248,625,272,99.462,13.825,1.323,0.756,0.761
34,32,814.438,289.344,20.385,811,286,7,7,0.968,8.062,812,286,119.745,5.657,1.445,0.692,0.865
35,42,425.524,293.190,23.556,422,289,7,8,0.951,9.434,423,289,122.005,7.000,1.293,0.773,0.894
36,39,592.167,295.808,22.971,588,292,8,7,0.929,8.544,588,294,159.444,7.000,1.286,0.778,0.848
37,42,823.857,302.357,23.556,820,299,8,7,0.951,8.602,821,299,125.538,7.000,1.127,0.887,0.884
38,47,388.053,309.394,24.385,384,305,8,8,0.993,8.944,387,305,116.565,7.778,1.044,0.958,0.904
39,113,346.412,314.226,45.698,342,306,10,16,0.680,16.125,346,306,97.125,10.000,1.597,0.626,0.859
40,83,337.271,314.741,36.728,332,308,9,12,0.773,14.213,332,319,50.711,9.000,1.471,0.680,0.912
41,29,330.086,314.741,24.142,328,311,5,9,0.625,9.487,330,320,71.565,5.000,2.217,0.451,0.795
42,49,337.602,323.255,35.213,330,321,15,6,0.497,15.133,330,322,172.405,6.000,3.105,0.322,0.726
43,101,454.589,346.540,50.527,450,339,11,14,0.497,15.811,450,340,124.695,11.000,1.475,0.678,0.780
44,79,425.361,346.259,34.042,420,340,10,12,0.857,12.369,424,352,75.964,9.675,1.318,0.759,0.859
45,57,610.061,347.798,26.385,606,343,8,9,1.000,10.000,607,352,53.130,8.000,1.136,0.880,0.919
46,35,674.729,361.929,20.728,671,359,7,6,1.000,7.810,672,359,129.806,6.000,1.129,0.885,0.921
47,53,993.934,372.236,27.213,990,367,8,10,0.899,10.440,992,377,73.301,8.000,1.311,0.763,0.862
48,36,697.000,382.000,20.971,694,378,6,8,1.000,8.246,696,378,104.036,6.000,1.254,0.798,0.900
49,44,314.500,390.068,32.385,311,386,7,8,0.527,10.000,312,394,53.130,7.000,1.242,0.805,0.846
50,57,423.377,397.044,26.971,419,393,9,8,0.985,10.817,419,394,146.310,8.000,1.336,0.748,0.912
51,26,1001.269,406.962,19.899,997,405,8,4,0.825,8.544,997,408,20.556,4.000,1.974,0.507,0.912
52,43,565.453,409.826,22.971,562,406,7,8,1.000,8.944,563,406,116.565,7.000,1.205,0.830,0.896
53,52,546.423,413.462,25.556,542,410,9,7,1.000,9.849,542,411,156.038,7.000,1.269,0.788,0.929
54,35,417.729,425.214,27.456,415,420,6,10,0.583,10.440,415,420,106.699,6.000,1.598,0.626,0.714
55,26,523.885,424.077,23.556,521,420,6,9,0.589,10.296,522,429,60.945,4.608,2.560,0.391,0.732
56,53,752.066,423.443,25.899,748,420,8,7,0.993,10.000,748,426,36.870,7.000,1.148,0.871,0.972
57,141,492.855,433.408,44.627,487,426,12,15,0.890,16.643,488,440,57.265,11.884,1.401,0.714,0.925
58,62,990.242,431.065,39.698,984,426,12,10,0.494,13.892,984,428,149.744,9.192,1.603,0.624,0.693
59,29,355.672,431.983,22.728,353,429,6,7,0.705,8.602,354,436,54.462,6.000,1.460,0.685,0.795
60,87,419.741,443.132,37.456,414,436,11,13,0.779,13.892,418,436,120.256,9.800,1.481,0.675,0.837
61,42,409.643,441.048,23.556,406,438,8,7,0.951,8.944,406,443,26.565,7.000,1.211,0.826,0.894
62,67,555.978,451.187,38.042,550,446,12,11,0.582,13.601,550,446,126.027,9.753,1.404,0.712,0.757
63,61,294.975,453.090,33.213,290,449,9,9,0.695,10.296,290,451,150.945,9.000,1.076,0.929,0.865
64,83,318.211,455.247,54.971,309,453,23,7,0.345,23.345,309,457,9.866,7.000,4.261,0.235,0.719
65,49,715.888,474.418,25.314,712,471,8,7,0.961,10.000,712,471,143.130,7.000,1.278,0.782,0.942
66,138,673.870,492.688,46.284,668,484,12,17,0.810,17.464,672,484,103.241,11.236,1.595,0.627,0.887
67,60,930.900,495.067,27.213,926,491,10,8,1.000,10.770,926,493,158.199,8.000,1.301,0.769,0.909
68,85,912.935,499.806,36.042,908,494,10,13,0.822,13.928,910,494,111.038,10.000,1.278,0.782,0.842
69,32,817.719,502.875,19.899,815,500,6,6,1.000,7.810,815,506,39.806,6.000,1.108,0.903,0.955
70,46,920.304,505.348,28.385,917,501,8,9,0.717,10.000,917,509,53.130,8.000,1.234,0.810,0.793
71,32,874.312,507.344,20.728,871,504,7,6,0.936,7.810,872,504,129.806,6.000,1.265,0.791,0.865
72,27,698.944,510.796,17.556,696,508,6,6,1.000,6.708,697,508,116.565,6.000,1.073,0.932,0.885
73,27,335.833,515.389,19.314,333,512,6,6,0.910,7.810,334,512,129.806,6.000,1.290,0.775,0.857
74,38,704.711,530.500,25.213,701,526,7,9,0.751,9.849,703,535,66.038,6.261,1.854,0.539,0.792
75,41,375.646,537.207,40.870,371,532,9,10,0.308,12.806,371,542,51.340,8.746,1.420,0.704,0.577
76,137,811.398,546.062,67.012,805,538,14,18,0.383,20.248,808,556,57.095,11.724,1.792,0.558,0.721
77,134,822.769,547.896,48.870,815,540,17,13,0.705,17.720,815,553,16.390,13.000,1.303,0.767,0.848
78,75,450.180,546.060,36.627,442,541,14,9,0.703,14.560,442,547,15.945,8.728,1.826,0.548,0.806
79,40,616.300,544.700,22.142,613,541,7,7,1.000,8.602,613,548,35.538,7.000,1.160,0.862,0.930
80,65,934.146,553.423,29.213,929,549,10,9,0.957,10.817,930,550,146.310,8.497,1.291,0.775,0.890
81,47,739.819,553.096,34.042,733,550,13,6,0.510,13.342,733,553,12.995,5.963,2.537,0.394,0.746
82,32,731.094,557.031,28.042,727,553,9,8,0.511,9.055,727,557,173.660,7.071,1.304,0.767,0.660
83,138,497.275,561.428,68.184,488,554,19,12,0.373,20.248,488,559,159.775,12.000,1.696,0.590,0.771
84,25,815.940,564.380,19.899,812,562,8,4,0.793,8.544,812,563,159.444,4.000,2.187,0.457,0.893
85,67,364.425,569.231,39.213,359,565,11,8,0.548,12.530,359,572,28.610,8.000,1.474,0.679,0.865
86,27,503.130,569.093,20.728,499,567,8,5,0.790,8.544,499,570,20.556,5.000,1.834,0.545,0.844
87,73,815.801,570.801,36.627,811,567,11,9,0.684,13.038,811,575,32.471,9.000,1.468,0.681,0.880
88,52,748.615,572.346,26.142,744,569,9,7,0.956,10.296,744,570,150.945,7.000,1.428,0.700,0.929
89,45,429.478,591.389,28.042,425,587,9,8,0.719,10.000,427,587,126.870,7.778,1.280,0.781,0.796
90,46,844.848,595.957,24.142,841,592,7,8,0.992,8.944,843,592,116.565,7.000,1.218,0.821,0.920
91,25,534.260,597.540,17.314,531,595,6,5,1.000,7.211,531,599,33.690,5.000,1.293,0.773,0.926
92,45,680.944,600.256,24.142,678,596,6,9,0.970,9.487,679,596,108.435,6.000,1.456,0.687,0.928
93,34,774.412,603.176,20.728,772,599,5,8,0.994,8.544,773,599,110.556,5.000,1.548,0.646,0.932
94,36,503.250,611.667,22.728,500,608,6,8,0.876,10.000,500,608,126.870,6.000,1.787,0.560,0.900
95,34,751.529,627.118,20.142,748,624,7,6,1.000,8.062,748,629,29.745,6.000,1.234,0.811,0.907
96,45,439.389,641.189,24.385,435,638,9,7,0.951,9.487,435,643,18.435,7.000,1.309,0.764,0.882
97,57,799.202,642.149,26.627,794,638,10,8,1.000,10.440,794,641,163.301,8.000,1.267,0.790,0.891
98,25,484.180,664.580,18.971,481,662,7,6,0.873,7.616,481,666,23.199,5.600,1.449,0.690,0.794
99,65,890.885,674.162,28.385,887,669,8,10,1.000,10.770,889,669,111.801,8.000,1.231,0.812,0.935
100,63,443.135,677.786,28.971,439,673,8,10,0.943,10.770,441,673,111.801,8.000,1.178,0.849,0.906
101,46,577.870,683.739,25.556,575,679,6,10,0.885,10.440,577,689,73.301,6.000,1.774,0.564,0.893
102,51,844.500,699.500,24.971,840,696,9,7,1.000,9.487,840,698,161.565,7.000,1.244,0.804,0.927
103,64,638.672,710.406,28.385,634,706,9,9,0.998,10.817,634,713,33.690,8.485,1.262,0.792,0.928
104,43,667.291,719.640,27.556,664,716,8,9,0.712,9.849,666,725,66.038,7.906,1.215,0.823,0.789
105,29,852.293,721.431,23.556,849,718,8,6,0.657,8.544,849,719,159.444,6.000,1.565,0.639,0.734
106,124,753.073,729.282,48.770,747,722,13,14,0.655,15.264,751,722,121.608,13.000,1.075,0.930,0.824
107,118,767.280,731.466,45.456,761,724,13,14,0.718,15.000,761,727,143.130,12.965,1.107,0.903,0.808
108,33,838.318,729.742,20.971,835,727,7,6,0.943,7.810,835,727,129.806,6.000,1.163,0.860,0.892
109,35,483.243,730.671,26.971,479,728,8,6,0.605,8.246,479,730,165.964,6.000,1.285,0.778,0.833
110,33,586.258,730.500,26.385,582,728,8,6,0.596,8.602,583,728,144.462,6.000,1.465,0.683,0.795
111,65,568.869,739.362,29.213,564,734,9,10,0.957,10.817,566,735,123.690,9.000,1.174,0.852,0.890
112,60,514.050,767.050,27.213,510,762,8,10,1.000,10.770,512,762,111.801,8.000,1.299,0.770,0.909
113,41,578.378,784.695,22.728,575,781,7,7,0.997,8.602,576,781,125.538,7.000,1.088,0.919,0.921
