Area,X,Y,Perim.,BX,BY,Width,Height
101,660.812,80.109,0,655,76,13,10
91,693.154,82.132,0,688,78,12,10
95,533.811,113.484,0,529,108,11,12
166,473.139,132.904,0,471,114,6,35
19,689.158,131.474,0,688,128,4,7
144,443.583,141.632,0,436,135,15,13
55,846.945,139.291,0,841,137,13,5
110,685.018,161.491,0,683,150,5,23
140,475.443,169.300,0,473,154,6,34
108,700.000,160.602,0,691,156,16,10
101,774.812,161.594,0,769,157,12,11
98,840.847,162.939,0,835,158,13,11
116,857.172,168.121,0,852,162,11,13
108,497.991,170.907,0,491,165,16,13
75,657.880,171.133,0,650,168,15,8
94,757.872,184.436,0,753,179,10,12
145,529.110,188.524,0,523,181,13,16
79,777.418,193.468,0,772,189,11,10
74,522.919,202.689,0,519,198,9,10
30,748.633,202.367,0,746,200,6,6
81,428.358,214.630,0,424,210,10,10
75,441.480,216.587,0,437,212,10,10
147,508.510,221.041,0,499,213,17,16
53,501.321,220.208,0,498,216,8,10
81,799.062,224.827,0,795,220,10,10
73,508.589,230.315,0,504,226,11,10
85,715.694,237.176,0,711,232,11,11
157,786.325,239.268,0,779,232,14,15
129,427.318,240.589,0,422,234,12,14
78,726.397,238.949,0,721,235,11,9
125,735.952,251.680,0,730,246,13,13
111,891.360,260.811,0,886,255,11,13
89,351.247,261.539,0,347,257,10,11
82,377.207,262.341,0,373,258,10,10
112,643.848,266.527,0,637,262,14,10
62,389.129,268.726,0,385,264,9,10
95,862.179,269.495,0,857,265,12,10
126,377.270,270.770,0,369,266,17,11
60,797.633,272.083,0,793,268,10,9
135,492.852,274.452,0,486,269,15,12
95,456.832,275.284,0,451,271,12,10
86,343.837,277.372,0,339,273,11,10
88,803.455,278.807,0,799,274,10,11
151,899.291,299.523,0,897,280,5,42
74,804.635,289.230,0,801,284,8,11
85,588.024,299.788,0,584,295,9,11
141,455.766,303.000,0,450,296,13,15
132,321.114,304.818,0,315,299,13,13
76,398.408,313.079,0,394,309,10,9
82,609.707,316.000,0,606,311,9,11
87,484.563,321.575,0,482,312,6,19
134,313.440,320.507,0,307,315,14,12
96,533.396,321.542,0,528,316,11,12
81,523.000,323.679,0,518,319,11,10
99,895.424,326.141,0,890,321,12,11
99,899.111,340.960,0,897,330,5,23
59,484.102,334.746,0,480,331,8,9
54,853.926,334.981,0,850,331,9,9
95,770.011,342.895,0,764,338,13,11
110,486.064,351.000,0,484,340,5,24
91,773.165,350.791,0,768,345,11,12
71,616.817,377.676,0,613,372,8,12
126,521.762,394.087,0,517,388,11,14
93,840.086,394.667,0,834,390,13,10
76,642.737,415.303,0,638,411,10,10
120,493.500,430.158,0,489,423,10,15
107,917.953,450.729,0,912,445,12,12
84,955.940,454.298,0,952,449,9,12
248,820.419,464.835,0,813,456,18,19
160,938.706,468.250,0,934,458,11,20
125,947.976,467.272,0,943,460,11,15
332,982.398,474.319,0,972,463,22,24
97,955.433,481.938,0,950,477,11,11
53,491.566,484.717,0,490,478,5,14
62,556.065,481.903,0,551,479,11,7
101,836.822,491.149,0,832,485,11,13
78,317.936,491.231,0,313,487,11,9
193,484.979,498.244,0,477,490,17,16
81,935.444,497.802,0,931,493,10,11
75,729.053,506.467,0,725,502,9,10
117,931.197,508.094,0,926,502,11,14
124,888.621,514.444,0,883,508,12,14
62,522.774,513.661,0,518,510,10,8
47,902.277,515.191,0,900,510,5,12
80,309.875,517.550,0,305,514,11,8
77,428.286,519.208,0,423,514,11,11
80,618.962,518.850,0,615,514,9,11
130,845.269,525.854,0,838,520,14,13
112,897.277,525.161,0,891,521,14,10
130,902.969,543.277,0,901,528,5,31
125,694.888,544.752,0,693,530,5,30
84,412.024,537.893,0,407,534,11,10
167,858.719,540.701,0,851,535,17,13
100,718.820,542.990,0,713,538,12,11
81,505.444,544.519,0,501,540,10,10
220,680.286,551.618,0,674,541,14,21
61,718.836,554.295,0,716,549,7,11
114,408.018,562.623,0,401,558,14,12
207,926.551,560.517,0,909,558,36,6
103,362.379,565.660,0,357,561,12,11
72,509.500,574.792,0,505,571,10,9
163,383.693,595.061,0,376,589,16,13
116,759.698,600.966,0,755,594,10,16
169,717.456,605.556,0,709,599,17,14
85,635.529,615.447,0,631,611,10,10
120,788.075,616.525,0,782,611,13,12
84,425.869,626.024,0,421,622,11,9
96,597.094,637.156,0,593,631,9,13
83,494.699,643.072,0,491,637,8,13
79,586.734,644.671,0,583,640,9,11
210,510.852,651.062,0,501,646,21,13
72,642.944,660.389,0,639,656,9,10
109,775.028,664.734,0,771,657,9,17
46,766.935,661.130,0,763,658,8,8
73,718.945,672.589,0,715,668,9,10
90,532.056,684.633,0,526,678,13,14
24,745.125,679.833,0,743,678,6,5
84,720.190,684.869,0,716,680,10,11
124,538.169,691.798,0,532,685,13,14
28,755.964,698.107,0,754,695,5,7
144,744.090,707.896,0,737,702,16,12
82,549.061,716.024,0,544,712,11,9
93,585.462,744.581,0,580,740,12,10
206,726.218,772.549,0,707,770,40,6
43,703.767,780.395,0,702,776,5,10
