 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,72,661.319,80.681,32.042,656,76,12,9,0.881,12.649,656,83,18.435,8.944,1.423,0.703,0.867,cell
2,43,692.988,83.081,30.627,689,79,9,8,0.576,10.000,689,80,143.130,7.155,1.523,0.657,0.754,cell
3,59,534.737,114.246,28.042,530,109,9,10,0.943,10.440,534,109,106.699,7.778,1.304,0.767,0.887,cell
4,56,849.500,151.911,27.799,845,147,9,9,0.911,10.630,846,148,131.186,7.766,1.390,0.719,0.882,cell
5,68,701.015,160.735,29.799,696,156,10,9,0.962,10.817,696,163,33.690,9.000,1.167,0.857,0.895,cell
6,69,775.239,162.094,30.627,770,157,10,10,0.924,11.402,771,166,37.875,8.944,1.279,0.782,0.879,cell
7,44,840.432,163.750,25.799,836,160,9,7,0.831,9.220,836,163,167.471,7.000,1.156,0.865,0.854,cell
8,30,890.000,182.267,22.385,887,178,6,8,0.752,8.544,889,178,110.556,5.821,1.530,0.654,0.789,cell
9,56,758.571,184.875,26.971,755,180,7,10,0.967,10.440,757,180,106.699,7.000,1.364,0.733,0.918,cell
10,71,528.528,191.444,30.385,524,187,10,9,0.966,10.817,525,187,123.690,9.000,1.038,0.963,0.922,cell
11,34,777.971,193.765,21.799,774,190,7,7,0.899,8.062,774,195,29.745,6.934,1.184,0.845,0.850,cell
12,49,523.480,202.908,24.971,520,198,7,9,0.988,9.849,522,198,113.962,7.000,1.268,0.788,0.916,cell
13,33,428.955,214.591,29.213,425,211,8,7,0.486,8.544,425,217,20.556,7.000,1.217,0.822,0.710,cell
14,54,441.889,217.111,25.556,438,213,8,8,1.000,9.434,438,220,32.005,8.000,1.074,0.931,0.939,cell
15,35,799.471,225.643,30.971,796,222,7,7,0.459,8.602,797,222,125.538,7.000,1.202,0.832,0.769,cell
16,61,788.123,238.205,28.385,784,233,8,10,0.951,10.770,786,243,68.199,8.000,1.339,0.747,0.904,cell
17,48,715.521,238.021,26.385,712,234,8,8,0.866,10.000,713,242,53.130,7.778,1.189,0.841,0.873,cell
18,81,427.537,240.920,33.213,423,235,9,12,0.923,13.038,425,247,57.529,9.000,1.474,0.678,0.905,cell
19,57,726.763,239.360,26.385,722,235,9,8,1.000,9.849,722,238,156.038,8.000,1.168,0.856,0.919,cell
20,41,736.037,252.305,34.627,732,247,9,9,0.430,10.817,732,249,146.310,7.778,1.657,0.604,0.656,cell
21,54,862.259,270.019,26.971,858,266,9,8,0.933,10.630,858,273,41.186,7.778,1.329,0.752,0.900,cell
22,80,493.788,274.950,34.870,487,270,13,10,0.827,13.342,487,273,167.005,9.391,1.428,0.700,0.851,cell
