 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,72,661.319,80.681,32.042,656,76,12,9,0.881,12.649,656,83,18.435,8.944,1.423,0.703,0.867
2,43,692.988,83.081,30.627,689,79,9,8,0.576,10.000,689,80,143.130,7.155,1.523,0.657,0.754
3,52,534.673,114.462,36.870,530,109,9,10,0.481,10.440,534,109,106.699,7.778,1.351,0.740,0.782
4,86,684.977,134.337,49.899,683,123,5,22,0.434,22.361,683,123,100.305,5.000,5.308,0.188,0.891
5,101,443.500,142.599,39.456,437,136,12,12,0.815,14.422,437,146,33.690,11.094,1.281,0.781,0.882
6,111,685.914,147.905,66.142,671,145,30,5,0.319,30.150,671,150,5.711,4.865,7.403,0.135,0.857
7,56,849.500,151.911,27.799,845,147,9,9,0.911,10.630,846,148,131.186,7.766,1.390,0.719,0.882
8,109,487.849,152.041,61.314,474,150,27,5,0.364,27.295,474,150,171.573,5.000,6.630,0.151,0.886
9,121,501.781,162.112,51.456,493,155,16,14,0.574,17.029,493,166,40.236,13.924,1.232,0.812,0.727
10,41,510.159,159.476,26.142,507,155,7,9,0.754,11.402,507,155,127.875,5.692,2.138,0.468,0.837
11,48,516.521,160.604,31.799,513,155,7,12,0.597,13.000,514,155,112.620,6.450,2.408,0.415,0.762
12,68,701.015,160.735,29.799,696,156,10,9,0.962,10.817,696,163,33.690,9.000,1.167,0.857,0.895
13,69,775.239,162.094,30.627,770,157,10,10,0.924,11.402,771,166,37.875,8.944,1.279,0.782,0.879
14,44,840.432,163.750,25.799,836,160,9,7,0.831,9.220,836,163,167.471,7.000,1.156,0.865,0.854
15,61,510.648,169.074,36.627,505,165,11,9,0.571,11.705,505,170,19.983,9.000,1.340,0.746,0.772
16,29,497.845,171.638,21.799,494,168,7,8,0.767,8.944,496,168,116.565,5.622,1.706,0.586,0.773
17,30,890.000,182.267,22.385,887,178,6,8,0.752,8.544,889,178,110.556,5.821,1.530,0.654,0.789
18,56,758.571,184.875,26.971,755,180,7,10,0.967,10.440,757,180,106.699,7.000,1.364,0.733,0.918
19,71,528.528,191.444,30.385,524,187,10,9,0.966,10.817,525,187,123.690,9.000,1.038,0.963,0.922
20,30,778.033,193.867,28.627,774,190,7,7,0.460,8.062,774,195,29.745,6.934,1.218,0.821,0.750
21,44,523.318,202.932,32.627,520,198,7,9,0.519,9.849,522,198,113.962,7.000,1.335,0.749,0.822
22,33,428.955,214.591,29.213,425,211,8,7,0.486,8.544,425,217,20.556,7.000,1.217,0.822,0.710
23,54,441.889,217.111,25.556,438,213,8,8,1.000,9.434,438,220,32.005,8.000,1.074,0.931,0.939
24,124,507.395,223.968,60.184,498,215,16,18,0.430,24.083,498,233,48.366,12.291,2.217,0.451,0.672
25,25,502.180,220.260,18.142,499,217,6,6,0.954,7.810,499,223,39.806,4.950,1.620,0.617,0.877
26,102,510.980,234.265,53.012,504,228,14,13,0.456,15.264,505,229,148.392,11.600,1.456,0.687,0.753
27,61,788.123,238.205,28.385,784,233,8,10,0.951,10.770,786,243,68.199,8.000,1.339,0.747,0.904
28,48,715.521,238.021,26.385,712,234,8,8,0.866,10.000,713,242,53.130,7.778,1.189,0.841,0.873
29,81,427.537,240.920,33.213,423,235,9,12,0.923,13.038,425,247,57.529,9.000,1.474,0.678,0.905
30,57,726.763,239.360,26.385,722,235,9,8,1.000,9.849,722,238,156.038,8.000,1.168,0.856,0.919
31,32,383.188,254.719,22.142,380,251,6,8,0.820,8.944,382,251,116.565,6.000,1.426,0.701,0.853
32,47,861.968,269.968,34.627,858,266,9,8,0.493,10.630,858,273,41.186,7.778,1.409,0.710,0.783
33,72,493.458,274.972,45.113,487,270,13,10,0.445,13.342,487,273,167.005,9.391,1.354,0.739,0.770
34,53,457.274,275.387,32.042,453,271,9,8,0.649,10.296,453,273,150.945,8.000,1.290,0.775,0.848
35,63,344.341,277.659,28.385,340,273,9,9,0.983,10.817,340,281,33.690,8.485,1.283,0.780,0.920
36,59,803.975,279.229,26.971,800,275,8,9,1.000,10.296,802,284,60.945,8.000,1.193,0.839,0.937
37,46,804.978,289.761,24.728,802,285,6,9,0.945,9.849,803,294,66.038,6.000,1.498,0.668,0.929
38,58,588.328,300.448,27.556,584,296,8,9,0.960,10.296,586,305,60.945,8.000,1.235,0.810,0.921
39,84,456.071,303.083,34.870,451,297,10,12,0.868,12.369,455,297,104.036,10.000,1.264,0.791,0.870
40,34,398.765,313.441,32.627,395,310,8,7,0.401,8.602,397,310,125.538,7.000,1.104,0.906,0.716
41,40,609.675,316.575,35.213,606,312,7,9,0.405,9.849,608,321,66.038,7.000,1.385,0.722,0.762
42,83,313.645,320.813,49.113,308,316,12,10,0.432,13.892,308,325,30.256,9.470,1.371,0.729,0.826
43,65,533.531,321.885,29.799,529,317,9,10,0.920,10.817,530,326,56.310,8.854,1.235,0.810,0.884
44,51,523.186,323.971,24.971,519,320,8,8,1.000,10.000,520,320,126.870,7.778,1.257,0.796,0.919
45,47,899.521,338.160,35.071,898,330,3,16,0.480,16.279,898,346,79.380,3.000,5.268,0.190,0.989
46,40,770.375,344.325,27.799,765,340,10,8,0.650,12.042,766,348,41.634,5.488,2.669,0.375,0.784
47,68,774.426,352.294,31.456,769,347,11,10,0.864,11.180,769,352,169.695,8.944,1.132,0.883,0.834
48,31,765.210,353.048,23.556,763,349,5,8,0.702,8.944,763,349,116.565,5.000,1.852,0.540,0.849
49,147,953.588,361.003,60.870,941,357,26,9,0.499,26.306,941,362,8.746,7.375,3.988,0.251,0.855
50,86,488.174,383.140,59.314,486,370,4,27,0.307,27.295,486,370,98.427,4.000,8.004,0.125,0.878
51,40,286.050,379.825,27.799,282,375,7,9,0.650,10.817,282,384,56.310,6.325,1.896,0.527,0.777
52,63,522.532,393.548,28.385,518,389,9,9,0.983,10.296,520,389,119.055,8.944,1.160,0.862,0.920
53,52,841.115,395.115,24.971,837,391,8,8,1.000,9.434,839,391,122.005,8.000,1.142,0.876,0.920
54,73,489.390,409.199,50.485,487,398,4,23,0.360,23.195,488,398,97.431,4.000,6.888,0.145,0.885
55,25,1002.700,404.340,18.728,999,402,7,5,0.896,8.062,999,406,29.745,4.919,1.715,0.583,0.862
56,55,643.045,415.936,26.142,639,412,8,8,1.000,10.000,639,419,36.870,8.000,1.114,0.898,0.940
57,28,912.036,422.679,22.385,908,419,8,7,0.702,10.000,908,425,36.870,4.950,2.659,0.376,0.767
58,77,918.097,451.123,31.799,913,446,10,10,0.957,11.662,913,454,30.964,9.391,1.241,0.806,0.917
59,38,956.316,454.026,26.385,953,450,7,8,0.686,8.944,954,458,63.435,7.000,1.325,0.755,0.809
60,115,821.657,465.717,61.012,815,459,14,14,0.388,17.804,816,473,51.843,12.348,1.357,0.737,0.764
61,54,944.389,464.444,40.527,938,459,14,11,0.413,14.866,938,460,160.346,9.240,1.763,0.567,0.607
62,77,938.344,470.227,38.627,935,462,8,15,0.648,15.133,937,462,97.595,8.000,1.819,0.550,0.860
63,63,979.595,473.246,45.355,974,469,12,10,0.385,12.166,974,472,170.538,9.391,1.229,0.814,0.728
64,70,492.271,488.357,43.314,489,478,6,18,0.469,18.439,491,478,102.529,6.000,4.023,0.249,0.795
65,49,955.745,482.153,36.042,952,478,8,9,0.474,10.000,953,478,126.870,8.000,1.207,0.829,0.803
66,35,556.329,482.271,22.971,552,479,8,6,0.834,8.944,552,481,153.435,6.000,1.264,0.791,0.843
67,58,902.259,495.086,48.971,900,485,4,21,0.304,21.213,901,485,98.130,4.000,6.924,0.144,0.773
68,58,837.345,491.241,42.284,833,486,9,10,0.408,11.662,834,496,59.036,8.485,1.342,0.745,0.795
69,55,318.155,491.482,38.385,313,488,10,7,0.469,10.770,313,490,158.199,7.000,1.298,0.770,0.853
70,40,666.475,492.175,22.142,663,489,7,7,1.000,8.062,663,490,150.255,7.000,1.055,0.948,0.920
71,39,935.679,497.936,28.385,933,494,6,9,0.608,9.849,933,494,113.962,6.000,1.645,0.608,0.821
72,53,729.632,506.858,26.627,725,502,9,9,0.939,9.487,729,502,108.435,8.485,1.119,0.894,0.855
73,73,931.486,508.555,32.042,927,503,9,11,0.894,12.530,929,503,118.610,8.485,1.447,0.691,0.907
74,48,694.312,518.250,25.799,691,513,7,10,0.906,10.198,693,523,78.690,7.000,1.328,0.753,0.889
75,65,310.315,518.054,28.385,305,514,10,8,1.000,10.817,306,515,146.310,8.000,1.266,0.790,0.929
76,41,619.183,518.939,31.213,616,515,7,8,0.529,9.434,617,515,122.005,7.000,1.290,0.775,0.820
77,40,845.225,525.725,31.213,841,521,8,8,0.516,8.602,843,522,125.538,7.778,1.146,0.872,0.784
78,27,895.648,527.278,22.971,892,523,8,7,0.643,10.630,892,523,138.814,4.950,2.440,0.410,0.771
79,37,903.068,532.095,38.142,900,526,5,16,0.320,16.279,902,542,79.380,5.000,4.675,0.214,0.622
80,45,411.811,538.344,36.627,408,535,9,7,0.422,10.296,408,541,29.055,7.000,1.202,0.832,0.804
81,65,861.038,539.992,39.113,854,535,13,9,0.534,13.601,854,538,162.897,8.918,1.618,0.618,0.769
82,34,718.088,543.941,27.213,715,540,6,8,0.577,8.602,716,547,54.462,6.000,1.314,0.761,0.800
83,35,505.843,545.443,30.627,502,541,7,8,0.469,8.602,502,543,144.462,7.000,1.062,0.942,0.745
84,34,679.706,546.618,25.799,677,542,6,9,0.642,9.487,679,542,108.435,6.000,1.707,0.586,0.773
85,104,406.490,552.144,47.113,400,545,12,13,0.589,15.000,401,557,53.130,12.000,1.185,0.844,0.797
86,25,494.620,554.460,30.485,493,546,3,14,0.338,14.142,494,546,98.130,3.000,5.144,0.194,0.746
87,75,405.967,563.113,43.799,397,559,15,10,0.491,16.553,397,561,154.983,10.000,1.766,0.566,0.673
88,31,401.306,567.081,21.556,397,564,8,6,0.838,8.544,397,569,20.556,5.883,1.443,0.693,0.827
89,130,458.438,571.185,62.042,446,567,27,9,0.424,27.166,446,569,173.660,9.000,3.672,0.272,0.739
90,44,510.273,575.432,28.385,506,572,8,7,0.686,8.944,506,574,153.435,7.000,1.206,0.829,0.871
91,51,697.500,597.833,45.314,696,587,3,21,0.312,21.095,697,587,95.440,3.000,6.641,0.151,0.887
92,58,382.224,593.759,36.870,377,590,12,10,0.536,14.422,377,599,33.690,6.742,2.385,0.419,0.789
93,43,386.360,597.919,33.213,380,592,11,9,0.490,14.213,380,601,39.289,6.102,2.657,0.376,0.717
94,51,760.441,600.167,25.799,756,596,8,9,0.963,9.849,758,596,113.962,7.778,1.262,0.792,0.895
95,53,789.368,616.123,32.627,785,612,9,8,0.626,10.000,787,612,126.870,8.000,1.237,0.808,0.855
96,32,636.094,616.188,31.213,633,613,7,7,0.413,8.602,633,613,144.462,7.000,1.149,0.870,0.744
97,48,426.667,626.396,36.971,422,623,9,7,0.441,10.000,423,623,143.130,7.000,1.187,0.843,0.828
98,70,597.743,637.629,30.385,594,632,8,11,0.953,11.705,596,632,109.983,8.000,1.405,0.712,0.921
99,42,586.905,645.929,25.799,583,642,8,8,0.793,9.220,584,649,40.601,7.906,1.098,0.911,0.816
100,110,513.109,651.455,45.698,506,646,14,12,0.662,14.560,506,648,164.055,11.659,1.214,0.824,0.833
101,35,908.871,659.986,36.485,907,652,3,17,0.330,17.117,908,652,96.710,3.000,7.105,0.141,0.824
102,36,643.000,661.361,27.799,640,657,7,8,0.585,8.944,641,665,63.435,7.000,1.173,0.853,0.774
103,66,770.879,661.939,36.627,764,658,13,8,0.618,14.318,764,660,155.225,8.000,2.077,0.481,0.776
104,143,768.962,671.402,59.841,760,664,18,16,0.502,18.439,760,671,12.529,14.597,1.396,0.716,0.735
105,64,757.047,674.359,33.113,751,669,12,11,0.734,13.038,752,670,147.529,7.091,2.113,0.473,0.795
106,79,778.892,682.222,45.355,772,676,15,13,0.483,18.028,772,678,146.310,8.485,2.783,0.359,0.725
107,32,534.281,684.125,28.627,530,678,8,10,0.491,12.207,531,688,55.008,4.950,2.594,0.385,0.696
108,62,544.145,684.613,36.627,539,678,10,13,0.581,15.811,539,678,124.695,6.261,3.039,0.329,0.785
109,116,768.388,684.991,45.941,761,678,15,15,0.691,18.028,763,678,123.690,9.762,2.164,0.462,0.792
110,42,720.238,684.857,30.627,717,681,7,9,0.563,9.849,718,681,113.962,7.000,1.258,0.795,0.800
111,140,541.114,693.157,60.426,532,686,21,14,0.482,21.840,532,690,164.055,13.016,1.881,0.532,0.702
112,89,764.084,693.365,40.870,759,687,10,14,0.670,14.318,761,687,102.095,10.000,1.410,0.709,0.809
113,48,778.417,691.542,29.213,773,687,10,9,0.707,12.207,773,695,34.992,6.934,2.015,0.496,0.793
114,90,536.533,702.756,50.184,529,697,15,11,0.449,16.155,529,706,21.801,10.955,1.557,0.642,0.717
115,47,817.223,704.372,36.627,813,698,9,12,0.440,12.369,814,710,75.964,8.666,1.448,0.691,0.631
116,49,742.622,707.806,35.456,739,703,8,9,0.490,10.000,739,704,126.870,8.000,1.235,0.809,0.790
117,33,413.833,707.258,24.142,410,704,7,8,0.711,9.434,410,704,122.005,6.000,1.754,0.570,0.786
118,27,810.537,712.722,20.142,808,709,5,8,0.836,8.544,808,709,110.556,5.000,1.693,0.591,0.844
119,50,549.200,716.200,35.456,545,712,9,8,0.500,10.000,545,714,143.130,8.000,1.140,0.877,0.813
120,48,585.688,744.896,36.870,581,741,9,8,0.444,10.000,583,741,126.870,8.000,1.171,0.854,0.787
121,43,497.314,753.616,34.728,495,746,4,15,0.448,15.297,496,761,78.690,4.000,4.624,0.216,0.819
