 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,50,663.680,107.680,32.042,658,104,11,7,0.612,11.180,658,107,169.695,7.000,1.701,0.588,0.794,cell
2,43,739.523,131.174,23.556,736,127,7,8,0.974,8.602,736,134,35.538,7.000,1.146,0.873,0.896,cell
3,36,495.528,132.444,24.971,492,129,7,7,0.726,9.220,493,136,49.399,6.934,1.309,0.764,0.837,cell
4,58,643.586,152.431,28.728,639,148,9,8,0.883,10.630,640,148,131.186,8.000,1.221,0.819,0.899,cell
5,46,621.978,162.543,25.799,617,159,9,7,0.868,9.849,617,161,156.038,7.000,1.356,0.737,0.868,cell
6,31,717.016,168.629,26.627,713,165,8,7,0.549,8.544,713,171,20.556,7.000,1.160,0.862,0.705,cell
7,85,438.465,171.806,58.527,432,166,12,18,0.312,18.682,436,166,105.524,12.000,1.250,0.800,0.584,cell
8,36,665.167,174.750,22.385,662,171,7,8,0.903,8.602,662,178,35.538,6.708,1.331,0.752,0.828,cell
9,44,568.341,180.091,23.556,564,177,9,6,0.996,9.487,564,182,18.435,6.000,1.438,0.696,0.926,cell
10,41,859.183,187.963,28.385,856,183,7,9,0.639,10.296,858,183,119.055,7.000,1.598,0.626,0.752,cell
11,27,414.981,192.759,26.728,409,191,12,3,0.475,12.166,409,192,170.538,3.000,4.431,0.226,0.818,cell
12,27,553.685,194.130,28.485,547,193,13,3,0.418,13.153,547,195,8.746,3.000,5.149,0.194,0.818,cell
13,37,494.041,205.176,22.142,491,202,7,7,0.948,8.602,492,209,54.462,7.000,1.214,0.824,0.892,cell
14,47,437.521,210.968,24.728,434,207,7,8,0.966,9.434,435,215,57.995,7.000,1.146,0.873,0.922,cell
15,45,457.811,225.411,24.142,454,222,8,7,0.970,9.434,454,228,32.005,7.000,1.274,0.785,0.909,cell
16,47,783.926,226.628,26.142,780,223,8,7,0.864,10.000,780,224,143.130,7.000,1.121,0.892,0.904,cell
