 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,50,663.680,107.680,32.042,658,104,11,7,0.612,11.180,658,107,169.695,7.000,1.701,0.588,0.794
2,43,739.523,131.174,23.556,736,127,7,8,0.974,8.602,736,134,35.538,7.000,1.146,0.873,0.896
3,36,495.528,132.444,24.971,492,129,7,7,0.726,9.220,493,136,49.399,6.934,1.309,0.764,0.837
4,58,643.586,152.431,28.728,639,148,9,8,0.883,10.630,640,148,131.186,8.000,1.221,0.819,0.899
5,79,845.437,162.892,44.870,836,158,17,9,0.493,17.464,836,162,166.759,8.384,2.182,0.458,0.763
6,46,621.978,162.543,25.799,617,159,9,7,0.868,9.849,617,161,156.038,7.000,1.356,0.737,0.868
7,104,844.115,170.087,55.113,836,164,19,12,0.430,19.925,836,164,162.474,11.567,1.857,0.539,0.652
8,85,438.465,171.806,58.527,432,166,12,18,0.312,18.682,436,166,105.524,12.000,1.250,0.800,0.584
9,48,860.708,169.750,26.971,856,166,9,7,0.829,9.849,856,168,156.038,7.000,1.414,0.707,0.857
10,36,665.167,174.750,22.385,662,171,7,8,0.903,8.602,662,178,35.538,6.708,1.331,0.752,0.828
11,57,851.254,175.833,35.213,846,171,9,11,0.578,12.042,846,174,138.366,9.000,1.049,0.953,0.765
12,35,859.043,177.329,27.314,856,173,9,7,0.590,11.402,856,173,142.125,7.000,1.739,0.575,0.787
13,44,568.341,180.091,23.556,564,177,9,6,0.996,9.487,564,182,18.435,6.000,1.438,0.696,0.926
14,41,859.183,187.963,28.385,856,183,7,9,0.639,10.296,858,183,119.055,7.000,1.598,0.626,0.752
15,27,414.981,192.759,26.728,409,191,12,3,0.475,12.166,409,192,170.538,3.000,4.431,0.226,0.818
16,27,553.685,194.130,28.485,547,193,13,3,0.418,13.153,547,195,8.746,3.000,5.149,0.194,0.818
17,37,494.041,205.176,22.142,491,202,7,7,0.948,8.602,492,209,54.462,7.000,1.214,0.824,0.892
18,47,437.521,210.968,24.728,434,207,7,8,0.966,9.434,435,215,57.995,7.000,1.146,0.873,0.922
19,45,457.811,225.411,24.142,454,222,8,7,0.970,9.434,454,228,32.005,7.000,1.274,0.785,0.909
20,47,783.926,226.628,26.142,780,223,8,7,0.864,10.000,780,224,143.130,7.000,1.121,0.892,0.904
21,43,888.919,224.733,39.899,879,223,19,3,0.339,19.105,879,226,6.009,3.000,7.283,0.137,0.860
22,51,907.167,232.931,25.799,903,228,8,9,0.963,9.849,905,237,66.038,7.778,1.201,0.832,0.895
23,46,408.022,234.543,37.899,399,233,18,3,0.402,18.028,399,234,176.820,3.000,5.510,0.181,0.920
24,57,681.570,250.974,26.385,677,247,9,8,1.000,9.849,677,249,156.038,8.000,1.154,0.867,0.912
25,48,352.958,268.000,24.971,349,264,8,8,0.967,8.944,351,272,63.435,8.000,1.072,0.933,0.889
26,37,701.716,273.608,22.142,698,270,7,7,0.948,8.062,700,277,60.255,7.000,1.082,0.924,0.881
27,37,784.014,278.365,31.899,777,277,15,3,0.457,15.133,777,279,7.595,3.000,4.805,0.208,0.914
28,50,532.160,282.780,25.799,527,279,10,7,0.944,10.440,527,284,16.699,7.000,1.523,0.657,0.877
29,40,798.300,285.000,22.142,794,282,8,6,1.000,8.544,794,284,159.444,6.000,1.279,0.782,0.930
30,131,649.050,302.370,63.598,642,293,13,20,0.407,20.396,648,293,101.310,12.655,1.423,0.703,0.712
31,144,639.979,309.056,51.941,632,301,17,14,0.671,18.385,632,305,157.620,13.435,1.536,0.651,0.804
32,26,656.615,304.808,18.728,654,302,6,6,0.932,7.211,654,302,123.690,6.000,1.043,0.959,0.852
33,57,662.746,309.588,35.213,659,303,7,13,0.578,13.601,661,303,107.103,7.000,1.988,0.503,0.781
34,92,671.707,307.674,49.698,665,303,14,10,0.468,15.652,665,303,153.435,10.000,1.310,0.763,0.783
35,77,390.851,309.370,33.213,386,304,10,10,0.877,11.662,389,304,120.964,10.000,1.088,0.919,0.890
