Area,X,Y,Perim.,BX,BY,Width,Height
94,717.809,146.989,0,713,141,10,13
101,754.772,165.762,0,737,164,34,4
34,757.118,204.118,0,755,201,5,8
102,628.010,218.294,0,623,213,11,12
122,746.992,219.459,0,741,214,13,12
413,970.361,239.683,0,965,219,12,42
71,639.577,222.972,0,634,220,13,8
357,649.148,233.678,0,640,221,20,25
76,867.171,230.724,0,862,227,11,9
185,899.773,242.946,0,893,235,15,18
61,640.803,242.738,0,636,238,11,10
29,432.552,280.310,0,430,278,6,6
122,431.057,286.238,0,424,280,15,13
96,423.135,289.781,0,419,283,11,13
92,622.652,296.620,0,618,291,10,12
60,943.850,299.717,0,940,296,9,9
75,951.240,303.467,0,947,299,10,10
83,932.988,306.518,0,927,302,13,10
93,942.022,309.441,0,937,304,10,12
101,851.683,310.733,0,847,305,10,12
108,939.889,323.074,0,934,317,12,13
84,845.119,332.940,0,841,328,9,11
51,393.902,340.216,0,390,336,8,9
140,388.114,346.914,0,379,341,19,12
24,478.708,352.000,0,476,350,6,5
30,412.800,365.667,0,409,364,8,5
46,406.891,370.391,0,403,368,9,6
84,1034.655,382.750,0,1030,378,10,10
103,1108.233,385.592,0,1102,380,13,12
66,625.879,390.091,0,622,386,9,10
72,418.403,416.764,0,413,413,12,8
159,614.742,429.585,0,609,420,13,19
64,853.703,426.734,0,849,423,10,8
45,621.689,427.933,0,619,424,7,8
312,987.609,443.029,0,979,431,22,24
34,618.618,439.912,0,616,436,6,8
54,780.352,450.074,0,776,447,10,8
113,777.018,460.894,0,773,453,10,16
77,353.182,458.532,0,349,454,10,10
72,827.417,460.708,0,823,456,9,10
90,936.800,462.444,0,932,458,10,11
54,795.833,465.963,0,792,462,9,8
332,962.810,484.910,0,957,462,12,41
84,1084.655,470.012,0,1080,465,10,11
466,554.333,479.433,0,543,466,25,28
46,544.370,470.022,0,540,467,10,7
66,654.606,482.682,0,651,478,8,10
72,628.708,484.653,0,624,481,10,9
74,727.973,495.095,0,720,487,12,14
107,750.196,498.879,0,734,497,35,4
101,354.455,509.267,0,348,504,14,11
109,542.275,515.018,0,537,507,12,15
81,808.605,515.222,0,804,510,10,11
112,902.688,518.750,0,897,513,12,12
99,655.354,520.848,0,651,515,10,14
30,729.567,520.467,0,728,516,4,10
86,524.814,521.837,0,519,517,13,10
49,535.510,522.918,0,532,519,8,9
67,942.433,522.836,0,937,519,11,10
78,670.231,525.038,0,666,520,9,11
61,543.295,527.689,0,539,522,10,11
110,938.273,528.645,0,932,523,15,12
54,427.407,528.852,0,424,525,8,9
68,659.647,531.279,0,655,527,10,10
44,642.568,531.205,0,639,528,8,7
46,653.217,534.783,0,651,530,6,10
52,673.769,533.788,0,669,531,11,7
83,706.072,539.217,0,702,534,9,11
61,1004.361,541.410,0,1000,538,10,8
42,1008.024,546.810,0,1005,543,7,8
66,1015.970,548.288,0,1012,543,9,11
191,570.796,559.984,0,565,551,12,19
57,1012.246,554.596,0,1008,551,9,8
65,796.015,556.246,0,791,552,10,9
214,1058.355,560.579,0,1048,553,20,16
105,1046.924,568.400,0,1042,562,11,13
121,378.636,584.149,0,373,578,12,13
75,416.120,589.173,0,411,585,11,9
186,654.909,624.140,0,645,616,20,17
115,1113.583,654.826,0,1110,646,10,17
41,502.146,652.049,0,500,648,5,10
50,773.620,658.280,0,770,655,9,7
22,486.682,658.500,0,484,656,6,6
54,494.130,659.556,0,491,656,7,9
146,501.356,665.884,0,496,658,14,18
102,486.716,667.314,0,482,662,11,12
95,510.663,669.516,0,506,665,12,11
168,456.256,675.542,0,449,668,15,15
100,1013.440,673.850,0,1009,668,10,12
86,487.884,679.047,0,483,673,11,13
115,950.209,677.991,0,944,673,14,11
73,796.055,678.096,0,792,674,9,10
95,988.463,685.179,0,980,682,18,7
70,451.243,686.943,0,447,683,10,9
144,1004.347,692.236,0,996,685,16,17
69,988.348,693.290,0,984,689,10,10
49,498.878,693.653,0,494,690,10,8
70,828.957,696.329,0,826,691,7,11
45,835.578,695.511,0,833,692,7,8
80,570.550,698.600,0,566,694,10,10
35,993.343,696.829,0,990,694,8,6
106,997.292,703.434,0,989,699,16,11
17,740.882,705.412,0,739,704,5,4
60,469.100,710.683,0,465,707,9,8
60,476.100,723.400,0,472,720,9,8
170,475.894,732.647,0,457,728,39,8
91,656.934,732.934,0,652,728,11,12
44,445.841,733.727,0,442,731,9,6
46,414.391,734.609,0,407,733,15,4
62,810.855,734.016,0,800,733,23,3
91,858.538,735.516,0,846,734,25,5
27,1008.111,740.556,0,1004,739,9,4
70,960.414,752.371,0,956,748,10,10
170,762.071,765.412,0,748,760,29,14
60,624.183,766.167,0,619,762,10,9
83,774.349,771.120,0,770,766,10,11
27,766.593,771.926,0,764,770,6,5
84,752.929,779.202,0,747,775,13,9
72,765.972,782.153,0,761,777,11,11
25,887.680,786.200,0,885,784,6,5
83,894.807,788.904,0,890,784,10,11
43,592.070,794.302,0,588,791,10,7
118,584.331,801.119,0,580,795,11,14
94,976.181,818.564,0,972,813,10,12
89,1000.876,819.292,0,996,814,10,12
56,564.661,824.232,0,561,820,9,9
87,593.494,842.977,0,588,838,12,10
193,599.891,848.513,0,587,839,27,18
76,635.711,864.026,0,631,860,10,9
100,791.060,880.310,0,786,875,11,12
102,898.039,889.676,0,893,884,11,12
128,721.734,923.352,0,715,917,13,13
34,733.529,927.971,0,732,922,4,12
63,720.683,937.968,0,717,933,8,11
110,739.545,937.900,0,732,934,18,10
