 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,30,803.100,145.700,23.314,801,141,4,9,0.694,9.487,802,141,108.435,4.000,2.419,0.413,0.882,cell
2,45,717.989,146.411,24.142,715,142,6,9,0.970,9.849,716,151,66.038,6.000,1.465,0.683,0.928,cell
3,52,612.135,164.519,26.142,609,160,7,9,0.956,9.849,610,160,113.962,7.000,1.371,0.729,0.920,cell
4,41,776.573,169.061,23.071,773,166,7,6,0.968,9.220,773,172,40.601,6.000,1.176,0.850,0.988,cell
5,35,735.757,172.157,21.556,732,169,8,6,0.947,8.602,732,170,144.462,6.000,1.361,0.735,0.886,cell
6,28,702.857,182.357,20.142,700,179,6,7,0.867,7.810,700,185,50.194,5.692,1.390,0.719,0.824,cell
7,37,545.365,203.311,22.142,542,199,6,8,0.948,8.944,543,207,63.435,6.000,1.437,0.696,0.902,cell
8,55,825.700,203.973,26.971,822,199,7,10,0.950,10.770,824,199,111.801,7.000,1.510,0.662,0.917,cell
9,45,769.167,212.056,34.870,764,207,9,11,0.465,13.601,765,218,53.973,6.434,2.413,0.414,0.677,cell
10,29,800.190,211.741,20.142,797,209,7,6,0.898,8.062,797,214,29.745,5.692,1.582,0.632,0.853,cell
11,72,628.472,218.875,30.971,624,214,9,10,0.943,12.042,625,214,131.634,8.944,1.342,0.745,0.923,cell
12,48,733.396,219.021,24.728,730,215,7,8,0.986,9.434,731,215,122.005,7.000,1.188,0.842,0.932,cell
13,87,747.546,220.109,33.213,742,215,11,10,0.991,12.530,742,223,28.610,10.000,1.179,0.848,0.921,cell
14,33,803.773,231.742,21.314,801,228,5,8,0.913,8.544,802,228,110.556,5.000,1.630,0.613,0.917,cell
15,55,522.518,235.573,27.799,518,231,9,9,0.894,11.402,519,231,127.875,7.071,1.665,0.601,0.887,cell
16,60,898.717,241.433,49.113,895,235,11,15,0.313,15.811,898,250,71.565,10.136,1.941,0.515,0.515,cell
17,37,641.635,243.581,24.971,637,240,9,7,0.746,11.402,637,240,142.125,5.367,2.563,0.390,0.831,cell
18,106,817.142,247.208,57.012,810,240,16,13,0.410,18.028,811,242,146.310,12.333,1.446,0.692,0.673,cell
19,42,1005.286,249.310,24.142,1002,245,6,9,0.906,9.220,1004,245,102.529,6.000,1.438,0.695,0.894,cell
20,47,541.245,254.840,25.314,537,252,9,6,0.922,9.849,537,252,156.038,6.000,1.457,0.686,0.940,cell
21,53,750.538,258.934,30.971,747,254,7,10,0.694,11.402,747,263,52.125,7.000,1.508,0.663,0.835,cell
22,40,822.325,258.425,36.627,817,254,10,9,0.375,12.207,817,255,145.008,7.155,1.815,0.551,0.620,cell
23,37,734.554,259.068,21.314,731,256,7,6,1.000,8.062,731,257,150.255,6.000,1.187,0.842,0.937,cell
24,31,783.661,269.597,26.971,777,266,11,6,0.536,12.083,777,272,24.444,5.088,2.732,0.366,0.756,cell
