Area,X,Y,Perim.,BX,BY,Width,Height
39,659.641,35.897,0,657,33,7,7
77,579.442,105.312,0,577,97,6,17
77,616.221,113.740,0,611,110,11,9
185,500.465,139.238,0,493,132,16,17
105,753.686,142.229,0,747,138,14,9
198,714.258,154.475,0,707,147,15,17
252,655.599,157.631,0,644,148,21,21
93,644.118,155.495,0,639,150,11,11
76,803.947,168.592,0,799,164,10,10
192,453.479,175.490,0,447,168,15,17
67,806.224,177.701,0,802,174,10,8
126,437.214,188.183,0,430,183,16,12
69,888.667,191.826,0,884,187,10,10
125,788.344,197.056,0,783,190,12,14
256,733.062,200.340,0,725,192,19,18
175,854.160,201.371,0,848,194,14,15
83,707.578,200.193,0,703,196,10,10
268,518.377,210.187,0,509,200,19,20
53,915.642,206.038,0,910,201,12,12
176,412.659,208.273,0,404,202,19,12
82,799.988,207.390,0,795,203,11,10
40,890.725,208.625,0,888,205,7,8
144,824.396,212.701,0,818,207,14,13
207,839.725,217.261,0,832,207,16,20
124,614.040,215.734,0,608,209,13,13
128,769.352,215.570,0,763,210,14,12
235,873.902,220.447,0,866,212,18,19
74,456.095,227.703,0,452,223,9,10
106,484.491,237.009,0,478,233,14,10
73,453.863,240.164,0,449,236,11,9
141,882.404,245.241,0,877,238,12,15
134,465.813,245.157,0,460,240,15,12
35,1035.486,243.400,0,1033,240,6,8
136,477.676,249.243,0,471,243,14,14
181,814.547,257.923,0,808,251,15,16
357,735.289,263.762,0,726,253,21,22
83,693.831,260.699,0,689,256,10,11
31,139.581,259.548,0,137,257,6,6
180,641.589,264.806,0,635,258,16,16
136,652.015,267.588,0,646,260,13,15
81,867.679,266.815,0,863,262,10,11
151,451.497,270.444,0,445,264,14,14
35,781.629,275.600,0,779,273,6,7
111,644.234,279.577,0,639,274,11,13
80,485.438,280.700,0,481,277,11,9
401,449.015,290.786,0,434,279,29,21
114,917.132,283.561,0,910,279,15,10
25,1051.440,283.600,0,1049,281,6,6
172,648.930,298.017,0,642,291,15,15
75,869.520,302.787,0,865,299,10,9
331,960.801,312.224,0,947,301,26,20
158,474.943,310.127,0,468,304,15,14
209,548.713,313.177,0,542,304,15,19
108,802.287,338.250,0,796,333,13,12
170,746.424,343.765,0,739,337,15,15
38,587.263,342.842,0,585,339,6,9
210,596.643,348.843,0,588,342,18,15
47,83.787,346.340,0,80,343,9,8
302,863.523,354.036,0,853,344,23,20
42,851.214,354.643,0,848,351,7,8
64,587.516,360.547,0,586,352,4,18
136,605.000,370.199,0,598,364,14,13
103,758.913,376.786,0,754,372,11,11
103,969.369,378.971,0,964,373,11,13
99,535.545,382.899,0,530,378,12,11
76,388.145,390.118,0,384,385,9,11
88,341.670,395.386,0,337,391,10,10
245,709.947,400.576,0,701,392,18,18
83,432.663,397.446,0,428,393,11,10
61,501.148,396.689,0,496,393,11,10
20,1091.100,395.950,0,1089,394,5,5
58,922.690,407.793,0,919,404,8,9
28,1275.643,410.964,0,1273,408,6,7
20,1099.150,411.300,0,1097,409,5,6
273,575.817,422.026,0,567,414,19,18
133,455.233,422.165,0,448,418,16,10
96,773.021,423.917,0,768,418,11,12
174,851.724,430.247,0,845,423,14,15
26,1099.385,427.500,0,1097,425,6,6
118,417.110,443.797,0,412,438,11,13
82,404.659,444.256,0,400,440,11,9
74,461.608,444.932,0,457,441,10,9
224,859.464,452.924,0,851,445,17,16
40,397.375,451.850,0,394,449,8,7
166,894.283,457.145,0,887,451,15,14
96,318.177,460.896,0,313,456,12,10
244,499.443,465.980,0,493,456,14,21
67,463.448,470.060,0,459,466,10,9
227,871.163,490.159,0,862,481,20,18
199,833.342,495.980,0,826,488,15,16
38,502.921,492.579,0,500,489,6,8
247,905.830,499.340,0,896,492,19,17
120,467.092,501.125,0,462,495,11,13
90,548.367,503.311,0,543,499,11,10
71,929.380,505.859,0,925,500,9,12
164,819.970,509.518,0,814,502,13,16
63,459.413,512.540,0,455,508,9,10
206,754.000,533.325,0,746,526,18,15
81,19.827,531.259,0,15,527,10,10
48,52.125,529.792,0,49,527,8,7
62,825.371,536.129,0,821,532,9,9
34,1099.500,539.294,0,1097,536,6,7
53,43.509,555.679,0,40,552,8,8
165,341.745,562.309,0,335,555,14,16
72,893.083,566.236,0,889,561,9,11
89,429.483,569.708,0,425,564,10,12
38,147.184,571.316,0,144,568,7,7
76,749.039,574.211,0,744,570,11,10
79,427.241,587.253,0,422,583,11,9
267,776.970,593.206,0,769,584,17,20
38,203.316,611.316,0,201,608,6,8
112,384.000,614.446,0,379,609,12,12
89,395.753,617.011,0,391,612,11,11
140,461.521,624.829,0,456,619,13,13
176,383.460,633.994,0,377,627,15,15
66,702.818,638.394,0,698,634,10,10
309,855.913,647.369,0,849,634,16,28
133,411.414,642.481,0,406,636,13,16
173,358.838,645.052,0,352,638,15,15
86,605.605,642.581,0,601,638,11,10
64,646.953,642.531,0,643,639,9,9
152,416.171,651.691,0,408,644,16,14
65,737.338,649.385,0,733,646,10,8
87,845.793,656.437,0,842,651,9,12
170,443.594,661.471,0,436,655,16,14
34,227.088,659.206,0,224,656,7,7
20,1075.000,659.500,0,1073,657,5,6
162,499.907,664.327,0,491,658,19,15
91,909.495,664.330,0,905,659,10,12
146,718.541,665.774,0,712,660,14,13
190,509.816,681.900,0,502,675,17,14
118,430.059,683.356,0,423,679,15,10
36,688.083,686.833,0,685,683,7,9
257,487.529,702.930,0,479,694,18,19
166,875.229,712.133,0,869,705,14,16
66,548.030,730.758,0,544,727,10,9
78,681.526,737.859,0,676,734,12,9
53,647.585,739.679,0,644,736,8,9
186,665.005,747.634,0,659,738,13,18
69,717.058,750.522,0,713,746,9,10
235,590.821,766.532,0,583,758,17,18
68,601.662,763.721,0,597,759,10,10
