 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,45,579.789,106.567,38.728,578,98,4,17,0.377,17.263,579,98,100.008,4.000,5.330,0.188,0.750
2,51,675.245,112.127,26.385,670,108,10,7,0.921,10.770,670,114,21.801,7.000,1.493,0.670,0.895
3,45,616.478,114.567,24.385,612,111,9,7,0.951,9.487,612,113,161.565,7.000,1.325,0.754,0.891
4,65,545.838,117.608,35.799,542,113,11,10,0.637,13.038,542,121,32.471,9.707,1.255,0.797,0.783
5,123,500.768,142.394,58.426,495,133,13,19,0.453,19.313,498,152,68.749,11.192,2.038,0.491,0.707
6,40,799.175,143.675,24.971,795,140,9,7,0.806,9.487,795,142,161.565,6.800,1.559,0.641,0.808
7,60,724.083,147.233,30.042,719,142,10,10,0.835,11.662,720,152,59.036,7.778,1.484,0.674,0.857
8,49,715.786,153.214,24.971,712,149,7,9,0.988,9.487,714,149,108.435,7.000,1.270,0.788,0.916
9,57,645.167,155.991,29.213,640,152,10,8,0.839,11.180,640,154,153.435,8.000,1.422,0.703,0.877
10,143,656.605,163.927,59.598,649,157,16,14,0.506,17.692,652,157,132.709,14.000,1.131,0.884,0.790
11,45,804.589,169.167,24.042,800,165,9,8,0.978,9.220,800,170,12.529,7.778,1.114,0.898,0.857
12,53,452.179,176.575,28.385,449,172,7,10,0.827,10.817,449,181,56.310,7.000,1.359,0.736,0.891
13,39,806.756,177.936,22.142,803,175,8,6,1.000,8.544,803,176,159.444,6.000,1.307,0.765,0.918
14,47,434.457,189.223,24.971,431,185,7,9,0.947,9.487,434,194,71.565,7.000,1.227,0.815,0.895
15,44,888.909,192.386,24.385,885,188,8,8,0.930,8.944,887,196,63.435,7.778,1.024,0.976,0.863
16,101,788.837,200.718,51.698,784,195,11,17,0.475,18.028,784,195,109.440,11.000,1.538,0.650,0.792
17,55,734.427,201.445,26.971,731,196,7,10,0.950,10.770,733,196,111.801,7.000,1.408,0.710,0.917
18,53,856.179,200.009,26.971,852,196,9,8,0.916,10.817,852,197,146.310,7.906,1.399,0.715,0.883
19,46,707.957,200.457,24.142,704,197,8,7,0.992,9.434,704,198,147.995,7.000,1.277,0.783,0.920
20,34,914.647,204.559,35.941,909,199,12,13,0.331,17.692,909,199,132.709,3.536,6.608,0.151,0.701
21,43,413.128,208.151,25.213,409,204,8,8,0.850,9.434,411,212,57.995,7.071,1.323,0.756,0.851
22,63,800.278,207.960,28.385,795,204,10,8,0.983,10.440,795,207,163.301,8.000,1.203,0.832,0.920
23,65,519.469,211.054,29.213,515,206,9,10,0.957,10.817,515,208,146.310,8.944,1.226,0.816,0.884
24,53,771.575,217.009,25.799,767,213,9,8,1.000,9.849,767,219,23.962,7.778,1.219,0.820,0.906
25,48,379.438,226.542,40.485,378,217,3,19,0.368,19.105,378,217,96.009,3.000,6.222,0.161,0.914
26,32,459.719,220.469,20.971,456,217,7,7,0.914,8.062,456,222,29.745,6.364,1.308,0.765,0.831
27,65,752.377,237.146,29.213,748,232,9,10,0.957,10.817,748,240,33.690,9.000,1.166,0.858,0.884
28,52,483.712,237.673,26.142,479,234,9,7,0.956,10.296,479,240,29.055,7.000,1.298,0.770,0.912
29,28,934.036,238.429,20.971,931,235,6,7,0.800,7.616,933,235,113.199,6.000,1.308,0.764,0.812
30,43,454.407,240.779,22.971,450,237,8,7,1.000,8.944,450,242,26.565,7.000,1.189,0.841,0.905
31,40,595.025,247.150,29.213,591,243,8,8,0.589,9.434,591,245,147.995,7.071,1.370,0.730,0.792
32,43,881.919,246.523,22.971,878,243,8,7,1.000,8.544,878,245,159.444,7.000,1.085,0.921,0.905
33,40,814.200,261.225,22.385,811,257,7,8,1.000,8.602,811,258,125.538,7.000,1.231,0.812,0.879
34,33,695.015,261.742,20.142,692,258,6,7,1.000,8.062,693,258,119.745,6.000,1.196,0.836,0.892
35,64,736.062,264.453,28.385,732,259,8,10,0.998,10.817,733,269,56.310,8.000,1.247,0.802,0.921
36,54,867.870,267.148,26.385,864,263,8,9,0.975,10.000,865,263,126.870,8.000,1.191,0.839,0.893
37,66,647.758,267.106,33.213,641,264,13,7,0.752,13.342,641,265,167.005,7.000,1.997,0.501,0.852
38,49,452.684,271.398,25.556,449,267,7,9,0.943,10.000,449,268,126.870,7.000,1.278,0.782,0.907
39,33,586.530,304.985,31.314,585,298,3,14,0.423,14.036,586,298,94.086,3.000,4.488,0.223,0.868
40,52,869.788,303.327,25.213,865,299,9,8,1.000,9.849,865,302,156.038,7.778,1.243,0.804,0.904
41,117,957.885,312.073,51.012,949,303,16,17,0.565,20.809,951,320,54.782,8.485,2.585,0.387,0.810
42,35,474.843,310.014,24.385,471,306,8,7,0.740,9.434,471,308,147.995,6.364,1.675,0.597,0.814
