Area,X,Y,Perim.,BX,BY,Width,Height
97,719.216,184.052,0,714,179,12,11
67,732.881,188.448,0,725,186,16,6
40,723.425,191.075,0,721,187,6,9
86,740.233,198.477,0,736,190,9,16
38,731.105,193.053,0,727,191,9,5
96,749.635,201.281,0,746,194,8,15
37,733.541,198.378,0,730,196,8,6
76,765.395,201.382,0,761,196,9,11
40,757.625,201.675,0,755,198,6,8
30,716.067,200.933,0,713,199,7,5
94,861.936,217.128,0,857,212,12,11
121,871.000,225.149,0,866,219,11,14
69,906.855,223.754,0,902,219,10,11
108,861.417,228.213,0,856,222,12,14
67,912.313,227.164,0,907,222,11,11
25,696.280,224.720,0,693,223,7,5
79,887.025,232.051,0,883,226,9,13
47,895.170,230.468,0,892,226,8,9
57,878.737,231.070,0,875,227,8,9
23,820.130,231.174,0,818,228,6,7
100,752.830,233.930,0,747,229,12,11
38,903.289,233.211,0,900,230,8,7
65,870.862,235.231,0,866,231,10,10
109,882.083,240.578,0,876,236,13,11
79,553.127,241.987,0,548,238,11,9
31,763.355,245.194,0,761,242,6,7
59,876.949,246.034,0,873,242,10,9
37,859.919,247.730,0,857,245,7,7
28,866.286,248.857,0,864,246,6,7
33,857.152,253.000,0,854,250,7,7
42,870.405,253.143,0,867,250,8,7
31,864.355,254.613,0,862,251,6,7
357,794.232,269.773,0,780,261,28,19
115,550.261,271.957,0,545,266,11,13
66,666.197,272.227,0,662,268,9,10
134,1001.366,290.015,0,998,278,7,25
41,620.585,287.195,0,617,284,8,7
133,1010.353,291.233,0,1005,285,13,14
25,626.760,288.360,0,624,286,6,6
48,616.292,295.500,0,613,292,8,8
116,653.405,298.750,0,648,293,12,12
61,1015.361,300.115,0,1011,295,9,10
111,1006.108,304.495,0,1001,297,11,15
64,627.625,301.422,0,622,298,13,8
78,844.744,303.359,0,840,299,11,10
70,607.543,305.871,0,604,301,9,12
55,628.982,306.618,0,624,304,11,7
69,638.174,307.957,0,634,304,10,9
72,496.500,310.222,0,492,305,10,11
91,611.000,312.505,0,606,306,11,14
168,903.839,314.827,0,898,307,15,18
87,822.736,312.379,0,818,308,11,10
28,621.464,316.071,0,618,314,7,5
38,916.816,317.342,0,913,314,9,8
80,600.388,320.525,0,597,315,9,12
59,594.051,323.254,0,591,318,7,11
88,823.057,323.489,0,819,318,9,12
92,837.674,323.217,0,833,318,11,12
116,624.267,330.000,0,619,324,11,13
96,569.844,336.802,0,565,331,11,12
24,1017.500,336.417,0,1015,334,6,6
86,556.407,343.314,0,552,338,10,12
18,1019.111,342.889,0,1017,341,5,5
59,549.915,347.678,0,547,342,7,12
93,466.161,351.914,0,461,347,12,11
58,557.655,351.328,0,552,348,11,7
84,733.619,359.440,0,728,355,12,11
105,865.514,360.933,0,860,355,13,12
224,535.098,382.321,0,533,359,5,47
91,724.934,364.451,0,717,361,17,7
55,751.055,370.509,0,745,368,12,6
21,404.190,371.095,0,402,369,6,5
215,767.926,388.572,0,765,369,7,40
91,745.319,376.132,0,740,371,11,11
50,728.640,376.780,0,726,372,7,10
127,878.102,376.929,0,871,373,16,10
137,995.533,384.788,0,993,373,7,25
114,737.570,380.719,0,732,374,13,14
128,730.211,386.984,0,723,381,17,12
187,756.567,389.845,0,749,381,16,18
83,745.904,387.084,0,741,382,10,11
275,702.385,394.116,0,692,386,23,17
71,712.775,392.704,0,709,386,8,14
145,810.503,397.890,0,805,390,13,17
44,659.114,394.523,0,655,391,8,8
127,670.906,397.512,0,663,391,15,14
71,726.901,394.831,0,723,391,9,9
65,652.985,398.723,0,650,392,7,14
103,1004.534,398.058,0,999,393,13,12
79,434.937,399.797,0,430,395,10,10
148,865.243,408.642,0,862,396,9,24
122,981.500,401.131,0,973,397,17,9
189,994.085,414.884,0,992,397,6,41
118,644.864,405.780,0,639,400,13,12
142,431.261,408.317,0,421,404,22,10
65,873.400,408.615,0,869,404,10,11
41,402.146,409.634,0,398,407,9,6
115,850.174,414.809,0,844,407,13,16
77,880.416,413.779,0,874,409,13,11
44,400.705,414.364,0,396,412,10,6
64,437.984,415.375,0,433,412,11,8
35,418.029,417.200,0,416,413,5,9
121,427.504,417.661,0,421,413,14,11
34,1087.029,417.235,0,1084,414,7,7
34,853.853,419.941,0,851,416,7,8
109,873.761,422.541,0,869,416,11,13
97,479.268,424.381,0,475,419,10,12
63,894.270,432.508,0,891,427,8,12
111,884.369,434.252,0,877,430,14,10
130,873.738,439.677,0,866,434,16,13
171,904.035,444.298,0,895,434,19,20
87,565.690,440.977,0,561,436,10,11
68,947.397,439.074,0,942,436,14,7
88,526.989,442.795,0,522,438,11,11
99,454.101,444.253,0,449,439,11,12
22,955.318,441.591,0,953,439,5,6
85,865.471,446.188,0,861,441,11,11
80,947.025,446.337,0,941,441,14,10
124,752.976,450.081,0,748,443,11,15
41,575.976,451.098,0,573,447,7,9
95,875.726,456.737,0,871,451,10,12
149,963.819,456.403,0,957,451,15,12
90,569.222,459.267,0,564,454,11,11
103,873.757,466.369,0,868,462,13,10
100,1002.280,470.220,0,997,465,11,11
80,595.212,471.575,0,591,467,10,10
93,646.731,475.817,0,642,471,11,11
70,925.643,473.257,0,919,471,14,6
109,425.725,477.385,0,420,473,13,10
89,1083.438,480.719,0,1075,478,18,7
90,605.744,484.844,0,601,480,10,11
110,939.209,484.136,0,933,480,14,10
45,1082.244,485.889,0,1077,484,11,5
79,910.873,491.987,0,906,487,11,11
66,982.515,490.621,0,978,487,11,8
133,502.594,492.940,0,495,488,16,11
70,770.614,493.371,0,767,488,8,12
90,921.244,496.356,0,917,491,9,12
48,928.375,497.042,0,926,493,6,10
166,511.723,500.880,0,504,494,16,15
146,903.733,499.349,0,897,494,15,13
89,915.247,503.348,0,910,497,11,13
112,523.268,506.045,0,519,500,10,14
76,770.171,507.171,0,766,502,9,11
74,536.865,510.514,0,533,504,8,13
53,978.509,506.943,0,974,504,10,7
53,545.925,512.132,0,542,508,9,9
85,979.082,514.235,0,973,510,13,11
251,740.100,519.733,0,730,512,21,18
22,526.364,515.500,0,524,513,5,6
114,531.763,526.684,0,529,514,6,25
36,728.250,517.361,0,726,514,6,8
67,545.328,520.866,0,540,516,12,10
39,537.154,520.128,0,534,517,7,8
56,717.875,521.518,0,714,517,9,9
90,627.500,524.189,0,623,519,10,11
86,725.977,526.198,0,722,520,9,12
106,1060.679,528.094,0,1056,522,11,13
97,967.227,527.629,0,962,523,11,11
112,669.045,530.982,0,664,525,11,13
109,650.257,532.550,0,645,527,12,12
60,744.050,530.083,0,739,527,11,7
59,754.017,530.356,0,750,527,9,8
75,795.667,531.667,0,791,527,10,11
130,733.185,537.008,0,728,531,12,15
95,515.947,537.621,0,511,533,11,10
84,695.536,537.690,0,691,533,10,10
69,739.290,540.754,0,734,534,10,14
48,874.375,536.833,0,870,534,10,6
21,864.476,538.810,0,862,537,6,5
132,868.561,543.795,0,858,539,20,10
52,919.904,544.808,0,916,541,8,10
46,927.109,545.022,0,924,542,8,8
80,694.275,547.125,0,690,543,10,10
130,438.177,550.585,0,433,544,12,14
76,723.724,551.882,0,719,546,11,13
96,777.125,551.073,0,772,546,11,11
91,915.429,552.000,0,911,546,10,13
86,931.558,551.047,0,925,546,13,11
93,953.548,553.935,0,947,548,14,12
57,451.702,554.175,0,448,550,8,9
94,924.074,556.149,0,920,550,10,13
66,941.212,556.136,0,936,551,11,12
104,966.087,555.731,0,960,551,13,11
61,896.852,556.656,0,893,553,9,8
119,872.689,560.529,0,867,555,13,14
101,863.693,564.594,0,857,557,12,14
86,644.570,563.721,0,640,559,10,11
105,1029.610,563.971,0,1024,559,12,11
140,921.964,569.471,0,916,561,12,18
100,962.250,565.930,0,958,561,12,13
98,469.296,567.265,0,464,562,11,12
102,931.412,565.667,0,925,562,14,9
30,1078.267,564.800,0,1076,562,6,7
44,1063.205,565.750,0,1059,563,9,7
106,380.736,571.547,0,376,565,10,14
75,967.440,571.293,0,963,566,10,11
88,1005.023,571.011,0,1000,566,11,11
23,1065.609,569.565,0,1063,567,6,6
72,933.153,572.569,0,928,570,13,7
65,848.092,576.692,0,845,571,8,12
114,1060.412,578.789,0,1055,573,13,13
85,933.306,578.741,0,927,574,15,11
37,971.243,576.514,0,968,574,8,6
66,917.167,583.697,0,912,579,12,9
58,1065.448,584.310,0,1061,579,9,10
45,828.978,584.667,0,826,581,7,8
34,839.176,586.353,0,836,584,7,6
36,911.750,589.750,0,908,587,8,6
86,831.012,598.070,0,828,589,7,19
73,824.082,596.699,0,820,592,9,10
83,407.060,599.108,0,403,594,9,11
185,643.400,603.162,0,636,595,15,18
33,791.970,599.909,0,789,597,6,7
43,955.372,601.930,0,953,598,8,9
143,564.643,605.902,0,559,599,13,15
96,601.135,604.479,0,595,599,13,12
54,966.667,601.352,0,962,599,10,7
82,661.707,604.561,0,657,600,10,10
107,1133.215,605.056,0,1128,600,13,11
99,824.717,606.242,0,819,601,12,11
69,555.609,607.783,0,552,603,8,10
91,594.890,607.967,0,587,603,17,11
51,959.216,606.490,0,955,603,9,8
117,348.077,609.966,0,343,604,11,13
81,775.235,608.506,0,770,604,11,10
85,435.976,612.859,0,431,608,11,11
71,971.775,615.437,0,968,611,9,10
60,1133.850,613.750,0,1129,611,11,7
81,357.519,628.951,0,353,624,10,11
87,544.218,630.368,0,540,624,9,14
36,538.944,629.667,0,536,626,6,8
147,880.483,641.374,0,874,635,14,16
70,555.900,639.614,0,550,636,13,8
140,894.107,645.550,0,888,639,12,15
77,1131.377,642.468,0,1126,639,12,8
47,619.553,646.213,0,617,641,6,11
71,871.423,646.394,0,867,642,10,10
104,878.923,653.875,0,872,648,15,11
108,1009.083,655.389,0,1003,651,13,10
79,620.848,659.646,0,617,653,8,13
94,896.830,658.309,0,892,653,11,11
47,629.511,657.404,0,625,654,9,7
47,616.447,665.787,0,613,661,9,10
114,673.535,667.921,0,667,663,13,11
91,505.637,670.934,0,501,666,10,11
146,758.212,682.356,0,755,667,7,31
27,392.111,676.519,0,389,674,7,6
90,784.189,680.100,0,779,675,11,11
71,794.704,679.000,0,790,675,11,9
85,719.047,680.682,0,714,676,11,11
32,1085.250,679.719,0,1082,677,7,7
94,401.564,684.904,0,397,680,10,11
91,769.923,684.220,0,763,681,14,9
99,429.808,690.485,0,425,685,11,12
40,762.975,689.525,0,761,685,5,10
79,706.025,690.557,0,701,686,11,10
45,768.889,690.867,0,766,687,7,8
123,1044.691,693.301,0,1039,687,13,13
87,534.218,698.552,0,529,694,11,10
78,607.564,701.333,0,604,695,8,14
34,767.353,697.971,0,765,695,6,7
59,1060.983,699.017,0,1057,695,9,9
80,698.888,701.075,0,695,696,9,11
80,580.075,701.125,0,576,697,9,10
39,377.590,704.564,0,374,702,8,6
107,402.832,706.757,0,397,702,13,10
111,440.261,710.090,0,435,703,11,15
71,757.254,709.775,0,755,703,6,14
96,746.365,707.969,0,740,704,13,10
104,790.808,710.327,0,787,704,9,14
26,583.538,708.769,0,581,706,6,6
88,782.057,711.034,0,777,706,10,11
59,377.085,711.373,0,374,707,8,11
90,1063.389,711.967,0,1058,707,11,11
104,384.596,714.308,0,380,708,10,14
30,741.167,711.967,0,738,708,8,8
19,976.947,709.789,0,975,708,5,5
85,968.706,713.941,0,964,709,10,11
32,449.094,712.500,0,446,710,7,6
87,953.379,716.195,0,949,711,10,12
73,960.863,716.822,0,957,712,9,10
88,979.011,716.602,0,974,712,11,10
54,444.259,717.222,0,439,714,11,7
368,733.402,722.125,0,708,714,47,16
34,1089.324,717.618,0,1086,715,8,6
114,756.868,727.737,0,754,717,6,24
47,373.213,723.468,0,370,719,8,10
94,800.872,723.957,0,796,719,11,11
79,960.684,726.000,0,955,722,11,10
32,1046.281,725.344,0,1042,723,9,6
46,1044.696,729.565,0,1041,726,9,7
60,1080.283,732.983,0,1074,730,14,6
82,1079.732,737.963,0,1073,734,15,8
213,421.746,743.488,0,413,735,18,20
86,536.756,739.872,0,528,736,16,8
159,666.000,743.113,0,655,738,22,12
91,1089.242,744.879,0,1085,740,10,11
35,597.114,744.486,0,594,742,8,6
113,414.035,750.327,0,408,743,13,14
33,808.455,746.091,0,805,744,8,6
99,615.859,750.212,0,611,745,11,12
46,532.391,750.348,0,529,746,7,10
79,812.937,751.468,0,808,746,10,12
87,1051.356,751.287,0,1047,746,10,11
34,818.706,753.294,0,816,750,6,8
28,1080.107,752.286,0,1077,750,7,5
59,803.881,759.881,0,800,755,9,10
78,413.128,758.859,0,407,756,13,8
17,928.412,758.118,0,927,756,4,5
138,919.623,764.246,0,913,757,13,15
68,405.574,762.544,0,401,758,11,10
24,799.417,763.417,0,797,760,6,7
186,917.516,774.392,0,908,765,20,17
92,651.870,770.239,0,647,766,11,10
112,598.429,772.464,0,593,767,12,12
53,929.075,770.377,0,924,768,12,6
64,907.453,773.875,0,903,770,10,9
37,636.000,777.270,0,633,774,7,7
95,896.474,779.842,0,891,774,12,12
55,409.782,779.927,0,406,776,8,9
110,668.927,781.582,0,664,776,11,12
103,446.252,782.029,0,441,777,12,12
108,692.324,783.093,0,687,778,12,11
93,689.925,806.366,0,685,802,11,10
81,548.210,809.148,0,544,804,9,12
77,871.974,810.260,0,868,806,9,10
65,564.262,812.200,0,560,808,9,10
26,984.923,811.308,0,983,808,5,7
97,754.381,817.165,0,752,809,6,18
62,821.226,813.968,0,817,810,9,9
57,678.211,815.702,0,673,813,11,7
64,484.328,818.625,0,480,815,9,9
78,778.244,819.628,0,774,815,10,10
85,681.988,824.824,0,677,818,10,16
80,675.475,823.625,0,671,819,10,15
135,984.978,833.548,0,983,819,5,29
132,764.470,825.318,0,758,820,14,12
95,570.874,833.632,0,566,829,11,10
42,694.310,833.214,0,690,831,9,6
161,753.379,851.776,0,751,833,6,36
66,706.242,838.470,0,701,835,11,8
103,457.340,847.806,0,455,837,6,23
38,977.158,843.658,0,974,840,7,8
40,658.850,844.450,0,656,841,7,7
110,742.245,847.655,0,737,842,11,13
