 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,123,719.467,187.183,63.598,710,180,16,15,0.382,17.493,710,191,30.964,14.208,1.053,0.950,0.691,cell
2,65,868.038,206.746,36.627,863,202,10,9,0.609,11.662,863,203,149.036,8.910,1.330,0.752,0.818,cell
3,34,699.088,218.706,31.456,695,214,8,9,0.432,9.487,699,214,108.435,7.649,1.341,0.746,0.630,cell
4,28,887.357,232.607,22.728,885,228,5,9,0.681,10.296,885,228,119.055,4.427,2.834,0.353,0.824,cell
5,72,753.167,234.500,30.385,748,230,10,9,0.980,11.662,748,237,30.964,9.000,1.211,0.826,0.917,cell
6,50,553.600,242.420,26.142,549,239,9,7,0.919,10.000,550,246,36.870,7.000,1.259,0.794,0.901,cell
7,45,683.567,245.322,34.042,679,240,9,10,0.488,10.817,679,243,146.310,8.682,1.262,0.793,0.643,cell
8,83,550.946,272.596,33.213,546,267,10,11,0.946,11.705,549,267,109.983,9.839,1.174,0.851,0.912,cell
9,91,653.676,299.137,35.213,648,294,11,11,0.922,12.207,649,303,34.992,10.733,1.126,0.888,0.905,cell
10,29,495.534,309.672,24.385,492,306,8,8,0.613,10.630,492,313,41.186,4.841,2.716,0.368,0.716,cell
11,54,822.722,312.630,29.456,818,308,9,9,0.782,9.487,818,312,161.565,8.854,1.053,0.950,0.831,cell
12,30,924.833,313.800,29.213,921,308,7,10,0.442,10.440,924,308,106.699,6.740,2.111,0.474,0.600,cell
13,41,600.841,320.988,26.385,598,316,7,9,0.740,9.487,598,325,71.565,7.000,1.387,0.721,0.820,cell
14,29,836.810,323.017,27.799,834,319,7,9,0.472,10.296,835,328,60.945,5.909,2.268,0.441,0.611,cell
15,82,624.634,330.354,32.971,620,325,9,11,0.948,12.207,622,325,124.992,9.000,1.246,0.803,0.932,cell
16,67,570.396,337.037,29.213,566,332,9,10,0.987,10.817,568,342,56.310,8.944,1.207,0.829,0.899,cell
