Area,X,Y,Perim.,BX,BY,Width,Height
121,717.570,105.306,0,713,98,11,15
126,635.484,111.563,0,620,109,31,6
93,500.495,130.172,0,495,125,12,11
107,491.944,135.935,0,488,127,8,18
41,614.073,134.512,0,611,131,7,8
113,719.956,136.593,0,715,131,12,12
69,465.754,141.420,0,461,137,10,9
59,607.576,139.695,0,602,137,11,8
98,618.367,143.418,0,613,138,12,12
135,607.615,148.630,0,602,142,13,15
83,494.157,151.289,0,491,143,7,17
79,623.266,149.443,0,617,144,12,10
80,584.212,151.550,0,581,146,8,12
61,842.393,152.000,0,838,148,10,9
65,501.338,154.446,0,498,149,8,12
50,507.480,152.540,0,504,149,8,9
30,513.500,155.067,0,511,152,6,7
121,483.430,159.942,0,478,154,12,13
40,506.075,160.275,0,503,157,7,7
106,813.651,161.981,0,808,157,13,11
139,584.986,163.791,0,579,158,14,13
287,533.540,169.993,0,523,159,20,21
46,606.391,162.935,0,603,159,8,9
130,828.708,164.685,0,820,159,17,11
61,500.541,165.475,0,498,160,7,12
107,690.411,165.374,0,685,160,12,12
83,765.349,164.530,0,761,160,10,11
138,495.659,176.167,0,493,161,6,31
65,756.800,166.262,0,752,162,10,9
132,842.424,167.811,0,835,162,15,12
119,774.496,171.235,0,768,166,14,13
84,743.655,171.631,0,738,168,12,9
55,781.800,175.073,0,778,170,8,11
132,724.356,177.826,0,717,171,15,14
121,737.132,178.521,0,731,173,14,12
169,838.876,185.645,0,832,179,15,14
96,472.896,184.979,0,468,180,10,12
136,730.581,187.515,0,724,181,14,14
90,672.633,187.633,0,667,183,12,11
101,535.455,194.396,0,531,189,10,12
101,642.663,193.158,0,636,189,15,9
126,740.587,194.595,0,734,189,14,12
95,600.189,199.568,0,595,194,11,11
54,376.370,203.611,0,372,200,10,9
65,385.662,204.415,0,381,200,10,9
47,746.000,204.553,0,743,200,7,10
56,448.536,209.196,0,445,205,8,9
202,652.094,213.213,0,645,205,16,17
141,725.596,210.794,0,719,205,16,12
127,393.866,213.764,0,388,207,12,14
103,674.272,212.981,0,669,207,11,12
114,417.298,214.140,0,412,209,12,12
90,576.067,217.189,0,572,212,9,12
109,848.578,220.128,0,843,215,13,11
59,399.678,224.322,0,396,219,8,11
90,376.467,225.189,0,371,221,12,10
90,740.756,227.156,0,735,223,12,10
100,602.360,230.660,0,597,226,12,11
83,885.410,232.373,0,881,227,10,11
179,376.877,240.872,0,371,233,13,18
97,463.990,237.897,0,459,233,11,11
52,696.000,236.538,0,692,233,9,9
77,455.000,237.935,0,450,234,10,10
80,586.337,237.512,0,581,234,12,9
102,633.608,241.020,0,627,236,13,12
163,775.810,243.141,0,770,236,13,15
42,698.810,241.643,0,696,237,7,10
86,566.547,244.000,0,562,239,10,12
113,925.761,243.726,0,920,239,13,11
94,557.468,246.128,0,552,241,12,11
70,579.329,244.529,0,574,241,12,8
170,599.941,249.065,0,594,241,14,17
52,705.404,248.173,0,703,242,5,13
87,874.874,248.241,0,871,243,10,11
47,353.702,247.383,0,350,244,8,8
97,746.866,248.608,0,742,244,11,10
43,611.140,248.907,0,607,246,9,7
91,365.154,254.604,0,360,250,11,11
84,530.333,257.167,0,526,252,10,11
106,598.019,260.962,0,590,252,14,17
86,801.198,262.442,0,795,252,13,20
88,703.148,259.159,0,697,255,12,10
183,641.339,265.563,0,635,258,15,15
87,417.322,267.713,0,413,263,10,11
98,855.510,270.296,0,850,266,12,11
63,542.698,272.746,0,538,269,10,8
77,821.481,275.260,0,817,271,10,10
59,852.237,277.220,0,847,274,11,8
113,669.257,282.681,0,663,278,13,12
74,818.149,282.865,0,814,278,9,11
42,851.381,282.500,0,848,280,8,6
199,838.930,295.558,0,830,289,20,15
41,870.293,295.610,0,867,292,7,8
106,575.019,297.377,0,569,293,13,10
83,672.024,298.783,0,668,294,9,11
137,502.620,308.971,0,500,295,6,29
99,655.071,300.091,0,649,295,12,12
157,846.764,305.420,0,838,297,16,16
65,866.092,302.646,0,860,299,13,8
80,871.138,309.188,0,865,305,12,10
147,958.639,307.844,0,943,305,32,6
113,765.805,316.850,0,760,312,13,11
82,589.720,324.341,0,585,320,11,10
93,939.613,324.183,0,934,320,12,10
174,651.144,323.557,0,629,322,46,5
89,980.955,328.112,0,976,322,10,13
147,612.456,325.088,0,596,323,34,5
64,970.719,326.312,0,965,323,12,8
50,989.140,329.120,0,986,323,7,13
160,569.294,326.031,0,553,324,33,5
188,531.957,326.910,0,510,325,43,5
188,707.186,342.261,0,704,325,7,37
86,836.256,329.326,0,832,325,10,10
176,783.665,336.398,0,774,329,17,17
138,967.935,336.399,0,963,330,13,15
129,667.713,336.202,0,661,331,14,11
134,957.955,336.918,0,952,331,12,15
79,976.582,337.949,0,971,334,12,9
77,555.844,339.766,0,552,335,9,11
179,950.788,345.849,0,944,337,15,17
166,975.193,346.705,0,967,339,19,17
104,752.433,344.933,0,747,340,12,11
114,571.632,345.430,0,565,341,14,10
119,311.286,347.908,0,306,342,12,13
89,962.551,349.360,0,958,344,10,12
104,986.144,348.606,0,980,344,13,11
91,927.802,349.231,0,922,345,12,10
167,998.419,362.593,0,994,346,10,33
148,649.682,357.196,0,643,351,14,15
221,978.946,359.448,0,971,351,18,18
107,563.374,360.103,0,558,355,12,11
73,933.274,360.644,0,929,356,10,10
109,862.734,364.119,0,857,359,13,11
86,654.651,365.907,0,649,361,11,11
115,707.948,381.165,0,706,367,5,30
97,295.454,375.381,0,291,369,10,13
142,312.641,374.866,0,304,370,18,11
99,673.818,375.303,0,668,371,13,10
117,646.214,377.838,0,640,372,13,12
97,765.289,377.134,0,760,372,12,11
103,957.553,379.136,0,952,374,12,11
135,749.185,381.793,0,742,375,15,14
74,759.041,384.662,0,755,380,9,10
105,739.067,388.686,0,735,381,10,17
84,296.107,386.857,0,292,382,9,11
80,924.950,392.387,0,920,388,12,10
97,479.691,394.784,0,475,390,10,11
112,802.161,396.036,0,796,390,13,13
105,994.295,396.048,0,989,391,12,11
126,818.151,397.310,0,812,392,13,12
198,933.131,400.056,0,926,392,17,17
104,785.519,399.587,0,780,394,12,12
111,540.225,399.712,0,535,395,12,12
87,953.092,401.747,0,948,397,11,11
104,877.769,404.029,0,872,399,12,11
84,478.262,404.881,0,470,401,15,9
64,807.625,407.781,0,802,403,11,10
128,764.102,410.578,0,757,405,14,12
73,775.644,413.918,0,772,409,8,11
87,999.391,414.218,0,994,410,12,10
94,698.234,415.500,0,692,411,12,10
89,617.348,416.618,0,612,412,12,10
55,508.073,420.382,0,506,414,5,13
261,582.820,422.927,0,573,414,21,19
95,626.642,420.726,0,622,415,10,12
211,770.223,427.389,0,764,416,14,22
88,709.352,432.136,0,707,421,5,22
82,358.512,426.476,0,354,422,10,10
71,748.366,427.141,0,743,423,11,9
49,508.592,433.490,0,506,429,6,11
112,906.911,437.509,0,902,432,11,12
83,628.759,439.566,0,624,435,10,11
105,532.952,441.162,0,527,436,12,11
67,512.373,447.358,0,508,443,10,9
194,863.026,455.474,0,855,446,18,20
246,492.504,458.724,0,485,449,17,20
73,502.151,454.493,0,498,450,9,11
141,757.688,457.248,0,751,451,14,14
77,877.831,455.701,0,873,451,10,10
91,451.099,458.648,0,447,452,9,14
69,509.232,458.580,0,507,452,6,14
56,458.500,457.643,0,455,453,8,10
46,479.000,457.913,0,476,454,7,9
102,734.078,461.931,0,728,457,13,10
88,438.932,465.102,0,435,460,10,11
83,867.602,468.048,0,862,463,11,12
62,984.016,468.032,0,979,464,11,9
79,503.696,469.608,0,499,465,10,10
90,513.856,469.267,0,508,465,12,11
56,977.911,475.107,0,975,471,7,10
61,437.131,476.213,0,433,472,9,9
158,990.127,484.677,0,986,472,9,26
97,509.773,477.835,0,504,473,12,12
153,563.451,479.346,0,556,473,15,13
116,626.690,478.517,0,620,473,14,11
148,901.149,481.878,0,894,476,16,12
119,436.555,485.168,0,431,479,13,13
80,552.900,484.538,0,549,480,9,11
196,409.724,488.505,0,402,481,15,19
101,473.277,486.950,0,468,482,12,11
98,602.684,487.500,0,597,482,12,11
120,711.008,497.892,0,709,483,5,28
102,701.588,488.853,0,696,484,12,11
104,750.135,488.904,0,744,484,13,11
54,362.056,489.167,0,358,485,9,9
96,482.354,490.719,0,477,485,11,13
89,538.978,494.382,0,534,490,11,10
228,840.167,499.781,0,832,490,17,19
111,802.757,495.946,0,797,491,13,11
184,979.380,499.364,0,970,494,20,13
83,485.325,502.205,0,481,497,10,12
88,461.443,504.761,0,457,500,10,11
73,855.096,503.658,0,850,500,11,9
109,349.459,511.349,0,345,505,10,13
88,751.875,511.375,0,748,506,9,12
60,837.333,510.650,0,831,508,14,6
47,985.766,515.234,0,982,512,9,7
60,996.400,515.300,0,991,513,13,6
93,861.946,518.376,0,850,517,26,4
81,437.284,524.494,0,433,519,9,11
50,980.060,521.260,0,975,519,11,6
154,999.643,532.682,0,995,519,9,27
