 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,53,703.651,100.009,30.385,700,94,7,12,0.721,12.369,702,94,104.036,6.731,2.155,0.464,0.803,cell
2,79,598.259,102.032,46.527,593,95,10,15,0.459,16.155,597,110,68.199,9.111,2.066,0.484,0.718,cell
3,28,678.571,110.321,25.899,673,109,12,3,0.525,12.166,673,111,9.462,3.000,3.968,0.252,0.889,cell
4,37,501.851,130.068,27.213,497,126,8,9,0.628,9.487,499,126,108.435,7.374,1.582,0.632,0.705,cell
5,47,492.415,137.032,36.385,489,128,6,15,0.446,15.524,490,143,75.069,5.821,3.060,0.327,0.723,cell
6,73,720.582,136.747,32.385,716,132,10,10,0.875,11.402,716,133,142.125,9.701,1.102,0.907,0.885,cell
7,51,466.225,141.539,26.971,461,137,9,8,0.881,10.296,461,144,29.055,8.000,1.256,0.796,0.879,cell
8,79,585.538,156.361,53.698,581,147,9,18,0.344,19.698,582,147,113.962,8.130,3.060,0.327,0.605,cell
9,64,484.516,160.250,31.799,480,155,8,11,0.795,11.705,482,155,109.983,8.000,1.613,0.620,0.853,cell
10,39,815.500,161.705,24.385,812,158,7,8,0.824,8.944,813,166,63.435,7.000,1.287,0.777,0.839,cell
11,87,762.994,165.868,45.698,754,161,16,9,0.524,16.279,754,166,10.620,9.000,1.958,0.511,0.750,cell
12,39,691.321,165.859,27.799,687,162,8,8,0.634,9.434,688,162,122.005,7.428,1.454,0.688,0.750,cell
13,53,537.425,171.406,29.556,533,167,8,10,0.762,11.180,534,167,116.565,7.603,1.625,0.615,0.809,cell
14,50,775.660,170.680,30.627,770,167,11,8,0.670,11.402,770,169,164.745,8.000,1.304,0.767,0.775,cell
15,25,782.460,175.300,18.728,780,172,5,7,0.896,8.602,780,179,54.462,4.919,1.953,0.512,0.893,cell
16,54,473.593,185.111,31.213,469,180,8,11,0.697,11.705,471,180,109.983,7.889,1.727,0.579,0.788,cell
17,65,838.454,183.885,29.799,833,180,10,9,0.920,10.770,833,182,158.199,9.000,1.141,0.876,0.897,cell
18,29,536.672,194.845,25.799,533,191,7,8,0.548,8.944,534,191,116.565,6.499,1.642,0.609,0.667,cell
19,29,602.466,199.845,22.385,600,196,5,8,0.727,8.544,600,196,110.556,5.000,1.712,0.584,0.817,cell
20,38,386.316,204.895,24.385,382,201,8,8,0.803,10.000,382,208,36.870,6.200,1.850,0.541,0.826,cell
21,37,655.905,212.743,25.799,652,208,7,9,0.699,9.849,653,217,66.038,6.499,1.760,0.568,0.763,cell
22,35,676.043,212.614,24.142,672,209,7,8,0.755,10.000,672,209,126.870,5.814,1.898,0.527,0.795,cell
23,34,419.382,214.706,25.556,416,211,6,8,0.654,9.434,416,211,122.005,6.000,1.644,0.608,0.782,cell
24,50,576.860,217.560,28.971,573,213,7,10,0.749,11.180,573,213,116.565,7.000,1.748,0.572,0.847,cell
25,40,849.925,220.550,27.799,846,216,7,9,0.650,9.849,847,216,113.962,7.000,1.433,0.698,0.755,cell
26,57,741.711,227.500,29.556,736,224,10,8,0.820,11.662,736,225,149.036,8.000,1.465,0.683,0.851,cell
27,33,604.500,231.015,25.213,601,227,7,8,0.652,8.602,602,227,125.538,6.864,1.361,0.734,0.733,cell
28,103,460.966,237.966,58.770,451,233,18,10,0.375,18.682,451,236,164.476,10.000,1.849,0.541,0.691,cell
29,51,698.088,239.186,34.627,694,234,8,11,0.534,11.705,696,234,109.983,7.603,1.788,0.559,0.739,cell
30,92,777.413,242.728,49.113,771,236,12,14,0.479,15.811,772,237,124.695,9.285,1.891,0.529,0.757,cell
31,55,634.773,241.482,31.799,629,237,10,10,0.684,11.662,631,237,120.964,8.066,1.768,0.566,0.733,cell
32,57,567.237,244.535,28.385,563,240,8,10,0.889,10.817,564,240,123.690,7.799,1.462,0.684,0.864,cell
33,36,849.444,244.056,25.799,846,240,7,8,0.680,8.602,847,240,125.538,6.864,1.368,0.731,0.783,cell
34,55,927.118,243.755,31.799,923,240,9,8,0.684,10.817,923,248,33.690,8.000,1.163,0.860,0.866,cell
35,28,876.357,248.607,24.385,873,244,6,9,0.592,9.487,874,244,108.435,5.692,1.839,0.544,0.700,cell
36,36,748.750,248.194,24.971,744,245,8,8,0.726,9.434,745,245,122.005,6.247,1.660,0.602,0.800,cell
37,90,704.500,259.544,52.870,698,249,10,20,0.405,20.100,705,249,95.711,10.000,1.858,0.538,0.690,cell
38,38,367.211,255.842,28.870,363,251,8,10,0.573,10.770,364,251,111.801,6.868,1.836,0.545,0.679,cell
39,37,531.527,257.716,27.799,527,254,8,8,0.602,10.000,527,255,143.130,7.056,1.587,0.630,0.740,cell
40,59,642.805,263.771,33.213,637,259,10,10,0.672,12.207,639,259,124.992,8.043,1.776,0.563,0.792,cell
41,55,418.336,267.791,29.213,413,263,9,10,0.810,11.402,414,264,127.875,7.653,1.646,0.608,0.821,cell
42,28,822.321,276.643,19.314,819,274,6,6,0.943,8.485,819,274,135.000,5.657,1.515,0.660,0.903,cell
43,28,853.286,277.429,20.142,849,275,8,5,0.867,8.944,849,276,153.435,4.919,2.061,0.485,0.848,cell
44,46,818.957,283.239,25.556,815,279,7,9,0.885,10.296,816,279,119.055,6.871,1.650,0.606,0.876,cell
45,45,576.678,297.567,29.799,572,294,9,8,0.637,9.487,572,295,161.565,8.000,1.196,0.836,0.763,cell
46,50,672.800,298.940,29.213,669,294,7,10,0.736,10.440,671,294,106.699,7.000,1.581,0.633,0.813,cell
47,46,656.065,300.391,29.213,651,296,9,10,0.677,11.662,652,296,120.964,6.510,2.186,0.458,0.748,cell
48,47,333.968,313.691,24.385,330,310,8,8,0.993,9.434,331,310,122.005,7.488,1.321,0.757,0.887,cell
49,27,469.389,319.241,21.556,466,316,6,7,0.730,8.602,466,316,125.538,5.571,1.742,0.574,0.783,cell
50,47,941.436,323.649,26.971,937,320,8,8,0.812,9.434,939,328,57.995,8.000,1.076,0.930,0.855,cell
51,97,836.335,332.469,47.113,832,325,9,17,0.549,17.464,834,342,66.371,9.000,2.242,0.446,0.767,cell
52,51,669.559,335.637,28.385,664,332,10,8,0.795,10.440,664,334,163.301,8.000,1.382,0.723,0.816,cell
53,39,786.346,339.269,24.142,783,335,6,9,0.841,9.849,784,335,113.962,6.000,1.829,0.547,0.848,cell
54,44,556.727,339.909,24.971,553,336,7,8,0.887,9.434,554,336,122.005,7.000,1.373,0.728,0.880,cell
55,35,753.757,345.214,27.799,750,341,7,8,0.569,9.220,750,342,130.601,6.548,1.576,0.635,0.761,cell
56,56,573.071,345.500,31.799,568,342,10,8,0.696,10.770,568,343,158.199,8.000,1.231,0.812,0.842,cell
57,60,312.000,347.967,34.042,307,343,9,10,0.651,11.662,309,343,120.964,8.050,1.560,0.641,0.822,cell
58,37,929.851,349.824,23.556,927,346,6,8,0.838,8.944,927,346,116.565,6.000,1.475,0.678,0.860,cell
59,55,652.373,355.918,30.627,647,352,10,9,0.737,10.817,648,352,123.690,8.746,1.351,0.740,0.791,cell
60,44,564.818,360.114,26.971,561,356,7,9,0.760,9.849,562,356,113.962,7.000,1.524,0.656,0.822,cell
61,37,730.257,362.338,26.042,727,358,7,9,0.686,9.487,728,367,71.565,6.576,1.661,0.602,0.771,cell
62,82,863.366,364.610,31.799,858,360,11,9,1.000,12.083,858,362,155.556,9.000,1.261,0.793,0.937,cell
63,45,655.433,365.922,28.385,651,362,8,9,0.702,10.296,652,362,119.055,7.155,1.556,0.643,0.783,cell
64,42,296.738,376.262,27.799,293,371,7,10,0.683,10.440,295,371,106.699,7.000,1.508,0.663,0.778,cell
65,33,676.045,375.045,20.971,672,372,7,7,0.943,8.602,673,372,125.538,6.364,1.521,0.657,0.846,cell
66,46,648.174,377.652,26.971,644,374,8,8,0.795,9.434,645,374,122.005,8.000,1.242,0.805,0.836,cell
67,54,297.074,388.296,30.385,293,383,7,11,0.735,11.705,295,383,109.983,7.000,1.789,0.559,0.818,cell
68,54,481.185,394.981,29.799,477,390,8,10,0.764,10.817,477,391,123.690,8.000,1.413,0.708,0.818,cell
69,38,550.237,393.553,31.213,545,390,9,8,0.490,9.849,545,392,156.038,7.653,1.418,0.705,0.697,cell
70,70,997.814,397.000,38.627,992,391,12,11,0.590,14.422,992,393,146.310,8.485,2.048,0.488,0.757,cell
71,109,935.243,400.344,56.184,929,394,12,13,0.434,17.029,930,394,130.236,11.642,1.354,0.739,0.779,cell
72,25,788.100,400.700,18.971,785,397,6,7,0.873,8.062,786,404,60.255,4.950,1.818,0.550,0.820,cell
73,46,954.500,401.870,25.799,950,398,8,9,0.868,10.000,951,398,126.870,7.374,1.507,0.664,0.829,cell
74,41,879.573,403.793,27.213,875,400,8,9,0.696,10.000,876,400,126.870,7.031,1.674,0.597,0.745,cell
75,53,766.368,410.613,30.627,762,406,8,10,0.710,10.440,765,416,73.301,8.000,1.303,0.767,0.803,cell
76,50,776.240,414.500,26.971,773,410,7,9,0.864,9.849,774,410,113.962,7.000,1.437,0.696,0.885,cell
77,68,440.765,415.368,41.556,432,413,18,5,0.495,18.682,432,413,164.476,5.000,4.377,0.228,0.861,cell
78,38,619.211,417.263,24.971,615,414,8,7,0.766,8.944,615,415,153.435,7.000,1.278,0.782,0.809,cell
