 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,53,703.651,100.009,30.385,700,94,7,12,0.721,12.369,702,94,104.036,6.731,2.155,0.464,0.803
2,79,598.259,102.032,46.527,593,95,10,15,0.459,16.155,597,110,68.199,9.111,2.066,0.484,0.718
3,90,717.489,106.400,40.870,710,100,13,12,0.677,13.601,710,109,17.103,11.554,1.048,0.954,0.789
4,28,678.571,110.321,25.899,673,109,12,3,0.525,12.166,673,111,9.462,3.000,3.968,0.252,0.889
5,37,501.851,130.068,27.213,497,126,8,9,0.628,9.487,499,126,108.435,7.374,1.582,0.632,0.705
6,47,492.415,137.032,36.385,489,128,6,15,0.446,15.524,490,143,75.069,5.821,3.060,0.327,0.723
7,73,611.199,138.390,42.284,603,132,15,12,0.513,17.000,603,140,28.072,9.391,2.099,0.476,0.667
8,73,720.582,136.747,32.385,716,132,10,10,0.875,11.402,716,133,142.125,9.701,1.102,0.907,0.885
9,51,466.225,141.539,26.971,461,137,9,8,0.881,10.296,461,144,29.055,8.000,1.256,0.796,0.879
10,116,621.138,145.957,47.113,615,139,13,14,0.657,16.401,616,140,127.569,10.539,1.716,0.583,0.859
11,96,608.219,148.760,40.627,603,142,11,13,0.731,15.000,603,143,126.870,10.286,1.376,0.727,0.857
12,44,585.136,151.955,31.213,581,147,7,11,0.568,11.402,582,147,105.255,7.000,1.955,0.511,0.715
13,91,605.731,160.049,44.770,599,154,13,13,0.571,13.601,599,162,17.103,11.314,1.092,0.916,0.758
14,64,484.516,160.250,31.799,480,155,8,11,0.795,11.705,482,155,109.983,8.000,1.613,0.620,0.853
15,39,815.500,161.705,24.385,812,158,7,8,0.824,8.944,813,166,63.435,7.000,1.287,0.777,0.839
16,32,503.812,161.969,22.728,500,159,8,6,0.778,10.000,500,165,36.870,5.367,2.171,0.461,0.842
17,33,586.167,162.106,22.142,582,159,8,6,0.846,9.434,582,160,147.995,5.367,1.970,0.508,0.846
18,49,765.847,165.541,34.870,762,161,8,9,0.506,10.000,762,169,36.870,8.000,1.193,0.838,0.797
19,39,691.321,165.859,27.799,687,162,8,8,0.634,9.434,688,162,122.005,7.428,1.454,0.688,0.750
20,29,758.121,166.741,20.728,754,164,7,6,0.848,9.220,754,164,139.399,6.000,1.683,0.594,0.829
21,37,498.851,168.743,24.728,495,166,8,6,0.760,10.000,495,172,36.870,5.821,1.791,0.558,0.860
22,53,537.425,171.406,29.556,533,167,8,10,0.762,11.180,534,167,116.565,7.603,1.625,0.615,0.809
23,50,775.660,170.680,30.627,770,167,11,8,0.670,11.402,770,169,164.745,8.000,1.304,0.767,0.775
24,46,744.696,171.826,30.385,739,169,10,7,0.626,10.770,739,170,158.199,7.000,1.650,0.606,0.800
25,25,782.460,175.300,18.728,780,172,5,7,0.896,8.602,780,179,54.462,4.919,1.953,0.512,0.893
26,37,496.122,181.797,38.142,494,173,4,17,0.320,17.117,495,173,96.710,3.682,6.088,0.164,0.705
27,101,738.084,178.708,37.456,731,174,13,10,0.905,14.318,731,176,155.225,10.000,1.404,0.713,0.914
28,33,726.045,179.955,22.142,722,177,8,6,0.846,9.434,722,183,32.005,5.814,1.798,0.556,0.857
29,54,473.593,185.111,31.213,469,180,8,11,0.697,11.705,471,180,109.983,7.889,1.727,0.579,0.788
30,62,838.597,183.855,33.213,833,180,10,9,0.706,10.770,833,182,158.199,9.000,1.105,0.905,0.855
31,87,731.293,187.247,41.456,726,182,11,11,0.636,12.207,728,193,55.008,10.983,1.063,0.941,0.866
32,74,739.811,193.622,40.284,733,189,14,9,0.573,14.560,733,193,164.055,8.388,1.959,0.511,0.755
33,29,536.672,194.845,25.799,533,191,7,8,0.548,8.944,534,191,116.565,6.499,1.642,0.609,0.667
34,149,736.695,202.789,65.255,727,195,20,16,0.440,20.396,727,204,11.310,15.016,1.389,0.720,0.687
35,29,602.466,199.845,22.385,600,196,5,8,0.727,8.544,600,196,110.556,5.000,1.712,0.584,0.817
36,38,386.316,204.895,24.385,382,201,8,8,0.803,10.000,382,208,36.870,6.200,1.850,0.541,0.826
37,68,750.544,210.838,37.456,745,204,11,13,0.609,15.811,745,204,124.695,7.420,2.733,0.366,0.777
38,103,394.053,216.403,49.941,389,208,10,18,0.519,18.682,392,226,74.476,9.191,2.528,0.396,0.755
39,37,655.905,212.743,25.799,652,208,7,9,0.699,9.849,653,217,66.038,6.499,1.760,0.568,0.763
40,35,676.043,212.614,24.142,672,209,7,8,0.755,10.000,672,209,126.870,5.814,1.898,0.527,0.795
41,34,419.382,214.706,25.556,416,211,6,8,0.654,9.434,416,211,122.005,6.000,1.644,0.608,0.782
42,50,576.860,217.560,28.971,573,213,7,10,0.749,11.180,573,213,116.565,7.000,1.748,0.572,0.847
43,40,849.925,220.550,27.799,846,216,7,9,0.650,9.849,847,216,113.962,7.000,1.433,0.698,0.755
44,57,741.711,227.500,29.556,736,224,10,8,0.820,11.662,736,225,149.036,8.000,1.465,0.683,0.851
45,33,604.500,231.015,25.213,601,227,7,8,0.652,8.602,602,227,125.538,6.864,1.361,0.734,0.733
46,103,460.966,237.966,58.770,451,233,18,10,0.375,18.682,451,236,164.476,10.000,1.849,0.541,0.691
47,57,379.132,242.711,34.627,375,235,7,14,0.597,14.318,378,249,77.905,7.000,2.107,0.475,0.770
48,135,590.700,242.300,54.770,582,235,17,15,0.566,20.809,582,237,144.782,10.525,2.238,0.447,0.785
49,27,577.574,238.759,19.556,574,236,7,6,0.887,8.602,574,241,35.538,4.950,1.949,0.513,0.857
50,92,777.413,242.728,49.113,771,236,12,14,0.479,15.811,772,237,124.695,9.285,1.891,0.529,0.757
51,55,634.773,241.482,31.799,629,237,10,10,0.684,11.662,631,237,120.964,8.066,1.768,0.566,0.733
52,26,699.308,241.500,19.314,697,238,5,7,0.876,8.062,697,245,60.255,4.743,1.811,0.552,0.867
53,57,567.237,244.535,28.385,563,240,8,10,0.889,10.817,564,240,123.690,7.799,1.462,0.684,0.864
54,36,849.444,244.056,25.799,846,240,7,8,0.680,8.602,847,240,125.538,6.864,1.368,0.731,0.783
55,55,927.118,243.755,31.799,923,240,9,8,0.684,10.817,923,248,33.690,8.000,1.163,0.860,0.866
56,73,601.089,251.144,37.456,595,244,11,13,0.654,13.153,600,257,81.254,9.881,1.519,0.658,0.726
57,28,876.357,248.607,24.385,873,244,6,9,0.592,9.487,874,244,108.435,5.692,1.839,0.544,0.700
58,36,748.750,248.194,24.971,744,245,8,8,0.726,9.434,745,245,122.005,6.247,1.660,0.602,0.800
59,90,704.500,259.544,52.870,698,249,10,20,0.405,20.100,705,249,95.711,10.000,1.858,0.538,0.690
60,38,367.211,255.842,28.870,363,251,8,10,0.573,10.770,364,251,111.801,6.868,1.836,0.545,0.679
61,37,531.527,257.716,27.799,527,254,8,8,0.602,10.000,527,255,143.130,7.056,1.587,0.630,0.740
62,55,599.627,262.391,31.456,595,257,9,11,0.699,12.083,597,257,114.444,7.546,1.806,0.554,0.769
63,59,642.805,263.771,33.213,637,259,10,10,0.672,12.207,639,259,124.992,8.043,1.776,0.563,0.792
64,55,418.336,267.791,29.213,413,263,9,10,0.810,11.402,414,264,127.875,7.653,1.646,0.608,0.821
65,28,822.321,276.643,19.314,819,274,6,6,0.943,8.485,819,274,135.000,5.657,1.515,0.660,0.903
66,28,853.286,277.429,20.142,849,275,8,5,0.867,8.944,849,276,153.435,4.919,2.061,0.485,0.848
67,46,818.957,283.239,25.556,815,279,7,9,0.885,10.296,816,279,119.055,6.871,1.650,0.606,0.876
68,28,852.286,292.821,21.556,849,290,8,6,0.757,8.944,849,290,153.435,5.571,1.717,0.583,0.767
69,45,862.944,297.189,24.971,860,293,7,9,0.907,9.849,861,302,66.038,7.000,1.468,0.681,0.891
70,45,576.678,297.567,29.799,572,294,9,8,0.637,9.487,572,295,161.565,8.000,1.196,0.836,0.763
71,50,672.800,298.940,29.213,669,294,7,10,0.736,10.440,671,294,106.699,7.000,1.581,0.633,0.813
72,121,848.674,303.624,52.527,842,295,12,17,0.551,17.263,846,295,100.008,12.000,1.604,0.623,0.776
73,85,858.688,302.065,52.042,854,295,15,14,0.394,16.553,854,296,154.983,13.548,1.326,0.754,0.601
74,46,656.065,300.391,29.213,651,296,9,10,0.677,11.662,652,296,120.964,6.510,2.186,0.458,0.748
75,84,934.548,309.262,52.870,923,304,20,9,0.378,20.224,923,312,8.531,9.000,2.848,0.351,0.641
76,140,873.150,311.993,63.456,861,306,26,10,0.437,26.306,861,316,8.746,9.874,2.577,0.388,0.759
77,47,333.968,313.691,24.385,330,310,8,8,0.993,9.434,331,310,122.005,7.488,1.321,0.757,0.887
78,27,469.389,319.241,21.556,466,316,6,7,0.730,8.602,466,316,125.538,5.571,1.742,0.574,0.783
79,47,941.436,323.649,26.971,937,320,8,8,0.812,9.434,939,328,57.995,8.000,1.076,0.930,0.855
80,65,591.438,325.100,36.627,586,321,13,8,0.609,13.928,586,322,158.962,8.000,1.639,0.610,0.778
81,58,981.259,328.897,32.042,978,323,7,12,0.710,12.649,980,335,71.565,7.000,1.900,0.526,0.817
82,83,971.512,329.861,44.627,965,324,12,11,0.524,13.454,967,324,131.987,11.000,1.148,0.871,0.738
