Area,X,Y,Perim.,BX,BY,Width,Height
165,790.685,196.915,0,784,190,14,15
85,850.729,198.412,0,848,191,7,15
80,802.125,203.037,0,797,198,11,11
170,822.912,206.759,0,815,200,16,14
82,781.817,211.134,0,779,204,8,15
150,793.300,211.300,0,785,204,16,16
63,810.492,209.571,0,806,206,10,9
120,849.642,216.058,0,846,206,8,22
106,792.925,221.736,0,787,215,13,14
47,842.213,218.809,0,838,215,9,9
63,839.698,223.413,0,836,217,10,12
97,783.856,224.845,0,779,219,11,13
74,775.595,225.230,0,772,220,9,11
68,827.294,223.956,0,822,220,11,9
96,801.552,231.073,0,797,225,11,13
63,924.571,230.127,0,920,226,10,9
182,847.429,244.247,0,844,227,7,34
157,792.522,235.815,0,786,229,14,16
144,804.021,243.354,0,798,236,13,15
58,759.431,241.483,0,755,238,11,9
51,777.137,241.941,0,774,238,7,10
134,787.306,244.784,0,779,238,19,12
37,761.595,245.459,0,757,242,9,7
60,728.767,249.850,0,724,246,10,9
37,745.622,252.162,0,742,249,8,7
33,734.242,253.697,0,731,251,7,6
32,741.094,256.500,0,738,254,7,6
30,726.167,257.033,0,723,255,8,5
105,872.448,271.629,0,868,266,10,12
104,699.808,279.087,0,695,274,11,11
79,700.380,290.038,0,696,285,10,11
109,951.266,305.257,0,946,300,12,12
119,461.714,329.672,0,456,324,12,13
87,645.966,336.851,0,641,332,10,11
98,687.367,348.378,0,682,343,12,11
108,920.324,348.778,0,915,344,12,11
110,892.764,350.273,0,887,345,12,12
109,741.972,357.321,0,736,352,12,12
98,855.388,360.898,0,850,356,11,12
93,888.129,364.387,0,883,360,11,10
155,880.097,371.852,0,871,365,17,15
126,853.111,374.683,0,847,368,14,16
101,857.515,380.752,0,850,374,13,12
60,644.850,380.533,0,640,377,10,8
69,555.261,382.913,0,551,378,9,10
87,1009.943,382.402,0,1005,378,11,10
58,638.379,385.621,0,635,381,8,10
78,660.115,387.885,0,656,383,9,11
66,878.091,388.212,0,874,384,10,9
89,930.697,392.236,0,926,387,11,11
59,647.034,396.441,0,643,391,9,12
113,666.903,398.566,0,662,393,11,13
76,656.632,399.303,0,651,394,11,10
82,703.671,401.037,0,699,396,10,11
42,930.833,400.024,0,927,397,9,7
77,476.519,405.948,0,473,401,8,11
67,460.299,410.403,0,454,408,13,6
67,447.612,416.582,0,444,411,8,12
89,474.663,414.719,0,467,411,16,9
59,1092.678,414.661,0,1089,411,9,8
79,457.722,417.025,0,453,413,12,10
70,467.243,420.243,0,465,413,7,15
35,489.371,416.686,0,487,413,6,9
84,460.869,424.333,0,457,418,9,13
102,483.186,424.275,0,478,418,12,14
75,428.400,427.467,0,425,420,9,17
73,471.877,426.260,0,467,421,11,11
113,435.345,434.673,0,431,424,9,21
91,453.769,430.912,0,449,424,10,14
82,498.805,430.500,0,495,425,10,13
88,974.398,429.830,0,969,425,11,11
68,486.441,431.926,0,482,427,9,10
129,400.140,434.341,0,394,429,13,12
26,468.692,433.654,0,466,431,6,6
95,444.663,436.211,0,438,432,14,10
144,506.493,438.694,0,500,432,15,15
110,460.891,440.118,0,454,433,14,14
389,471.103,449.974,0,460,435,21,28
62,492.242,439.871,0,488,435,10,10
79,357.228,452.013,0,355,440,5,23
94,452.830,445.819,0,447,440,13,13
190,443.763,451.847,0,439,441,11,21
98,483.551,446.867,0,479,441,11,14
56,497.036,446.696,0,493,442,9,9
56,596.679,448.179,0,593,444,9,9
34,433.912,451.324,0,432,448,5,8
178,495.298,456.073,0,487,449,18,15
87,887.782,455.149,0,883,450,10,11
65,454.385,455.631,0,450,452,10,8
23,513.217,455.478,0,511,453,6,6
28,431.714,459.893,0,429,457,6,7
68,1118.559,463.824,0,1114,459,10,10
98,450.612,466.388,0,446,460,10,13
147,460.449,468.789,0,456,460,12,19
105,877.600,465.590,0,872,460,11,12
42,494.667,464.595,0,491,462,8,6
100,468.900,471.770,0,465,463,10,17
72,483.958,466.181,0,479,463,12,10
90,489.744,473.344,0,485,467,10,13
74,497.041,475.689,0,493,470,8,12
83,581.735,479.494,0,577,475,10,10
80,855.538,480.113,0,850,476,12,10
25,593.760,479.680,0,591,477,6,6
35,459.171,480.714,0,456,478,7,7
76,475.289,483.211,0,471,478,10,11
42,568.119,482.333,0,565,479,7,8
59,574.492,483.559,0,572,479,7,10
118,485.915,487.864,0,480,480,12,15
75,346.320,489.213,0,343,482,7,15
84,494.905,489.012,0,491,482,10,14
162,851.043,487.914,0,844,482,16,13
27,567.593,488.778,0,565,486,6,6
61,835.475,491.541,0,833,486,6,12
60,863.550,489.083,0,859,486,11,8
40,339.250,491.100,0,337,487,6,9
88,694.727,492.205,0,690,487,10,12
94,860.670,497.745,0,853,494,16,9
81,975.728,500.728,0,971,496,10,10
96,577.667,501.781,0,573,497,11,12
38,529.158,502.053,0,526,499,7,7
84,592.179,504.738,0,587,500,11,11
109,803.972,505.275,0,799,500,12,12
85,517.600,507.694,0,512,503,12,11
154,584.260,511.545,0,577,506,16,12
173,677.740,515.162,0,672,506,12,22
107,527.121,512.299,0,522,507,12,11
95,571.579,512.874,0,565,507,13,11
145,1135.290,512.952,0,1125,507,22,13
105,666.352,513.143,0,660,508,13,12
101,849.446,518.099,0,844,513,12,11
72,684.319,522.250,0,681,516,7,13
43,521.233,520.093,0,517,517,9,7
43,658.558,520.651,0,656,517,6,9
39,706.333,520.692,0,703,517,8,8
144,1132.778,522.264,0,1125,518,17,11
55,514.000,525.000,0,511,521,7,9
69,664.565,525.493,0,660,521,9,11
43,594.372,529.930,0,592,526,6,9
99,490.515,531.808,0,485,527,12,11
77,1090.234,531.519,0,1086,527,10,11
47,661.638,533.681,0,659,530,7,9
137,542.832,542.190,0,537,531,12,24
90,606.678,536.456,0,601,531,12,12
101,518.733,537.307,0,513,532,12,11
101,669.505,537.455,0,664,532,12,12
63,528.159,537.333,0,524,533,9,9
165,573.788,539.970,0,563,534,18,15
62,681.839,540.065,0,679,535,7,11
94,950.340,540.989,0,945,536,12,10
34,583.235,539.529,0,581,537,6,7
115,598.748,544.670,0,594,537,10,16
71,659.676,542.535,0,656,537,9,11
