 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,70,841.071,221.986,50.184,836,216,10,12,0.349,13.000,840,216,112.620,9.839,1.335,0.749,0.725,cell
2,42,923.905,228.667,36.042,920,225,9,9,0.406,9.849,922,225,113.962,8.944,1.161,0.861,0.641,cell
3,25,759.020,242.140,20.971,756,239,7,7,0.714,9.899,756,246,45.000,4.243,2.652,0.377,0.794,cell
4,44,730.545,251.591,32.385,724,248,12,8,0.527,13.000,724,251,157.380,7.088,2.006,0.498,0.704,cell
5,165,868.330,256.355,65.255,859,248,17,21,0.487,21.840,866,269,74.055,13.200,1.533,0.652,0.737,cell
6,79,872.652,272.006,32.971,868,266,9,11,0.913,12.083,870,277,65.556,9.000,1.174,0.852,0.919,cell
7,79,700.158,279.563,31.556,695,275,10,9,0.997,11.662,695,277,149.036,9.000,1.117,0.896,0.952,cell
8,40,700.950,289.950,23.799,697,286,8,8,0.887,9.434,698,286,122.005,7.000,1.546,0.647,0.825,cell
9,37,474.878,294.905,30.385,471,289,9,9,0.504,10.296,474,289,119.055,7.554,1.543,0.648,0.638,cell
10,71,951.331,305.739,40.527,947,300,10,11,0.543,11.705,950,300,109.983,9.656,1.293,0.773,0.816,cell
11,87,462.098,330.592,33.799,457,325,10,11,0.957,12.207,458,326,124.992,10.000,1.122,0.891,0.921,cell
12,73,947.062,332.610,47.113,942,326,11,12,0.413,13.038,944,326,122.471,11.000,1.162,0.861,0.712,cell
13,60,802.850,335.417,29.556,799,331,8,10,0.863,11.180,801,341,63.435,8.000,1.329,0.752,0.896,cell
14,92,1054.880,339.565,56.284,1047,334,17,14,0.365,17.263,1047,338,10.008,13.914,1.129,0.885,0.588,cell
15,65,687.792,348.715,29.213,683,344,10,9,0.957,10.440,683,351,16.699,9.000,1.120,0.893,0.897,cell
16,71,920.739,349.331,30.385,916,345,10,9,0.966,10.817,918,354,56.310,9.000,1.072,0.933,0.916,cell
17,73,893.130,350.541,30.385,888,346,10,9,0.994,11.662,888,348,149.036,9.000,1.271,0.787,0.936,cell
18,85,742.476,357.841,34.042,737,352,11,11,0.922,12.806,738,353,128.660,9.839,1.337,0.748,0.895,cell
19,49,854.827,361.520,37.456,850,357,9,9,0.439,10.630,851,364,41.186,9.000,1.183,0.845,0.715,cell
20,69,853.341,375.109,36.870,848,369,11,13,0.638,15.811,849,382,55.305,6.934,2.737,0.365,0.802,cell
21,33,555.045,383.167,33.799,552,379,7,8,0.363,8.944,554,379,116.565,7.000,1.275,0.785,0.667,cell
22,35,1009.243,382.443,30.385,1006,379,8,8,0.476,9.434,1006,385,32.005,7.546,1.399,0.715,0.660,cell
23,27,638.463,385.907,20.142,636,382,5,8,0.836,8.944,637,382,116.565,4.851,2.035,0.491,0.857,cell
24,78,930.962,394.346,46.870,927,388,8,15,0.446,16.155,929,388,111.801,8.000,1.914,0.523,0.732,cell
25,53,704.160,401.726,26.142,700,398,8,8,0.975,9.434,701,398,122.005,8.000,1.020,0.981,0.922,cell
26,43,477.174,403.779,33.213,473,399,8,10,0.490,11.662,475,409,59.036,7.519,1.666,0.600,0.717,cell
27,41,973.402,429.646,32.042,970,425,8,10,0.502,10.817,971,434,56.310,7.589,1.705,0.586,0.667,cell
28,101,400.827,434.916,36.385,395,430,12,10,0.959,13.892,395,431,149.744,10.000,1.285,0.778,0.944,cell
29,40,617.050,464.325,29.213,614,459,6,10,0.589,10.770,616,469,68.199,6.000,1.802,0.555,0.762,cell
30,44,878.773,466.000,24.485,876,462,6,8,0.922,9.434,876,462,122.005,6.000,1.371,0.730,0.957,cell
31,59,582.314,479.941,27.556,578,476,9,8,0.976,10.000,579,476,126.870,8.000,1.063,0.940,0.922,cell
32,61,695.287,492.631,28.385,691,488,9,9,0.951,10.296,693,488,119.055,8.854,1.146,0.872,0.897,cell
33,39,862.064,498.038,29.556,855,495,12,6,0.561,12.649,855,497,161.565,5.857,2.553,0.392,0.736,cell
34,27,975.759,499.500,22.971,972,497,8,6,0.643,9.434,972,503,32.005,5.692,1.877,0.533,0.701,cell
35,43,592.523,505.244,26.627,588,501,9,9,0.762,11.402,589,501,127.875,6.091,2.279,0.439,0.804,cell
36,72,804.333,505.792,30.385,800,501,10,9,0.980,11.402,801,501,127.875,9.000,1.166,0.858,0.929,cell
37,102,584.500,512.059,41.456,578,507,14,10,0.746,14.866,578,511,160.346,10.000,1.328,0.753,0.850,cell
38,73,849.952,518.459,30.385,845,514,10,9,0.994,11.180,845,521,26.565,9.000,1.157,0.864,0.930,cell
39,26,685.462,522.346,21.071,684,518,3,9,0.736,9.487,684,527,71.565,3.000,2.952,0.339,0.981,cell
