 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,688.432,221.773,25.799,685,217,7,10,0.831,10.770,686,227,68.199,6.708,1.710,0.585,0.854
2,56,870.768,242.929,30.971,864,240,13,6,0.734,13.601,864,240,162.897,5.954,2.406,0.416,0.882
3,99,583.672,283.965,46.042,579,276,10,16,0.587,17.889,581,276,116.565,9.700,1.889,0.529,0.818
4,33,748.561,282.076,20.142,745,279,7,6,1.000,8.062,745,280,150.255,6.000,1.246,0.803,0.904
5,60,848.867,344.800,27.799,845,340,8,10,0.976,10.817,846,340,123.690,8.000,1.319,0.758,0.902
6,71,617.415,367.739,30.627,613,362,9,11,0.951,12.083,615,362,114.444,8.854,1.376,0.727,0.893
7,53,740.953,387.198,26.385,737,383,8,9,0.957,10.296,738,383,119.055,7.778,1.329,0.752,0.898
8,40,957.825,392.700,23.556,954,389,8,7,0.906,9.434,954,390,147.995,6.472,1.511,0.662,0.860
9,75,1016.353,399.007,33.556,1013,393,7,12,0.837,13.000,1013,405,67.380,7.000,1.686,0.593,0.949
10,63,738.611,432.563,28.385,734,428,9,9,0.983,10.296,734,435,29.055,8.944,1.154,0.866,0.913
11,35,466.986,437.900,20.728,464,434,6,7,1.000,8.485,464,435,135.000,6.000,1.165,0.859,0.921
12,33,713.894,441.167,26.385,711,436,6,10,0.596,10.770,713,436,111.801,5.261,2.346,0.426,0.742
13,87,532.902,456.718,41.698,525,451,16,11,0.629,18.358,525,451,150.642,8.000,2.872,0.348,0.795
14,43,551.663,478.058,22.971,548,474,7,8,1.000,8.602,548,480,35.538,7.000,1.153,0.867,0.896
15,141,437.223,504.798,70.770,432,492,10,25,0.354,25.495,434,517,78.690,9.941,3.757,0.266,0.707
16,27,1131.463,515.019,26.385,1127,511,8,8,0.487,11.314,1127,519,45.000,5.209,2.791,0.358,0.651
17,51,1014.559,530.637,25.556,1011,526,7,9,0.981,10.296,1012,535,60.945,7.000,1.433,0.698,0.927
18,807,727.199,550.077,140.853,709,529,38,37,0.511,40.497,709,563,20.225,34.883,1.030,0.971,0.842
19,31,753.758,536.565,22.385,750,533,8,7,0.777,9.434,750,540,32.005,5.488,2.075,0.482,0.805
20,34,1014.971,539.618,26.728,1009,536,10,6,0.598,11.180,1009,541,26.565,5.618,2.311,0.433,0.747
21,65,745.346,564.100,29.213,741,559,9,10,0.957,10.817,743,569,56.310,8.854,1.234,0.810,0.884
22,44,462.500,575.477,29.799,459,570,7,10,0.623,10.770,460,580,68.199,6.325,1.842,0.543,0.786
23,73,658.692,577.103,35.213,654,571,9,13,0.740,14.765,655,584,61.699,8.356,2.070,0.483,0.839
24,26,1119.346,583.115,20.142,1117,579,5,8,0.805,8.944,1117,579,116.565,4.919,1.873,0.534,0.839
25,78,796.500,588.308,56.042,786,583,19,8,0.312,19.647,786,590,14.744,8.000,3.179,0.315,0.647
26,28,746.393,590.071,19.314,744,587,5,7,0.943,8.062,745,594,60.255,5.000,1.445,0.692,0.903
27,51,967.990,597.186,28.385,963,594,10,8,0.795,11.402,963,594,142.125,7.155,1.803,0.555,0.843
28,54,1099.796,631.796,27.556,1096,627,7,10,0.894,10.817,1097,627,123.690,7.000,1.525,0.656,0.900
29,33,931.712,640.742,24.385,928,638,9,6,0.697,9.849,928,643,23.962,6.000,1.802,0.555,0.776
30,58,1082.948,648.431,28.385,1079,643,8,10,0.905,12.207,1080,643,124.992,7.488,1.649,0.606,0.899
31,71,482.838,653.092,30.042,478,648,10,10,0.989,11.402,478,656,37.875,8.485,1.308,0.765,0.904
32,30,980.567,653.933,22.728,978,650,5,9,0.730,9.220,979,650,102.529,5.000,2.048,0.488,0.822
33,103,870.879,659.160,49.698,865,651,15,14,0.524,17.804,866,653,141.843,12.131,1.584,0.631,0.720
34,51,787.735,663.167,27.799,783,659,10,8,0.829,11.662,783,660,149.036,7.031,1.934,0.517,0.836
35,49,880.663,668.296,36.627,873,665,15,6,0.459,15.297,873,670,11.310,5.578,3.426,0.292,0.700
36,55,701.591,692.391,27.799,698,687,7,11,0.894,11.045,701,687,95.194,7.000,1.445,0.692,0.873
37,52,388.750,702.346,25.799,384,698,9,8,0.982,10.000,385,699,143.130,7.778,1.290,0.775,0.889
38,96,723.198,724.385,50.770,715,718,14,15,0.468,18.601,716,718,126.254,10.290,2.057,0.486,0.667
39,48,884.333,732.979,26.385,880,729,9,8,0.866,10.000,881,737,53.130,7.155,1.454,0.688,0.850
