 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35,766.071,263.557,21.314,762,261,8,5,0.968,8.544,762,262,159.444,5.000,1.588,0.630,0.933
2,76,695.000,281.829,31.799,690,277,10,10,0.944,12.207,690,278,145.008,9.391,1.279,0.782,0.905
3,70,728.214,286.757,29.799,724,282,9,10,0.991,11.180,725,282,116.565,9.000,1.202,0.832,0.927
4,62,790.903,292.387,27.556,787,288,8,9,1.000,10.296,788,288,119.055,8.000,1.134,0.882,0.947
5,102,952.480,305.971,47.941,946,296,12,16,0.558,18.601,947,311,53.746,10.607,1.717,0.582,0.791
6,99,984.712,336.864,56.184,978,330,13,15,0.394,17.029,978,343,40.236,10.373,1.476,0.677,0.707
7,36,1036.639,343.500,32.042,1033,340,8,8,0.441,8.944,1033,346,26.565,7.778,1.198,0.835,0.673
8,42,755.976,345.595,29.213,752,342,8,7,0.618,9.434,752,344,147.995,7.000,1.287,0.777,0.824
9,30,775.500,388.733,28.971,773,383,5,12,0.449,12.166,775,395,80.538,4.667,3.260,0.307,0.674
10,84,854.143,395.690,40.284,846,389,14,12,0.650,14.318,846,395,167.905,9.947,1.331,0.751,0.747
11,76,461.579,398.329,48.042,458,390,8,19,0.414,20.248,458,409,69.775,8.000,3.406,0.294,0.682
12,25,453.940,401.140,19.314,452,397,4,8,0.842,8.544,452,405,69.444,4.000,1.937,0.516,0.909
13,96,960.469,403.510,35.799,954,399,13,9,0.941,13.601,954,402,162.897,9.000,1.440,0.695,0.928
14,67,719.843,426.246,29.213,715,422,10,9,0.987,10.770,715,424,158.199,9.000,1.164,0.859,0.912
15,33,1101.955,432.409,30.385,1097,428,11,7,0.449,11.705,1097,434,19.983,5.692,2.461,0.406,0.623
16,60,424.133,447.050,28.385,419,443,10,8,0.936,10.198,419,448,11.310,8.000,1.161,0.862,0.896
17,64,959.703,449.312,28.971,955,445,9,9,0.958,10.817,957,454,56.310,8.944,1.207,0.829,0.921
18,33,823.439,473.348,27.799,820,469,8,8,0.537,8.602,821,470,144.462,7.031,1.322,0.756,0.688
19,71,1032.444,482.261,29.799,1028,477,9,10,1.000,11.402,1028,486,37.875,9.000,1.250,0.800,0.922
20,60,770.583,482.100,27.556,766,478,9,8,0.993,10.817,766,485,33.690,8.000,1.282,0.780,0.938
21,50,990.000,500.120,25.556,986,496,8,8,0.962,9.220,986,503,40.601,8.000,1.084,0.923,0.901
22,47,569.521,508.117,24.385,566,504,7,9,0.993,9.220,568,504,102.529,7.000,1.203,0.831,0.895
23,60,734.383,515.967,27.556,730,512,9,8,0.993,10.000,731,512,126.870,8.000,1.098,0.911,0.930
24,73,459.445,522.582,30.385,455,517,9,10,0.994,10.817,457,518,123.690,9.000,1.047,0.955,0.930
25,46,488.935,539.739,41.456,485,535,9,9,0.336,10.817,486,544,56.310,9.000,1.102,0.907,0.634
26,55,496.809,551.064,36.042,493,546,8,10,0.532,10.770,495,546,111.801,8.000,1.371,0.730,0.797
27,442,442.446,572.968,114.368,425,560,36,26,0.425,36.222,425,571,173.660,24.962,1.326,0.754,0.702
