 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,25,666.460,143.260,17.314,664,140,5,6,1.000,7.211,665,140,123.690,5.000,1.293,0.773,0.926
2,31,685.952,148.887,20.142,683,145,6,7,0.960,8.602,684,145,125.538,5.657,1.504,0.665,0.899
3,29,908.259,172.328,18.728,905,169,6,6,1.000,7.211,907,169,123.690,6.000,1.018,0.982,0.906
4,34,822.353,182.294,21.556,819,178,6,8,0.919,8.246,822,178,104.036,6.000,1.380,0.725,0.861
5,52,785.808,186.269,26.971,782,181,7,10,0.898,10.770,783,191,68.199,7.000,1.561,0.641,0.889
6,60,685.150,186.550,27.799,681,182,9,9,0.976,10.817,682,182,123.690,7.778,1.382,0.724,0.916
7,59,676.195,192.144,27.799,671,188,10,8,0.959,10.440,671,193,16.699,8.000,1.234,0.810,0.887
8,45,798.678,195.656,23.556,795,192,8,7,1.000,8.944,795,193,153.435,7.000,1.132,0.883,0.909
9,35,575.243,207.386,20.971,572,204,7,7,1.000,8.062,572,210,29.745,6.364,1.184,0.844,0.886
10,26,840.000,212.500,18.485,838,209,4,7,0.956,8.062,838,209,119.745,4.000,1.761,0.568,0.963
11,30,847.767,218.567,20.142,845,215,6,7,0.929,8.602,845,215,125.538,5.367,1.692,0.591,0.882
12,35,775.814,223.043,21.799,772,219,7,8,0.926,8.944,774,219,116.565,5.657,1.570,0.637,0.864
13,38,635.000,232.500,21.314,632,229,6,7,1.000,8.062,633,229,119.745,6.000,1.159,0.863,0.950
14,26,737.385,231.692,18.142,734,229,7,5,0.993,7.280,734,233,15.945,5.000,1.271,0.787,0.881
15,26,743.769,235.038,19.899,742,231,4,8,0.825,8.544,742,231,110.556,4.000,2.212,0.452,0.897
16,30,726.700,235.400,19.799,723,232,7,7,0.962,8.602,724,232,125.538,4.950,1.846,0.542,0.857
17,45,705.300,236.611,26.728,700,234,11,5,0.792,11.402,700,235,164.745,5.000,2.255,0.443,0.900
18,27,813.204,237.722,18.728,810,235,6,6,0.967,7.071,811,235,135.000,6.000,1.077,0.929,0.871
19,45,584.722,250.544,30.385,580,245,8,11,0.613,12.806,580,246,128.660,6.656,2.379,0.420,0.738
20,38,684.895,251.842,21.556,682,248,6,8,1.000,8.544,683,248,110.556,6.000,1.296,0.771,0.916
21,60,668.300,255.183,28.385,664,250,8,10,0.936,10.770,666,260,68.199,8.000,1.362,0.734,0.896
22,46,533.565,255.196,24.971,530,251,7,9,0.927,10.817,530,251,123.690,6.364,1.704,0.587,0.920
23,48,698.792,263.354,24.971,694,260,9,7,0.967,9.849,694,262,156.038,7.000,1.338,0.747,0.906
24,30,667.467,266.767,19.314,665,263,5,7,1.000,8.062,666,263,119.745,5.000,1.416,0.706,0.938
25,90,935.567,281.811,44.284,930,275,10,15,0.577,16.155,934,290,68.199,10.000,1.523,0.656,0.759
26,63,637.817,280.992,32.971,633,276,9,9,0.728,12.042,633,285,48.366,9.000,1.331,0.751,0.863
27,40,556.600,290.000,22.971,552,287,9,6,0.953,9.220,552,289,167.471,6.000,1.536,0.651,0.879
28,29,804.500,292.707,18.728,802,289,5,7,1.000,7.280,804,289,105.945,5.000,1.266,0.790,0.906
29,59,417.873,296.212,27.556,414,292,8,9,0.976,10.296,416,301,60.945,8.000,1.156,0.865,0.929
30,35,731.871,296.271,20.728,729,293,6,7,1.000,8.062,730,300,60.255,6.000,1.169,0.856,0.921
31,45,856.656,301.589,24.728,854,297,6,9,0.925,9.849,854,306,66.038,6.000,1.551,0.645,0.928
32,26,432.962,310.192,17.556,430,307,6,6,1.000,7.211,430,312,33.690,5.657,1.271,0.787,0.867
33,31,954.823,315.565,21.314,952,312,6,7,0.858,8.062,953,319,60.255,6.000,1.288,0.776,0.849
34,29,758.121,321.638,19.556,755,318,6,7,0.953,7.616,756,325,66.801,6.000,1.305,0.766,0.853
35,46,911.174,322.696,24.385,908,318,7,9,0.972,9.487,910,318,108.435,7.000,1.301,0.769,0.885
36,110,553.627,330.545,56.284,548,322,12,15,0.436,17.000,550,322,118.072,12.000,1.376,0.727,0.746
37,52,746.615,325.865,26.142,742,322,9,7,0.956,10.296,742,324,150.945,7.000,1.406,0.711,0.920
38,30,556.133,342.133,18.728,553,339,6,6,1.000,7.211,553,344,33.690,6.000,1.116,0.896,0.923
39,25,911.820,342.740,17.314,909,340,6,5,1.000,7.211,909,345,33.690,5.000,1.289,0.776,0.909
40,40,877.350,349.625,23.556,873,346,8,7,0.906,10.000,873,352,36.870,6.364,1.672,0.598,0.899
41,45,1062.078,357.078,25.799,1058,353,8,9,0.850,9.849,1061,362,66.038,7.155,1.379,0.725,0.841
42,34,634.206,357.235,20.728,631,354,6,7,0.994,8.062,632,354,119.745,6.000,1.233,0.811,0.907
43,35,894.414,357.414,26.142,889,355,10,6,0.644,11.662,889,355,149.036,5.515,2.693,0.371,0.753
44,25,733.260,358.460,17.314,730,356,6,5,1.000,7.211,730,357,146.310,5.000,1.293,0.773,0.926
45,44,459.591,363.545,24.385,455,360,9,7,0.930,10.000,456,360,143.130,6.708,1.539,0.650,0.871
46,52,875.135,380.115,26.971,870,377,10,7,0.898,10.440,870,381,16.699,7.000,1.457,0.686,0.889
47,40,782.400,380.825,23.556,778,378,9,6,0.906,9.220,778,380,167.471,6.000,1.441,0.694,0.879
48,26,794.346,382.962,17.899,792,380,5,6,1.000,7.211,792,380,123.690,5.000,1.283,0.779,0.929
49,34,465.118,387.529,20.728,462,384,6,7,0.994,8.062,463,391,60.255,6.000,1.234,0.811,0.907
50,34,628.147,387.265,20.971,625,384,7,7,0.972,7.810,626,384,129.806,6.708,1.140,0.877,0.850
51,48,713.500,388.000,24.142,710,384,7,8,1.000,9.434,711,392,57.995,7.000,1.219,0.820,0.941
52,51,983.794,393.441,39.799,978,387,10,11,0.405,13.454,978,397,41.987,9.617,1.612,0.620,0.622
53,29,431.397,392.603,20.728,427,390,8,5,0.848,8.944,427,394,26.565,5.000,1.830,0.547,0.892
54,41,475.402,393.768,22.142,472,390,7,7,1.000,8.602,472,391,144.462,7.000,1.097,0.911,0.921
55,30,407.333,395.367,19.899,405,392,5,7,0.952,7.810,405,392,129.806,5.000,1.382,0.724,0.923
56,31,759.210,403.952,19.314,756,401,6,6,1.000,7.810,757,401,129.806,6.000,1.196,0.836,0.939
57,66,519.894,414.985,39.213,516,407,8,14,0.539,15.232,516,421,66.801,7.845,2.032,0.492,0.750
58,64,844.219,414.422,28.971,840,410,9,9,0.958,10.817,841,410,123.690,8.944,1.204,0.831,0.914
59,32,661.125,414.719,20.728,658,411,6,7,0.936,8.062,659,418,60.255,6.000,1.290,0.775,0.877
60,32,629.312,416.031,20.142,626,413,7,6,0.991,7.810,626,418,39.806,6.000,1.216,0.822,0.889
61,53,1007.764,422.142,26.385,1003,418,9,8,0.957,10.817,1003,425,33.690,7.071,1.521,0.658,0.914
62,47,366.691,431.266,24.971,362,428,9,7,0.947,10.817,362,428,146.310,7.000,1.645,0.608,0.913
63,40,485.675,433.550,22.142,482,430,7,7,1.000,8.062,484,430,119.745,7.000,1.051,0.952,0.920
64,37,920.095,434.176,22.142,917,431,7,7,0.948,8.485,917,437,45.000,7.000,1.151,0.869,0.892
65,40,843.425,439.475,22.142,840,436,7,7,1.000,8.602,840,442,35.538,7.000,1.234,0.810,0.920
66,36,557.417,441.500,22.142,554,438,7,7,0.923,9.899,554,438,135.000,5.657,1.751,0.571,0.911
67,28,400.179,445.607,19.556,397,442,6,7,0.920,8.602,398,442,125.538,4.950,1.843,0.543,0.875
68,52,866.942,448.673,29.314,864,444,7,10,0.760,12.207,864,454,55.008,7.000,1.812,0.552,0.889
69,28,375.714,447.679,18.728,372,445,7,5,1.000,7.616,372,449,23.199,5.000,1.451,0.689,0.903
70,38,1109.289,461.974,22.971,1106,458,7,8,0.905,8.944,1107,458,116.565,6.548,1.469,0.681,0.854
71,40,681.225,463.050,22.971,678,459,7,8,0.953,8.602,678,460,125.538,7.000,1.246,0.802,0.879
72,51,356.912,475.814,25.556,353,472,8,8,0.981,9.434,354,472,122.005,8.000,1.167,0.857,0.911
73,25,530.740,479.460,17.314,528,477,6,5,1.000,7.211,528,482,33.690,5.000,1.293,0.773,0.926
74,38,638.368,482.658,30.627,635,478,8,10,0.509,10.770,636,488,68.199,6.934,1.986,0.504,0.655
75,90,653.589,483.689,55.012,646,478,15,12,0.374,16.553,646,479,154.983,10.213,1.941,0.515,0.711
76,29,335.845,483.224,18.142,333,480,6,6,1.000,7.211,334,480,123.690,6.000,1.161,0.861,0.906
77,36,700.194,486.778,21.556,697,483,6,8,0.974,8.944,698,483,116.565,6.000,1.535,0.651,0.900
78,50,449.400,489.880,24.728,446,486,7,8,1.000,9.434,447,494,57.995,7.000,1.158,0.864,0.952
79,51,840.559,491.912,33.456,836,486,9,12,0.573,13.892,836,498,59.744,7.071,2.546,0.393,0.723
80,60,636.250,492.667,28.971,631,489,11,7,0.898,11.705,631,490,160.017,7.000,1.744,0.573,0.896
81,29,493.707,493.017,22.971,489,490,9,6,0.691,9.849,489,491,156.038,4.472,2.562,0.390,0.795
82,31,1127.081,495.629,20.142,1124,492,6,7,0.960,8.062,1125,499,60.255,6.000,1.208,0.828,0.873
83,39,645.244,497.269,22.971,642,493,7,8,0.929,8.944,643,501,63.435,6.708,1.383,0.723,0.876
84,66,850.924,499.227,28.971,847,494,8,10,0.988,11.180,849,494,116.565,8.000,1.258,0.795,0.936
85,26,334.808,498.154,19.556,331,495,7,6,0.854,9.220,331,495,139.399,4.950,1.971,0.507,0.852
86,84,1076.048,507.833,43.355,1072,501,9,15,0.562,15.811,1073,501,108.435,9.000,1.880,0.532,0.750
87,30,485.533,505.400,19.314,483,502,5,7,1.000,7.616,484,502,113.199,5.000,1.328,0.753,0.923
88,33,1012.864,506.439,21.314,1009,504,8,5,0.913,8.246,1009,505,165.964,5.000,1.483,0.674,0.904
89,29,883.603,516.672,18.728,881,513,5,7,1.000,7.616,882,520,66.801,5.000,1.373,0.728,0.921
90,26,439.538,518.615,18.142,437,515,5,7,0.993,7.280,439,515,105.945,5.000,1.349,0.742,0.881
91,55,607.518,523.082,27.213,603,519,9,9,0.933,10.817,603,520,146.310,7.778,1.494,0.669,0.859
92,48,1006.875,523.479,24.728,1003,520,8,7,0.986,9.434,1003,521,147.995,7.000,1.184,0.845,0.932
93,31,855.113,525.661,22.142,853,521,5,9,0.795,9.849,853,521,113.962,5.000,2.120,0.472,0.873
94,117,729.919,532.594,62.669,722,525,16,15,0.374,18.601,723,525,126.254,13.556,1.517,0.659,0.669
95,54,964.648,531.926,26.971,960,528,9,8,0.933,10.630,961,536,41.186,7.778,1.336,0.749,0.900
