 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,737.532,178.661,24.971,734,176,8,7,0.625,9.899,735,183,45.000,7.000,1.486,0.673,0.765
2,28,746.714,190.893,24.385,742,188,10,6,0.592,10.770,742,193,21.801,4.427,3.046,0.328,0.747
3,64,728.438,216.609,33.213,724,212,9,9,0.729,11.402,724,220,37.875,9.000,1.239,0.807,0.883
4,667,858.389,246.491,115.782,844,226,30,37,0.625,38.079,851,263,76.329,29.069,1.281,0.780,0.871
5,60,776.283,243.333,27.799,772,239,9,9,0.976,9.849,772,241,156.038,9.000,1.042,0.960,0.902
6,30,767.767,249.100,28.971,764,246,7,7,0.449,8.602,765,253,54.462,7.000,1.220,0.820,0.698
7,30,488.433,269.333,24.142,485,266,8,6,0.647,8.944,485,267,153.435,6.000,1.754,0.570,0.759
8,149,553.346,271.641,52.527,544,266,19,11,0.679,19.647,544,274,14.744,10.601,2.107,0.475,0.847
9,32,530.531,289.594,22.142,527,287,8,5,0.820,8.944,527,292,26.565,5.000,1.626,0.615,0.865
10,57,921.553,293.360,28.385,917,289,9,9,0.889,9.899,918,290,135.000,8.497,1.102,0.907,0.870
11,62,594.774,301.984,28.385,590,298,10,8,0.967,10.770,590,304,21.801,8.000,1.159,0.863,0.899
12,63,873.198,302.563,29.213,868,298,10,9,0.928,10.440,868,303,16.699,8.974,1.158,0.864,0.869
13,64,688.703,305.219,29.213,684,300,9,10,0.942,10.440,688,300,106.699,8.944,1.124,0.889,0.889
14,90,976.111,304.400,34.385,970,300,12,9,0.957,12.649,970,303,161.565,9.000,1.284,0.779,0.938
15,79,641.538,307.399,31.799,637,302,9,11,0.982,12.083,639,313,65.556,9.000,1.230,0.813,0.929
16,420,951.033,312.410,119.681,933,302,34,22,0.368,34.525,933,314,10.008,21.541,1.511,0.662,0.761
17,88,555.227,310.193,60.184,549,303,13,14,0.305,16.643,551,317,57.265,9.765,2.045,0.489,0.707
18,86,912.558,310.570,46.042,906,304,11,12,0.510,14.213,906,307,140.711,10.585,1.275,0.784,0.789
19,58,437.655,313.621,38.627,434,307,8,13,0.488,14.318,434,320,65.225,7.778,2.010,0.497,0.784
20,44,581.977,312.227,23.799,578,308,8,8,0.976,8.602,578,314,35.538,7.766,1.146,0.872,0.854
21,82,922.439,315.329,32.971,918,310,9,11,0.948,12.530,919,310,118.610,9.000,1.342,0.745,0.937
22,101,968.906,325.619,41.698,963,319,13,13,0.730,14.866,965,331,42.274,11.119,1.327,0.753,0.811
23,105,650.024,329.205,38.042,643,324,14,10,0.912,14.560,643,327,164.055,10.000,1.510,0.662,0.913
24,55,756.809,335.882,26.385,752,332,9,8,0.993,9.487,752,335,161.565,8.000,1.089,0.919,0.909
25,52,1042.962,339.904,44.527,1038,334,10,11,0.330,13.038,1040,345,57.529,9.261,1.282,0.780,0.634
26,77,842.929,341.500,32.627,838,336,10,11,0.909,13.038,840,336,122.471,9.153,1.443,0.693,0.885
27,50,422.860,342.080,37.799,419,338,8,9,0.440,10.817,421,347,56.310,8.000,1.180,0.847,0.800
28,36,482.444,350.333,22.142,480,346,6,8,0.923,8.944,480,346,116.565,6.000,1.331,0.751,0.900
29,32,982.938,353.406,29.213,976,350,11,8,0.471,13.601,976,350,143.973,4.912,3.209,0.312,0.674
30,67,475.560,361.784,46.527,471,353,9,17,0.389,17.464,474,353,103.241,7.727,3.030,0.330,0.588
31,60,1070.533,358.317,35.213,1067,353,8,10,0.608,11.180,1068,363,63.435,8.000,1.341,0.746,0.845
32,93,1028.952,362.898,35.799,1024,357,10,12,0.912,12.806,1025,358,128.660,10.000,1.209,0.827,0.907
33,207,820.901,372.094,67.255,814,362,15,21,0.575,23.324,816,362,120.964,14.391,1.835,0.545,0.821
34,286,1005.741,373.899,108.125,990,364,30,22,0.307,35.228,990,366,145.408,14.629,2.313,0.432,0.708
35,63,904.849,371.865,29.456,900,367,10,10,0.912,10.198,900,371,168.690,9.192,1.103,0.907,0.846
36,426,612.953,387.920,112.225,599,376,29,23,0.425,31.385,601,380,149.349,21.920,1.441,0.694,0.816
37,59,840.144,380.924,27.213,836,376,9,9,1.000,10.000,837,377,126.870,8.485,1.148,0.871,0.901
38,33,915.773,379.712,27.799,912,376,8,7,0.537,8.544,912,378,159.444,6.641,1.439,0.695,0.733
39,57,699.447,382.518,27.556,695,379,9,8,0.943,10.296,695,385,29.055,8.000,1.234,0.811,0.912
40,70,989.486,393.714,30.971,985,389,10,9,0.917,12.042,985,398,41.634,8.974,1.246,0.803,0.903
41,27,383.352,400.130,19.899,379,398,8,4,0.857,8.246,379,400,165.964,4.000,1.853,0.540,0.931
42,43,885.895,401.663,25.556,882,398,7,8,0.827,9.220,883,398,130.601,7.000,1.274,0.785,0.860
43,75,470.460,404.060,33.799,466,399,9,10,0.825,11.662,467,399,120.964,9.000,1.110,0.901,0.909
44,56,381.768,406.750,36.971,378,403,9,9,0.515,11.402,378,410,37.875,9.000,1.253,0.798,0.818
45,345,896.706,422.671,89.154,886,410,23,24,0.545,27.785,886,434,59.744,20.987,1.405,0.712,0.816
46,97,946.758,425.232,38.627,940,420,13,10,0.817,15.811,940,429,34.695,9.707,1.623,0.616,0.915
47,63,444.579,428.833,28.728,440,425,9,8,0.959,11.402,440,432,37.875,8.000,1.234,0.811,0.947
48,92,705.946,434.391,49.113,701,427,9,15,0.479,15.811,704,442,71.565,9.000,1.584,0.632,0.821
49,47,760.734,432.777,32.870,756,428,9,9,0.547,9.487,756,431,161.565,8.485,1.136,0.880,0.783
50,36,659.278,436.278,26.971,654,433,10,7,0.622,11.662,654,434,149.036,5.267,2.618,0.382,0.735
51,34,499.206,450.176,30.971,496,447,7,7,0.445,8.062,497,447,119.745,7.000,1.065,0.939,0.773
52,71,1006.542,456.120,30.627,1001,452,11,9,0.951,11.180,1001,455,169.695,9.000,1.179,0.848,0.893
53,57,643.693,465.675,38.527,638,460,11,12,0.483,13.038,638,463,147.529,8.485,1.529,0.654,0.695
54,78,771.615,466.167,38.284,766,461,13,11,0.669,15.620,767,471,39.806,8.951,1.900,0.526,0.796
55,35,566.586,465.929,30.627,563,462,7,8,0.469,8.944,565,470,63.435,6.957,1.478,0.677,0.737
56,61,988.484,470.631,27.213,984,466,9,9,1.000,10.296,984,473,29.055,8.485,1.172,0.853,0.910
57,41,554.402,473.402,31.556,552,467,5,13,0.517,13.342,554,480,77.005,5.000,3.365,0.297,0.752
58,32,1074.250,472.875,26.728,1068,471,12,4,0.563,12.369,1068,472,165.964,3.976,3.587,0.279,0.810
59,82,660.451,477.537,32.971,656,472,9,11,0.948,12.083,658,483,65.556,9.000,1.223,0.818,0.927
60,86,824.698,477.605,36.042,819,472,11,12,0.832,12.806,820,481,38.660,10.119,1.265,0.791,0.869
61,108,621.065,482.130,54.184,615,475,13,14,0.462,15.264,617,475,121.608,12.481,1.367,0.732,0.788
62,111,595.671,484.563,54.184,587,477,14,15,0.475,16.155,593,492,68.199,12.021,1.260,0.794,0.747
63,29,696.948,483.466,27.556,694,480,7,7,0.480,8.602,694,487,35.538,6.548,1.407,0.711,0.707
64,117,666.141,496.184,52.527,660,490,13,13,0.533,15.264,662,490,121.608,12.659,1.097,0.912,0.830
65,47,790.840,495.096,29.799,787,491,8,8,0.665,10.000,787,498,36.870,7.761,1.362,0.734,0.855
66,83,380.380,503.693,35.213,375,499,12,9,0.841,13.000,375,507,22.620,9.000,1.266,0.790,0.897
67,59,718.059,503.703,27.799,714,499,8,10,0.959,10.440,716,499,106.699,8.000,1.264,0.791,0.901
68,59,436.907,512.720,27.799,433,508,8,10,0.959,10.770,435,508,111.801,8.000,1.197,0.835,0.881
69,79,1139.968,535.032,46.870,1134,528,11,12,0.452,13.416,1135,540,63.435,10.461,1.318,0.759,0.802
70,37,841.959,536.581,28.627,838,533,8,8,0.567,8.602,839,539,35.538,7.649,1.203,0.831,0.733
71,46,577.804,539.152,32.627,574,535,8,8,0.543,10.000,575,543,53.130,8.000,1.122,0.891,0.807
72,287,802.747,549.120,109.054,791,540,26,21,0.303,27.203,791,544,162.897,20.524,1.438,0.696,0.732
73,57,555.851,547.693,26.971,552,543,8,9,0.985,10.296,554,543,119.055,8.000,1.177,0.850,0.919
74,47,743.011,547.819,33.799,739,544,8,8,0.517,9.434,739,546,147.995,8.000,1.006,0.994,0.817
75,72,881.111,551.528,38.042,876,546,11,11,0.625,14.213,878,546,129.289,8.746,1.839,0.544,0.804
76,83,896.392,550.922,49.941,889,546,14,11,0.418,16.279,889,546,137.490,10.381,1.432,0.698,0.741
77,59,674.839,556.568,27.556,671,552,8,9,0.976,10.296,672,561,60.945,8.000,1.174,0.852,0.922
