 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,68,502.162,103.853,46.971,500,93,5,21,0.387,21.213,501,93,98.130,4.734,5.599,0.179,0.810
2,55,790.809,100.227,30.385,787,95,8,10,0.749,10.770,789,95,111.801,8.000,1.225,0.816,0.827
3,94,861.681,171.011,45.113,855,165,15,12,0.580,18.028,855,166,146.310,8.050,2.296,0.435,0.790
4,29,812.052,191.948,24.385,808,189,9,7,0.613,11.402,808,196,37.875,4.534,3.139,0.319,0.773
5,33,897.136,211.015,24.385,894,207,7,7,0.697,8.602,894,209,144.462,7.000,1.135,0.881,0.786
6,32,427.344,217.219,29.213,423,214,8,7,0.471,8.602,424,215,144.462,7.000,1.333,0.750,0.681
7,62,376.242,220.097,28.385,371,216,10,8,0.967,10.770,371,222,21.801,8.000,1.169,0.855,0.912
8,44,475.727,237.159,23.799,472,233,8,8,0.976,9.220,472,240,40.601,7.071,1.221,0.819,0.871
9,50,747.940,237.240,25.556,744,233,8,8,0.962,9.434,744,240,32.005,7.603,1.212,0.825,0.909
10,48,826.104,258.729,24.142,822,255,8,7,1.000,9.434,822,261,32.005,7.000,1.198,0.835,0.932
11,59,772.907,285.669,29.799,768,281,9,10,0.835,10.817,770,282,123.690,9.000,1.104,0.906,0.849
12,62,379.790,328.226,28.385,376,323,8,10,0.967,10.440,379,323,106.699,8.000,1.243,0.805,0.912
13,156,961.058,347.295,75.497,954,337,15,18,0.344,18.974,958,355,71.565,14.311,1.206,0.829,0.759
14,25,898.060,373.620,25.556,896,368,5,10,0.481,10.770,897,368,111.801,4.608,2.866,0.349,0.658
15,72,589.250,384.153,51.941,584,378,11,13,0.335,13.601,587,378,107.103,10.914,1.326,0.754,0.664
16,28,1004.107,398.250,20.728,1000,396,8,5,0.819,8.944,1000,400,26.565,4.919,1.987,0.503,0.862
17,114,495.061,425.763,39.213,490,419,10,14,0.932,14.866,493,433,70.346,10.000,1.428,0.700,0.938
18,40,594.975,436.875,22.971,591,433,8,7,0.953,8.602,592,440,35.538,7.000,1.202,0.832,0.860
19,36,669.000,443.611,21.314,666,440,6,7,0.996,8.062,667,440,119.745,6.000,1.199,0.834,0.923
20,68,952.632,457.750,38.627,948,452,12,12,0.573,14.422,948,461,33.690,9.839,1.496,0.668,0.680
21,48,854.146,466.521,24.971,851,462,7,9,0.967,9.849,852,462,113.962,7.000,1.385,0.722,0.906
22,33,991.379,485.076,27.314,989,479,4,12,0.556,12.369,990,491,75.964,4.000,3.592,0.278,0.846
23,36,484.167,501.889,29.799,481,498,7,9,0.509,11.402,481,498,127.875,6.788,1.415,0.707,0.713
24,43,842.384,502.058,23.556,839,498,7,8,0.974,8.602,839,499,125.538,7.000,1.116,0.896,0.896
25,50,521.300,547.760,43.314,520,537,3,20,0.335,20.100,520,537,95.711,3.000,7.106,0.141,0.893
26,49,564.929,557.827,24.971,561,554,8,8,0.988,8.944,561,560,26.565,8.000,1.043,0.959,0.899
27,32,550.719,558.688,24.971,547,556,7,6,0.645,8.062,547,557,150.255,6.000,1.308,0.765,0.842
28,54,768.111,565.889,25.556,764,562,8,8,1.000,9.434,764,568,32.005,8.000,1.074,0.931,0.939
29,67,803.679,656.440,31.799,799,652,10,10,0.833,10.817,800,653,123.690,9.391,1.187,0.842,0.838
30,48,393.542,677.667,26.385,389,674,9,7,0.866,9.899,390,681,45.000,7.000,1.222,0.818,0.889
31,40,414.125,689.100,24.385,410,686,8,7,0.845,8.602,411,686,125.538,7.000,1.021,0.979,0.860
32,80,513.125,759.288,39.698,506,755,14,9,0.638,14.318,506,758,167.905,8.910,1.802,0.555,0.796
