 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,745.016,145.403,20.142,742,142,6,7,0.960,8.062,743,142,119.745,5.814,1.432,0.698,0.873
2,50,678.460,160.200,28.385,674,156,9,8,0.780,10.630,674,163,41.186,7.488,1.554,0.644,0.840
3,28,849.464,170.750,18.728,847,167,5,7,1.000,7.616,848,167,113.199,5.000,1.367,0.732,0.903
4,39,672.987,175.910,22.142,670,172,6,8,1.000,8.944,671,180,63.435,6.000,1.347,0.742,0.918
5,37,635.851,177.149,21.556,632,174,8,6,1.000,8.944,632,175,153.435,6.000,1.480,0.676,0.892
6,31,846.371,182.210,22.385,843,179,7,6,0.777,8.602,843,180,144.462,6.000,1.410,0.709,0.827
7,107,947.734,187.014,40.042,942,181,12,12,0.839,14.422,945,181,123.690,11.672,1.189,0.841,0.899
8,31,645.210,185.823,20.728,643,182,5,8,0.907,8.544,643,182,110.556,5.000,1.567,0.638,0.899
9,153,945.369,203.559,55.941,941,193,11,21,0.614,21.378,942,193,100.784,11.000,2.169,0.461,0.850
10,63,907.675,198.452,28.971,903,194,9,9,0.943,10.296,905,203,60.945,9.000,1.076,0.930,0.900
11,38,955.289,199.395,22.728,953,195,5,9,0.924,9.487,953,195,108.435,5.000,1.723,0.580,0.938
12,28,733.821,206.143,18.728,731,203,6,6,1.000,7.810,731,209,50.194,5.657,1.297,0.771,0.903
13,107,907.435,212.229,61.255,902,203,13,18,0.358,19.698,903,221,66.038,11.045,1.909,0.524,0.663
14,41,964.037,208.256,23.556,961,204,6,9,0.928,9.487,962,204,108.435,6.000,1.426,0.701,0.891
15,50,756.780,211.940,25.799,752,208,9,8,0.944,10.817,752,209,146.310,7.071,1.657,0.603,0.870
16,37,634.365,212.581,21.556,631,209,7,7,1.000,8.602,632,209,125.538,6.364,1.393,0.718,0.902
17,27,897.907,211.907,20.971,894,209,7,7,0.772,8.602,895,209,125.538,4.950,1.881,0.532,0.831
18,47,746.543,217.521,24.971,742,214,9,7,0.947,9.849,742,216,156.038,7.000,1.371,0.730,0.879
19,122,601.664,222.377,56.184,594,215,15,14,0.486,17.493,594,228,30.964,13.924,1.223,0.817,0.739
20,31,660.661,219.242,20.728,658,216,6,7,0.907,8.062,659,223,60.255,6.000,1.346,0.743,0.873
21,49,775.092,232.704,25.213,771,228,8,9,0.969,9.487,774,228,108.435,7.603,1.240,0.807,0.867
22,25,766.900,243.540,17.314,764,241,6,5,1.000,6.708,764,242,153.435,5.000,1.147,0.872,0.909
23,29,970.362,248.603,19.314,968,245,5,7,0.977,7.616,969,245,113.199,5.000,1.471,0.680,0.906
24,146,1018.740,255.048,63.841,1010,245,21,18,0.450,25.000,1011,246,143.130,10.909,2.890,0.346,0.671
25,31,748.952,251.113,21.071,747,247,4,8,0.877,8.944,747,247,116.565,4.000,1.988,0.503,0.984
26,35,498.757,252.329,21.556,495,249,7,7,0.947,7.810,496,255,50.194,7.000,1.075,0.930,0.864
27,54,639.389,254.093,26.385,635,250,9,8,0.975,10.630,635,251,138.814,7.778,1.347,0.742,0.900
28,27,450.907,254.019,18.142,448,251,6,6,1.000,7.211,449,251,123.690,5.657,1.316,0.760,0.885
29,26,621.423,256.769,18.728,619,253,5,7,0.932,7.280,621,253,105.945,5.000,1.432,0.698,0.867
30,37,927.824,259.122,21.556,925,255,6,8,1.000,8.544,926,263,69.444,6.000,1.357,0.737,0.902
31,44,950.364,261.364,24.385,947,257,7,9,0.930,10.296,948,266,60.945,6.364,1.640,0.610,0.898
32,45,537.878,265.544,26.971,533,262,9,8,0.777,11.314,534,262,135.000,6.708,1.787,0.559,0.849
33,29,546.914,265.948,18.728,544,263,6,6,1.000,7.211,544,268,33.690,6.000,1.182,0.846,0.906
34,53,1022.066,269.613,29.799,1018,264,8,11,0.750,13.038,1018,264,122.471,6.656,2.157,0.464,0.855
35,31,880.468,273.145,19.556,877,270,7,6,1.000,7.810,878,270,129.806,6.000,1.289,0.776,0.873
36,87,511.787,281.247,38.870,507,275,12,12,0.724,14.422,507,276,146.310,10.607,1.429,0.700,0.825
37,215,738.267,288.951,76.083,729,278,19,21,0.467,22.804,732,298,52.125,16.441,1.618,0.618,0.730
38,35,430.414,282.500,20.971,427,279,7,7,1.000,9.220,427,279,130.601,5.657,1.664,0.601,0.897
39,26,478.577,285.154,18.728,476,282,6,6,0.932,7.810,476,282,129.806,5.367,1.508,0.663,0.881
40,107,841.154,288.977,37.456,835,283,12,12,0.958,13.416,838,295,63.435,11.314,1.164,0.859,0.918
41,42,782.214,294.429,24.385,779,290,7,9,0.888,9.220,781,290,102.529,7.000,1.323,0.756,0.848
42,75,1064.193,295.447,37.213,1057,291,13,9,0.681,13.928,1057,293,158.962,9.000,1.454,0.688,0.798
43,28,549.214,298.071,20.142,547,294,5,8,0.867,8.544,547,302,69.444,5.000,1.613,0.620,0.889
44,30,757.000,302.500,20.142,754,299,6,7,0.929,8.062,755,306,60.255,5.814,1.458,0.686,0.857
45,35,834.414,305.957,20.728,831,303,7,6,1.000,8.062,831,308,29.745,6.000,1.242,0.805,0.921
46,46,739.804,307.348,34.870,733,304,14,7,0.475,14.866,733,305,160.346,5.060,3.610,0.277,0.713
47,102,754.559,312.510,36.042,749,307,12,11,0.987,13.038,751,307,122.471,11.000,1.160,0.862,0.923
48,35,1054.957,310.586,20.728,1052,307,6,7,1.000,8.062,1053,307,119.745,6.000,1.242,0.805,0.921
49,51,879.382,333.245,25.556,876,329,7,9,0.981,10.296,877,338,60.945,7.000,1.361,0.735,0.927
50,60,524.950,337.400,38.627,520,330,10,13,0.505,15.264,522,330,121.608,7.690,2.690,0.372,0.674
51,34,1094.000,339.500,20.142,1091,336,6,7,1.000,8.062,1092,336,119.745,6.000,1.275,0.784,0.919
52,32,777.312,342.125,20.728,774,339,7,6,0.936,8.485,774,345,45.000,6.000,1.329,0.753,0.889
53,30,538.467,346.767,19.314,536,343,5,7,1.000,8.062,537,343,119.745,5.000,1.416,0.706,0.938
54,40,597.375,348.275,25.556,594,344,7,9,0.770,10.817,594,344,123.690,5.814,2.051,0.488,0.825
55,30,1063.467,355.233,19.314,1061,352,5,7,1.000,8.062,1062,359,60.255,5.000,1.416,0.706,0.938
56,49,990.480,366.235,26.385,987,361,7,10,0.885,10.440,989,361,106.699,7.000,1.517,0.659,0.867
57,35,796.729,369.129,20.728,793,366,7,6,1.000,8.062,793,371,29.745,6.000,1.169,0.856,0.921
58,43,529.849,372.244,24.142,527,368,6,9,0.927,9.849,527,368,113.962,6.000,1.574,0.635,0.915
59,45,1103.522,371.367,24.385,1099,368,9,7,0.951,9.487,1099,370,161.565,7.000,1.349,0.741,0.865
60,75,1034.420,374.953,45.113,1028,369,14,13,0.463,16.643,1028,381,32.735,9.899,2.020,0.495,0.670
61,31,1068.435,376.629,28.627,1065,371,7,10,0.475,10.817,1066,371,123.690,5.657,2.331,0.429,0.667
62,70,995.657,379.286,30.627,991,374,9,11,0.938,11.180,994,374,100.305,9.000,1.223,0.818,0.881
63,59,907.449,379.144,26.971,903,375,9,8,1.000,10.000,905,375,126.870,8.000,1.136,0.881,0.922
64,31,681.952,386.081,18.728,679,383,6,6,1.000,7.211,680,383,123.690,6.000,1.058,0.945,0.925
65,47,739.947,388.819,24.971,736,385,8,8,0.947,8.944,736,391,26.565,7.906,1.124,0.890,0.879
66,50,1046.900,400.920,26.385,1043,396,7,10,0.903,10.440,1045,396,106.699,7.000,1.449,0.690,0.870
67,39,720.962,404.910,22.728,718,401,6,8,0.949,8.944,719,409,63.435,6.000,1.366,0.732,0.907
68,45,922.367,410.944,24.142,919,407,7,8,0.970,10.000,919,415,53.130,7.000,1.450,0.690,0.928
69,42,1043.167,409.857,26.142,1039,407,9,7,0.772,11.402,1039,414,37.875,6.261,1.951,0.513,0.875
70,33,347.955,411.409,21.314,345,408,6,7,0.913,8.602,345,408,125.538,6.000,1.392,0.718,0.892
71,25,892.100,415.260,17.899,889,413,6,5,0.981,7.211,889,417,33.690,5.000,1.294,0.773,0.909
