 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,765.793,210.232,30.385,762,206,8,8,0.558,9.434,763,206,122.005,7.603,1.299,0.770,0.759
2,45,690.744,225.967,23.799,687,222,8,8,0.998,8.544,689,222,110.556,7.778,1.050,0.953,0.891
3,78,564.526,231.231,31.799,559,227,11,9,0.969,11.705,559,233,19.983,9.000,1.177,0.849,0.923
4,69,917.949,250.935,30.142,913,247,10,8,0.954,11.402,913,254,37.875,8.000,1.268,0.789,0.939
5,91,533.940,256.500,50.770,527,251,13,12,0.444,15.620,529,251,129.806,10.955,1.323,0.756,0.717
6,62,710.387,281.274,41.698,705,276,10,11,0.448,11.705,708,276,109.983,10.000,1.122,0.891,0.705
7,90,960.733,283.744,35.213,956,278,10,12,0.912,12.649,958,278,108.435,10.000,1.271,0.787,0.900
8,45,597.211,300.011,24.971,594,296,7,8,0.907,8.944,595,296,116.565,7.000,1.238,0.807,0.900
9,60,908.467,302.100,27.556,904,298,9,8,0.993,10.296,904,305,29.055,8.000,1.160,0.862,0.930
10,64,696.062,328.375,29.213,691,324,10,9,0.942,10.817,692,332,33.690,8.854,1.199,0.834,0.877
11,47,819.032,355.309,36.870,814,351,9,9,0.434,10.296,817,351,119.055,8.538,1.234,0.810,0.701
12,36,748.667,360.639,26.385,744,358,10,5,0.650,10.440,744,360,163.301,5.000,2.016,0.496,0.828
13,53,927.028,373.745,26.385,922,370,9,8,0.957,9.487,922,373,161.565,8.000,1.122,0.891,0.898
14,54,722.500,385.000,25.799,718,381,9,8,1.000,9.849,718,383,156.038,7.778,1.217,0.821,0.915
15,112,927.884,386.473,44.627,921,381,16,10,0.707,17.889,921,383,153.435,10.000,1.658,0.603,0.848
16,74,414.108,405.176,48.527,410,399,9,13,0.395,13.601,412,399,107.103,9.000,1.362,0.734,0.787
17,119,558.332,444.349,59.598,554,434,9,19,0.421,19.925,555,453,72.474,9.000,2.355,0.425,0.793
18,56,435.554,446.339,47.698,432,437,7,19,0.309,19.925,432,437,107.526,5.771,4.385,0.228,0.586
19,70,777.829,446.557,31.213,774,441,8,11,0.903,11.705,776,441,109.983,8.000,1.432,0.698,0.903
20,69,1002.862,467.297,36.870,998,462,12,10,0.638,13.038,999,464,147.529,10.000,1.112,0.899,0.771
21,26,549.308,469.692,20.971,546,466,7,7,0.743,8.602,546,467,144.462,4.973,1.978,0.506,0.754
22,56,784.875,508.482,26.971,781,504,8,9,0.967,10.817,782,513,56.310,7.778,1.442,0.693,0.918
23,70,945.686,522.114,30.385,941,517,9,10,0.953,11.180,943,527,63.435,9.000,1.208,0.828,0.909
24,59,743.686,526.619,28.385,739,523,10,7,0.920,10.770,739,524,158.199,7.000,1.417,0.706,0.915
