 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,57,746.061,213.430,27.556,742,209,8,9,0.943,11.402,743,218,52.125,7.603,1.509,0.663,0.927
2,29,708.569,243.569,26.971,706,240,6,8,0.501,9.220,706,247,49.399,6.000,1.629,0.614,0.744
3,61,833.107,303.303,27.799,829,298,8,10,0.992,10.440,831,308,73.301,8.000,1.237,0.808,0.904
4,31,447.371,306.565,22.728,443,304,9,5,0.754,9.849,443,305,156.038,4.603,2.473,0.404,0.838
5,44,671.750,308.523,23.556,668,305,8,7,0.996,8.944,668,311,26.565,7.000,1.193,0.838,0.907
6,123,1005.573,313.654,57.355,998,305,13,17,0.470,18.028,1003,322,70.560,12.338,1.753,0.570,0.750
7,77,653.474,325.240,30.971,649,320,9,10,1.000,11.662,651,320,120.964,9.000,1.164,0.859,0.951
8,86,1007.349,328.860,33.213,1002,324,11,10,0.980,12.530,1002,332,28.610,9.839,1.283,0.780,0.930
9,48,524.146,336.479,24.971,521,332,7,9,0.967,9.849,522,341,66.038,7.000,1.385,0.722,0.906
10,62,822.548,342.129,28.385,818,338,9,9,0.967,10.000,820,338,126.870,9.000,1.072,0.932,0.905
11,47,541.053,350.223,24.385,537,346,8,8,0.993,10.000,537,347,143.130,7.071,1.399,0.715,0.895
12,34,598.000,356.500,20.142,595,353,6,7,1.000,8.062,596,360,60.255,6.000,1.275,0.784,0.919
13,83,384.199,389.428,33.456,379,384,11,11,0.932,12.530,379,386,151.390,9.839,1.324,0.755,0.892
14,77,484.539,391.578,31.213,479,387,11,9,0.993,11.705,479,390,160.017,9.000,1.232,0.812,0.917
15,47,635.394,408.394,24.385,631,405,9,7,0.993,9.487,631,410,18.435,7.000,1.228,0.814,0.904
16,98,919.224,427.398,59.255,913,420,13,15,0.351,16.401,913,420,142.431,12.920,1.095,0.914,0.656
17,60,941.333,433.533,38.870,932,430,15,8,0.499,15.811,932,431,161.565,8.000,2.430,0.412,0.706
18,88,984.386,439.750,47.113,977,433,14,12,0.498,16.401,977,443,37.569,10.800,1.672,0.598,0.721
19,53,822.292,443.840,30.385,817,440,11,8,0.721,12.207,818,440,145.008,7.143,1.977,0.506,0.797
20,59,1003.771,444.229,26.971,1000,440,8,9,1.000,9.849,1001,440,113.962,8.000,1.109,0.902,0.937
21,93,994.081,448.995,38.284,989,442,11,14,0.797,14.866,991,442,109.654,9.683,1.634,0.612,0.853
22,51,511.853,458.049,26.142,508,454,8,8,0.938,10.630,508,454,131.186,7.589,1.415,0.707,0.919
23,44,871.364,462.523,29.456,866,458,10,8,0.637,10.770,866,461,158.199,7.071,1.407,0.711,0.779
24,25,872.900,469.260,25.213,868,467,10,4,0.494,10.198,868,469,168.690,4.000,2.914,0.343,0.725
25,45,674.944,474.789,23.556,671,471,8,7,1.000,8.944,671,473,153.435,7.000,1.225,0.816,0.909
26,117,414.389,485.534,46.527,408,477,13,16,0.679,18.028,410,477,123.690,10.633,2.089,0.479,0.807
27,54,656.926,497.204,26.142,653,493,8,8,0.993,10.630,654,493,131.186,7.778,1.312,0.762,0.947
