 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,61,612.844,107.074,27.799,608,103,10,8,0.992,10.440,608,105,163.301,8.000,1.254,0.798,0.904
2,56,629.857,111.179,28.142,626,107,8,9,0.889,10.296,627,107,119.055,8.000,1.203,0.831,0.896
3,60,600.900,120.583,40.870,597,114,8,13,0.451,13.928,599,127,68.962,8.000,1.815,0.551,0.741
4,111,634.995,135.995,40.042,630,129,10,15,0.870,15.524,632,129,104.931,9.899,1.592,0.628,0.910
5,61,761.844,136.762,28.971,758,132,8,10,0.913,10.817,759,132,123.690,8.000,1.311,0.763,0.904
6,653,735.457,187.113,108.225,722,166,27,38,0.701,39.217,728,166,109.359,26.792,1.348,0.742,0.889
7,57,707.061,176.482,26.971,703,172,8,9,0.985,10.817,704,172,123.690,7.778,1.413,0.708,0.927
8,52,846.000,185.000,26.627,842,180,8,10,0.922,10.198,845,190,78.690,8.000,1.163,0.860,0.867
9,82,873.146,212.159,33.213,869,206,9,12,0.934,12.649,871,218,71.565,9.000,1.416,0.706,0.911
10,64,518.031,212.031,29.213,513,207,10,9,0.942,11.180,513,210,153.435,8.485,1.318,0.758,0.901
11,60,550.417,223.133,27.556,547,218,7,10,0.993,10.770,548,228,68.199,7.000,1.396,0.716,0.945
12,49,444.622,231.500,24.971,441,227,7,9,0.988,9.487,443,227,108.435,7.000,1.299,0.770,0.907
13,55,474.264,250.427,26.971,470,246,8,9,0.950,10.296,472,255,60.945,8.000,1.311,0.763,0.902
14,44,417.295,250.955,24.142,414,247,7,8,0.949,9.220,415,247,130.601,7.000,1.125,0.889,0.889
15,50,682.500,252.000,25.314,679,248,7,8,0.981,9.434,680,248,122.005,7.000,1.186,0.843,0.943
16,764,623.971,276.470,166.995,604,262,38,28,0.344,41.593,605,267,152.819,27.748,1.447,0.691,0.824
17,65,763.146,272.100,28.971,758,268,10,8,0.973,11.662,758,269,149.036,8.000,1.409,0.710,0.922
18,355,779.100,283.362,114.853,765,271,25,26,0.338,27.785,772,271,120.256,22.627,1.303,0.768,0.743
