 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,38,944.842,293.079,25.213,940,289,9,8,0.751,10.630,941,289,131.186,5.657,2.060,0.485,0.800
2,93,851.952,334.597,54.527,846,328,12,13,0.393,16.401,848,341,52.431,11.200,1.498,0.667,0.756
3,43,815.663,344.500,24.385,812,340,7,9,0.909,10.296,813,340,119.055,6.708,1.677,0.596,0.869
4,25,936.260,348.340,25.799,932,346,10,5,0.472,10.198,932,347,168.690,4.439,2.929,0.341,0.667
5,42,476.143,370.905,22.728,472,368,8,6,1.000,8.944,472,369,153.435,6.000,1.324,0.755,0.944
6,28,965.857,387.857,23.556,961,386,10,4,0.634,10.050,961,387,174.289,4.000,2.494,0.401,0.824
7,37,750.473,398.122,22.142,747,394,6,8,0.948,8.944,749,402,63.435,6.000,1.452,0.689,0.914
8,49,417.663,406.847,28.627,413,402,10,9,0.751,11.402,414,402,127.875,7.071,1.822,0.549,0.790
9,27,577.907,410.352,22.385,574,407,8,7,0.677,9.220,575,407,130.601,4.950,2.211,0.452,0.720
10,58,954.155,445.534,27.799,950,441,9,9,0.943,10.296,950,443,150.945,8.944,1.151,0.869,0.885
11,35,877.729,449.414,22.728,873,447,9,5,0.851,9.487,873,450,18.435,5.000,1.863,0.537,0.897
12,52,706.788,468.000,26.142,703,464,8,8,0.956,10.630,703,464,131.186,7.778,1.316,0.760,0.929
13,57,502.763,471.974,26.385,498,468,9,8,1.000,10.296,498,470,150.945,8.000,1.273,0.786,0.919
14,68,422.235,539.662,29.799,417,535,10,9,0.962,10.817,418,536,146.310,9.000,1.162,0.860,0.901
15,73,423.842,557.610,31.213,419,552,9,11,0.942,12.207,421,563,55.008,9.000,1.374,0.728,0.901
16,114,614.447,578.474,49.698,606,573,18,10,0.580,20.591,606,573,150.945,10.000,2.183,0.458,0.820
17,65,1027.946,584.823,29.213,1023,580,10,9,0.957,11.662,1023,582,149.036,8.485,1.401,0.714,0.897
18,41,951.232,587.354,24.971,947,584,8,7,0.826,8.944,947,589,26.565,7.000,1.191,0.839,0.863
19,36,968.972,588.472,29.213,964,585,11,7,0.530,11.705,964,591,19.983,5.757,2.463,0.406,0.667
20,48,765.479,594.104,25.799,761,590,9,8,0.906,10.296,761,591,150.945,7.428,1.552,0.644,0.857
21,80,353.337,606.712,31.799,348,602,10,10,0.994,11.662,350,602,120.964,9.899,1.159,0.863,0.936
22,54,703.019,609.389,28.627,698,605,10,9,0.828,11.402,698,606,142.125,7.603,1.681,0.595,0.824
23,98,757.816,611.857,44.527,750,606,15,12,0.621,17.493,750,607,149.036,9.099,2.264,0.442,0.781
24,57,1147.149,633.447,29.213,1143,629,8,9,0.839,10.817,1145,629,123.690,8.000,1.240,0.807,0.884
25,43,625.826,633.570,23.556,622,630,8,7,0.974,9.220,623,630,130.601,7.000,1.302,0.768,0.905
26,74,462.284,670.149,31.213,457,665,10,10,0.954,10.817,458,673,33.690,10.000,1.052,0.951,0.892
27,67,1081.604,670.813,29.799,1076,667,11,8,0.948,11.705,1076,669,160.017,8.000,1.405,0.712,0.899
