 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,107,948.827,47.463,65.012,942,38,12,19,0.318,21.954,942,57,59.931,12.000,1.423,0.703,0.596
2,25,1089.980,71.500,23.799,1086,67,7,8,0.555,8.944,1089,75,63.435,6.247,1.608,0.622,0.676
3,29,1075.293,88.845,27.799,1071,84,8,9,0.472,11.402,1072,84,127.875,4.992,2.991,0.334,0.644
4,30,1221.967,122.933,29.213,1216,120,12,7,0.442,13.416,1216,127,26.565,4.671,3.615,0.277,0.659
5,26,1165.000,130.038,22.142,1160,128,9,4,0.666,9.220,1160,131,12.529,4.000,2.197,0.455,0.825
6,51,1215.480,136.971,38.284,1212,131,7,14,0.437,14.142,1215,145,81.870,7.000,2.045,0.489,0.646
7,29,1256.431,147.431,23.556,1253,144,7,8,0.657,10.000,1254,152,53.130,5.154,2.389,0.419,0.744
8,157,1220.360,206.424,78.083,1213,193,15,22,0.324,25.060,1216,193,118.610,15.000,1.705,0.586,0.614
9,39,1295.295,197.679,37.456,1289,193,13,9,0.349,15.000,1290,193,143.130,5.584,3.541,0.282,0.574
10,34,719.618,214.706,32.385,715,210,11,8,0.407,11.705,715,218,19.983,8.000,1.316,0.760,0.571
11,31,1289.694,217.177,31.799,1285,212,11,8,0.385,11.402,1285,217,164.745,7.071,1.906,0.525,0.602
12,288,1211.809,233.514,98.569,1204,215,15,35,0.372,35.355,1209,250,81.870,12.722,3.308,0.302,0.712
13,25,1283.260,222.380,20.971,1280,219,7,6,0.714,8.485,1281,219,135.000,5.657,1.553,0.644,0.794
14,36,1312.361,230.139,36.042,1309,225,8,11,0.348,12.530,1310,236,61.390,7.056,1.979,0.505,0.605
15,27,1336.981,247.204,26.627,1334,243,6,9,0.479,9.487,1336,243,108.435,5.590,1.995,0.501,0.651
16,47,1380.840,252.330,40.627,1373,249,15,7,0.358,16.155,1373,250,158.199,6.276,3.068,0.326,0.653
17,52,944.269,264.865,44.142,942,254,4,20,0.335,20.100,943,274,84.289,4.000,6.142,0.163,0.770
18,37,1376.311,258.338,31.213,1371,254,9,10,0.477,11.662,1374,254,120.964,7.091,2.012,0.497,0.602
19,69,1232.065,260.717,50.627,1222,257,17,7,0.338,17.720,1222,263,16.390,7.000,2.267,0.441,0.719
20,28,1271.750,264.429,22.728,1268,261,8,6,0.681,8.944,1268,263,153.435,5.687,1.914,0.522,0.747
21,126,1235.810,273.921,52.284,1229,266,16,14,0.579,17.088,1229,271,159.444,12.650,1.442,0.693,0.795
22,42,1326.167,271.452,39.456,1319,266,12,9,0.339,12.649,1319,270,161.565,8.731,1.726,0.579,0.545
23,32,1302.094,275.469,28.042,1297,272,10,7,0.511,10.440,1297,275,163.301,5.942,1.949,0.513,0.653
24,26,1284.077,281.885,23.799,1281,277,6,8,0.577,9.434,1281,285,57.995,5.400,1.944,0.514,0.722
25,33,1368.318,284.773,28.385,1364,281,8,7,0.515,10.630,1364,281,138.814,6.325,1.657,0.604,0.725
26,47,1394.521,293.287,38.627,1387,289,14,8,0.396,15.652,1387,296,26.565,6.800,2.727,0.367,0.627
27,56,1334.161,303.161,44.284,1328,296,11,13,0.359,15.811,1328,309,55.305,8.159,2.559,0.391,0.580
28,31,1389.952,305.145,27.799,1385,301,9,8,0.504,9.849,1385,304,156.038,7.496,1.441,0.694,0.633
29,38,1301.263,310.079,35.213,1298,305,7,11,0.385,12.530,1298,305,118.610,5.757,2.554,0.391,0.673
30,35,1414.957,314.614,23.799,1411,311,8,7,0.777,9.434,1411,317,32.005,6.708,1.599,0.626,0.787
31,33,1403.076,328.076,34.042,1400,324,8,9,0.358,11.314,1400,324,135.000,8.000,1.225,0.816,0.569
32,25,1393.820,331.660,22.971,1390,328,8,6,0.595,8.944,1390,330,153.435,6.000,1.509,0.663,0.704
33,26,1354.577,346.385,26.042,1352,342,6,9,0.482,10.296,1352,351,60.945,5.376,2.644,0.378,0.642
34,854,1148.432,376.156,185.095,1129,344,34,69,0.313,70.036,1147,344,99.866,24.520,4.389,0.228,0.655
35,29,1332.362,348.638,27.799,1327,346,10,6,0.472,11.662,1327,346,149.036,4.851,3.089,0.324,0.659
36,26,1425.731,350.192,24.385,1421,348,9,5,0.549,9.849,1421,353,23.962,4.808,2.342,0.427,0.712
37,151,1002.619,357.030,49.113,995,350,16,13,0.787,17.464,995,360,23.629,13.000,1.339,0.747,0.870
38,54,944.352,370.981,44.142,942,361,4,20,0.348,20.025,944,361,92.862,4.000,5.979,0.167,0.800
39,89,1130.848,370.736,33.799,1126,365,10,11,0.979,12.530,1128,365,118.610,10.000,1.213,0.824,0.937
40,29,1388.155,370.638,27.213,1383,367,10,7,0.492,11.180,1383,373,26.565,5.757,2.545,0.393,0.630
41,25,1408.700,373.780,22.142,1406,370,6,8,0.641,8.602,1407,378,54.462,5.295,1.709,0.585,0.725
42,29,1387.052,380.534,25.799,1383,376,9,8,0.548,12.042,1383,384,41.634,4.600,3.123,0.320,0.744
43,38,1345.684,381.816,24.385,1342,377,7,9,0.803,9.055,1346,377,96.340,7.000,1.257,0.796,0.826
