 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,67,907.649,231.112,42.971,904,225,8,11,0.456,12.530,905,225,118.610,8.000,1.310,0.764,0.843
2,66,896.106,236.379,44.627,891,232,10,9,0.416,12.042,892,240,41.634,9.000,1.156,0.865,0.795
3,117,872.338,254.859,68.912,865,244,12,20,0.310,20.616,870,244,104.036,10.514,2.229,0.449,0.670
4,71,703.303,262.092,30.385,699,257,9,10,0.966,11.662,700,257,120.964,9.000,1.185,0.844,0.910
5,46,869.261,268.804,35.213,863,265,10,10,0.466,11.662,865,265,120.964,8.243,1.562,0.640,0.648
6,51,666.422,272.833,35.213,662,269,10,8,0.517,11.180,662,275,26.565,8.000,1.275,0.784,0.756
7,56,593.143,279.232,27.213,589,275,9,9,0.950,9.849,589,277,156.038,8.485,1.062,0.942,0.882
8,49,870.908,283.806,32.042,865,280,11,9,0.600,11.180,865,283,10.305,9.000,1.073,0.932,0.737
9,57,570.798,285.342,27.556,567,281,8,9,0.943,10.817,568,290,56.310,8.000,1.325,0.755,0.912
10,53,824.009,302.179,26.385,820,298,8,9,0.957,9.487,823,307,71.565,8.000,1.109,0.901,0.891
11,61,715.549,306.451,27.799,711,302,9,9,0.992,10.296,711,309,29.055,8.485,1.211,0.826,0.910
12,59,1006.788,307.093,30.627,1003,302,9,10,0.790,10.817,1003,303,146.310,8.485,1.282,0.780,0.868
13,55,829.136,319.391,27.799,825,314,8,10,0.894,10.440,827,324,73.301,8.000,1.330,0.752,0.866
14,221,823.093,335.708,74.326,815,324,18,24,0.503,24.515,818,324,101.768,15.202,1.897,0.527,0.765
15,30,1049.233,338.800,24.385,1046,335,7,7,0.634,8.062,1048,335,119.745,6.791,1.373,0.728,0.750
16,112,687.518,345.411,54.527,683,336,10,18,0.473,18.974,685,354,71.565,9.414,2.132,0.469,0.803
17,53,837.387,350.255,26.142,834,346,7,9,0.975,9.849,835,346,113.962,7.000,1.294,0.773,0.930
18,65,748.946,361.854,29.799,745,356,8,11,0.920,11.705,746,367,70.017,8.000,1.408,0.710,0.890
19,49,857.418,372.786,42.142,855,363,5,19,0.347,19.416,855,382,78.111,3.677,6.678,0.150,0.766
20,25,871.220,366.780,21.899,868,364,6,5,0.655,7.810,868,369,39.806,5.000,1.375,0.727,0.877
21,60,407.333,372.017,30.971,403,367,8,10,0.786,10.630,403,369,131.186,8.000,1.159,0.863,0.870
22,28,536.000,387.500,21.799,533,384,6,7,0.740,7.616,535,384,113.199,6.000,1.405,0.712,0.767
23,108,949.870,392.704,47.113,945,386,10,14,0.611,14.866,947,400,70.346,10.000,1.544,0.648,0.857
24,35,471.471,391.614,32.042,467,387,8,9,0.428,9.220,471,387,102.529,7.603,1.472,0.680,0.667
25,51,989.657,403.912,25.556,986,400,8,8,0.981,9.434,986,401,147.995,8.000,1.095,0.913,0.903
26,62,642.097,412.871,28.385,638,408,8,10,0.967,11.180,640,418,63.435,8.000,1.323,0.756,0.919
27,74,1024.622,422.662,30.627,1020,417,9,11,0.991,11.705,1023,417,109.983,9.000,1.230,0.813,0.908
28,258,789.047,438.326,97.882,779,426,21,24,0.338,26.249,780,427,139.635,19.290,1.531,0.653,0.723
29,74,960.676,448.095,36.042,956,443,11,10,0.716,12.530,956,452,28.610,9.153,1.267,0.789,0.855
30,57,974.588,452.272,38.042,970,448,9,9,0.495,11.314,971,456,45.000,8.944,1.177,0.850,0.820
31,462,980.799,472.054,132.510,962,460,37,24,0.331,38.079,962,475,13.671,21.928,2.119,0.472,0.766
32,25,811.340,465.980,19.314,809,463,5,7,0.842,7.616,811,470,66.801,5.000,1.508,0.663,0.862
33,49,851.561,499.704,25.799,848,495,7,9,0.925,9.487,851,495,108.435,7.000,1.204,0.831,0.891
34,28,865.286,506.821,26.627,862,503,7,8,0.496,8.544,865,511,69.444,6.871,1.244,0.804,0.667
35,43,607.291,508.105,29.213,603,504,8,8,0.633,9.434,605,504,122.005,7.519,1.307,0.765,0.789
36,29,964.224,508.328,27.799,961,505,6,7,0.472,8.602,962,512,54.462,6.000,1.436,0.696,0.744
37,37,849.014,516.743,24.385,846,513,7,8,0.782,8.602,846,520,35.538,6.934,1.375,0.727,0.813
38,73,508.116,534.568,30.971,504,529,8,11,0.956,11.705,506,540,70.017,8.000,1.351,0.740,0.930
39,57,722.518,534.219,27.556,718,530,9,8,0.943,10.630,718,537,41.186,8.000,1.188,0.842,0.912
40,74,1026.878,538.554,31.213,1022,534,10,10,0.954,12.042,1023,534,131.634,9.192,1.275,0.784,0.902
41,27,468.500,541.389,24.971,465,538,6,8,0.544,8.485,465,539,135.000,6.000,1.487,0.673,0.692
42,89,475.455,562.433,35.799,471,556,9,13,0.873,13.928,473,569,68.962,8.825,1.617,0.618,0.904
43,44,511.114,565.136,25.213,507,561,8,8,0.870,8.944,509,561,116.565,8.000,1.111,0.900,0.830
44,59,659.822,571.161,36.284,655,567,10,9,0.563,10.817,657,567,123.690,8.485,1.210,0.826,0.825
45,197,997.703,577.287,71.255,985,568,23,17,0.488,24.413,985,583,34.992,14.920,1.976,0.506,0.727
46,33,810.227,578.591,34.042,803,574,14,8,0.358,15.652,803,575,153.435,4.025,5.490,0.182,0.653
47,119,809.239,585.803,69.841,800,576,22,17,0.307,25.060,800,576,151.390,12.969,1.559,0.642,0.609
48,266,565.327,592.891,94.225,556,579,20,26,0.376,27.857,563,579,111.038,18.096,1.675,0.597,0.741
49,67,1101.455,595.142,30.627,1097,590,9,10,0.898,11.402,1098,591,127.875,9.000,1.162,0.861,0.887
50,26,646.769,606.615,32.627,643,603,9,8,0.307,10.000,644,610,36.870,7.071,1.528,0.654,0.505
51,28,368.679,643.357,22.971,366,639,6,9,0.667,9.849,367,648,66.038,4.919,2.467,0.405,0.737
52,55,668.355,654.427,31.799,664,650,8,9,0.684,10.817,665,650,123.690,8.000,1.172,0.853,0.859
53,92,999.315,665.239,37.456,994,659,11,12,0.824,14.213,994,670,50.711,9.899,1.435,0.697,0.889
54,66,864.439,667.242,28.971,860,663,9,9,0.988,10.630,860,670,41.186,9.000,1.090,0.917,0.930
55,46,962.022,667.500,33.799,958,664,8,8,0.506,9.434,958,669,32.005,8.000,1.089,0.918,0.844
56,39,541.859,670.244,28.627,538,666,8,8,0.598,8.602,538,672,35.538,7.488,1.264,0.791,0.772
57,45,585.878,676.211,31.799,582,672,8,8,0.559,9.434,582,678,32.005,8.000,1.084,0.923,0.811
58,47,736.628,677.266,25.314,733,674,8,7,0.922,9.434,733,680,32.005,7.000,1.053,0.950,0.922
59,35,411.129,685.729,31.213,408,682,7,8,0.451,8.944,410,690,63.435,7.000,1.308,0.765,0.722
60,93,1085.274,689.489,35.799,1079,685,13,9,0.912,13.153,1079,688,171.254,9.000,1.312,0.762,0.921
61,50,715.720,694.180,27.213,712,690,8,9,0.848,9.487,714,690,108.435,8.000,1.160,0.862,0.847
62,114,899.211,719.500,62.426,892,712,14,16,0.368,18.028,894,712,123.690,10.733,1.795,0.557,0.738
63,34,784.735,717.471,23.556,781,714,9,6,0.770,10.817,781,714,146.310,5.659,2.122,0.471,0.840
64,62,1071.935,719.242,38.042,1067,715,10,9,0.538,10.817,1068,716,146.310,9.000,1.042,0.960,0.816
65,245,645.741,727.635,100.125,632,719,26,18,0.307,26.306,632,728,8.746,16.387,1.814,0.551,0.747
66,58,888.397,731.172,30.627,884,727,9,8,0.777,10.296,884,729,150.945,8.000,1.065,0.939,0.879
67,70,977.814,731.471,29.799,973,727,10,9,0.991,11.662,973,728,149.036,9.000,1.239,0.807,0.915
68,47,1009.053,733.926,37.456,1005,728,8,10,0.421,10.440,1008,728,106.699,8.000,1.136,0.881,0.712
69,27,809.722,733.722,21.071,806,732,8,4,0.764,8.944,806,736,26.565,4.000,2.326,0.430,0.915
70,35,625.043,736.843,26.385,622,733,7,8,0.632,8.602,623,733,125.538,6.708,1.408,0.710,0.761
71,72,992.069,744.403,29.799,987,740,10,9,1.000,11.180,987,742,153.435,9.000,1.188,0.842,0.923
72,85,404.300,746.547,33.213,399,741,10,11,0.968,12.806,400,742,128.660,9.899,1.306,0.766,0.919
73,73,875.144,766.486,33.213,870,762,10,9,0.832,11.402,871,763,142.125,9.000,1.061,0.943,0.890
74,34,381.500,773.000,20.142,378,770,7,6,1.000,8.062,378,775,29.745,6.000,1.275,0.784,0.919
75,35,379.757,780.929,25.799,376,777,7,8,0.661,8.944,378,777,116.565,7.000,1.466,0.682,0.778
76,31,393.661,786.016,26.142,391,782,7,8,0.570,9.899,391,782,135.000,6.517,1.727,0.579,0.697
77,114,691.079,795.860,53.355,682,791,18,10,0.503,18.974,682,792,161.565,9.510,2.406,0.416,0.750
78,61,417.549,798.943,27.556,413,795,9,8,1.000,10.000,413,801,36.870,8.000,1.108,0.903,0.938
79,117,826.038,802.944,39.213,820,797,12,12,0.956,13.892,820,806,30.256,12.000,1.117,0.896,0.932
80,62,997.952,806.500,40.627,993,802,10,9,0.472,11.402,993,809,37.875,9.000,1.146,0.873,0.805
81,72,491.806,811.528,30.385,487,807,10,9,0.980,11.662,487,815,30.964,9.000,1.279,0.782,0.929
82,79,686.968,814.791,32.385,682,810,10,10,0.947,11.402,683,819,37.875,10.000,1.102,0.908,0.913
83,79,608.804,817.791,32.627,604,812,10,11,0.933,12.083,606,823,65.556,9.391,1.290,0.775,0.903
84,783,604.514,855.501,168.894,583,839,39,35,0.345,41.437,583,861,19.747,33.649,1.201,0.833,0.746
85,69,447.558,871.254,29.799,443,866,9,10,0.976,11.402,444,867,127.875,9.000,1.206,0.829,0.908
86,26,751.692,871.962,26.385,747,868,8,7,0.469,8.944,747,873,26.565,6.200,1.772,0.564,0.634
87,35,881.300,874.157,21.556,878,870,6,8,0.947,8.944,880,870,116.565,6.000,1.421,0.703,0.897
88,204,875.069,882.882,87.255,864,872,23,18,0.337,23.195,864,882,172.569,17.664,1.358,0.736,0.695
89,33,938.833,886.864,25.799,935,883,8,7,0.623,8.544,935,889,20.556,6.708,1.167,0.857,0.776
